




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
response to blue light (GO:0009637)	55	7	2.98	+	2.35	3.25E-02
polysaccharide catabolic process (GO:0000272)	126	16	6.84	+	2.34	1.82E-03
cellular polysaccharide metabolic process (GO:0044264)	223	28	12.10	+	2.31	5.46E-05
primary shoot apical meristem specification (GO:0010072)	8	1	.43	+	2.30	3.52E-01
vitamin B6 metabolic process (GO:0042816)	8	1	.43	+	2.30	3.52E-01
regulation of potassium ion transport (GO:0043266)	8	1	.43	+	2.30	3.52E-01
energy quenching (GO:1990066)	8	1	.43	+	2.30	3.52E-01
protein retention in ER lumen (GO:0006621)	8	1	.43	+	2.30	3.52E-01
negative regulation of photosynthesis, light reaction (GO:0043155)	8	1	.43	+	2.30	3.52E-01
purine-containing compound salvage (GO:0043101)	8	1	.43	+	2.30	3.52E-01
phospholipid transport (GO:0015914)	16	2	.87	+	2.30	2.16E-01
regulation of DNA endoreduplication (GO:0032875)	16	2	.87	+	2.30	2.16E-01
endoplasmic reticulum organization (GO:0007029)	24	3	1.30	+	2.30	1.43E-01
negative regulation of chromosome organization (GO:2001251)	8	1	.43	+	2.30	3.52E-01
acidic amino acid transport (GO:0015800)	8	1	.43	+	2.30	3.52E-01
trehalose biosynthetic process (GO:0005992)	16	2	.87	+	2.30	2.16E-01
regulation of production of small RNA involved in gene silencing by RNA (GO:0070920)	8	1	.43	+	2.30	3.52E-01
valine biosynthetic process (GO:0009099)	8	1	.43	+	2.30	3.52E-01
L-phenylalanine biosynthetic process (GO:0009094)	8	1	.43	+	2.30	3.52E-01
production of siRNA involved in chromatin silencing by small RNA (GO:0070919)	8	1	.43	+	2.30	3.52E-01
lysine biosynthetic process (GO:0009085)	16	2	.87	+	2.30	2.16E-01
cellular response to disaccharide stimulus (GO:0071324)	8	1	.43	+	2.30	3.52E-01
biological process involved in intraspecies interaction between organisms (GO:0051703)	8	1	.43	+	2.30	3.52E-01
DNA methylation (GO:0006306)	24	3	1.30	+	2.30	1.43E-01
DNA alkylation (GO:0006305)	24	3	1.30	+	2.30	1.43E-01
postreplication repair (GO:0006301)	16	2	.87	+	2.30	2.16E-01
positive regulation of phosphorylation (GO:0042327)	16	2	.87	+	2.30	2.16E-01
regulation of gene silencing by RNA (GO:0060966)	16	2	.87	+	2.30	2.16E-01
regulation of histone H3-K9 methylation (GO:0051570)	8	1	.43	+	2.30	3.52E-01
AMP biosynthetic process (GO:0006167)	8	1	.43	+	2.30	3.52E-01
sphingoid biosynthetic process (GO:0046520)	8	1	.43	+	2.30	3.52E-01
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	8	1	.43	+	2.30	3.52E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	8	1	.43	+	2.30	3.52E-01
longitudinal axis specification (GO:0009942)	8	1	.43	+	2.30	3.52E-01
purine nucleotide salvage (GO:0032261)	8	1	.43	+	2.30	3.52E-01
DNA endoreduplication (GO:0042023)	16	2	.87	+	2.30	2.16E-01
regulation of mRNA catabolic process (GO:0061013)	16	2	.87	+	2.30	2.16E-01
PSII associated light-harvesting complex II catabolic process (GO:0010304)	8	1	.43	+	2.30	3.52E-01
positive regulation of anion transport (GO:1903793)	8	1	.43	+	2.30	3.52E-01
regulation of seed growth (GO:0080113)	8	1	.43	+	2.30	3.52E-01
L-methionine salvage from methylthioadenosine (GO:0019509)	8	1	.43	+	2.30	3.52E-01
regulation of vacuole organization (GO:0044088)	8	1	.43	+	2.30	3.52E-01
regulation of ARF protein signal transduction (GO:0032012)	8	1	.43	+	2.30	3.52E-01
positive regulation of sulfur metabolic process (GO:0051176)	8	1	.43	+	2.30	3.52E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	8	1	.43	+	2.30	3.52E-01
alternative respiration (GO:0010230)	8	1	.43	+	2.30	3.52E-01
DNA integrity checkpoint (GO:0031570)	16	2	.87	+	2.30	2.16E-01
stamen filament development (GO:0080086)	8	1	.43	+	2.30	3.52E-01
photoinhibition (GO:0010205)	8	1	.43	+	2.30	3.52E-01
response to nematode (GO:0009624)	72	9	3.91	+	2.30	1.85E-02
nonphotochemical quenching (GO:0010196)	8	1	.43	+	2.30	3.52E-01
syncytium formation (GO:0006949)	16	2	.87	+	2.30	2.16E-01
fatty acid oxidation (GO:0019395)	40	5	2.17	+	2.30	6.91E-02
detection of chemical stimulus (GO:0009593)	24	3	1.30	+	2.30	1.43E-01
membrane protein proteolysis (GO:0033619)	8	1	.43	+	2.30	3.52E-01
detection of light stimulus (GO:0009583)	16	2	.87	+	2.30	2.16E-01
microsporogenesis (GO:0009556)	16	2	.87	+	2.30	2.16E-01
oxylipin biosynthetic process (GO:0031408)	16	2	.87	+	2.30	2.16E-01
response to water (GO:0009415)	299	37	16.23	+	2.28	5.08E-06
response to topologically incorrect protein (GO:0035966)	57	7	3.09	+	2.26	3.81E-02
response to water deprivation (GO:0009414)	294	36	15.95	+	2.26	8.50E-06
protein localization to nucleus (GO:0034504)	41	5	2.23	+	2.25	7.49E-02
cellular response to abscisic acid stimulus (GO:0071215)	115	14	6.24	+	2.24	4.88E-03
cellular response to alcohol (GO:0097306)	115	14	6.24	+	2.24	4.88E-03
carboxylic acid transport (GO:0046942)	66	8	3.58	+	2.23	2.97E-02
protein modification by small protein removal (GO:0070646)	66	8	3.58	+	2.23	2.97E-02
negative regulation of abscisic acid-activated signaling pathway (GO:0009788)	33	4	1.79	+	2.23	1.07E-01
negative regulation of cellular response to alcohol (GO:1905958)	33	4	1.79	+	2.23	1.07E-01
protein peptidyl-prolyl isomerization (GO:0000413)	33	4	1.79	+	2.23	1.07E-01
negative regulation of response to alcohol (GO:1901420)	33	4	1.79	+	2.23	1.07E-01
seed germination (GO:0009845)	83	10	4.50	+	2.22	1.69E-02
regulation of cell differentiation (GO:0045595)	25	3	1.36	+	2.21	1.56E-01
regulation of plant organ morphogenesis (GO:1905421)	25	3	1.36	+	2.21	1.56E-01
cellular response to hypoxia (GO:0071456)	150	18	8.14	+	2.21	1.80E-03
carbohydrate transport (GO:0008643)	50	6	2.71	+	2.21	5.75E-02
lipid oxidation (GO:0034440)	50	6	2.71	+	2.21	5.75E-02
anatomical structure arrangement (GO:0048532)	42	5	2.28	+	2.19	8.11E-02
disaccharide metabolic process (GO:0005984)	59	7	3.20	+	2.19	4.44E-02
cellular response to decreased oxygen levels (GO:0036294)	152	18	8.25	+	2.18	2.07E-03
cellular response to oxygen levels (GO:0071453)	153	18	8.30	+	2.17	2.22E-03
cellular response to nitrogen compound (GO:1901699)	51	6	2.77	+	2.17	6.20E-02
protein import into nucleus (GO:0006606)	34	4	1.85	+	2.17	1.16E-01
cellular glucose homeostasis (GO:0001678)	17	2	.92	+	2.17	2.36E-01
cellular response to gibberellin stimulus (GO:0071370)	34	4	1.85	+	2.17	1.16E-01
carotene metabolic process (GO:0016119)	17	2	.92	+	2.17	2.36E-01
CDP-diacylglycerol biosynthetic process (GO:0016024)	17	2	.92	+	2.17	2.36E-01
positive regulation of phosphorus metabolic process (GO:0010562)	17	2	.92	+	2.17	2.36E-01
meristem structural organization (GO:0009933)	34	4	1.85	+	2.17	1.16E-01
positive regulation of phosphate metabolic process (GO:0045937)	17	2	.92	+	2.17	2.36E-01
CDP-diacylglycerol metabolic process (GO:0046341)	17	2	.92	+	2.17	2.36E-01
sequestering of metal ion (GO:0051238)	17	2	.92	+	2.17	2.36E-01
regulation of auxin polar transport (GO:2000012)	17	2	.92	+	2.17	2.36E-01
floral organ abscission (GO:0010227)	17	2	.92	+	2.17	2.36E-01
regulation of RNA splicing (GO:0043484)	17	2	.92	+	2.17	2.36E-01
positive regulation of protein modification process (GO:0031401)	34	4	1.85	+	2.17	1.16E-01
response to oxygen levels (GO:0070482)	179	21	9.71	+	2.16	1.04E-03
organic anion transport (GO:0015711)	94	11	5.10	+	2.16	1.53E-02
shoot system morphogenesis (GO:0010016)	129	15	7.00	+	2.14	5.50E-03
RNA export from nucleus (GO:0006405)	43	5	2.33	+	2.14	8.74E-02
glucan metabolic process (GO:0044042)	172	20	9.33	+	2.14	1.50E-03
protein-containing complex localization (GO:0031503)	43	5	2.33	+	2.14	8.74E-02
cell wall macromolecule metabolic process (GO:0044036)	138	16	7.49	+	2.14	4.35E-03
response to hypoxia (GO:0001666)	173	20	9.39	+	2.13	1.60E-03
response to acid chemical (GO:0001101)	329	38	17.85	+	2.13	1.72E-05
cell cycle checkpoint (GO:0000075)	26	3	1.41	+	2.13	1.69E-01
regulation of response to osmotic stress (GO:0047484)	26	3	1.41	+	2.13	1.69E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	26	3	1.41	+	2.13	1.69E-01
glutamine family amino acid biosynthetic process (GO:0009084)	26	3	1.41	+	2.13	1.69E-01
heterochromatin organization (GO:0070828)	26	3	1.41	+	2.13	1.69E-01
leaf morphogenesis (GO:0009965)	78	9	4.23	+	2.13	2.88E-02
polyol biosynthetic process (GO:0046173)	26	3	1.41	+	2.13	1.69E-01
response to hydrogen peroxide (GO:0042542)	61	7	3.31	+	2.11	5.13E-02
reactive oxygen species metabolic process (GO:0072593)	61	7	3.31	+	2.11	5.13E-02
regulation of leaf senescence (GO:1900055)	35	4	1.90	+	2.11	1.25E-01
import into nucleus (GO:0051170)	35	4	1.90	+	2.11	1.25E-01
nuclear export (GO:0051168)	44	5	2.39	+	2.09	9.40E-02
response to chitin (GO:0010200)	115	13	6.24	+	2.08	1.16E-02
response to decreased oxygen levels (GO:0036293)	177	20	9.61	+	2.08	2.07E-03
glycerophospholipid biosynthetic process (GO:0046474)	62	7	3.36	+	2.08	5.50E-02
cellular response to environmental stimulus (GO:0104004)	142	16	7.71	+	2.08	5.65E-03
cellular response to abiotic stimulus (GO:0071214)	142	16	7.71	+	2.08	5.65E-03
glycerolipid biosynthetic process (GO:0045017)	80	9	4.34	+	2.07	3.29E-02
plant-type cell wall biogenesis (GO:0009832)	125	14	6.78	+	2.06	9.70E-03
response to reactive oxygen species (GO:0000302)	134	15	7.27	+	2.06	7.64E-03
cellular glucan metabolic process (GO:0006073)	170	19	9.23	+	2.06	2.97E-03
fruit dehiscence (GO:0010047)	9	1	.49	+	2.05	3.86E-01
protein polyubiquitination (GO:0000209)	72	8	3.91	+	2.05	4.54E-02
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	9	1	.49	+	2.05	3.86E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	9	1	.49	+	2.05	3.86E-01
response to xenobiotic stimulus (GO:0009410)	9	1	.49	+	2.05	3.86E-01
epithelial cell differentiation (GO:0030855)	9	1	.49	+	2.05	3.86E-01
apocarotenoid biosynthetic process (GO:0043289)	9	1	.49	+	2.05	3.86E-01
apocarotenoid metabolic process (GO:0043288)	18	2	.98	+	2.05	2.56E-01
proteasome assembly (GO:0043248)	9	1	.49	+	2.05	3.86E-01
G protein-coupled receptor signaling pathway (GO:0007186)	18	2	.98	+	2.05	2.56E-01
regulation of cell wall organization or biogenesis (GO:1903338)	18	2	.98	+	2.05	2.56E-01
regulation of mRNA metabolic process (GO:1903311)	27	3	1.47	+	2.05	1.82E-01
fatty acid beta-oxidation (GO:0006635)	36	4	1.95	+	2.05	1.34E-01
response to molecule of fungal origin (GO:0002238)	18	2	.98	+	2.05	2.56E-01
amino acid salvage (GO:0043102)	9	1	.49	+	2.05	3.86E-01
anaphase-promoting complex-dependent catabolic process (GO:0031145)	9	1	.49	+	2.05	3.86E-01
lysine metabolic process (GO:0006553)	18	2	.98	+	2.05	2.56E-01
isoleucine metabolic process (GO:0006549)	9	1	.49	+	2.05	3.86E-01
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	9	1	.49	+	2.05	3.86E-01
glucose homeostasis (GO:0042593)	18	2	.98	+	2.05	2.56E-01
L-amino acid transport (GO:0015807)	9	1	.49	+	2.05	3.86E-01
regulation of glucan biosynthetic process (GO:0010962)	9	1	.49	+	2.05	3.86E-01
malate transmembrane transport (GO:0071423)	9	1	.49	+	2.05	3.86E-01
pyrimidine-containing compound salvage (GO:0008655)	9	1	.49	+	2.05	3.86E-01
tertiary alcohol biosynthetic process (GO:1902645)	9	1	.49	+	2.05	3.86E-01
tertiary alcohol metabolic process (GO:1902644)	18	2	.98	+	2.05	2.56E-01
isoleucine biosynthetic process (GO:0009097)	9	1	.49	+	2.05	3.86E-01
epidermis development (GO:0008544)	9	1	.49	+	2.05	3.86E-01
L-methionine salvage (GO:0071267)	9	1	.49	+	2.05	3.86E-01
protein exit from endoplasmic reticulum (GO:0032527)	9	1	.49	+	2.05	3.86E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	9	1	.49	+	2.05	3.86E-01
cytidine catabolic process (GO:0006216)	9	1	.49	+	2.05	3.86E-01
peptidyl-cysteine modification (GO:0018198)	27	3	1.47	+	2.05	1.82E-01
regulation of cell shape (GO:0008360)	18	2	.98	+	2.05	2.56E-01
mitochondria-nucleus signaling pathway (GO:0031930)	9	1	.49	+	2.05	3.86E-01
ceramide biosynthetic process (GO:0046513)	9	1	.49	+	2.05	3.86E-01
spermine metabolic process (GO:0008215)	9	1	.49	+	2.05	3.86E-01
cytidine deamination (GO:0009972)	9	1	.49	+	2.05	3.86E-01
regulation of meristem structural organization (GO:0009934)	18	2	.98	+	2.05	2.56E-01
epidermal cell differentiation (GO:0009913)	9	1	.49	+	2.05	3.86E-01
acylglycerol biosynthetic process (GO:0046463)	18	2	.98	+	2.05	2.56E-01
neutral lipid biosynthetic process (GO:0046460)	18	2	.98	+	2.05	2.56E-01
cellular oxidant detoxification (GO:0098869)	18	2	.98	+	2.05	2.56E-01
regulation of shoot apical meristem development (GO:1902183)	9	1	.49	+	2.05	3.86E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	36	4	1.95	+	2.05	1.34E-01
NAD metabolic process (GO:0019674)	9	1	.49	+	2.05	3.86E-01
plant-type primary cell wall biogenesis (GO:0009833)	27	3	1.47	+	2.05	1.82E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	9	1	.49	+	2.05	3.86E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	9	1	.49	+	2.05	3.86E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	9	1	.49	+	2.05	3.86E-01
diol biosynthetic process (GO:0034312)	9	1	.49	+	2.05	3.86E-01
diol metabolic process (GO:0034311)	9	1	.49	+	2.05	3.86E-01
primary alcohol metabolic process (GO:0034308)	9	1	.49	+	2.05	3.86E-01
shoot axis formation (GO:0010346)	18	2	.98	+	2.05	2.56E-01
cellular heat acclimation (GO:0070370)	9	1	.49	+	2.05	3.86E-01
pyridine-containing compound biosynthetic process (GO:0072525)	18	2	.98	+	2.05	2.56E-01
regulation of lateral root development (GO:2000023)	9	1	.49	+	2.05	3.86E-01
secondary shoot formation (GO:0010223)	18	2	.98	+	2.05	2.56E-01
abscisic acid biosynthetic process (GO:0009688)	9	1	.49	+	2.05	3.86E-01
abscisic acid metabolic process (GO:0009687)	18	2	.98	+	2.05	2.56E-01
aldehyde biosynthetic process (GO:0046184)	9	1	.49	+	2.05	3.86E-01
response to symbiotic fungus (GO:0009610)	9	1	.49	+	2.05	3.86E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	9	1	.49	+	2.05	3.86E-01
positive regulation of DNA metabolic process (GO:0051054)	9	1	.49	+	2.05	3.86E-01
cytidine metabolic process (GO:0046087)	9	1	.49	+	2.05	3.86E-01
protein autophosphorylation (GO:0046777)	162	18	8.79	+	2.05	4.00E-03
abscisic acid-activated signaling pathway (GO:0009738)	91	10	4.94	+	2.02	2.92E-02
negative regulation of molecular function (GO:0044092)	55	6	2.98	+	2.01	8.20E-02
establishment of RNA localization (GO:0051236)	46	5	2.50	+	2.00	1.08E-01
systemic acquired resistance (GO:0009627)	46	5	2.50	+	2.00	1.08E-01
RNA transport (GO:0050658)	46	5	2.50	+	2.00	1.08E-01
nucleic acid transport (GO:0050657)	46	5	2.50	+	2.00	1.08E-01
plant-type cell wall loosening (GO:0009828)	37	4	2.01	+	1.99	1.44E-01
glucose 6-phosphate metabolic process (GO:0051156)	37	4	2.01	+	1.99	1.44E-01
seed coat development (GO:0010214)	37	4	2.01	+	1.99	1.44E-01
starch biosynthetic process (GO:0019252)	28	3	1.52	+	1.97	1.96E-01
cellular homeostasis (GO:0019725)	215	23	11.67	+	1.97	2.00E-03
nucleobase-containing compound transport (GO:0015931)	94	10	5.10	+	1.96	3.51E-02
response to nitrogen compound (GO:1901698)	236	25	12.81	+	1.95	1.49E-03
cellular polysaccharide biosynthetic process (GO:0033692)	142	15	7.71	+	1.95	1.24E-02
cellular carbohydrate metabolic process (GO:0044262)	322	34	17.47	+	1.95	2.48E-04
response to organonitrogen compound (GO:0010243)	199	21	10.80	+	1.94	3.57E-03
monocarboxylic acid catabolic process (GO:0072329)	57	6	3.09	+	1.94	9.32E-02
carbohydrate catabolic process (GO:0016052)	190	20	10.31	+	1.94	4.51E-03
nucleotide transport (GO:0006862)	19	2	1.03	+	1.94	2.76E-01
callus formation (GO:1990110)	19	2	1.03	+	1.94	2.76E-01
inositol lipid-mediated signaling (GO:0048017)	19	2	1.03	+	1.94	2.76E-01
regulation of brassinosteroid mediated signaling pathway (GO:1900457)	19	2	1.03	+	1.94	2.76E-01
magnesium ion transport (GO:0015693)	19	2	1.03	+	1.94	2.76E-01
cotyledon morphogenesis (GO:0048826)	19	2	1.03	+	1.94	2.76E-01
chloroplast accumulation movement (GO:0009904)	19	2	1.03	+	1.94	2.76E-01
photosynthesis, light reaction (GO:0019684)	86	9	4.67	+	1.93	4.80E-02
response to cadmium ion (GO:0046686)	278	29	15.09	+	1.92	8.26E-04
cellular aldehyde metabolic process (GO:0006081)	48	5	2.60	+	1.92	1.23E-01
jasmonic acid metabolic process (GO:0009694)	48	5	2.60	+	1.92	1.23E-01
regulation of DNA replication (GO:0006275)	29	3	1.57	+	1.91	2.10E-01
pentose-phosphate shunt (GO:0006098)	29	3	1.57	+	1.91	2.10E-01
abscission (GO:0009838)	29	3	1.57	+	1.91	2.10E-01
primary root development (GO:0080022)	29	3	1.57	+	1.91	2.10E-01
phospholipid biosynthetic process (GO:0008654)	97	10	5.26	+	1.90	4.19E-02
nucleoside diphosphate metabolic process (GO:0009132)	68	7	3.69	+	1.90	8.05E-02
regulation of cell death (GO:0010941)	68	7	3.69	+	1.90	8.05E-02
ribonucleoprotein complex export from nucleus (GO:0071426)	39	4	2.12	+	1.89	1.64E-01
ribonucleoprotein complex localization (GO:0071166)	39	4	2.12	+	1.89	1.64E-01
heat acclimation (GO:0010286)	39	4	2.12	+	1.89	1.64E-01
regulation of programmed cell death (GO:0043067)	49	5	2.66	+	1.88	1.31E-01
cell wall biogenesis (GO:0042546)	196	20	10.64	+	1.88	6.25E-03
cellular response to acid chemical (GO:0071229)	59	6	3.20	+	1.87	1.05E-01
membrane lipid metabolic process (GO:0006643)	69	7	3.74	+	1.87	8.53E-02
pyruvate metabolic process (GO:0006090)	69	7	3.74	+	1.87	8.53E-02
response to inorganic substance (GO:0010035)	757	76	41.08	+	1.85	3.00E-07
AMP metabolic process (GO:0046033)	10	1	.54	+	1.84	4.19E-01
stress granule assembly (GO:0034063)	10	1	.54	+	1.84	4.19E-01
NADPH regeneration (GO:0006740)	30	3	1.63	+	1.84	2.24E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	10	1	.54	+	1.84	4.19E-01
regulation of starch metabolic process (GO:2000904)	10	1	.54	+	1.84	4.19E-01
sphingolipid metabolic process (GO:0006665)	30	3	1.63	+	1.84	2.24E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	10	1	.54	+	1.84	4.19E-01
protein export from nucleus (GO:0006611)	40	4	2.17	+	1.84	1.75E-01
NLS-bearing protein import into nucleus (GO:0006607)	10	1	.54	+	1.84	4.19E-01
chlorophyll catabolic process (GO:0015996)	10	1	.54	+	1.84	4.19E-01
defense response to insect (GO:0002213)	20	2	1.09	+	1.84	2.96E-01
morphogenesis of a branching structure (GO:0001763)	20	2	1.09	+	1.84	2.96E-01
regulation of response to salt stress (GO:1901000)	20	2	1.09	+	1.84	2.96E-01
L-phenylalanine metabolic process (GO:0006558)	20	2	1.09	+	1.84	2.96E-01
purine nucleobase biosynthetic process (GO:0009113)	10	1	.54	+	1.84	4.19E-01
plant-type cell wall cellulose biosynthetic process (GO:0052324)	10	1	.54	+	1.84	4.19E-01
meiotic sister chromatid segregation (GO:0045144)	10	1	.54	+	1.84	4.19E-01
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	10	1	.54	+	1.84	4.19E-01
malate transport (GO:0015743)	20	2	1.09	+	1.84	2.96E-01
branched-chain amino acid biosynthetic process (GO:0009082)	10	1	.54	+	1.84	4.19E-01
aromatic amino acid family catabolic process (GO:0009074)	20	2	1.09	+	1.84	2.96E-01
negative regulation of nuclear division (GO:0051784)	10	1	.54	+	1.84	4.19E-01
negative regulation of intracellular signal transduction (GO:1902532)	20	2	1.09	+	1.84	2.96E-01
phylloquinone metabolic process (GO:0042374)	10	1	.54	+	1.84	4.19E-01
phylloquinone biosynthetic process (GO:0042372)	10	1	.54	+	1.84	4.19E-01
L-methionine biosynthetic process (GO:0071265)	10	1	.54	+	1.84	4.19E-01
histone H4 acetylation (GO:0043967)	10	1	.54	+	1.84	4.19E-01
sporulation (GO:0043934)	20	2	1.09	+	1.84	2.96E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	10	1	.54	+	1.84	4.19E-01
regulation of Ras protein signal transduction (GO:0046578)	10	1	.54	+	1.84	4.19E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	20	2	1.09	+	1.84	2.96E-01
chloroplast avoidance movement (GO:0009903)	20	2	1.09	+	1.84	2.96E-01
wound healing (GO:0042060)	20	2	1.09	+	1.84	2.96E-01
cell wall beta-glucan biosynthetic process (GO:0034410)	10	1	.54	+	1.84	4.19E-01
induced systemic resistance, jasmonic acid mediated signaling pathway (GO:0009864)	10	1	.54	+	1.84	4.19E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	20	2	1.09	+	1.84	2.96E-01
maintenance of protein localization in organelle (GO:0072595)	10	1	.54	+	1.84	4.19E-01
formaldehyde catabolic process (GO:0046294)	10	1	.54	+	1.84	4.19E-01
formaldehyde metabolic process (GO:0046292)	10	1	.54	+	1.84	4.19E-01
regulation of anion transport (GO:0044070)	20	2	1.09	+	1.84	2.96E-01
sexual sporulation (GO:0034293)	20	2	1.09	+	1.84	2.96E-01
regulation of stomatal complex development (GO:2000038)	10	1	.54	+	1.84	4.19E-01
regulation of immune effector process (GO:0002697)	10	1	.54	+	1.84	4.19E-01
somatic embryogenesis (GO:0010262)	10	1	.54	+	1.84	4.19E-01
meiotic sister chromatid cohesion (GO:0051177)	10	1	.54	+	1.84	4.19E-01
integument development (GO:0080060)	10	1	.54	+	1.84	4.19E-01
regulation of defense response to virus (GO:0050688)	10	1	.54	+	1.84	4.19E-01
response to symbiont (GO:0009608)	10	1	.54	+	1.84	4.19E-01
pigment catabolic process (GO:0046149)	10	1	.54	+	1.84	4.19E-01
pyrimidine nucleoside catabolic process (GO:0046135)	10	1	.54	+	1.84	4.19E-01
pyrimidine ribonucleoside catabolic process (GO:0046133)	10	1	.54	+	1.84	4.19E-01
hyperosmotic response (GO:0006972)	60	6	3.26	+	1.84	1.11E-01
RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	10	1	.54	+	1.84	4.19E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	10	1	.54	+	1.84	4.19E-01
nicotinamide nucleotide biosynthetic process (GO:0019359)	10	1	.54	+	1.84	4.19E-01
cellular detoxification of aldehyde (GO:0110095)	10	1	.54	+	1.84	4.19E-01
plant-type sporogenesis (GO:0048236)	20	2	1.09	+	1.84	2.96E-01
cellular calcium ion homeostasis (GO:0006874)	50	5	2.71	+	1.84	1.39E-01
RNA localization (GO:0006403)	50	5	2.71	+	1.84	1.39E-01
seedling development (GO:0090351)	100	10	5.43	+	1.84	4.94E-02
positive regulation of molecular function (GO:0044093)	70	7	3.80	+	1.84	9.03E-02
response to metal ion (GO:0010038)	371	37	20.13	+	1.84	3.94E-04
cellular response to unfolded protein (GO:0034620)	41	4	2.23	+	1.80	1.85E-01
response to unfolded protein (GO:0006986)	41	4	2.23	+	1.80	1.85E-01
oligopeptide transport (GO:0006857)	31	3	1.68	+	1.78	2.38E-01
glycolipid biosynthetic process (GO:0009247)	31	3	1.68	+	1.78	2.38E-01
cellular metabolic compound salvage (GO:0043094)	62	6	3.36	+	1.78	1.25E-01
DNA methylation or demethylation (GO:0044728)	31	3	1.68	+	1.78	2.38E-01
sterol biosynthetic process (GO:0016126)	31	3	1.68	+	1.78	2.38E-01
DNA modification (GO:0006304)	31	3	1.68	+	1.78	2.38E-01
pollen germination (GO:0009846)	52	5	2.82	+	1.77	1.55E-01
cellular carbohydrate biosynthetic process (GO:0034637)	177	17	9.61	+	1.77	1.88E-02
response to organic cyclic compound (GO:0014070)	219	21	11.88	+	1.77	9.97E-03
response to oxidative stress (GO:0006979)	367	35	19.92	+	1.76	1.20E-03
lipid modification (GO:0030258)	105	10	5.70	+	1.75	6.40E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	21	2	1.14	+	1.75	3.15E-01
regulation of polysaccharide metabolic process (GO:0032881)	21	2	1.14	+	1.75	3.15E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	21	2	1.14	+	1.75	3.15E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	21	2	1.14	+	1.75	3.15E-01
floral meristem determinacy (GO:0010582)	21	2	1.14	+	1.75	3.15E-01
embryonic pattern specification (GO:0009880)	21	2	1.14	+	1.75	3.15E-01
pyridine-containing compound metabolic process (GO:0072524)	21	2	1.14	+	1.75	3.15E-01
carbohydrate transmembrane transport (GO:0034219)	21	2	1.14	+	1.75	3.15E-01
heterochromatin assembly (GO:0031507)	21	2	1.14	+	1.75	3.15E-01
cellular chemical homeostasis (GO:0055082)	169	16	9.17	+	1.74	2.48E-02
cellular response to lipid (GO:0071396)	201	19	10.91	+	1.74	1.57E-02
calcium ion homeostasis (GO:0055074)	53	5	2.88	+	1.74	1.64E-01
glutamine family amino acid metabolic process (GO:0009064)	53	5	2.88	+	1.74	1.64E-01
alcohol metabolic process (GO:0006066)	106	10	5.75	+	1.74	6.72E-02
polysaccharide metabolic process (GO:0005976)	350	33	18.99	+	1.74	1.94E-03
cellular ion homeostasis (GO:0006873)	149	14	8.09	+	1.73	3.60E-02
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	32	3	1.74	+	1.73	2.52E-01
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	32	3	1.74	+	1.73	2.52E-01
cellular iron ion homeostasis (GO:0006879)	32	3	1.74	+	1.73	2.52E-01
calcium ion transport (GO:0006816)	64	6	3.47	+	1.73	1.38E-01
regulation of signaling (GO:0023051)	256	24	13.89	+	1.73	8.01E-03
cellular detoxification (GO:1990748)	32	3	1.74	+	1.73	2.52E-01
regulation of signal transduction (GO:0009966)	256	24	13.89	+	1.73	8.01E-03
nucleoside bisphosphate biosynthetic process (GO:0033866)	32	3	1.74	+	1.73	2.52E-01
