




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of double-strand break repair via homologous recombination (GO:1905168)	1	1	.81	+	1.23	5.55E-01
regulation of membrane invagination (GO:1905153)	1	1	.81	+	1.23	5.55E-01
negative regulation of UDP-N-acetylglucosamine biosynthetic process (GO:0106279)	1	1	.81	+	1.23	5.55E-01
regulation of UDP-N-acetylglucosamine biosynthetic process (GO:0106278)	1	1	.81	+	1.23	5.55E-01
protein localization to eisosome filament (GO:0097446)	2	2	1.62	+	1.23	4.82E-01
eukaryotic translation initiation factor 2 complex assembly (GO:1905143)	1	1	.81	+	1.23	5.55E-01
[2Fe-2S] cluster assembly (GO:0044571)	2	2	1.62	+	1.23	4.82E-01
regulation of membrane potential (GO:0042391)	6	6	4.86	+	1.23	3.60E-01
secondary metabolite biosynthetic process (GO:0044550)	2	2	1.62	+	1.23	4.82E-01
protein transport into membrane raft (GO:0032596)	1	1	.81	+	1.23	5.55E-01
protein transport within lipid bilayer (GO:0032594)	1	1	.81	+	1.23	5.55E-01
water-soluble vitamin catabolic process (GO:0042365)	2	2	1.62	+	1.23	4.82E-01
positive regulation of ion transmembrane transport (GO:0034767)	1	1	.81	+	1.23	5.55E-01
regulation of ion transmembrane transport (GO:0034765)	8	8	6.48	+	1.23	3.24E-01
positive regulation of transmembrane transport (GO:0034764)	1	1	.81	+	1.23	5.55E-01
negative regulation of transmembrane transport (GO:0034763)	2	2	1.62	+	1.23	4.82E-01
regulation of transmembrane transport (GO:0034762)	12	12	9.72	+	1.23	2.72E-01
ER-dependent peroxisome organization (GO:0032581)	6	6	4.86	+	1.23	3.60E-01
long-chain fatty acid import into cell (GO:0044539)	3	3	2.43	+	1.23	4.38E-01
GDP biosynthetic process (GO:0046711)	1	1	.81	+	1.23	5.55E-01
GDP metabolic process (GO:0046710)	1	1	.81	+	1.23	5.55E-01
cellular hormone metabolic process (GO:0034754)	1	1	.81	+	1.23	5.55E-01
CDP biosynthetic process (GO:0046705)	1	1	.81	+	1.23	5.55E-01
CDP metabolic process (GO:0046704)	1	1	.81	+	1.23	5.55E-01
positive regulation of DNA biosynthetic process (GO:2000573)	3	3	2.43	+	1.23	4.38E-01
regulation of vesicle fusion with Golgi apparatus (GO:0106214)	1	1	.81	+	1.23	5.55E-01
protein-FAD linkage (GO:0018293)	1	1	.81	+	1.23	5.55E-01
DNA replication-dependent nucleosome organization (GO:0034723)	5	5	4.05	+	1.23	3.81E-01
guanine nucleotide transport (GO:0001408)	1	1	.81	+	1.23	5.55E-01
glycerophosphodiester transmembrane transport (GO:0001407)	1	1	.81	+	1.23	5.55E-01
cellular response to cobalt ion (GO:0071279)	1	1	.81	+	1.23	5.55E-01
cellular response to cadmium ion (GO:0071276)	1	1	.81	+	1.23	5.55E-01
iron incorporation into metallo-sulfur cluster (GO:0018283)	1	1	.81	+	1.23	5.55E-01
metal incorporation into metallo-sulfur cluster (GO:0018282)	1	1	.81	+	1.23	5.55E-01
asymmetric protein localization to old or new spindle pole body (GO:0061492)	1	1	.81	+	1.23	5.55E-01
negative regulation of protein import into nucleus (GO:0042308)	1	1	.81	+	1.23	5.55E-01
positive regulation of protein import into nucleus (GO:0042307)	3	3	2.43	+	1.23	4.38E-01
regulation of cytoplasmic translational initiation (GO:1904688)	6	6	4.86	+	1.23	3.60E-01
regulation of protein import into nucleus (GO:0042306)	5	5	4.05	+	1.23	3.81E-01
protein N-linked glycosylation via asparagine (GO:0018279)	6	6	4.86	+	1.23	3.60E-01
'de novo' L-methionine biosynthetic process (GO:0071266)	2	2	1.62	+	1.23	4.82E-01
positive regulation of translational initiation in response to starvation (GO:0071264)	2	2	1.62	+	1.23	4.82E-01
regulation of translational initiation in response to starvation (GO:0071262)	2	2	1.62	+	1.23	4.82E-01
DNA double-strand break processing involved in repair via synthesis-dependent strand annealing (GO:0010791)	1	1	.81	+	1.23	5.55E-01
DNA recombinase disassembly (GO:1990986)	1	1	.81	+	1.23	5.55E-01
cellular response to sulfur dioxide (GO:0071252)	1	1	.81	+	1.23	5.55E-01
negative regulation of ubiquitin protein ligase activity (GO:1904667)	2	2	1.62	+	1.23	4.82E-01
cellular response to carbon dioxide (GO:0071244)	2	2	1.62	+	1.23	4.82E-01
stabilization of membrane potential (GO:0030322)	1	1	.81	+	1.23	5.55E-01
nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	1	1	.81	+	1.23	5.55E-01
cellular monovalent inorganic anion homeostasis (GO:0030320)	1	1	.81	+	1.23	5.55E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	14	14	11.34	+	1.23	2.51E-01
negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010768)	1	1	.81	+	1.23	5.55E-01
base-excision repair, gap-filling (GO:0006287)	2	2	1.62	+	1.23	4.82E-01
base-excision repair, base-free sugar-phosphate removal (GO:0006286)	1	1	.81	+	1.23	5.55E-01
protein targeting to vacuole involved in autophagy (GO:0071211)	2	2	1.62	+	1.23	4.82E-01
DNA replication, synthesis of RNA primer (GO:0006269)	3	3	2.43	+	1.23	4.38E-01
mitochondrial RNA 3'-end processing (GO:0000965)	2	2	1.62	+	1.23	4.82E-01
mitochondrial RNA 5'-end processing (GO:0000964)	1	1	.81	+	1.23	5.55E-01
regulation of protein kinase A signaling (GO:0010738)	1	1	.81	+	1.23	5.55E-01
protein kinase A signaling (GO:0010737)	6	6	4.86	+	1.23	3.60E-01
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	1	1	.81	+	1.23	5.55E-01
tRNA import into mitochondrion (GO:0016031)	1	1	.81	+	1.23	5.55E-01
positive regulation of sulfite transport by positive regulation of transcription from RNA polymerase II promoter (GO:0061426)	1	1	.81	+	1.23	5.55E-01
protein glutathionylation (GO:0010731)	3	3	2.43	+	1.23	4.38E-01
positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter (GO:0061425)	1	1	.81	+	1.23	5.55E-01
mitochondrial RNA catabolic process (GO:0000957)	2	2	1.62	+	1.23	4.82E-01
UDP catabolic process (GO:0006256)	1	1	.81	+	1.23	5.55E-01
peptidyl-methionine modification (GO:0018206)	6	6	4.86	+	1.23	3.60E-01
peptidyl-glycine modification (GO:0018201)	2	2	1.62	+	1.23	4.82E-01
peptidyl-glutamic acid modification (GO:0018200)	1	1	.81	+	1.23	5.55E-01
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	1	1	.81	+	1.23	5.55E-01
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	2	2	1.62	+	1.23	4.82E-01
negative regulation of cell development (GO:0010721)	2	2	1.62	+	1.23	4.82E-01
pyrimidine nucleotide catabolic process (GO:0006244)	2	2	1.62	+	1.23	4.82E-01
CTP biosynthetic process (GO:0006241)	5	5	4.05	+	1.23	3.81E-01
positive regulation of cytoplasmic translational elongation (GO:1900249)	1	1	.81	+	1.23	5.55E-01
regulation of cytoplasmic translational elongation (GO:1900247)	8	8	6.48	+	1.23	3.24E-01
regulation of proteasome assembly (GO:0090364)	1	1	.81	+	1.23	5.55E-01
dTTP biosynthetic process (GO:0006235)	2	2	1.62	+	1.23	4.82E-01
dTDP biosynthetic process (GO:0006233)	1	1	.81	+	1.23	5.55E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	2	2	1.62	+	1.23	4.82E-01
dTMP biosynthetic process (GO:0006231)	2	2	1.62	+	1.23	4.82E-01
gene silencing by miRNA (GO:0035195)	2	2	1.62	+	1.23	4.82E-01
post-transcriptional gene silencing by RNA (GO:0035194)	2	2	1.62	+	1.23	4.82E-01
positive regulation of mRNA binding (GO:1902416)	1	1	.81	+	1.23	5.55E-01
regulation of mRNA binding (GO:1902415)	1	1	.81	+	1.23	5.55E-01
negative regulation of mitotic cytokinesis (GO:1902413)	2	2	1.62	+	1.23	4.82E-01
dUDP biosynthetic process (GO:0006227)	1	1	.81	+	1.23	5.55E-01
dUMP biosynthetic process (GO:0006226)	2	2	1.62	+	1.23	4.82E-01
UDP biosynthetic process (GO:0006225)	1	1	.81	+	1.23	5.55E-01
UMP biosynthetic process (GO:0006222)	10	10	8.10	+	1.23	2.96E-01
septin ring assembly (GO:0000921)	12	12	9.72	+	1.23	2.72E-01
mitotic actomyosin contractile ring maintenance (GO:1902406)	2	2	1.62	+	1.23	4.82E-01
uridine catabolic process (GO:0006218)	1	1	.81	+	1.23	5.55E-01
negative regulation of cell aging (GO:0090344)	3	3	2.43	+	1.23	4.38E-01
regulation of cell aging (GO:0090342)	4	4	3.24	+	1.23	4.07E-01
uracil catabolic process (GO:0006212)	1	1	.81	+	1.23	5.55E-01
defense response to virus (GO:0051607)	5	5	4.05	+	1.23	3.81E-01
negative regulation of formin-nucleated actin cable assembly (GO:0090339)	1	1	.81	+	1.23	5.55E-01
pyrimidine nucleobase catabolic process (GO:0006208)	1	1	.81	+	1.23	5.55E-01
L-aspartate transmembrane transport (GO:0070778)	2	2	1.62	+	1.23	4.82E-01
regulation of cardiolipin metabolic process (GO:1900208)	1	1	.81	+	1.23	5.55E-01
negative regulation of intracellular protein transport (GO:0090317)	3	3	2.43	+	1.23	4.38E-01
positive regulation of intracellular protein transport (GO:0090316)	6	6	4.86	+	1.23	3.60E-01
positive regulation of protein deacetylation (GO:0090312)	3	3	2.43	+	1.23	4.38E-01
positive regulation of meiotic cell cycle phase transition (GO:1901995)	1	1	.81	+	1.23	5.55E-01
mitotic spindle assembly (GO:0090307)	8	8	6.48	+	1.23	3.24E-01
spindle assembly involved in meiosis (GO:0090306)	1	1	.81	+	1.23	5.55E-01
negative regulation of protein acetylation (GO:1901984)	2	2	1.62	+	1.23	4.82E-01
positive regulation of cell cycle checkpoint (GO:1901978)	2	2	1.62	+	1.23	4.82E-01
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	1	1	.81	+	1.23	5.55E-01
S-adenosyl-L-methionine transmembrane transport (GO:1901962)	2	2	1.62	+	1.23	4.82E-01
cellular lipid biosynthetic process (GO:0097384)	24	24	19.44	+	1.23	1.76E-01
response to copper ion (GO:0046688)	3	3	2.43	+	1.23	4.38E-01
response to antibiotic (GO:0046677)	6	6	4.86	+	1.23	3.60E-01
UDP-glucosylation (GO:0097359)	1	1	.81	+	1.23	5.55E-01
regulation of (1->6)-beta-D-glucan biosynthetic process (GO:0060917)	2	2	1.62	+	1.23	4.82E-01
autophagosome maturation (GO:0097352)	3	3	2.43	+	1.23	4.38E-01
folic acid biosynthetic process (GO:0046656)	5	5	4.05	+	1.23	3.81E-01
folic acid metabolic process (GO:0046655)	7	7	5.67	+	1.23	3.41E-01
tetrahydrofolate biosynthetic process (GO:0046654)	4	4	3.24	+	1.23	4.07E-01
tetrahydrofolate metabolic process (GO:0046653)	11	11	8.91	+	1.23	2.83E-01
phosphorylation of RNA polymerase II C-terminal domain involved in recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (GO:1901921)	1	1	.81	+	1.23	5.55E-01
mitotic spindle pole body organization (GO:1905047)	4	4	3.24	+	1.23	4.07E-01
positive regulation of exoribonuclease activity (GO:1901919)	1	1	.81	+	1.23	5.55E-01
regulation of exoribonuclease activity (GO:1901917)	2	2	1.62	+	1.23	4.82E-01
phosphoenolpyruvate transmembrane transport (GO:0089722)	2	2	1.62	+	1.23	4.82E-01
error-free postreplication DNA repair (GO:0042275)	3	3	2.43	+	1.23	4.38E-01
amino acid import across plasma membrane (GO:0089718)	4	4	3.24	+	1.23	4.07E-01
DNA protection (GO:0042262)	2	2	1.62	+	1.23	4.82E-01
Cdc42 protein signal transduction (GO:0032488)	2	2	1.62	+	1.23	4.82E-01
L-histidine transmembrane transport (GO:0089709)	4	4	3.24	+	1.23	4.07E-01
mature ribosome assembly (GO:0042256)	5	5	4.05	+	1.23	3.81E-01
ribosome assembly (GO:0042255)	79	79	64.00	+	1.23	3.71E-02
isopropylmalate transport (GO:0034659)	1	1	.81	+	1.23	5.55E-01
extrachromosomal circular DNA localization involved in cell aging (GO:0034652)	1	1	.81	+	1.23	5.55E-01
Golgi calcium ion transport (GO:0032472)	1	1	.81	+	1.23	5.55E-01
Golgi calcium ion homeostasis (GO:0032468)	1	1	.81	+	1.23	5.55E-01
age-dependent response to oxidative stress involved in chronological cell aging (GO:0001324)	1	1	.81	+	1.23	5.55E-01
age-dependent general metabolic decline involved in chronological cell aging (GO:0001323)	1	1	.81	+	1.23	5.55E-01
age-dependent response to reactive oxygen species involved in chronological cell aging (GO:0001320)	1	1	.81	+	1.23	5.55E-01
phosphatidylcholine catabolic process (GO:0034638)	1	1	.81	+	1.23	5.55E-01
age-dependent response to reactive oxygen species (GO:0001315)	2	2	1.62	+	1.23	4.82E-01
peptidyl-glutamine modification (GO:0018199)	1	1	.81	+	1.23	5.55E-01
peptidyl-asparagine modification (GO:0018196)	6	6	4.86	+	1.23	3.60E-01
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	3	3	2.43	+	1.23	4.38E-01
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	3	3	2.43	+	1.23	4.38E-01
enzyme active site formation via cysteine modification to L-cysteine persulfide (GO:0018192)	1	1	.81	+	1.23	5.55E-01
protein urmylation (GO:0032447)	7	7	5.67	+	1.23	3.41E-01
fructose import (GO:0032445)	2	2	1.62	+	1.23	4.82E-01
age-dependent response to oxidative stress (GO:0001306)	2	2	1.62	+	1.23	4.82E-01
progressive alteration of chromatin involved in cell aging (GO:0001301)	1	1	.81	+	1.23	5.55E-01
chronological cell aging (GO:0001300)	1	1	.81	+	1.23	5.55E-01
apoptotic nuclear changes (GO:0030262)	2	2	1.62	+	1.23	4.82E-01
peptidyl-proline di-hydroxylation (GO:0018188)	1	1	.81	+	1.23	5.55E-01
regulation of termination of RNA polymerase II transcription (GO:1904594)	1	1	.81	+	1.23	5.55E-01
positive regulation of protein import (GO:1904591)	3	3	2.43	+	1.23	4.38E-01
negative regulation of protein import (GO:1904590)	1	1	.81	+	1.23	5.55E-01
snRNA modification (GO:0040031)	8	8	6.48	+	1.23	3.24E-01
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	1	.81	+	1.23	5.55E-01
positive regulation of transcription from RNA polymerase II promoter in response to cobalt ion (GO:0061399)	1	1	.81	+	1.23	5.55E-01
regulation of protein import (GO:1904589)	5	5	4.05	+	1.23	3.81E-01
negative regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000432)	1	1	.81	+	1.23	5.55E-01
protein nucleotidylation (GO:0018175)	1	1	.81	+	1.23	5.55E-01
DNA replication preinitiation complex assembly (GO:0071163)	3	3	2.43	+	1.23	4.38E-01
positive regulation of mitotic spindle pole body separation (GO:0010696)	7	7	5.67	+	1.23	3.41E-01
negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels (GO:0010691)	2	2	1.62	+	1.23	4.82E-01
RNA acetylation (GO:1990884)	1	1	.81	+	1.23	5.55E-01
rRNA acetylation (GO:1990882)	1	1	.81	+	1.23	5.55E-01
negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to chemical stimulus (GO:0010689)	1	1	.81	+	1.23	5.55E-01
negative regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0010688)	4	4	3.24	+	1.23	4.07E-01
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	1	.81	+	1.23	5.55E-01
positive regulation of exodeoxyribonuclease activity (GO:1902394)	1	1	.81	+	1.23	5.55E-01
regulation of exodeoxyribonuclease activity (GO:1902392)	1	1	.81	+	1.23	5.55E-01
histone H2B-S14 phosphorylation (GO:0043991)	1	1	.81	+	1.23	5.55E-01
regulation of transporter activity (GO:0032409)	1	1	.81	+	1.23	5.55E-01
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	4	4	3.24	+	1.23	4.07E-01
negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle (GO:0010674)	4	4	3.24	+	1.23	4.07E-01
resolution of recombination intermediates (GO:0071139)	2	2	1.62	+	1.23	4.82E-01
histone H4-K12 acetylation (GO:0043983)	1	1	.81	+	1.23	5.55E-01
histone H4-K8 acetylation (GO:0043982)	1	1	.81	+	1.23	5.55E-01
nucleic acid-protein covalent cross-linking (GO:0018143)	1	1	.81	+	1.23	5.55E-01
histone H4-K5 acetylation (GO:0043981)	1	1	.81	+	1.23	5.55E-01
protein-DNA covalent cross-linking (GO:0018142)	1	1	.81	+	1.23	5.55E-01
negative regulation of single-species biofilm formation (GO:1900191)	1	1	.81	+	1.23	5.55E-01
IMP biosynthetic process (GO:0006188)	12	12	9.72	+	1.23	2.72E-01
GTP biosynthetic process (GO:0006183)	4	4	3.24	+	1.23	4.07E-01
biological adhesion (GO:0022610)	7	7	5.67	+	1.23	3.41E-01
positive regulation of histone H3-K4 methylation (GO:0051571)	2	2	1.62	+	1.23	4.82E-01
histone H3-K23 acetylation (GO:0043972)	2	2	1.62	+	1.23	4.82E-01
oxazole or thiazole biosynthetic process (GO:0018131)	1	1	.81	+	1.23	5.55E-01
negative regulation of protein localization to spindle pole body (GO:1902364)	3	3	2.43	+	1.23	4.38E-01
regulation of protein localization to spindle pole body (GO:1902363)	5	5	4.05	+	1.23	3.81E-01
guanine salvage (GO:0006178)	1	1	.81	+	1.23	5.55E-01
GMP biosynthetic process (GO:0006177)	7	7	5.67	+	1.23	3.41E-01
regulation of histone H3-K4 methylation (GO:0051569)	5	5	4.05	+	1.23	3.81E-01
ADP biosynthetic process (GO:0006172)	2	2	1.62	+	1.23	4.82E-01
cAMP biosynthetic process (GO:0006171)	1	1	.81	+	1.23	5.55E-01
protein hydroxylation (GO:0018126)	1	1	.81	+	1.23	5.55E-01
oxaloacetate(2-) transmembrane transport (GO:1902356)	2	2	1.62	+	1.23	4.82E-01
positive regulation of mitochondrial DNA replication (GO:0090297)	3	3	2.43	+	1.23	4.38E-01
regulation of mitochondrial DNA replication (GO:0090296)	3	3	2.43	+	1.23	4.38E-01
adenine salvage (GO:0006168)	2	2	1.62	+	1.23	4.82E-01
nitrogen catabolite repression of transcription (GO:0090295)	3	3	2.43	+	1.23	4.38E-01
AMP biosynthetic process (GO:0006167)	5	5	4.05	+	1.23	3.81E-01
nitrogen catabolite activation of transcription (GO:0090294)	5	5	4.05	+	1.23	3.81E-01
positive regulation of microtubule binding (GO:1904528)	1	1	.81	+	1.23	5.55E-01
regulation of microtubule binding (GO:1904526)	1	1	.81	+	1.23	5.55E-01
protein adenylylation (GO:0018117)	1	1	.81	+	1.23	5.55E-01
negative regulation of DNA amplification (GO:1904524)	2	2	1.62	+	1.23	4.82E-01
regulation of DNA amplification (GO:1904523)	2	2	1.62	+	1.23	4.82E-01
negative regulation of mitochondrial fusion (GO:0010637)	1	1	.81	+	1.23	5.55E-01
xylitol transport (GO:1902341)	1	1	.81	+	1.23	5.55E-01
histone mRNA metabolic process (GO:0008334)	3	3	2.43	+	1.23	4.38E-01
purine nucleoside catabolic process (GO:0006152)	4	4	3.24	+	1.23	4.07E-01
peptidyl-histidine phosphorylation (GO:0018106)	1	1	.81	+	1.23	5.55E-01
negative regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043942)	3	3	2.43	+	1.23	4.38E-01
negative regulation of transcription by transcription factor localization (GO:0010621)	1	1	.81	+	1.23	5.55E-01
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	4	4	3.24	+	1.23	4.07E-01
inosine catabolic process (GO:0006148)	2	2	1.62	+	1.23	4.82E-01
adenine catabolic process (GO:0006146)	1	1	.81	+	1.23	5.55E-01
regulation of pyrimidine nucleobase metabolic process (GO:0006142)	1	1	.81	+	1.23	5.55E-01
regulation of nucleotide metabolic process (GO:0006140)	5	5	4.05	+	1.23	3.81E-01
G2/MI transition of meiotic cell cycle (GO:0008315)	1	1	.81	+	1.23	5.55E-01
regulation of mRNA stability involved in response to stress (GO:0010610)	4	4	3.24	+	1.23	4.07E-01
activation of mitotic cell cycle spindle assembly checkpoint (GO:0090268)	1	1	.81	+	1.23	5.55E-01
positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267)	1	1	.81	+	1.23	5.55E-01
regulation of transcription-coupled nucleotide-excision repair (GO:0090262)	7	7	5.67	+	1.23	3.41E-01
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	6	6	4.86	+	1.23	3.60E-01
DNA strand elongation involved in nuclear cell cycle DNA replication (GO:1902319)	1	1	.81	+	1.23	5.55E-01
mRNA localization resulting in posttranscriptional regulation of gene expression (GO:0010609)	2	2	1.62	+	1.23	4.82E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	7	7	5.67	+	1.23	3.41E-01
regulation of arginine metabolic process (GO:0000821)	3	3	2.43	+	1.23	4.38E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	1	1	.81	+	1.23	5.55E-01
positive regulation of monopolar cell growth (GO:0051515)	1	1	.81	+	1.23	5.55E-01
axoneme assembly (GO:0035082)	1	1	.81	+	1.23	5.55E-01
regulation of monopolar cell growth (GO:0051513)	1	1	.81	+	1.23	5.55E-01
positive regulation of unidimensional cell growth (GO:0051512)	1	1	.81	+	1.23	5.55E-01
regulation of unidimensional cell growth (GO:0051510)	1	1	.81	+	1.23	5.55E-01
NADH oxidation (GO:0006116)	10	10	8.10	+	1.23	2.96E-01
ethanol biosynthetic process (GO:0006115)	2	2	1.62	+	1.23	4.82E-01
glycerol biosynthetic process (GO:0006114)	2	2	1.62	+	1.23	4.82E-01
regulation of glycolytic process (GO:0006110)	3	3	2.43	+	1.23	4.38E-01
lysine biosynthetic process via aminoadipic acid (GO:0019878)	11	11	8.91	+	1.23	2.83E-01
regulation of symbiotic process (GO:0043903)	2	2	1.62	+	1.23	4.82E-01
negative regulation of multi-organism process (GO:0043901)	2	2	1.62	+	1.23	4.82E-01
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	2	2	1.62	+	1.23	4.82E-01
malate metabolic process (GO:0006108)	5	5	4.05	+	1.23	3.81E-01
oxaloacetate metabolic process (GO:0006107)	2	2	1.62	+	1.23	4.82E-01
fumarate metabolic process (GO:0006106)	2	2	1.62	+	1.23	4.82E-01
succinate metabolic process (GO:0006105)	1	1	.81	+	1.23	5.55E-01
positive regulation of spindle checkpoint (GO:0090232)	1	1	.81	+	1.23	5.55E-01
succinyl-CoA metabolic process (GO:0006104)	2	2	1.62	+	1.23	4.82E-01
negative regulation of histone acetylation (GO:0035067)	2	2	1.62	+	1.23	4.82E-01
isocitrate metabolic process (GO:0006102)	5	5	4.05	+	1.23	3.81E-01
citrate metabolic process (GO:0006101)	2	2	1.62	+	1.23	4.82E-01
uracil metabolic process (GO:0019860)	1	1	.81	+	1.23	5.55E-01
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	2	2	1.62	+	1.23	4.82E-01
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220)	2	2	1.62	+	1.23	4.82E-01
cytosine metabolic process (GO:0019858)	2	2	1.62	+	1.23	4.82E-01
L-ascorbic acid biosynthetic process (GO:0019853)	1	1	.81	+	1.23	5.55E-01
L-ascorbic acid metabolic process (GO:0019852)	1	1	.81	+	1.23	5.55E-01
pyridoxal phosphate transport (GO:0031921)	1	1	.81	+	1.23	5.55E-01
vitamin B6 transport (GO:0031919)	2	2	1.62	+	1.23	4.82E-01
positive regulation of cell septum assembly (GO:1901893)	3	3	2.43	+	1.23	4.38E-01
spindle pole body localization (GO:0070631)	1	1	.81	+	1.23	5.55E-01
XMP biosynthetic process (GO:0097293)	2	2	1.62	+	1.23	4.82E-01
XMP metabolic process (GO:0097292)	2	2	1.62	+	1.23	4.82E-01
regulation of thiamine biosynthetic process (GO:0070623)	3	3	2.43	+	1.23	4.38E-01
regulation of mitochondrial DNA metabolic process (GO:1901858)	1	1	.81	+	1.23	5.55E-01
negative regulation of cellular respiration (GO:1901856)	1	1	.81	+	1.23	5.55E-01
mitochondrial respirasome assembly (GO:0097250)	3	3	2.43	+	1.23	4.38E-01
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	10	10	8.10	+	1.23	2.96E-01
protein localization to actin cortical patch (GO:0044379)	1	1	.81	+	1.23	5.55E-01
regulation of peroxisome size (GO:0044375)	1	1	.81	+	1.23	5.55E-01
chromosome attachment to the nuclear envelope (GO:0097240)	5	5	4.05	+	1.23	3.81E-01
formate catabolic process (GO:0042183)	1	1	.81	+	1.23	5.55E-01
regulation of calcineurin-mediated signaling (GO:0106056)	1	1	.81	+	1.23	5.55E-01
xenobiotic catabolic process (GO:0042178)	1	1	.81	+	1.23	5.55E-01
regulation of cellular response to osmotic stress (GO:0106049)	2	2	1.62	+	1.23	4.82E-01
sphingoid catabolic process (GO:0046521)	1	1	.81	+	1.23	5.55E-01
sphingoid biosynthetic process (GO:0046520)	4	4	3.24	+	1.23	4.07E-01
positive regulation of ubiquitin-dependent endocytosis (GO:2000397)	2	2	1.62	+	1.23	4.82E-01
regulation of ubiquitin-dependent endocytosis (GO:2000395)	2	2	1.62	+	1.23	4.82E-01
heme catabolic process (GO:0042167)	1	1	.81	+	1.23	5.55E-01
positive regulation of intracellular transport (GO:0032388)	7	7	5.67	+	1.23	3.41E-01
negative regulation of intracellular transport (GO:0032387)	3	3	2.43	+	1.23	4.38E-01
ceramide catabolic process (GO:0046514)	2	2	1.62	+	1.23	4.82E-01
ceramide biosynthetic process (GO:0046513)	7	7	5.67	+	1.23	3.41E-01
sphingosine biosynthetic process (GO:0046512)	4	4	3.24	+	1.23	4.07E-01
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	1	1	.81	+	1.23	5.55E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	5	5	4.05	+	1.23	3.81E-01
respiratory chain complex II assembly (GO:0034552)	5	5	4.05	+	1.23	3.81E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	7	7	5.67	+	1.23	3.41E-01
regulation of intracellular lipid transport (GO:0032377)	1	1	.81	+	1.23	5.55E-01
uroporphyrinogen III metabolic process (GO:0046502)	1	1	.81	+	1.23	5.55E-01
positive regulation of reactive oxygen species metabolic process (GO:2000379)	1	1	.81	+	1.23	5.55E-01
negative regulation of reactive oxygen species metabolic process (GO:2000378)	1	1	.81	+	1.23	5.55E-01
regulation of reactive oxygen species metabolic process (GO:2000377)	2	2	1.62	+	1.23	4.82E-01
negative regulation of lipid transport (GO:0032369)	2	2	1.62	+	1.23	4.82E-01
RNA 5'-cap (guanine-N7)-methylation (GO:0106005)	1	1	.81	+	1.23	5.55E-01
tRNA (guanine-N7)-methylation (GO:0106004)	2	2	1.62	+	1.23	4.82E-01
nitrate assimilation (GO:0042128)	3	3	2.43	+	1.23	4.38E-01
nitrate metabolic process (GO:0042126)	3	3	2.43	+	1.23	4.38E-01
protein localization to mitotic actomyosin contractile ring (GO:1904498)	1	1	.81	+	1.23	5.55E-01
mitochondrial unfolded protein response (GO:0034514)	2	2	1.62	+	1.23	4.82E-01
mitochondrial tRNA wobble position uridine thiolation (GO:1990799)	1	1	.81	+	1.23	5.55E-01
serine transport (GO:0032329)	5	5	4.05	+	1.23	3.81E-01
sphingolipid catabolic process (GO:0030149)	5	5	4.05	+	1.23	3.81E-01
spermidine biosynthetic process (GO:0008295)	2	2	1.62	+	1.23	4.82E-01
