




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
protein insertion into mitochondrial membrane (GO:0051204)	10	0	.18	-	 < 0.01	8.32E-01
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	1	0	.02	-	 < 0.01	9.82E-01
box H/ACA snoRNA processing (GO:0034964)	1	0	.02	-	 < 0.01	9.82E-01
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	3	0	.06	-	 < 0.01	9.46E-01
box C/D snoRNA processing (GO:0034963)	5	0	.09	-	 < 0.01	9.12E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	21	0	.39	-	 < 0.01	6.80E-01
siderophore transmembrane transport (GO:0044718)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of cellular response to insulin stimulus (GO:1900077)	1	0	.02	-	 < 0.01	9.82E-01
ribonucleoside diphosphate catabolic process (GO:0009191)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cellular response to insulin stimulus (GO:1900076)	1	0	.02	-	 < 0.01	9.82E-01
cyclic nucleotide biosynthetic process (GO:0009190)	1	0	.02	-	 < 0.01	9.82E-01
tyrosine transport (GO:0015828)	1	0	.02	-	 < 0.01	9.82E-01
L-serine transport (GO:0015825)	1	0	.02	-	 < 0.01	9.82E-01
ncRNA polyadenylation (GO:0043629)	1	0	.02	-	 < 0.01	9.82E-01
ncRNA 3'-end processing (GO:0043628)	21	0	.39	-	 < 0.01	6.80E-01
positive regulation of calcium ion transmembrane transport (GO:1904427)	1	0	.02	-	 < 0.01	9.82E-01
ornithine transport (GO:0015822)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of DNA-templated transcription, elongation (GO:0032785)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	17	0	.31	-	 < 0.01	7.32E-01
cellular protein complex disassembly (GO:0043624)	16	0	.29	-	 < 0.01	7.45E-01
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	29	0	.53	-	 < 0.01	5.87E-01
regulation of cell wall organization or biogenesis (GO:1903338)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of ATPase activity (GO:0032781)	10	0	.18	-	 < 0.01	8.32E-01
benzene-containing compound metabolic process (GO:0042537)	19	0	.35	-	 < 0.01	7.05E-01
negative regulation of ATPase activity (GO:0032780)	2	0	.04	-	 < 0.01	9.64E-01
regulation of DNA-templated transcription in response to stress (GO:0043620)	9	0	.17	-	 < 0.01	8.48E-01
malate transmembrane transport (GO:0071423)	6	0	.11	-	 < 0.01	8.96E-01
succinate transmembrane transport (GO:0071422)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein folding (GO:1903334)	1	0	.02	-	 < 0.01	9.82E-01
manganese ion transmembrane transport (GO:0071421)	5	0	.09	-	 < 0.01	9.12E-01
regulation of protein folding (GO:1903332)	1	0	.02	-	 < 0.01	9.82E-01
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	2	0	.04	-	 < 0.01	9.64E-01
ribonucleoside diphosphate biosynthetic process (GO:0009188)	3	0	.06	-	 < 0.01	9.46E-01
cyclic nucleotide metabolic process (GO:0009187)	3	0	.06	-	 < 0.01	9.46E-01
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	2	0	.04	-	 < 0.01	9.64E-01
nucleoside bisphosphate catabolic process (GO:0033869)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to microtubule organizing center (GO:1905508)	2	0	.04	-	 < 0.01	9.64E-01
lysine transport (GO:0015819)	2	0	.04	-	 < 0.01	9.64E-01
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	2	0	.04	-	 < 0.01	9.64E-01
tRNA 5'-end processing (GO:0099116)	4	0	.07	-	 < 0.01	9.29E-01
histidine transport (GO:0015817)	2	0	.04	-	 < 0.01	9.64E-01
glycine transport (GO:0015816)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	4	0	.07	-	 < 0.01	9.29E-01
multi-organism reproductive process (GO:0044703)	23	0	.42	-	 < 0.01	6.55E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	9	0	.17	-	 < 0.01	8.48E-01
L-glutamate transmembrane transport (GO:0015813)	2	0	.04	-	 < 0.01	9.64E-01
microtubule-based transport (GO:0099111)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of ceramide biosynthetic process (GO:1900060)	1	0	.02	-	 < 0.01	9.82E-01
L-cystine transport (GO:0015811)	1	0	.02	-	 < 0.01	9.82E-01
DNA methylation on adenine (GO:0032775)	1	0	.02	-	 < 0.01	9.82E-01
aspartate transmembrane transport (GO:0015810)	1	0	.02	-	 < 0.01	9.82E-01
regulation of tRNA metabolic process (GO:1903326)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of peptide secretion (GO:0002793)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein modification by small protein conjugation or removal (GO:1903320)	9	0	.17	-	 < 0.01	8.48E-01
regulation of peptide secretion (GO:0002791)	2	0	.04	-	 < 0.01	9.64E-01
peptide secretion (GO:0002790)	9	0	.17	-	 < 0.01	8.48E-01
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	3	0	.06	-	 < 0.01	9.46E-01
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	3	0	.06	-	 < 0.01	9.46E-01
arginine transport (GO:0015809)	3	0	.06	-	 < 0.01	9.46E-01
L-amino acid transport (GO:0015807)	12	0	.22	-	 < 0.01	8.02E-01
S-adenosyl-L-methionine transport (GO:0015805)	2	0	.04	-	 < 0.01	9.64E-01
neutral amino acid transport (GO:0015804)	5	0	.09	-	 < 0.01	9.12E-01
basic amino acid transport (GO:0015802)	9	0	.17	-	 < 0.01	8.48E-01
aromatic amino acid transport (GO:0015801)	2	0	.04	-	 < 0.01	9.64E-01
cellular amide catabolic process (GO:0043605)	5	0	.09	-	 < 0.01	9.12E-01
cellular response to cycloheximide (GO:0071409)	1	0	.02	-	 < 0.01	9.82E-01
acidic amino acid transport (GO:0015800)	2	0	.04	-	 < 0.01	9.64E-01
cellular response to organic cyclic compound (GO:0071407)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein maturation (GO:1903319)	2	0	.04	-	 < 0.01	9.64E-01
cellular response to methylmercury (GO:0071406)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein maturation (GO:1903317)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of G0 to G1 transition (GO:0070317)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of mRNA metabolic process (GO:1903313)	2	0	.04	-	 < 0.01	9.64E-01
developmental growth involved in morphogenesis (GO:0060560)	1	0	.02	-	 < 0.01	9.82E-01
regulation of G0 to G1 transition (GO:0070316)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of mRNA metabolic process (GO:1903312)	3	0	.06	-	 < 0.01	9.46E-01
regulation of mRNA metabolic process (GO:1903311)	27	0	.50	-	 < 0.01	6.09E-01
cellular response to nutrient (GO:0031670)	11	0	.20	-	 < 0.01	8.17E-01
cellular response to aldehyde (GO:0110096)	2	0	.04	-	 < 0.01	9.64E-01
cellular detoxification of aldehyde (GO:0110095)	2	0	.04	-	 < 0.01	9.64E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	2	0	.04	-	 < 0.01	9.64E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)	4	0	.07	-	 < 0.01	9.29E-01
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	17	0	.31	-	 < 0.01	7.32E-01
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	6	0	.11	-	 < 0.01	8.96E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	21	0	.39	-	 < 0.01	6.80E-01
nucleoside catabolic process (GO:0009164)	6	0	.11	-	 < 0.01	8.96E-01
regulation of histone exchange (GO:1900049)	1	0	.02	-	 < 0.01	9.82E-01
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	3	0	.06	-	 < 0.01	9.46E-01
regulation of protein kinase B signaling (GO:0051896)	1	0	.02	-	 < 0.01	9.82E-01
CENP-A containing chromatin organization (GO:0061641)	1	0	.02	-	 < 0.01	9.82E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	22	0	.40	-	 < 0.01	6.68E-01
cellular response to hydrogen peroxide (GO:0070301)	1	0	.02	-	 < 0.01	9.82E-01
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	3	0	.06	-	 < 0.01	9.46E-01
tRNA 5'-leader removal (GO:0001682)	3	0	.06	-	 < 0.01	9.46E-01
purine deoxyribonucleotide catabolic process (GO:0009155)	1	0	.02	-	 < 0.01	9.82E-01
tRNA 3'-terminal CCA addition (GO:0001680)	1	0	.02	-	 < 0.01	9.82E-01
purine ribonucleotide catabolic process (GO:0009154)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of cellular response to hypoxia (GO:1900038)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cellular response to hypoxia (GO:1900037)	1	0	.02	-	 < 0.01	9.82E-01
purine deoxyribonucleotide metabolic process (GO:0009151)	1	0	.02	-	 < 0.01	9.82E-01
cell septum assembly (GO:0090529)	2	0	.04	-	 < 0.01	9.64E-01
killing of cells in other organism involved in symbiotic interaction (GO:0051883)	1	0	.02	-	 < 0.01	9.82E-01
regulation of actin polymerization or depolymerization (GO:0008064)	23	0	.42	-	 < 0.01	6.55E-01
vesicle tethering involved in exocytosis (GO:0090522)	1	0	.02	-	 < 0.01	9.82E-01
regulation of developmental process (GO:0050793)	30	0	.55	-	 < 0.01	5.76E-01
negative regulation of cell death (GO:0060548)	6	0	.11	-	 < 0.01	8.96E-01
organelle localization by membrane tethering (GO:0140056)	31	0	.57	-	 < 0.01	5.66E-01
regulation of strand invasion (GO:0060542)	1	0	.02	-	 < 0.01	9.82E-01
DNA double-strand break attachment to nuclear envelope (GO:1990683)	1	0	.02	-	 < 0.01	9.82E-01
cellular glucose homeostasis (GO:0001678)	5	0	.09	-	 < 0.01	9.12E-01
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	1	0	.02	-	 < 0.01	9.82E-01
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	7	0	.13	-	 < 0.01	8.79E-01
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	8	0	.15	-	 < 0.01	8.63E-01
regulation of chromatin assembly or disassembly (GO:0001672)	5	0	.09	-	 < 0.01	9.12E-01
purine nucleoside triphosphate catabolic process (GO:0009146)	1	0	.02	-	 < 0.01	9.82E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	20	0	.37	-	 < 0.01	6.93E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	22	0	.40	-	 < 0.01	6.68E-01
nucleoside triphosphate catabolic process (GO:0009143)	3	0	.06	-	 < 0.01	9.46E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	28	0	.51	-	 < 0.01	5.98E-01
regulation of ruffle assembly (GO:1900027)	4	0	.07	-	 < 0.01	9.29E-01
nucleoside triphosphate metabolic process (GO:0009141)	32	0	.59	-	 < 0.01	5.55E-01
pyrimidine nucleoside diphosphate catabolic process (GO:0009140)	1	0	.02	-	 < 0.01	9.82E-01
L-arginine transmembrane import into vacuole (GO:0090518)	1	0	.02	-	 < 0.01	9.82E-01
L-lysine transmembrane import into vacuole (GO:0090517)	1	0	.02	-	 < 0.01	9.82E-01
L-serine transmembrane import into vacuole (GO:0090516)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial fusion (GO:0008053)	2	0	.04	-	 < 0.01	9.64E-01
L-glutamate transmembrane import into vacuole (GO:0090515)	1	0	.02	-	 < 0.01	9.82E-01
L-tyrosine transmembrane import into vacuole (GO:0090514)	1	0	.02	-	 < 0.01	9.82E-01
L-histidine transmembrane import into vacuole (GO:0090513)	1	0	.02	-	 < 0.01	9.82E-01
response to gamma radiation (GO:0010332)	2	0	.04	-	 < 0.01	9.64E-01
histone H4-K12 deacetylation (GO:1990679)	2	0	.04	-	 < 0.01	9.64E-01
canonical glycolysis (GO:0061621)	3	0	.06	-	 < 0.01	9.46E-01
histone H4-K16 deacetylation (GO:1990678)	2	0	.04	-	 < 0.01	9.64E-01
glycolytic process through glucose-6-phosphate (GO:0061620)	3	0	.06	-	 < 0.01	9.46E-01
regulation of protein stability (GO:0031647)	7	0	.13	-	 < 0.01	8.79E-01
lipid droplet formation (GO:0140042)	1	0	.02	-	 < 0.01	9.82E-01
killing of cells of other organism (GO:0031640)	1	0	.02	-	 < 0.01	9.82E-01
response to hypoxia (GO:0001666)	2	0	.04	-	 < 0.01	9.64E-01
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	3	0	.06	-	 < 0.01	9.46E-01
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	4	0	.07	-	 < 0.01	9.29E-01
purine nucleoside diphosphate biosynthetic process (GO:0009136)	2	0	.04	-	 < 0.01	9.64E-01
nucleoside diphosphate catabolic process (GO:0009134)	2	0	.04	-	 < 0.01	9.64E-01
nucleoside diphosphate biosynthetic process (GO:0009133)	5	0	.09	-	 < 0.01	9.12E-01
protein autoubiquitination (GO:0051865)	3	0	.06	-	 < 0.01	9.46E-01
membrane invagination (GO:0010324)	1	0	.02	-	 < 0.01	9.82E-01
glycolytic process through fructose-6-phosphate (GO:0061615)	3	0	.06	-	 < 0.01	9.46E-01
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	23	0	.42	-	 < 0.01	6.55E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	53	0	.97	-	 < 0.01	3.77E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	84	0	1.54	-	 < 0.01	2.13E-01
regulation of actin filament organization (GO:0110053)	24	0	.44	-	 < 0.01	6.44E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	17	0	.31	-	 < 0.01	7.32E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	21	0	.39	-	 < 0.01	6.80E-01
metabolite repair (GO:0110051)	1	0	.02	-	 < 0.01	9.82E-01
mannitol metabolic process (GO:0019594)	1	0	.02	-	 < 0.01	9.82E-01
mannitol catabolic process (GO:0019592)	1	0	.02	-	 < 0.01	9.82E-01
exocytic process (GO:0140029)	10	0	.18	-	 < 0.01	8.32E-01
regulation of cardiac muscle cell membrane potential (GO:0086036)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial ADP transmembrane transport (GO:0140021)	1	0	.02	-	 < 0.01	9.82E-01
error-free translesion synthesis (GO:0070987)	3	0	.06	-	 < 0.01	9.46E-01
purine nucleobase biosynthetic process (GO:0009113)	4	0	.07	-	 < 0.01	9.29E-01
replication fork protection (GO:0048478)	4	0	.07	-	 < 0.01	9.29E-01
anaerobic glycerol catabolic process (GO:0019588)	2	0	.04	-	 < 0.01	9.64E-01
meiotic nuclear division (GO:0140013)	33	0	.61	-	 < 0.01	5.45E-01
formaldehyde catabolic process (GO:0046294)	2	0	.04	-	 < 0.01	9.64E-01
formaldehyde metabolic process (GO:0046292)	2	0	.04	-	 < 0.01	9.64E-01
protein K11-linked ubiquitination (GO:0070979)	4	0	.07	-	 < 0.01	9.29E-01
lipoate biosynthetic process (GO:0009107)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to endoplasmic reticulum exit site (GO:0070973)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	1	0	.02	-	 < 0.01	9.82E-01
lipoate metabolic process (GO:0009106)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to endoplasmic reticulum (GO:0070972)	33	0	.61	-	 < 0.01	5.45E-01
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	1	0	.02	-	 < 0.01	9.82E-01
regulation of response to oxidative stress (GO:1902882)	1	0	.02	-	 < 0.01	9.82E-01
biotin biosynthetic process (GO:0009102)	1	0	.02	-	 < 0.01	9.82E-01
sequestering of iron ion (GO:0097577)	1	0	.02	-	 < 0.01	9.82E-01
inorganic anion transmembrane transport (GO:0098661)	21	0	.39	-	 < 0.01	6.80E-01
vacuole fusion (GO:0097576)	6	0	.11	-	 < 0.01	8.96E-01
arachidonate transport (GO:1903963)	2	0	.04	-	 < 0.01	9.64E-01
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of anion transmembrane transport (GO:1903961)	1	0	.02	-	 < 0.01	9.82E-01
glycerol catabolic process (GO:0019563)	5	0	.09	-	 < 0.01	9.12E-01
inorganic cation import across plasma membrane (GO:0098659)	5	0	.09	-	 < 0.01	9.12E-01
3,4-dihydroxybenzoate biosynthetic process (GO:0046279)	3	0	.06	-	 < 0.01	9.46E-01
3,4-dihydroxybenzoate metabolic process (GO:0046278)	3	0	.06	-	 < 0.01	9.46E-01
regulation of anion transmembrane transport (GO:1903959)	1	0	.02	-	 < 0.01	9.82E-01
lignin catabolic process (GO:0046274)	2	0	.04	-	 < 0.01	9.64E-01
phenylpropanoid catabolic process (GO:0046271)	2	0	.04	-	 < 0.01	9.64E-01
maintenance of protein location (GO:0045185)	13	0	.24	-	 < 0.01	7.88E-01
membrane biogenesis (GO:0044091)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of vacuole organization (GO:0044090)	3	0	.06	-	 < 0.01	9.46E-01
regulation of translational initiation by eIF2 alpha phosphorylation (GO:0010998)	2	0	.04	-	 < 0.01	9.64E-01
glutamate catabolic process to 2-oxoglutarate (GO:0019551)	1	0	.02	-	 < 0.01	9.82E-01
ubiquitin recycling (GO:0010992)	2	0	.04	-	 < 0.01	9.64E-01
magnesium ion export from mitochondrion (GO:1990616)	1	0	.02	-	 < 0.01	9.82E-01
formin-nucleated actin cable organization (GO:0110009)	1	0	.02	-	 < 0.01	9.82E-01
calcium ion transmembrane import into cytosol (GO:0097553)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial double-strand break repair via homologous recombination (GO:0097552)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial double-strand break repair (GO:0097551)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cellular component biogenesis (GO:0044089)	28	0	.51	-	 < 0.01	5.98E-01
regulation of cellular component biogenesis (GO:0044087)	74	0	1.36	-	 < 0.01	2.56E-01
positive regulation of nuclear migration during mitotic telophase (GO:1902854)	1	0	.02	-	 < 0.01	9.82E-01
eisosome assembly (GO:0070941)	5	0	.09	-	 < 0.01	9.12E-01
dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	3	0	.06	-	 < 0.01	9.46E-01
regulation of nuclear migration during mitotic telophase (GO:1902852)	1	0	.02	-	 < 0.01	9.82E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	26	0	.48	-	 < 0.01	6.20E-01
cytolysis in other organism involved in symbiotic interaction (GO:0051801)	1	0	.02	-	 < 0.01	9.82E-01
arginine catabolic process to ornithine (GO:0019547)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein secretion (GO:0050714)	1	0	.02	-	 < 0.01	9.82E-01
arginine catabolic process to glutamate (GO:0019544)	1	0	.02	-	 < 0.01	9.82E-01
propionate catabolic process (GO:0019543)	2	0	.04	-	 < 0.01	9.64E-01
propionate metabolic process (GO:0019541)	3	0	.06	-	 < 0.01	9.46E-01
regulation of cell wall macromolecule metabolic process (GO:0010981)	1	0	.02	-	 < 0.01	9.82E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	31	0	.57	-	 < 0.01	5.66E-01
aggregation of unicellular organisms (GO:0098630)	1	0	.02	-	 < 0.01	9.82E-01
cell fate commitment (GO:0045165)	4	0	.07	-	 < 0.01	9.29E-01
3'-UTR-mediated mRNA stabilization (GO:0070935)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of mitotic spindle elongation (GO:1902846)	1	0	.02	-	 < 0.01	9.82E-01
histone H4 deacetylation (GO:0070933)	5	0	.09	-	 < 0.01	9.12E-01
histone H3 deacetylation (GO:0070932)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of nuclear migration along microtubule (GO:1902840)	1	0	.02	-	 < 0.01	9.82E-01
regulation of establishment or maintenance of bipolar cell polarity (GO:2000099)	1	0	.02	-	 < 0.01	9.82E-01
regulation of anion transport (GO:0044070)	1	0	.02	-	 < 0.01	9.82E-01
siderophore biosynthetic process from hydroxamic acid (GO:0019539)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein secretion (GO:0050708)	2	0	.04	-	 < 0.01	9.64E-01
respiratory electron transport chain (GO:0022904)	34	0	.62	-	 < 0.01	5.35E-01
IRE1-mediated unfolded protein response (GO:0036498)	1	0	.02	-	 < 0.01	9.82E-01
electron transport chain (GO:0022900)	52	0	.95	-	 < 0.01	3.84E-01
negative regulation of division septum assembly (GO:0010974)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15	0	.28	-	 < 0.01	7.59E-01
taurine metabolic process (GO:0019530)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	3	0	.06	-	 < 0.01	9.46E-01
transport along microtubule (GO:0010970)	12	0	.22	-	 < 0.01	8.02E-01
terpene catabolic process (GO:0046247)	2	0	.04	-	 < 0.01	9.64E-01
terpene biosynthetic process (GO:0046246)	1	0	.02	-	 < 0.01	9.82E-01
regulation of nuclear migration along microtubule (GO:1902838)	1	0	.02	-	 < 0.01	9.82E-01
O-glycan processing, core 1 (GO:0016267)	2	0	.04	-	 < 0.01	9.64E-01
O-glycan processing (GO:0016266)	2	0	.04	-	 < 0.01	9.64E-01
acetoin biosynthetic process (GO:0045151)	1	0	.02	-	 < 0.01	9.82E-01
regulation of histone H2B conserved C-terminal lysine ubiquitination (GO:2001173)	1	0	.02	-	 < 0.01	9.82E-01
regulation of mitotic sister chromatid separation (GO:0010965)	25	0	.46	-	 < 0.01	6.32E-01
regulation of L-arginine import (GO:0010963)	1	0	.02	-	 < 0.01	9.82E-01
D-gluconate metabolic process (GO:0019521)	4	0	.07	-	 < 0.01	9.29E-01
regulation of glucan biosynthetic process (GO:0010962)	3	0	.06	-	 < 0.01	9.46E-01
aldonic acid metabolic process (GO:0019520)	4	0	.07	-	 < 0.01	9.29E-01
cellular magnesium ion homeostasis (GO:0010961)	2	0	.04	-	 < 0.01	9.64E-01
magnesium ion homeostasis (GO:0010960)	2	0	.04	-	 < 0.01	9.64E-01
acetoin metabolic process (GO:0045149)	1	0	.02	-	 < 0.01	9.82E-01
production of siRNA involved in chromatin silencing by small RNA (GO:0070919)	3	0	.06	-	 < 0.01	9.46E-01
production of small RNA involved in gene silencing by RNA (GO:0070918)	7	0	.13	-	 < 0.01	8.79E-01
meiotic sister chromatid segregation (GO:0045144)	5	0	.09	-	 < 0.01	9.12E-01
homologous chromosome segregation (GO:0045143)	6	0	.11	-	 < 0.01	8.96E-01
UV-damage excision repair (GO:0070914)	8	0	.15	-	 < 0.01	8.63E-01
attachment of GPI anchor to protein (GO:0016255)	5	0	.09	-	 < 0.01	9.12E-01
meiotic telomere clustering (GO:0045141)	1	0	.02	-	 < 0.01	9.82E-01
regulation of histone H2B ubiquitination (GO:2001166)	1	0	.02	-	 < 0.01	9.82E-01
regulation of metal ion transport (GO:0010959)	2	0	.04	-	 < 0.01	9.64E-01
regulation of amino acid import across plasma membrane (GO:0010958)	1	0	.02	-	 < 0.01	9.82E-01
cell-cell adhesion (GO:0098609)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein processing (GO:0010954)	1	0	.02	-	 < 0.01	9.82E-01
response to organic cyclic compound (GO:0014070)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-proline hydroxylation (GO:0019511)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of peptidase activity (GO:0010952)	5	0	.09	-	 < 0.01	9.12E-01
response to nutrient (GO:0007584)	12	0	.22	-	 < 0.01	8.02E-01
positive regulation of endopeptidase activity (GO:0010950)	4	0	.07	-	 < 0.01	9.29E-01
N-glycan processing (GO:0006491)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of protein localization to microtubule (GO:1902817)	1	0	.02	-	 < 0.01	9.82E-01
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	10	0	.18	-	 < 0.01	8.32E-01
RNA interference (GO:0016246)	7	0	.13	-	 < 0.01	8.79E-01
base-excision repair, AP site formation via deaminated base removal (GO:0097510)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein localization to microtubule (GO:1902816)	1	0	.02	-	 < 0.01	9.82E-01
sexual sporulation (GO:0034293)	7	0	.13	-	 < 0.01	8.79E-01
meiotic chromosome segregation (GO:0045132)	23	0	.42	-	 < 0.01	6.55E-01
mitochondrial tRNA thio-modification (GO:0070903)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial tRNA methylation (GO:0070901)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of macroautophagy (GO:0016242)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial tRNA modification (GO:0070900)	4	0	.07	-	 < 0.01	9.29E-01
regulation of macroautophagy (GO:0016241)	5	0	.09	-	 < 0.01	9.12E-01
hexose mediated signaling (GO:0009757)	1	0	.02	-	 < 0.01	9.82E-01
carbohydrate mediated signaling (GO:0009756)	1	0	.02	-	 < 0.01	9.82E-01
response to fructose (GO:0009750)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of cell cycle process (GO:0010948)	34	0	.62	-	 < 0.01	5.35E-01
phosphatidylinositol 3-kinase signaling (GO:0014065)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	11	0	.20	-	 < 0.01	8.17E-01
cyanide catabolic process (GO:0019500)	1	0	.02	-	 < 0.01	9.82E-01
indolalkylamine biosynthetic process (GO:0046219)	5	0	.09	-	 < 0.01	9.12E-01
regulation of cell death (GO:0010941)	6	0	.11	-	 < 0.01	8.96E-01
indolalkylamine catabolic process (GO:0046218)	9	0	.17	-	 < 0.01	8.48E-01
dolichyl diphosphate biosynthetic process (GO:0006489)	1	0	.02	-	 < 0.01	9.82E-01
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	7	0	.13	-	 < 0.01	8.79E-01
age-dependent general metabolic decline (GO:0007571)	2	0	.04	-	 < 0.01	9.64E-01
protein localization to microtubule (GO:0035372)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of macroautophagy (GO:0016239)	4	0	.07	-	 < 0.01	9.29E-01
detection of monosaccharide stimulus (GO:0034287)	1	0	.02	-	 < 0.01	9.82E-01
nitric oxide catabolic process (GO:0046210)	2	0	.04	-	 < 0.01	9.64E-01
protein demethylation (GO:0006482)	7	0	.13	-	 < 0.01	8.79E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	1	0	.02	-	 < 0.01	9.82E-01
C-terminal protein methylation (GO:0006481)	2	0	.04	-	 < 0.01	9.64E-01
