




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cellular response to environmental stimulus (GO:0104004)	63	22	10.66	+	2.06	1.46E-03
cellular response to abiotic stimulus (GO:0071214)	63	22	10.66	+	2.06	1.46E-03
axon midline choice point recognition (GO:0016199)	23	8	3.89	+	2.05	4.47E-02
regulation of endocytosis (GO:0030100)	58	20	9.82	+	2.04	2.69E-03
chaperone-mediated protein folding (GO:0061077)	29	10	4.91	+	2.04	2.83E-02
anion transmembrane transport (GO:0098656)	47	16	7.96	+	2.01	7.60E-03
CENP-A containing nucleosome assembly (GO:0034080)	3	1	.51	+	1.97	3.98E-01
Golgi vesicle docking (GO:0048211)	3	1	.51	+	1.97	3.98E-01
multivesicular body organization (GO:0036257)	3	1	.51	+	1.97	3.98E-01
basolateral protein secretion (GO:0110010)	3	1	.51	+	1.97	3.98E-01
regulation of female receptivity, post-mating (GO:0046008)	12	4	2.03	+	1.97	1.48E-01
pyruvate transport (GO:0006848)	3	1	.51	+	1.97	3.98E-01
tricarboxylic acid transport (GO:0006842)	3	1	.51	+	1.97	3.98E-01
negative regulation of DNA binding (GO:0043392)	6	2	1.02	+	1.97	2.70E-01
positive regulation of DNA binding (GO:0043388)	6	2	1.02	+	1.97	2.70E-01
response to carbon dioxide (GO:0010037)	3	1	.51	+	1.97	3.98E-01
long-term synaptic potentiation (GO:0060291)	3	1	.51	+	1.97	3.98E-01
respiratory chain complex III assembly (GO:0017062)	3	1	.51	+	1.97	3.98E-01
neuronal action potential (GO:0019228)	3	1	.51	+	1.97	3.98E-01
nitric oxide mediated signal transduction (GO:0007263)	3	1	.51	+	1.97	3.98E-01
regulation of fatty acid metabolic process (GO:0019217)	3	1	.51	+	1.97	3.98E-01
regulation of cytokine-mediated signaling pathway (GO:0001959)	6	2	1.02	+	1.97	2.70E-01
positive regulation of neurotransmitter secretion (GO:0001956)	3	1	.51	+	1.97	3.98E-01
regulation of cell-matrix adhesion (GO:0001952)	6	2	1.02	+	1.97	2.70E-01
regulation of receptor recycling (GO:0001919)	3	1	.51	+	1.97	3.98E-01
gamma-aminobutyric acid signaling pathway (GO:0007214)	3	1	.51	+	1.97	3.98E-01
regulation of epithelial cell differentiation (GO:0030856)	3	1	.51	+	1.97	3.98E-01
protein import into peroxisome matrix, docking (GO:0016560)	3	1	.51	+	1.97	3.98E-01
fat-soluble vitamin metabolic process (GO:0006775)	3	1	.51	+	1.97	3.98E-01
folic acid-containing compound metabolic process (GO:0006760)	6	2	1.02	+	1.97	2.70E-01
regulation of protein polyubiquitination (GO:1902914)	3	1	.51	+	1.97	3.98E-01
R7 cell development (GO:0045467)	15	5	2.54	+	1.97	1.14E-01
positive regulation of protein-containing complex disassembly (GO:0043243)	6	2	1.02	+	1.97	2.70E-01
negative regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905536)	3	1	.51	+	1.97	3.98E-01
regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905535)	3	1	.51	+	1.97	3.98E-01
mRNA transcription by RNA polymerase II (GO:0042789)	6	2	1.02	+	1.97	2.70E-01
positive regulation of cuticle pigmentation (GO:0048081)	3	1	.51	+	1.97	3.98E-01
positive regulation of posttranscriptional gene silencing (GO:0060148)	3	1	.51	+	1.97	3.98E-01
regulation of posttranscriptional gene silencing (GO:0060147)	6	2	1.02	+	1.97	2.70E-01
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	42	14	7.11	+	1.97	1.41E-02
very long-chain fatty acid catabolic process (GO:0042760)	3	1	.51	+	1.97	3.98E-01
compound eye corneal lens development (GO:0048058)	3	1	.51	+	1.97	3.98E-01
amine catabolic process (GO:0009310)	3	1	.51	+	1.97	3.98E-01
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	3	1	.51	+	1.97	3.98E-01
regulation of protein maturation (GO:1903317)	6	2	1.02	+	1.97	2.70E-01
cleavage furrow formation (GO:0036089)	3	1	.51	+	1.97	3.98E-01
negative regulation of regulated secretory pathway (GO:1903306)	3	1	.51	+	1.97	3.98E-01
N-glycan fucosylation (GO:0036071)	3	1	.51	+	1.97	3.98E-01
SREBP signaling pathway (GO:0032933)	6	2	1.02	+	1.97	2.70E-01
nephrocyte diaphragm assembly (GO:0036059)	3	1	.51	+	1.97	3.98E-01
spectrosome organization (GO:0030721)	3	1	.51	+	1.97	3.98E-01
anterior/posterior axis specification, follicular epithelium (GO:0030714)	3	1	.51	+	1.97	3.98E-01
border follicle cell delamination (GO:0030709)	3	1	.51	+	1.97	3.98E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	3	1	.51	+	1.97	3.98E-01
triglyceride mobilization (GO:0006642)	3	1	.51	+	1.97	3.98E-01
protein targeting to peroxisome (GO:0006625)	12	4	2.03	+	1.97	1.48E-01
G1/S transition of mitotic cell cycle (GO:0000082)	12	4	2.03	+	1.97	1.48E-01
negative regulation of compound eye photoreceptor development (GO:0045316)	3	1	.51	+	1.97	3.98E-01
female germ-line sex determination (GO:0019099)	3	1	.51	+	1.97	3.98E-01
behavioral defense response (GO:0002209)	3	1	.51	+	1.97	3.98E-01
replication fork arrest (GO:0043111)	3	1	.51	+	1.97	3.98E-01
mRNA transcription (GO:0009299)	6	2	1.02	+	1.97	2.70E-01
positive regulation of autophagosome maturation (GO:1901098)	3	1	.51	+	1.97	3.98E-01
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	12	4	2.03	+	1.97	1.48E-01
positive regulation of crystal cell differentiation (GO:0042691)	6	2	1.02	+	1.97	2.70E-01
cardioblast cell fate specification (GO:0042685)	3	1	.51	+	1.97	3.98E-01
regulation of protein glycosylation (GO:0060049)	3	1	.51	+	1.97	3.98E-01
cell cycle G1/S phase transition (GO:0044843)	12	4	2.03	+	1.97	1.48E-01
mitotic G1/S transition checkpoint (GO:0044819)	3	1	.51	+	1.97	3.98E-01
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	3	1	.51	+	1.97	3.98E-01
late nucleophagy (GO:0044805)	3	1	.51	+	1.97	3.98E-01
inner mitochondrial membrane organization (GO:0007007)	6	2	1.02	+	1.97	2.70E-01
regulation of transmission of nerve impulse (GO:0051969)	3	1	.51	+	1.97	3.98E-01
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	3	1	.51	+	1.97	3.98E-01
fatty acid homeostasis (GO:0055089)	3	1	.51	+	1.97	3.98E-01
proline metabolic process (GO:0006560)	6	2	1.02	+	1.97	2.70E-01
sodium ion homeostasis (GO:0055078)	6	2	1.02	+	1.97	2.70E-01
cellular response to sterol depletion (GO:0071501)	6	2	1.02	+	1.97	2.70E-01
establishment or maintenance of polarity of embryonic epithelium (GO:0016332)	6	2	1.02	+	1.97	2.70E-01
regulation of sensory perception (GO:0051931)	3	1	.51	+	1.97	3.98E-01
regulation of sensory perception of pain (GO:0051930)	3	1	.51	+	1.97	3.98E-01
negative regulation of calcium ion transport (GO:0051926)	6	2	1.02	+	1.97	2.70E-01
SNARE complex disassembly (GO:0035494)	3	1	.51	+	1.97	3.98E-01
vesicle cargo loading (GO:0035459)	6	2	1.02	+	1.97	2.70E-01
positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:2001272)	3	1	.51	+	1.97	3.98E-01
tRNA aminoacylation (GO:0043039)	3	1	.51	+	1.97	3.98E-01
store-operated calcium entry (GO:0002115)	3	1	.51	+	1.97	3.98E-01
aspartate transmembrane transport (GO:0015810)	3	1	.51	+	1.97	3.98E-01
meiotic cell cycle phase transition (GO:0044771)	3	1	.51	+	1.97	3.98E-01
long-chain fatty acid metabolic process (GO:0001676)	6	2	1.02	+	1.97	2.70E-01
acidic amino acid transport (GO:0015800)	6	2	1.02	+	1.97	2.70E-01
protein folding in endoplasmic reticulum (GO:0034975)	3	1	.51	+	1.97	3.98E-01
regulation of mitochondrial gene expression (GO:0062125)	6	2	1.02	+	1.97	2.70E-01
ribosome disassembly (GO:0032790)	3	1	.51	+	1.97	3.98E-01
regulation of mitochondrial membrane permeability (GO:0046902)	3	1	.51	+	1.97	3.98E-01
regulation of double-strand break repair (GO:2000779)	6	2	1.02	+	1.97	2.70E-01
negative regulation of cytoplasmic translation (GO:2000766)	3	1	.51	+	1.97	3.98E-01
regulation of mitochondrial transcription (GO:1903108)	3	1	.51	+	1.97	3.98E-01
regulation of cytoplasmic translation (GO:2000765)	6	2	1.02	+	1.97	2.70E-01
cellular response to osmotic stress (GO:0071470)	3	1	.51	+	1.97	3.98E-01
beta-catenin destruction complex disassembly (GO:1904886)	3	1	.51	+	1.97	3.98E-01
membrane depolarization (GO:0051899)	3	1	.51	+	1.97	3.98E-01
negative regulation of cardioblast differentiation (GO:0051892)	3	1	.51	+	1.97	3.98E-01
attachment of GPI anchor to protein (GO:0016255)	3	1	.51	+	1.97	3.98E-01
response to amine (GO:0014075)	3	1	.51	+	1.97	3.98E-01
chemorepulsion of axon (GO:0061643)	3	1	.51	+	1.97	3.98E-01
CENP-A containing chromatin organization (GO:0061641)	3	1	.51	+	1.97	3.98E-01
cellular response to amine stimulus (GO:0071418)	3	1	.51	+	1.97	3.98E-01
carbohydrate transport (GO:0008643)	3	1	.51	+	1.97	3.98E-01
'de novo' protein folding (GO:0006458)	21	7	3.55	+	1.97	6.92E-02
assembly of large subunit precursor of preribosome (GO:1902626)	3	1	.51	+	1.97	3.98E-01
regulation of membrane permeability (GO:0090559)	3	1	.51	+	1.97	3.98E-01
Roundabout signaling pathway (GO:0035385)	3	1	.51	+	1.97	3.98E-01
tRNA aminoacylation for protein translation (GO:0006418)	3	1	.51	+	1.97	3.98E-01
glial cell proliferation (GO:0014009)	3	1	.51	+	1.97	3.98E-01
negative regulation of histone ubiquitination (GO:0033183)	3	1	.51	+	1.97	3.98E-01
histone H3-K9 demethylation (GO:0033169)	3	1	.51	+	1.97	3.98E-01
regulation of ATP biosynthetic process (GO:2001169)	3	1	.51	+	1.97	3.98E-01
trehalose metabolic process (GO:0005991)	3	1	.51	+	1.97	3.98E-01
membrane depolarization during action potential (GO:0086010)	3	1	.51	+	1.97	3.98E-01
citrate transport (GO:0015746)	3	1	.51	+	1.97	3.98E-01
regulation of hormone secretion (GO:0046883)	15	5	2.54	+	1.97	1.14E-01
calcium ion transmembrane import into cytosol (GO:0097553)	6	2	1.02	+	1.97	2.70E-01
positive regulation of protein localization to plasma membrane (GO:1903078)	6	2	1.02	+	1.97	2.70E-01
monocarboxylic acid transport (GO:0015718)	15	5	2.54	+	1.97	1.14E-01
positive regulation of extracellular matrix organization (GO:1903055)	3	1	.51	+	1.97	3.98E-01
negative regulation of eye photoreceptor cell development (GO:0042480)	3	1	.51	+	1.97	3.98E-01
carbohydrate phosphorylation (GO:0046835)	3	1	.51	+	1.97	3.98E-01
negative regulation of cardiocyte differentiation (GO:1905208)	3	1	.51	+	1.97	3.98E-01
regulation of glycoprotein metabolic process (GO:1903018)	3	1	.51	+	1.97	3.98E-01
dopamine biosynthetic process (GO:0042416)	3	1	.51	+	1.97	3.98E-01
cellular biogenic amine catabolic process (GO:0042402)	3	1	.51	+	1.97	3.98E-01
negative regulation of triglyceride catabolic process (GO:0010897)	3	1	.51	+	1.97	3.98E-01
regulation of sequestering of triglyceride (GO:0010889)	6	2	1.02	+	1.97	2.70E-01
synaptic vesicle maturation (GO:0016188)	3	1	.51	+	1.97	3.98E-01
medium-chain fatty acid catabolic process (GO:0051793)	3	1	.51	+	1.97	3.98E-01
mitochondrial transcription (GO:0006390)	6	2	1.02	+	1.97	2.70E-01
termination of RNA polymerase II transcription (GO:0006369)	3	1	.51	+	1.97	3.98E-01
regulation of Malpighian tubule diameter (GO:0035297)	3	1	.51	+	1.97	3.98E-01
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	6	2	1.02	+	1.97	2.70E-01
intraspecies interaction between organisms (GO:0051703)	6	2	1.02	+	1.97	2.70E-01
regulation of calcineurin-NFAT signaling cascade (GO:0070884)	3	1	.51	+	1.97	3.98E-01
ionotropic glutamate receptor signaling pathway (GO:0035235)	3	1	.51	+	1.97	3.98E-01
ectopic germ cell programmed cell death (GO:0035234)	12	4	2.03	+	1.97	1.48E-01
copper ion import (GO:0015677)	3	1	.51	+	1.97	3.98E-01
double-strand break repair via single-strand annealing (GO:0045002)	3	1	.51	+	1.97	3.98E-01
spermathecum morphogenesis (GO:0035211)	3	1	.51	+	1.97	3.98E-01
basement membrane disassembly (GO:0034769)	3	1	.51	+	1.97	3.98E-01
negative regulation of protein import into nucleus (GO:0042308)	3	1	.51	+	1.97	3.98E-01
follicle cell microvillus organization (GO:0032529)	3	1	.51	+	1.97	3.98E-01
establishment of Golgi localization (GO:0051683)	3	1	.51	+	1.97	3.98E-01
phagosome maturation (GO:0090382)	6	2	1.02	+	1.97	2.70E-01
social behavior (GO:0035176)	6	2	1.02	+	1.97	2.70E-01
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	6	2	1.02	+	1.97	2.70E-01
embryonic crystal cell differentiation (GO:0035165)	3	1	.51	+	1.97	3.98E-01
embryonic hemocyte differentiation (GO:0035163)	3	1	.51	+	1.97	3.98E-01
imaginal disc lineage restriction (GO:0035161)	6	2	1.02	+	1.97	2.70E-01
positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309)	6	2	1.02	+	1.97	2.70E-01
regulation of DNA methylation-dependent heterochromatin assembly (GO:0090308)	6	2	1.02	+	1.97	2.70E-01
heart formation (GO:0060914)	6	2	1.02	+	1.97	2.70E-01
zymogen inhibition (GO:0097341)	3	1	.51	+	1.97	3.98E-01
inhibition of cysteine-type endopeptidase activity (GO:0097340)	3	1	.51	+	1.97	3.98E-01
carboxylic acid transmembrane transport (GO:1905039)	24	8	4.06	+	1.97	5.46E-02
symbiotic process (GO:0044403)	3	1	.51	+	1.97	3.98E-01
cellular response to unfolded protein (GO:0034620)	30	10	5.08	+	1.97	3.44E-02
negative regulation of protein import (GO:1904590)	3	1	.51	+	1.97	3.98E-01
snRNA modification (GO:0040031)	3	1	.51	+	1.97	3.98E-01
skeletal muscle thin filament assembly (GO:0030240)	3	1	.51	+	1.97	3.98E-01
male sex determination (GO:0030238)	3	1	.51	+	1.97	3.98E-01
meiotic recombination checkpoint (GO:0051598)	3	1	.51	+	1.97	3.98E-01
positive regulation of neurotransmitter transport (GO:0051590)	3	1	.51	+	1.97	3.98E-01
chitin-based cuticle attachment to epithelium (GO:0040005)	3	1	.51	+	1.97	3.98E-01
adult chitin-based cuticle development (GO:0008365)	6	2	1.02	+	1.97	2.70E-01
extracellular matrix disassembly (GO:0022617)	3	1	.51	+	1.97	3.98E-01
negative regulation of protein localization to nucleus (GO:1900181)	3	1	.51	+	1.97	3.98E-01
negative regulation of mitochondrial fusion (GO:0010637)	3	1	.51	+	1.97	3.98E-01
positive regulation of peptide hormone secretion (GO:0090277)	6	2	1.02	+	1.97	2.70E-01
G2/MI transition of meiotic cell cycle (GO:0008315)	3	1	.51	+	1.97	3.98E-01
larval midgut cell programmed cell death (GO:0035096)	24	8	4.06	+	1.97	5.46E-02
regulation of histone H4 acetylation (GO:0090239)	3	1	.51	+	1.97	3.98E-01
male pronucleus assembly (GO:0035039)	12	4	2.03	+	1.97	1.48E-01
positive regulation of protein depolymerization (GO:1901881)	3	1	.51	+	1.97	3.98E-01
regulation of protein processing (GO:0070613)	6	2	1.02	+	1.97	2.70E-01
neuronal signal transduction (GO:0023041)	3	1	.51	+	1.97	3.98E-01
regulation of calcineurin-mediated signaling (GO:0106056)	3	1	.51	+	1.97	3.98E-01
assembly of apicomedial cortex actomyosin (GO:0106036)	3	1	.51	+	1.97	3.98E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	3	1	.51	+	1.97	3.98E-01
regulation of reactive oxygen species metabolic process (GO:2000377)	12	4	2.03	+	1.97	1.48E-01
regulation of COPII vesicle coating (GO:0003400)	3	1	.51	+	1.97	3.98E-01
miRNA metabolic process (GO:0010586)	3	1	.51	+	1.97	3.98E-01
tricarboxylic acid cycle (GO:0006099)	12	4	2.03	+	1.97	1.48E-01
negative regulation of synaptic vesicle exocytosis (GO:2000301)	3	1	.51	+	1.97	3.98E-01
regulation of synaptic vesicle exocytosis (GO:2000300)	6	2	1.02	+	1.97	2.70E-01
regulation of glycoprotein biosynthetic process (GO:0010559)	3	1	.51	+	1.97	3.98E-01
regulation of neuronal action potential (GO:0098908)	3	1	.51	+	1.97	3.98E-01
regulation of action potential (GO:0098900)	3	1	.51	+	1.97	3.98E-01
myoblast proliferation (GO:0051450)	3	1	.51	+	1.97	3.98E-01
meiotic mismatch repair (GO:0000710)	3	1	.51	+	1.97	3.98E-01
negative regulation of cardioblast cell fate specification (GO:0009997)	3	1	.51	+	1.97	3.98E-01
COPII-coated vesicle budding (GO:0090114)	6	2	1.02	+	1.97	2.70E-01
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	3	1	.51	+	1.97	3.98E-01
regulation of isoprenoid metabolic process (GO:0019747)	3	1	.51	+	1.97	3.98E-01
histone H3-K36 demethylation (GO:0070544)	3	1	.51	+	1.97	3.98E-01
polarity specification of dorsal/ventral axis (GO:0009951)	6	2	1.02	+	1.97	2.70E-01
regulation of response to cytokine stimulus (GO:0060759)	6	2	1.02	+	1.97	2.70E-01
regulation of TORC2 signaling (GO:1903939)	3	1	.51	+	1.97	3.98E-01
phosphatidylglycerol metabolic process (GO:0046471)	3	1	.51	+	1.97	3.98E-01
ammonium ion metabolic process (GO:0097164)	6	2	1.02	+	1.97	2.70E-01
myoblast fate specification (GO:0048626)	3	1	.51	+	1.97	3.98E-01
positive regulation of chemotaxis (GO:0050921)	3	1	.51	+	1.97	3.98E-01
myoblast fate commitment (GO:0048625)	3	1	.51	+	1.97	3.98E-01
positive chemotaxis (GO:0050918)	6	2	1.02	+	1.97	2.70E-01
positive regulation of actin filament bundle assembly (GO:0032233)	6	2	1.02	+	1.97	2.70E-01
parallel actin filament bundle assembly (GO:0030046)	3	1	.51	+	1.97	3.98E-01
negative regulation of juvenile hormone biosynthetic process (GO:0045968)	3	1	.51	+	1.97	3.98E-01
histone H3-K36 methylation (GO:0010452)	3	1	.51	+	1.97	3.98E-01
modulation of excitatory postsynaptic potential (GO:0098815)	3	1	.51	+	1.97	3.98E-01
positive regulation of translational initiation (GO:0045948)	3	1	.51	+	1.97	3.98E-01
negative regulation of translational initiation (GO:0045947)	3	1	.51	+	1.97	3.98E-01
positive regulation of transcription by RNA polymerase III (GO:0045945)	3	1	.51	+	1.97	3.98E-01
negative regulation of juvenile hormone metabolic process (GO:0045928)	3	1	.51	+	1.97	3.98E-01
negative regulation of exocytosis (GO:0045920)	3	1	.51	+	1.97	3.98E-01
negative regulation of DNA recombination (GO:0045910)	12	4	2.03	+	1.97	1.48E-01
regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria (GO:0002816)	3	1	.51	+	1.97	3.98E-01
photoreceptor cell fate determination (GO:0043703)	6	2	1.02	+	1.97	2.70E-01
establishment of protein localization to peroxisome (GO:0072663)	12	4	2.03	+	1.97	1.48E-01
protein localization to peroxisome (GO:0072662)	12	4	2.03	+	1.97	1.48E-01
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	3	1	.51	+	1.97	3.98E-01
neuromuscular process controlling posture (GO:0050884)	6	2	1.02	+	1.97	2.70E-01
musculoskeletal movement (GO:0050881)	3	1	.51	+	1.97	3.98E-01
multicellular organismal movement (GO:0050879)	3	1	.51	+	1.97	3.98E-01
organic acid transmembrane transport (GO:1903825)	24	8	4.06	+	1.97	5.46E-02
grooming behavior (GO:0007625)	3	1	.51	+	1.97	3.98E-01
regulation of membrane depolarization (GO:0003254)	3	1	.51	+	1.97	3.98E-01
diacylglycerol metabolic process (GO:0046339)	6	2	1.02	+	1.97	2.70E-01
alpha-amino acid catabolic process (GO:1901606)	24	8	4.06	+	1.97	5.46E-02
regulation of sequestering of zinc ion (GO:0061088)	3	1	.51	+	1.97	3.98E-01
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	3	1	.51	+	1.97	3.98E-01
regulation of response to nutrient levels (GO:0032107)	3	1	.51	+	1.97	3.98E-01
regulation of response to extracellular stimulus (GO:0032104)	3	1	.51	+	1.97	3.98E-01
symmetric cell division (GO:0098725)	6	2	1.02	+	1.97	2.70E-01
mitotic spindle midzone assembly (GO:0051256)	3	1	.51	+	1.97	3.98E-01
negative regulation of isoprenoid metabolic process (GO:0045827)	3	1	.51	+	1.97	3.98E-01
pyrimidine-containing compound catabolic process (GO:0072529)	6	2	1.02	+	1.97	2.70E-01
regulation of postsynapse organization (GO:0099175)	3	1	.51	+	1.97	3.98E-01
regulation of microfilament motor activity (GO:0120079)	3	1	.51	+	1.97	3.98E-01
fatty acid derivative biosynthetic process (GO:1901570)	3	1	.51	+	1.97	3.98E-01
regulation of juvenile hormone biosynthetic process (GO:0007557)	3	1	.51	+	1.97	3.98E-01
regulation of juvenile hormone metabolic process (GO:0007556)	3	1	.51	+	1.97	3.98E-01
regulation of vacuole organization (GO:0044088)	6	2	1.02	+	1.97	2.70E-01
embryonic heart tube morphogenesis (GO:0003143)	3	1	.51	+	1.97	3.98E-01
regulation of response to food (GO:0032095)	3	1	.51	+	1.97	3.98E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	21	7	3.55	+	1.97	6.92E-02
negative regulation of cardiac cell fate specification (GO:2000044)	3	1	.51	+	1.97	3.98E-01
regulation of ARF protein signal transduction (GO:0032012)	6	2	1.02	+	1.97	2.70E-01
box C/D snoRNP assembly (GO:0000492)	3	1	.51	+	1.97	3.98E-01
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	3	1	.51	+	1.97	3.98E-01
peptidyl-threonine dephosphorylation (GO:0035970)	3	1	.51	+	1.97	3.98E-01
wing disc proximal/distal pattern formation (GO:0007473)	3	1	.51	+	1.97	3.98E-01
aldehyde biosynthetic process (GO:0046184)	3	1	.51	+	1.97	3.98E-01
alcohol catabolic process (GO:0046164)	15	5	2.54	+	1.97	1.14E-01
axonal defasciculation (GO:0007414)	12	4	2.03	+	1.97	1.48E-01
calcium ion transport into cytosol (GO:0060402)	6	2	1.02	+	1.97	2.70E-01
mitochondrion distribution (GO:0048311)	12	4	2.03	+	1.97	1.48E-01
histone H2A-K119 monoubiquitination (GO:0036353)	3	1	.51	+	1.97	3.98E-01
nucleobase catabolic process (GO:0046113)	6	2	1.02	+	1.97	2.70E-01
response to sterol depletion (GO:0006991)	6	2	1.02	+	1.97	2.70E-01
positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria (GO:0006965)	3	1	.51	+	1.97	3.98E-01
determination of digestive tract left/right asymmetry (GO:0071907)	6	2	1.02	+	1.97	2.70E-01
smooth muscle contraction (GO:0006939)	3	1	.51	+	1.97	3.98E-01
protein kinase B signaling (GO:0043491)	3	1	.51	+	1.97	3.98E-01
positive regulation of sensory perception of pain (GO:1904058)	3	1	.51	+	1.97	3.98E-01
regulation of transposition, DNA-mediated (GO:0000337)	6	2	1.02	+	1.97	2.70E-01
negative regulation of transposition, DNA-mediated (GO:0000335)	6	2	1.02	+	1.97	2.70E-01
plus-end-directed organelle transport along microtubule (GO:0072386)	3	1	.51	+	1.97	3.98E-01
plus-end-directed vesicle transport along microtubule (GO:0072383)	3	1	.51	+	1.97	3.98E-01
nuclear envelope reassembly (GO:0031468)	3	1	.51	+	1.97	3.98E-01
kynurenine metabolic process (GO:0070189)	3	1	.51	+	1.97	3.98E-01
detection of virus (GO:0009597)	3	1	.51	+	1.97	3.98E-01
vesicle fusion with Golgi apparatus (GO:0048280)	6	2	1.02	+	1.97	2.70E-01
plasma membrane phospholipid scrambling (GO:0017121)	3	1	.51	+	1.97	3.98E-01
protein localization to adherens junction (GO:0071896)	3	1	.51	+	1.97	3.98E-01
oocyte nucleus migration involved in oocyte dorsal/ventral axis specification (GO:0007312)	6	2	1.02	+	1.97	2.70E-01
energy taxis (GO:0009453)	18	6	3.05	+	1.97	8.84E-02
zonula adherens assembly (GO:0045186)	9	3	1.52	+	1.97	1.97E-01
translational elongation (GO:0006414)	9	3	1.52	+	1.97	1.97E-01
regulation of protein dephosphorylation (GO:0035304)	9	3	1.52	+	1.97	1.97E-01
regulation of extracellular matrix organization (GO:1903053)	9	3	1.52	+	1.97	1.97E-01
regulation of cell-substrate adhesion (GO:0010810)	9	3	1.52	+	1.97	1.97E-01
apoptotic DNA fragmentation (GO:0006309)	9	3	1.52	+	1.97	1.97E-01
postreplication repair (GO:0006301)	9	3	1.52	+	1.97	1.97E-01
glycerolipid biosynthetic process (GO:0045017)	27	9	4.57	+	1.97	4.32E-02
sperm mitochondrion organization (GO:0030382)	9	3	1.52	+	1.97	1.97E-01
phototaxis (GO:0042331)	18	6	3.05	+	1.97	8.84E-02
L-alpha-amino acid transmembrane transport (GO:1902475)	9	3	1.52	+	1.97	1.97E-01
pyrimidine nucleobase metabolic process (GO:0006206)	9	3	1.52	+	1.97	1.97E-01
apoptotic nuclear changes (GO:0030262)	9	3	1.52	+	1.97	1.97E-01
negative regulation of neuromuscular synaptic transmission (GO:1900074)	9	3	1.52	+	1.97	1.97E-01
epithelial cell-cell adhesion (GO:0090136)	9	3	1.52	+	1.97	1.97E-01
neuronal stem cell population maintenance (GO:0097150)	9	3	1.52	+	1.97	1.97E-01
cellular carbohydrate catabolic process (GO:0044275)	18	6	3.05	+	1.97	8.84E-02
microtubule anchoring (GO:0034453)	9	3	1.52	+	1.97	1.97E-01
substrate adhesion-dependent cell spreading (GO:0034446)	9	3	1.52	+	1.97	1.97E-01
regulation of protein localization to cell periphery (GO:1904375)	9	3	1.52	+	1.97	1.97E-01
glycosyl compound catabolic process (GO:1901658)	9	3	1.52	+	1.97	1.97E-01
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	9	3	1.52	+	1.97	1.97E-01
cellular component disassembly involved in execution phase of apoptosis (GO:0006921)	9	3	1.52	+	1.97	1.97E-01
dorsal closure, spreading of leading edge cells (GO:0007395)	9	3	1.52	+	1.97	1.97E-01
determination of left/right symmetry (GO:0007368)	9	3	1.52	+	1.97	1.97E-01
carboxylic acid transport (GO:0046942)	37	12	6.26	+	1.92	2.63E-02
gastrulation involving germ band extension (GO:0010004)	34	11	5.76	+	1.91	3.29E-02
gastrulation with mouth forming first (GO:0001703)	34	11	5.76	+	1.91	3.29E-02
response to unfolded protein (GO:0006986)	31	10	5.25	+	1.91	4.13E-02
cellular amino acid catabolic process (GO:0009063)	25	8	4.23	+	1.89	6.57E-02
axon choice point recognition (GO:0016198)	25	8	4.23	+	1.89	6.57E-02
muscle system process (GO:0003012)	25	8	4.23	+	1.89	6.57E-02
hexose metabolic process (GO:0019318)	25	8	4.23	+	1.89	6.57E-02
response to light stimulus (GO:0009416)	125	40	21.16	+	1.89	1.40E-04
regulation of cell cycle G1/S phase transition (GO:1902806)	22	7	3.72	+	1.88	8.36E-02
regulation of circadian sleep/wake cycle (GO:0042749)	41	13	6.94	+	1.87	2.50E-02
organic acid transport (GO:0015849)	38	12	6.43	+	1.87	3.12E-02
negative regulation of gene silencing (GO:0060969)	19	6	3.22	+	1.87	1.07E-01
organic hydroxy compound catabolic process (GO:1901616)	19	6	3.22	+	1.87	1.07E-01
