




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of fear response (GO:1903365)	9	1	.46	+	2.18	3.69E-01
regulation of necroptotic process (GO:0060544)	27	3	1.38	+	2.18	1.61E-01
negative regulation of cellular extravasation (GO:0002692)	9	1	.46	+	2.18	3.69E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	91	10	4.65	+	2.15	2.05E-02
cellular response to insulin stimulus (GO:0032869)	164	18	8.38	+	2.15	2.45E-03
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	73	8	3.73	+	2.15	3.62E-02
negative regulation of protein-containing complex disassembly (GO:0043242)	73	8	3.73	+	2.15	3.62E-02
axo-dendritic transport (GO:0008088)	64	7	3.27	+	2.14	4.86E-02
positive regulation of stress fiber assembly (GO:0051496)	55	6	2.81	+	2.14	6.56E-02
inositol phosphate metabolic process (GO:0043647)	55	6	2.81	+	2.14	6.56E-02
regulation of multi-organism process (GO:0043900)	46	5	2.35	+	2.13	8.94E-02
negative regulation of smooth muscle cell proliferation (GO:0048662)	46	5	2.35	+	2.13	8.94E-02
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	46	5	2.35	+	2.13	8.94E-02
histone methylation (GO:0016571)	83	9	4.24	+	2.12	2.90E-02
maternal placenta development (GO:0001893)	37	4	1.89	+	2.12	1.23E-01
telomere maintenance via semi-conservative replication (GO:0032201)	37	4	1.89	+	2.12	1.23E-01
positive regulation of dendrite morphogenesis (GO:0050775)	37	4	1.89	+	2.12	1.23E-01
positive regulation of TOR signaling (GO:0032008)	37	4	1.89	+	2.12	1.23E-01
protein peptidyl-prolyl isomerization (GO:0000413)	37	4	1.89	+	2.12	1.23E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	37	4	1.89	+	2.12	1.23E-01
lipid storage (GO:0019915)	37	4	1.89	+	2.12	1.23E-01
regulation of amyloid precursor protein catabolic process (GO:1902991)	37	4	1.89	+	2.12	1.23E-01
cellular response to starvation (GO:0009267)	176	19	8.99	+	2.11	2.26E-03
regulation of dendrite morphogenesis (GO:0048814)	65	7	3.32	+	2.11	5.19E-02
regulation of lipid kinase activity (GO:0043550)	65	7	3.32	+	2.11	5.19E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	121	13	6.18	+	2.10	1.08E-02
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	28	3	1.43	+	2.10	1.74E-01
regulation of cell cycle checkpoint (GO:1901976)	28	3	1.43	+	2.10	1.74E-01
response to vitamin D (GO:0033280)	28	3	1.43	+	2.10	1.74E-01
positive regulation of excitatory postsynaptic potential (GO:2000463)	28	3	1.43	+	2.10	1.74E-01
mismatch repair (GO:0006298)	28	3	1.43	+	2.10	1.74E-01
nucleotide-excision repair, preincision complex assembly (GO:0006294)	28	3	1.43	+	2.10	1.74E-01
glucose catabolic process (GO:0006007)	28	3	1.43	+	2.10	1.74E-01
dicarboxylic acid metabolic process (GO:0043648)	84	9	4.29	+	2.10	3.10E-02
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	28	3	1.43	+	2.10	1.74E-01
developmental induction (GO:0031128)	28	3	1.43	+	2.10	1.74E-01
long-chain fatty acid transport (GO:0015909)	56	6	2.86	+	2.10	7.02E-02
response to lipoprotein particle (GO:0055094)	28	3	1.43	+	2.10	1.74E-01
inner ear auditory receptor cell differentiation (GO:0042491)	28	3	1.43	+	2.10	1.74E-01
regulation of cholesterol efflux (GO:0010874)	28	3	1.43	+	2.10	1.74E-01
positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	28	3	1.43	+	2.10	1.74E-01
androgen metabolic process (GO:0008209)	28	3	1.43	+	2.10	1.74E-01
T-helper cell differentiation (GO:0042093)	28	3	1.43	+	2.10	1.74E-01
RNA localization (GO:0006403)	187	20	9.55	+	2.09	1.95E-03
isoprenoid metabolic process (GO:0006720)	131	14	6.69	+	2.09	8.70E-03
retrograde transport, endosome to Golgi (GO:0042147)	75	8	3.83	+	2.09	4.13E-02
regulation of proteasomal protein catabolic process (GO:0061136)	169	18	8.63	+	2.09	3.33E-03
regulation of lamellipodium organization (GO:1902743)	47	5	2.40	+	2.08	9.57E-02
glycogen metabolic process (GO:0005977)	47	5	2.40	+	2.08	9.57E-02
regulation of protein-containing complex disassembly (GO:0043244)	113	12	5.77	+	2.08	1.51E-02
mRNA 3'-end processing (GO:0031124)	66	7	3.37	+	2.08	5.54E-02
protein localization to nucleus (GO:0034504)	151	16	7.71	+	2.07	5.71E-03
post-Golgi vesicle-mediated transport (GO:0006892)	123	13	6.28	+	2.07	1.22E-02
cellular carbohydrate metabolic process (GO:0044262)	161	17	8.22	+	2.07	4.63E-03
regulation of steroid hormone secretion (GO:2000831)	19	2	.97	+	2.06	2.53E-01
response to nitric oxide (GO:0071731)	19	2	.97	+	2.06	2.53E-01
activation of adenylate cyclase activity (GO:0007190)	38	4	1.94	+	2.06	1.32E-01
blastocyst growth (GO:0001832)	19	2	.97	+	2.06	2.53E-01
auditory receptor cell development (GO:0060117)	19	2	.97	+	2.06	2.53E-01
pericardium development (GO:0060039)	19	2	.97	+	2.06	2.53E-01
mRNA cis splicing, via spliceosome (GO:0045292)	19	2	.97	+	2.06	2.53E-01
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	19	2	.97	+	2.06	2.53E-01
glandular epithelial cell differentiation (GO:0002067)	38	4	1.94	+	2.06	1.32E-01
cellular response to low-density lipoprotein particle stimulus (GO:0071404)	19	2	.97	+	2.06	2.53E-01
negative regulation of multi-organism process (GO:0043901)	19	2	.97	+	2.06	2.53E-01
positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190)	19	2	.97	+	2.06	2.53E-01
cellular polysaccharide catabolic process (GO:0044247)	19	2	.97	+	2.06	2.53E-01
negative regulation of potassium ion transmembrane transporter activity (GO:1901017)	19	2	.97	+	2.06	2.53E-01
platelet morphogenesis (GO:0036344)	19	2	.97	+	2.06	2.53E-01
prostate gland development (GO:0030850)	38	4	1.94	+	2.06	1.32E-01
phosphatidylserine acyl-chain remodeling (GO:0036150)	19	2	.97	+	2.06	2.53E-01
cellular response to amyloid-beta (GO:1904646)	38	4	1.94	+	2.06	1.32E-01
regulation of amyloid-beta clearance (GO:1900221)	19	2	.97	+	2.06	2.53E-01
vesicle cargo loading (GO:0035459)	19	2	.97	+	2.06	2.53E-01
regulation of necrotic cell death (GO:0010939)	38	4	1.94	+	2.06	1.32E-01
phospholipid dephosphorylation (GO:0046839)	38	4	1.94	+	2.06	1.32E-01
middle ear morphogenesis (GO:0042474)	19	2	.97	+	2.06	2.53E-01
regulation of ERAD pathway (GO:1904292)	19	2	.97	+	2.06	2.53E-01
folic acid metabolic process (GO:0046655)	19	2	.97	+	2.06	2.53E-01
positive regulation of insulin receptor signaling pathway (GO:0046628)	19	2	.97	+	2.06	2.53E-01
positive regulation of sprouting angiogenesis (GO:1903672)	19	2	.97	+	2.06	2.53E-01
positive regulation of smooth muscle cell migration (GO:0014911)	38	4	1.94	+	2.06	1.32E-01
regulation of protein modification by small protein conjugation or removal (GO:1903320)	219	23	11.19	+	2.06	1.19E-03
protein methylation (GO:0006479)	105	11	5.36	+	2.05	2.12E-02
regulation of DNA biosynthetic process (GO:2000278)	105	11	5.36	+	2.05	2.12E-02
glucose metabolic process (GO:0006006)	105	11	5.36	+	2.05	2.12E-02
protein alkylation (GO:0008213)	105	11	5.36	+	2.05	2.12E-02
plasma membrane organization (GO:0007009)	86	9	4.39	+	2.05	3.51E-02
double-strand break repair via homologous recombination (GO:0000724)	86	9	4.39	+	2.05	3.51E-02
cellular response to steroid hormone stimulus (GO:0071383)	134	14	6.84	+	2.05	1.04E-02
positive regulation of nucleocytoplasmic transport (GO:0046824)	67	7	3.42	+	2.05	5.91E-02
nucleocytoplasmic transport (GO:0006913)	230	24	11.75	+	2.04	1.02E-03
modulation by symbiont of entry into host (GO:0052372)	48	5	2.45	+	2.04	1.02E-01
spliceosomal complex assembly (GO:0000245)	48	5	2.45	+	2.04	1.02E-01
endosome to lysosome transport (GO:0008333)	48	5	2.45	+	2.04	1.02E-01
regulation of gene expression, epigenetic (GO:0040029)	135	14	6.90	+	2.03	1.11E-02
cellular response to nutrient levels (GO:0031669)	222	23	11.34	+	2.03	1.41E-03
alpha-beta T cell differentiation involved in immune response (GO:0002293)	29	3	1.48	+	2.03	1.86E-01
alpha-beta T cell activation involved in immune response (GO:0002287)	29	3	1.48	+	2.03	1.86E-01
negative regulation of calcium ion transport (GO:0051926)	58	6	2.96	+	2.03	7.98E-02
negative regulation of lymphocyte apoptotic process (GO:0070229)	29	3	1.48	+	2.03	1.86E-01
somatic diversification of immunoglobulins (GO:0016445)	29	3	1.48	+	2.03	1.86E-01
regulation of dendritic spine development (GO:0060998)	58	6	2.96	+	2.03	7.98E-02
embryonic hindlimb morphogenesis (GO:0035116)	29	3	1.48	+	2.03	1.86E-01
cardiac atrium morphogenesis (GO:0003209)	29	3	1.48	+	2.03	1.86E-01
organic hydroxy compound metabolic process (GO:1901615)	446	46	22.78	+	2.02	8.90E-06
peptidyl-tyrosine dephosphorylation (GO:0035335)	97	10	4.95	+	2.02	2.98E-02
nuclear transport (GO:0051169)	233	24	11.90	+	2.02	1.21E-03
interferon-gamma-mediated signaling pathway (GO:0060333)	68	7	3.47	+	2.02	6.28E-02
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	68	7	3.47	+	2.02	6.28E-02
protein targeting to vacuole (GO:0006623)	39	4	1.99	+	2.01	1.41E-01
regulation of JUN kinase activity (GO:0043506)	78	8	3.98	+	2.01	4.98E-02
regulation of mRNA processing (GO:0050684)	127	13	6.49	+	2.00	1.54E-02
cytosolic transport (GO:0016482)	127	13	6.49	+	2.00	1.54E-02
regulation of DNA-templated transcription, initiation (GO:2000142)	88	9	4.49	+	2.00	3.96E-02
recombinational repair (GO:0000725)	88	9	4.49	+	2.00	3.96E-02
alcohol catabolic process (GO:0046164)	49	5	2.50	+	2.00	1.09E-01
Golgi to plasma membrane transport (GO:0006893)	49	5	2.50	+	2.00	1.09E-01
negative regulation of fat cell differentiation (GO:0045599)	49	5	2.50	+	2.00	1.09E-01
regulation of cilium assembly (GO:1902017)	49	5	2.50	+	2.00	1.09E-01
phosphatidylinositol biosynthetic process (GO:0006661)	108	11	5.52	+	1.99	2.53E-02
negative regulation of RNA catabolic process (GO:1902369)	59	6	3.01	+	1.99	8.49E-02
alpha-amino acid biosynthetic process (GO:1901607)	59	6	3.01	+	1.99	8.49E-02
cell cycle G2/M phase transition (GO:0044839)	138	14	7.05	+	1.99	1.31E-02
sterol transport (GO:0015918)	69	7	3.52	+	1.99	6.68E-02
fatty acid transport (GO:0015908)	69	7	3.52	+	1.99	6.68E-02
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	79	8	4.04	+	1.98	5.28E-02
regulation of response to endoplasmic reticulum stress (GO:1905897)	79	8	4.04	+	1.98	5.28E-02
water homeostasis (GO:0030104)	79	8	4.04	+	1.98	5.28E-02
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	178	18	9.09	+	1.98	5.60E-03
purine nucleotide biosynthetic process (GO:0006164)	139	14	7.10	+	1.97	1.39E-02
intracellular receptor signaling pathway (GO:0030522)	189	19	9.65	+	1.97	4.79E-03
positive regulation of cell size (GO:0045793)	10	1	.51	+	1.96	4.00E-01
foregut morphogenesis (GO:0007440)	10	1	.51	+	1.96	4.00E-01
signal transduction involved in G2 DNA damage checkpoint (GO:0072425)	10	1	.51	+	1.96	4.00E-01
bronchus development (GO:0060433)	10	1	.51	+	1.96	4.00E-01
hypotonic response (GO:0006971)	10	1	.51	+	1.96	4.00E-01
positive regulation of osteoblast proliferation (GO:0033690)	10	1	.51	+	1.96	4.00E-01
positive regulation of endothelial cell differentiation (GO:0045603)	10	1	.51	+	1.96	4.00E-01
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	10	1	.51	+	1.96	4.00E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	20	2	1.02	+	1.96	2.72E-01
regulation of cell adhesion molecule production (GO:0060353)	10	1	.51	+	1.96	4.00E-01
carnitine shuttle (GO:0006853)	10	1	.51	+	1.96	4.00E-01
acute inflammatory response to antigenic stimulus (GO:0002438)	10	1	.51	+	1.96	4.00E-01
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	10	1	.51	+	1.96	4.00E-01
regulation of extracellular matrix organization (GO:1903053)	40	4	2.04	+	1.96	1.51E-01
activation of JNKK activity (GO:0007256)	10	1	.51	+	1.96	4.00E-01
metanephric glomerulus development (GO:0072224)	10	1	.51	+	1.96	4.00E-01
ER-associated misfolded protein catabolic process (GO:0071712)	10	1	.51	+	1.96	4.00E-01
gas homeostasis (GO:0033483)	10	1	.51	+	1.96	4.00E-01
cell proliferation involved in kidney development (GO:0072111)	10	1	.51	+	1.96	4.00E-01
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	10	1	.51	+	1.96	4.00E-01
T-helper cell lineage commitment (GO:0002295)	10	1	.51	+	1.96	4.00E-01
virion attachment to host cell (GO:0019062)	10	1	.51	+	1.96	4.00E-01
lysosomal transport (GO:0007041)	100	10	5.11	+	1.96	3.54E-02
L-serine metabolic process (GO:0006563)	10	1	.51	+	1.96	4.00E-01
negative regulation of synaptic transmission, glutamatergic (GO:0051967)	10	1	.51	+	1.96	4.00E-01
membrane protein ectodomain proteolysis (GO:0006509)	20	2	1.02	+	1.96	2.72E-01
negative regulation of fibrinolysis (GO:0051918)	10	1	.51	+	1.96	4.00E-01
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901838)	10	1	.51	+	1.96	4.00E-01
positive regulation of cellular amine metabolic process (GO:0033240)	10	1	.51	+	1.96	4.00E-01
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	20	2	1.02	+	1.96	2.72E-01
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	20	2	1.02	+	1.96	2.72E-01
opioid receptor signaling pathway (GO:0038003)	10	1	.51	+	1.96	4.00E-01
regulation of translational termination (GO:0006449)	10	1	.51	+	1.96	4.00E-01
regulation of neuron maturation (GO:0014041)	10	1	.51	+	1.96	4.00E-01
maintenance of epithelial cell apical/basal polarity (GO:0045199)	10	1	.51	+	1.96	4.00E-01
cell migration involved in sprouting angiogenesis (GO:0002042)	20	2	1.02	+	1.96	2.72E-01
manganese ion transmembrane transport (GO:0071421)	10	1	.51	+	1.96	4.00E-01
response to vitamin E (GO:0033197)	10	1	.51	+	1.96	4.00E-01
glycogen biosynthetic process (GO:0005978)	20	2	1.02	+	1.96	2.72E-01
cellular response to testosterone stimulus (GO:0071394)	10	1	.51	+	1.96	4.00E-01
DNA dealkylation involved in DNA repair (GO:0006307)	10	1	.51	+	1.96	4.00E-01
response to L-glutamate (GO:1902065)	10	1	.51	+	1.96	4.00E-01
positive regulation of phosphoprotein phosphatase activity (GO:0032516)	20	2	1.02	+	1.96	2.72E-01
cellular response to leucine (GO:0071233)	10	1	.51	+	1.96	4.00E-01
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	10	1	.51	+	1.96	4.00E-01
ether biosynthetic process (GO:1901503)	10	1	.51	+	1.96	4.00E-01
negative regulation of fatty acid transport (GO:2000192)	10	1	.51	+	1.96	4.00E-01
vesicle fusion to plasma membrane (GO:0099500)	10	1	.51	+	1.96	4.00E-01
cAMP biosynthetic process (GO:0006171)	10	1	.51	+	1.96	4.00E-01
regulation of glucocorticoid metabolic process (GO:0031943)	10	1	.51	+	1.96	4.00E-01
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220)	10	1	.51	+	1.96	4.00E-01
cellular response to oxidised low-density lipoprotein particle stimulus (GO:0140052)	10	1	.51	+	1.96	4.00E-01
positive regulation of cholesterol metabolic process (GO:0090205)	10	1	.51	+	1.96	4.00E-01
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	20	2	1.02	+	1.96	2.72E-01
negative regulation of hormone biosynthetic process (GO:0032353)	10	1	.51	+	1.96	4.00E-01
serine transport (GO:0032329)	10	1	.51	+	1.96	4.00E-01
DNA double-strand break processing (GO:0000729)	20	2	1.02	+	1.96	2.72E-01
inositol metabolic process (GO:0006020)	10	1	.51	+	1.96	4.00E-01
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	10	1	.51	+	1.96	4.00E-01
regulation of cellular response to osmotic stress (GO:0106049)	10	1	.51	+	1.96	4.00E-01
positive regulation of extracellular matrix assembly (GO:1901203)	10	1	.51	+	1.96	4.00E-01
primitive streak formation (GO:0090009)	10	1	.51	+	1.96	4.00E-01
spindle midzone assembly (GO:0051255)	10	1	.51	+	1.96	4.00E-01
sequestering of metal ion (GO:0051238)	10	1	.51	+	1.96	4.00E-01
positive regulation of heat generation (GO:0031652)	10	1	.51	+	1.96	4.00E-01
keratinocyte proliferation (GO:0043616)	10	1	.51	+	1.96	4.00E-01
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	10	1	.51	+	1.96	4.00E-01
regulation of fat cell proliferation (GO:0070344)	10	1	.51	+	1.96	4.00E-01
regulation of deoxyribonuclease activity (GO:0032070)	10	1	.51	+	1.96	4.00E-01
tetrahydrofolate interconversion (GO:0035999)	10	1	.51	+	1.96	4.00E-01
positive regulation of fatty acid beta-oxidation (GO:0032000)	10	1	.51	+	1.96	4.00E-01
regulation of translational initiation in response to stress (GO:0043558)	10	1	.51	+	1.96	4.00E-01
homocysteine metabolic process (GO:0050667)	10	1	.51	+	1.96	4.00E-01
regulation of establishment of protein localization to telomere (GO:0070203)	10	1	.51	+	1.96	4.00E-01
positive regulation of isotype switching to IgG isotypes (GO:0048304)	10	1	.51	+	1.96	4.00E-01
ESCRT III complex disassembly (GO:1904903)	10	1	.51	+	1.96	4.00E-01
positive regulation of lipoprotein lipase activity (GO:0051006)	10	1	.51	+	1.96	4.00E-01
regulation of Golgi to plasma membrane protein transport (GO:0042996)	10	1	.51	+	1.96	4.00E-01
ESCRT complex disassembly (GO:1904896)	10	1	.51	+	1.96	4.00E-01
regulation of memory T cell differentiation (GO:0043380)	10	1	.51	+	1.96	4.00E-01
mitotic prometaphase (GO:0000236)	160	16	8.17	+	1.96	9.56E-03
regulation of prostaglandin biosynthetic process (GO:0031392)	10	1	.51	+	1.96	4.00E-01
regulation of protein localization to centrosome (GO:1904779)	10	1	.51	+	1.96	4.00E-01
regulation of intestinal lipid absorption (GO:1904729)	10	1	.51	+	1.96	4.00E-01
ceramide transport (GO:0035627)	10	1	.51	+	1.96	4.00E-01
long-chain fatty acid catabolic process (GO:0042758)	10	1	.51	+	1.96	4.00E-01
regulation of NLRP3 inflammasome complex assembly (GO:1900225)	10	1	.51	+	1.96	4.00E-01
glucan biosynthetic process (GO:0009250)	20	2	1.02	+	1.96	2.72E-01
DNA methylation involved in gamete generation (GO:0043046)	20	2	1.02	+	1.96	2.72E-01
pre-miRNA processing (GO:0031054)	10	1	.51	+	1.96	4.00E-01
neutral amino acid transport (GO:0015804)	40	4	2.04	+	1.96	1.51E-01
branched-chain amino acid transport (GO:0015803)	10	1	.51	+	1.96	4.00E-01
purine nucleoside monophosphate biosynthetic process (GO:0009127)	20	2	1.02	+	1.96	2.72E-01
protein folding in endoplasmic reticulum (GO:0034975)	10	1	.51	+	1.96	4.00E-01
histone arginine methylation (GO:0034969)	10	1	.51	+	1.96	4.00E-01
RNA interference (GO:0016246)	10	1	.51	+	1.96	4.00E-01
histone H3-K9 modification (GO:0061647)	20	2	1.02	+	1.96	2.72E-01
fatty-acyl-CoA metabolic process (GO:0035337)	40	4	2.04	+	1.96	1.51E-01
regulation of odontogenesis of dentin-containing tooth (GO:0042487)	10	1	.51	+	1.96	4.00E-01
positive regulation of protein export from nucleus (GO:0046827)	20	2	1.02	+	1.96	2.72E-01
regulation of dopaminergic neuron differentiation (GO:1904338)	10	1	.51	+	1.96	4.00E-01
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	20	2	1.02	+	1.96	2.72E-01
norepinephrine metabolic process (GO:0042415)	10	1	.51	+	1.96	4.00E-01
GDP metabolic process (GO:0046710)	10	1	.51	+	1.96	4.00E-01
regulation of intestinal cholesterol absorption (GO:0030300)	10	1	.51	+	1.96	4.00E-01
error-prone translesion synthesis (GO:0042276)	20	2	1.02	+	1.96	2.72E-01
natural killer cell mediated cytotoxicity (GO:0042267)	20	2	1.02	+	1.96	2.72E-01
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	40	4	2.04	+	1.96	1.51E-01
maintenance of apical/basal cell polarity (GO:0035090)	10	1	.51	+	1.96	4.00E-01
negative regulation of viral entry into host cell (GO:0046597)	20	2	1.02	+	1.96	2.72E-01
intracellular mRNA localization (GO:0008298)	10	1	.51	+	1.96	4.00E-01
desmosome organization (GO:0002934)	10	1	.51	+	1.96	4.00E-01
monoacylglycerol metabolic process (GO:0046462)	10	1	.51	+	1.96	4.00E-01
snRNA 3'-end processing (GO:0034472)	20	2	1.02	+	1.96	2.72E-01
positive regulation of striated muscle contraction (GO:0045989)	10	1	.51	+	1.96	4.00E-01
positive regulation of transcription by RNA polymerase III (GO:0045945)	10	1	.51	+	1.96	4.00E-01
regulation of cell maturation (GO:1903429)	20	2	1.02	+	1.96	2.72E-01
hindbrain radial glia guided cell migration (GO:0021932)	10	1	.51	+	1.96	4.00E-01
endocardial cushion formation (GO:0003272)	20	2	1.02	+	1.96	2.72E-01
regulation of secondary heart field cardioblast proliferation (GO:0003266)	10	1	.51	+	1.96	4.00E-01
telomere localization (GO:0034397)	10	1	.51	+	1.96	4.00E-01
cardiac ventricle formation (GO:0003211)	10	1	.51	+	1.96	4.00E-01
regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)	10	1	.51	+	1.96	4.00E-01
high-density lipoprotein particle clearance (GO:0034384)	10	1	.51	+	1.96	4.00E-01
chylomicron assembly (GO:0034378)	10	1	.51	+	1.96	4.00E-01
dendritic spine maintenance (GO:0097062)	10	1	.51	+	1.96	4.00E-01
negative regulation of protein polyubiquitination (GO:1902915)	10	1	.51	+	1.96	4.00E-01
negative regulation of muscle adaptation (GO:0014745)	10	1	.51	+	1.96	4.00E-01
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	20	2	1.02	+	1.96	2.72E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	10	1	.51	+	1.96	4.00E-01
regulation of vascular wound healing (GO:0061043)	10	1	.51	+	1.96	4.00E-01
positive regulation of animal organ morphogenesis (GO:0110110)	30	3	1.53	+	1.96	1.99E-01
multi-organism localization (GO:1902579)	60	6	3.06	+	1.96	9.02E-02
inner ear receptor cell stereocilium organization (GO:0060122)	30	3	1.53	+	1.96	1.99E-01
cellular response to dexamethasone stimulus (GO:0071549)	30	3	1.53	+	1.96	1.99E-01
multi-organism transport (GO:0044766)	60	6	3.06	+	1.96	9.02E-02
negative regulation of interleukin-1 production (GO:0032692)	30	3	1.53	+	1.96	1.99E-01
regulation of interferon-alpha production (GO:0032647)	30	3	1.53	+	1.96	1.99E-01
cellular response to glucose stimulus (GO:0071333)	70	7	3.58	+	1.96	7.08E-02
epidermis morphogenesis (GO:0048730)	30	3	1.53	+	1.96	1.99E-01
protein sumoylation (GO:0016925)	60	6	3.06	+	1.96	9.02E-02
regulation of actin nucleation (GO:0051125)	30	3	1.53	+	1.96	1.99E-01
regulation of protein ubiquitination (GO:0031396)	190	19	9.70	+	1.96	5.06E-03
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	230	23	11.75	+	1.96	2.19E-03
regulation of programmed necrotic cell death (GO:0062098)	30	3	1.53	+	1.96	1.99E-01
negative regulation of cell-substrate adhesion (GO:0010812)	60	6	3.06	+	1.96	9.02E-02
response to prostaglandin (GO:0034694)	30	3	1.53	+	1.96	1.99E-01
positive regulation of cartilage development (GO:0061036)	30	3	1.53	+	1.96	1.99E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	201	20	10.27	+	1.95	4.32E-03
vacuolar transport (GO:0007034)	141	14	7.20	+	1.94	1.55E-02
nucleus organization (GO:0006997)	121	12	6.18	+	1.94	2.40E-02
regulation of cellular protein catabolic process (GO:1903362)	232	23	11.85	+	1.94	2.43E-03
cellular response to external stimulus (GO:0071496)	323	32	16.50	+	1.94	3.97E-04
stress-activated MAPK cascade (GO:0051403)	101	10	5.16	+	1.94	3.75E-02
cellular glucose homeostasis (GO:0001678)	91	9	4.65	+	1.94	4.70E-02
spindle assembly (GO:0051225)	81	8	4.14	+	1.93	5.93E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	152	15	7.76	+	1.93	1.32E-02
response to amino acid starvation (GO:1990928)	71	7	3.63	+	1.93	7.50E-02
negative regulation of protein ubiquitination (GO:0031397)	71	7	3.63	+	1.93	7.50E-02
ATP-dependent chromatin remodeling (GO:0043044)	71	7	3.63	+	1.93	7.50E-02
neural nucleus development (GO:0048857)	61	6	3.12	+	1.93	9.56E-02
apical junction assembly (GO:0043297)	61	6	3.12	+	1.93	9.56E-02
protein-lipid complex subunit organization (GO:0071825)	51	5	2.60	+	1.92	1.23E-01
negative regulation of mRNA catabolic process (GO:1902373)	51	5	2.60	+	1.92	1.23E-01
positive regulation of interleukin-1 beta production (GO:0032731)	51	5	2.60	+	1.92	1.23E-01
intracellular transport of virus (GO:0075733)	51	5	2.60	+	1.92	1.23E-01
positive regulation of axon extension (GO:0045773)	41	4	2.09	+	1.91	1.60E-01
lung morphogenesis (GO:0060425)	41	4	2.09	+	1.91	1.60E-01
histone H3 acetylation (GO:0043966)	41	4	2.09	+	1.91	1.60E-01
protein K63-linked ubiquitination (GO:0070534)	41	4	2.09	+	1.91	1.60E-01
mRNA splicing, via spliceosome (GO:0000398)	267	26	13.64	+	1.91	1.68E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	267	26	13.64	+	1.91	1.68E-03
negative regulation of DNA metabolic process (GO:0051053)	113	11	5.77	+	1.91	3.34E-02
regulation of double-strand break repair (GO:2000779)	72	7	3.68	+	1.90	7.94E-02
cellular response to hexose stimulus (GO:0071331)	72	7	3.68	+	1.90	7.94E-02
regulation of epidermis development (GO:0045682)	62	6	3.17	+	1.89	1.01E-01
regulation of neuroblast proliferation (GO:1902692)	31	3	1.58	+	1.89	2.12E-01
protein deglycosylation (GO:0006517)	31	3	1.58	+	1.89	2.12E-01
regulation of focal adhesion assembly (GO:0051893)	62	6	3.17	+	1.89	1.01E-01
regulation of isotype switching (GO:0045191)	31	3	1.58	+	1.89	2.12E-01
artery morphogenesis (GO:0048844)	62	6	3.17	+	1.89	1.01E-01
negative regulation of lipid transport (GO:0032369)	31	3	1.58	+	1.89	2.12E-01
regulation of cell-substrate junction assembly (GO:0090109)	62	6	3.17	+	1.89	1.01E-01
spleen development (GO:0048536)	31	3	1.58	+	1.89	2.12E-01
hormone-mediated signaling pathway (GO:0009755)	124	12	6.33	+	1.89	2.82E-02
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	31	3	1.58	+	1.89	2.12E-01
regulation of anion transmembrane transport (GO:1903959)	31	3	1.58	+	1.89	2.12E-01
