




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
chromosome condensation (GO:0030261)	35	3	.82	+	3.68	4.96E-02
negative regulation of cold-induced thermogenesis (GO:0120163)	47	4	1.10	+	3.65	2.52E-02
face development (GO:0060324)	59	5	1.38	+	3.64	1.31E-02
cellular response to hydrogen peroxide (GO:0070301)	59	5	1.38	+	3.64	1.31E-02
cardiac septum development (GO:0003279)	118	10	2.75	+	3.64	5.45E-04
coronary vasculature development (GO:0060976)	71	6	1.66	+	3.63	6.94E-03
positive regulation of mRNA processing (GO:0050685)	36	3	.84	+	3.57	5.30E-02
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	36	3	.84	+	3.57	5.30E-02
non-canonical Wnt signaling pathway (GO:0035567)	36	3	.84	+	3.57	5.30E-02
regulation of lamellipodium assembly (GO:0010591)	36	3	.84	+	3.57	5.30E-02
negative regulation of JNK cascade (GO:0046329)	36	3	.84	+	3.57	5.30E-02
regulation of postsynaptic membrane potential (GO:0060078)	60	5	1.40	+	3.57	1.40E-02
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	24	2	.56	+	3.57	1.09E-01
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	24	2	.56	+	3.57	1.09E-01
foregut morphogenesis (GO:0007440)	12	1	.28	+	3.57	2.44E-01
response to sterol depletion (GO:0006991)	12	1	.28	+	3.57	2.44E-01
substrate-dependent cell migration (GO:0006929)	24	2	.56	+	3.57	1.09E-01
positive regulation of epidermis development (GO:0045684)	24	2	.56	+	3.57	1.09E-01
cerebellar granular layer morphogenesis (GO:0021683)	12	1	.28	+	3.57	2.44E-01
subpallium development (GO:0021544)	24	2	.56	+	3.57	1.09E-01
T cell mediated cytotoxicity (GO:0001913)	12	1	.28	+	3.57	2.44E-01
cyclic purine nucleotide metabolic process (GO:0052652)	24	2	.56	+	3.57	1.09E-01
regulation of apoptotic DNA fragmentation (GO:1902510)	12	1	.28	+	3.57	2.44E-01
positive regulation of phospholipid transport (GO:2001140)	12	1	.28	+	3.57	2.44E-01
activin receptor signaling pathway (GO:0032924)	24	2	.56	+	3.57	1.09E-01
regulation of transforming growth factor beta1 production (GO:0032908)	12	1	.28	+	3.57	2.44E-01
positive regulation of MHC class II biosynthetic process (GO:0045348)	12	1	.28	+	3.57	2.44E-01
positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034)	12	1	.28	+	3.57	2.44E-01
inhibitory postsynaptic potential (GO:0060080)	12	1	.28	+	3.57	2.44E-01
angiogenesis involved in wound healing (GO:0060055)	12	1	.28	+	3.57	2.44E-01
ERBB signaling pathway (GO:0038127)	48	4	1.12	+	3.57	2.70E-02
glycine metabolic process (GO:0006544)	12	1	.28	+	3.57	2.44E-01
L-glutamate import (GO:0051938)	12	1	.28	+	3.57	2.44E-01
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836)	12	1	.28	+	3.57	2.44E-01
leptin-mediated signaling pathway (GO:0033210)	12	1	.28	+	3.57	2.44E-01
nodal signaling pathway (GO:0038092)	12	1	.28	+	3.57	2.44E-01
positive regulation of interleukin-5 production (GO:0032754)	12	1	.28	+	3.57	2.44E-01
cellular response to acidic pH (GO:0071468)	12	1	.28	+	3.57	2.44E-01
positive regulation of signal transduction by p53 class mediator (GO:1901798)	24	2	.56	+	3.57	1.09E-01
desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	24	2	.56	+	3.57	1.09E-01
calcineurin-NFAT signaling cascade (GO:0033173)	12	1	.28	+	3.57	2.44E-01
left/right axis specification (GO:0070986)	12	1	.28	+	3.57	2.44E-01
nucleosome disassembly (GO:0006337)	12	1	.28	+	3.57	2.44E-01
peripheral nervous system neuron development (GO:0048935)	12	1	.28	+	3.57	2.44E-01
peripheral nervous system neuron differentiation (GO:0048934)	12	1	.28	+	3.57	2.44E-01
positive regulation of multi-organism process (GO:0043902)	24	2	.56	+	3.57	1.09E-01
inositol metabolic process (GO:0006020)	12	1	.28	+	3.57	2.44E-01
dendritic transport (GO:0098935)	12	1	.28	+	3.57	2.44E-01
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	12	1	.28	+	3.57	2.44E-01
retrograde transport, endosome to plasma membrane (GO:1990126)	24	2	.56	+	3.57	1.09E-01
negative regulation of myelination (GO:0031642)	12	1	.28	+	3.57	2.44E-01
catechol-containing compound biosynthetic process (GO:0009713)	24	2	.56	+	3.57	1.09E-01
regulation of fat cell proliferation (GO:0070344)	12	1	.28	+	3.57	2.44E-01
cell death in response to oxidative stress (GO:0036473)	24	2	.56	+	3.57	1.09E-01
presynapse organization (GO:0099172)	24	2	.56	+	3.57	1.09E-01
presynaptic modulation of chemical synaptic transmission (GO:0099171)	12	1	.28	+	3.57	2.44E-01
negative regulation of response to reactive oxygen species (GO:1901032)	24	2	.56	+	3.57	1.09E-01
Golgi inheritance (GO:0048313)	12	1	.28	+	3.57	2.44E-01
post-anal tail morphogenesis (GO:0036342)	24	2	.56	+	3.57	1.09E-01
organelle inheritance (GO:0048308)	12	1	.28	+	3.57	2.44E-01
response to sterol (GO:0036314)	24	2	.56	+	3.57	1.09E-01
chromatin disassembly (GO:0031498)	12	1	.28	+	3.57	2.44E-01
regulation of renal sodium excretion (GO:0035813)	24	2	.56	+	3.57	1.09E-01
synaptic vesicle budding (GO:0070142)	12	1	.28	+	3.57	2.44E-01
positive regulation of defense response to bacterium (GO:1900426)	12	1	.28	+	3.57	2.44E-01
mitochondrial fission (GO:0000266)	24	2	.56	+	3.57	1.09E-01
mRNA transcription by RNA polymerase II (GO:0042789)	12	1	.28	+	3.57	2.44E-01
negative regulation of long-term synaptic potentiation (GO:1900272)	12	1	.28	+	3.57	2.44E-01
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	24	2	.56	+	3.57	1.09E-01
insulin-like growth factor receptor signaling pathway (GO:0048009)	12	1	.28	+	3.57	2.44E-01
purinergic nucleotide receptor signaling pathway (GO:0035590)	12	1	.28	+	3.57	2.44E-01
regulation of metallopeptidase activity (GO:1905048)	12	1	.28	+	3.57	2.44E-01
cyclic nucleotide biosynthetic process (GO:0009190)	24	2	.56	+	3.57	1.09E-01
basic amino acid transport (GO:0015802)	12	1	.28	+	3.57	2.44E-01
regulation of protein K63-linked ubiquitination (GO:1900044)	12	1	.28	+	3.57	2.44E-01
glycolytic process through fructose-6-phosphate (GO:0061615)	12	1	.28	+	3.57	2.44E-01
negative regulation of hippo signaling (GO:0035331)	12	1	.28	+	3.57	2.44E-01
catecholamine biosynthetic process (GO:0042423)	24	2	.56	+	3.57	1.09E-01
dopamine biosynthetic process (GO:0042416)	12	1	.28	+	3.57	2.44E-01
negative regulation of TORC1 signaling (GO:1904262)	12	1	.28	+	3.57	2.44E-01
regulation of bile acid metabolic process (GO:1904251)	12	1	.28	+	3.57	2.44E-01
positive regulation of macrophage chemotaxis (GO:0010759)	24	2	.56	+	3.57	1.09E-01
endocrine hormone secretion (GO:0060986)	12	1	.28	+	3.57	2.44E-01
positive regulation of insulin receptor signaling pathway (GO:0046628)	24	2	.56	+	3.57	1.09E-01
regulation of retrograde protein transport, ER to cytosol (GO:1904152)	12	1	.28	+	3.57	2.44E-01
negative regulation of sprouting angiogenesis (GO:1903671)	12	1	.28	+	3.57	2.44E-01
establishment of blood-brain barrier (GO:0060856)	12	1	.28	+	3.57	2.44E-01
regulation of cilium beat frequency (GO:0003356)	12	1	.28	+	3.57	2.44E-01
monoacylglycerol metabolic process (GO:0046462)	12	1	.28	+	3.57	2.44E-01
regulation of skeletal muscle satellite cell proliferation (GO:0014842)	12	1	.28	+	3.57	2.44E-01
muscle cell migration (GO:0014812)	24	2	.56	+	3.57	1.09E-01
negative adaptation of signaling pathway (GO:0022401)	24	2	.56	+	3.57	1.09E-01
endocardium development (GO:0003157)	12	1	.28	+	3.57	2.44E-01
prostate glandular acinus development (GO:0060525)	12	1	.28	+	3.57	2.44E-01
Ras protein signal transduction (GO:0007265)	133	11	3.10	+	3.55	3.58E-04
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	121	10	2.82	+	3.55	6.60E-04
regulation of Rho protein signal transduction (GO:0035023)	134	11	3.12	+	3.52	3.81E-04
regulation of focal adhesion assembly (GO:0051893)	61	5	1.42	+	3.52	1.50E-02
detection of mechanical stimulus (GO:0050982)	61	5	1.42	+	3.52	1.50E-02
regulation of cell-substrate junction assembly (GO:0090109)	61	5	1.42	+	3.52	1.50E-02
epithelial tube formation (GO:0072175)	160	13	3.73	+	3.49	1.28E-04
blood vessel diameter maintenance (GO:0097746)	160	13	3.73	+	3.49	1.28E-04
regulation of tube diameter (GO:0035296)	160	13	3.73	+	3.49	1.28E-04
lymphocyte chemotaxis (GO:0048247)	37	3	.86	+	3.48	5.66E-02
response to cocaine (GO:0042220)	37	3	.86	+	3.48	5.66E-02
response to ischemia (GO:0002931)	37	3	.86	+	3.48	5.66E-02
negative regulation of smoothened signaling pathway (GO:0045879)	37	3	.86	+	3.48	5.66E-02
positive regulation of axonogenesis (GO:0050772)	99	8	2.31	+	3.47	2.55E-03
regulation of tube size (GO:0035150)	161	13	3.75	+	3.46	1.36E-04
positive regulation of cilium assembly (GO:0045724)	25	2	.58	+	3.43	1.16E-01
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	25	2	.58	+	3.43	1.16E-01
lipid import into cell (GO:0140354)	25	2	.58	+	3.43	1.16E-01
regulation of protein deacetylation (GO:0090311)	50	4	1.17	+	3.43	3.06E-02
protein hydroxylation (GO:0018126)	25	2	.58	+	3.43	1.16E-01
regulation of non-canonical Wnt signaling pathway (GO:2000050)	25	2	.58	+	3.43	1.16E-01
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	25	2	.58	+	3.43	1.16E-01
peptide catabolic process (GO:0043171)	25	2	.58	+	3.43	1.16E-01
ketone biosynthetic process (GO:0042181)	25	2	.58	+	3.43	1.16E-01
phosphatidic acid metabolic process (GO:0046473)	25	2	.58	+	3.43	1.16E-01
tube formation (GO:0035148)	176	14	4.10	+	3.41	8.88E-05
semaphorin-plexin signaling pathway (GO:0071526)	38	3	.89	+	3.39	6.04E-02
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	38	3	.89	+	3.39	6.04E-02
regulation of response to reactive oxygen species (GO:1901031)	38	3	.89	+	3.39	6.04E-02
response to pain (GO:0048265)	38	3	.89	+	3.39	6.04E-02
neutral amino acid transport (GO:0015804)	38	3	.89	+	3.39	6.04E-02
regulation of fatty acid oxidation (GO:0046320)	38	3	.89	+	3.39	6.04E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	114	9	2.66	+	3.39	1.65E-03
regulation of triglyceride metabolic process (GO:0090207)	51	4	1.19	+	3.36	3.26E-02
neuron apoptotic process (GO:0051402)	51	4	1.19	+	3.36	3.26E-02
chemokine-mediated signaling pathway (GO:0070098)	51	4	1.19	+	3.36	3.26E-02
regulation of striated muscle tissue development (GO:0016202)	51	4	1.19	+	3.36	3.26E-02
trabecula morphogenesis (GO:0061383)	51	4	1.19	+	3.36	3.26E-02
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	64	5	1.49	+	3.35	1.80E-02
cardiac septum morphogenesis (GO:0060411)	77	6	1.79	+	3.34	1.01E-02
embryonic epithelial tube formation (GO:0001838)	154	12	3.59	+	3.34	3.34E-04
amino acid transmembrane transport (GO:0003333)	77	6	1.79	+	3.34	1.01E-02
positive regulation of epidermal growth factor-activated receptor activity (GO:0045741)	13	1	.30	+	3.30	2.62E-01
regulation of glomerular filtration (GO:0003093)	13	1	.30	+	3.30	2.62E-01
branching involved in prostate gland morphogenesis (GO:0060442)	13	1	.30	+	3.30	2.62E-01
positive regulation of erythrocyte differentiation (GO:0045648)	26	2	.61	+	3.30	1.24E-01
positive regulation of keratinocyte differentiation (GO:0045618)	13	1	.30	+	3.30	2.62E-01
pathway-restricted SMAD protein phosphorylation (GO:0060389)	13	1	.30	+	3.30	2.62E-01
optic nerve development (GO:0021554)	13	1	.30	+	3.30	2.62E-01
protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)	26	2	.61	+	3.30	1.24E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	13	1	.30	+	3.30	2.62E-01
lymphoid progenitor cell differentiation (GO:0002320)	13	1	.30	+	3.30	2.62E-01
regulation of phospholipid transport (GO:2001138)	13	1	.30	+	3.30	2.62E-01
nonribosomal peptide biosynthetic process (GO:0019184)	13	1	.30	+	3.30	2.62E-01
commissural neuron axon guidance (GO:0071679)	13	1	.30	+	3.30	2.62E-01
immunological synapse formation (GO:0001771)	13	1	.30	+	3.30	2.62E-01
otic vesicle development (GO:0071599)	13	1	.30	+	3.30	2.62E-01
regulation of amino acid transport (GO:0051955)	52	4	1.21	+	3.30	3.46E-02
regulation of gamma-aminobutyric acid secretion (GO:0014052)	13	1	.30	+	3.30	2.62E-01
regulation of histone phosphorylation (GO:0033127)	13	1	.30	+	3.30	2.62E-01
ganglioside metabolic process (GO:0001573)	26	2	.61	+	3.30	1.24E-01
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	26	2	.61	+	3.30	1.24E-01
cellular response to reactive nitrogen species (GO:1902170)	13	1	.30	+	3.30	2.62E-01
negative regulation of cilium assembly (GO:1902018)	13	1	.30	+	3.30	2.62E-01
cellular response to lithium ion (GO:0071285)	13	1	.30	+	3.30	2.62E-01
membrane disruption in other organism (GO:0051673)	13	1	.30	+	3.30	2.62E-01
positive regulation of keratinocyte migration (GO:0051549)	13	1	.30	+	3.30	2.62E-01
positive regulation of astrocyte differentiation (GO:0048711)	13	1	.30	+	3.30	2.62E-01
positive regulation of muscle organ development (GO:0048636)	26	2	.61	+	3.30	1.24E-01
positive regulation of positive chemotaxis (GO:0050927)	26	2	.61	+	3.30	1.24E-01
regulation of extracellular matrix assembly (GO:1901201)	13	1	.30	+	3.30	2.62E-01
endocrine process (GO:0050886)	52	4	1.21	+	3.30	3.46E-02
Peyer's patch development (GO:0048541)	13	1	.30	+	3.30	2.62E-01
mucosa-associated lymphoid tissue development (GO:0048537)	13	1	.30	+	3.30	2.62E-01
negative regulation of appetite (GO:0032099)	13	1	.30	+	3.30	2.62E-01
regulation of modification of postsynaptic structure (GO:0099159)	13	1	.30	+	3.30	2.62E-01
tRNA 5'-end processing (GO:0099116)	13	1	.30	+	3.30	2.62E-01
response to magnesium ion (GO:0032026)	13	1	.30	+	3.30	2.62E-01
hemoglobin metabolic process (GO:0020027)	13	1	.30	+	3.30	2.62E-01
negative regulation of JUN kinase activity (GO:0043508)	13	1	.30	+	3.30	2.62E-01
paraxial mesoderm morphogenesis (GO:0048340)	13	1	.30	+	3.30	2.62E-01
regulation of secondary metabolic process (GO:0043455)	13	1	.30	+	3.30	2.62E-01
cytoplasmic sequestering of transcription factor (GO:0042994)	13	1	.30	+	3.30	2.62E-01
response to UV-A (GO:0070141)	13	1	.30	+	3.30	2.62E-01
regulation of glucagon secretion (GO:0070092)	13	1	.30	+	3.30	2.62E-01
toxin metabolic process (GO:0009404)	13	1	.30	+	3.30	2.62E-01
regulation of secondary metabolite biosynthetic process (GO:1900376)	13	1	.30	+	3.30	2.62E-01
regulation of melanin biosynthetic process (GO:0048021)	13	1	.30	+	3.30	2.62E-01
regulation of NLRP3 inflammasome complex assembly (GO:1900225)	13	1	.30	+	3.30	2.62E-01
nucleoside triphosphate catabolic process (GO:0009143)	13	1	.30	+	3.30	2.62E-01
response to caffeine (GO:0031000)	13	1	.30	+	3.30	2.62E-01
regulation of amino acid import across plasma membrane (GO:0010958)	13	1	.30	+	3.30	2.62E-01
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	13	1	.30	+	3.30	2.62E-01
cellular response to forskolin (GO:1904322)	13	1	.30	+	3.30	2.62E-01
response to forskolin (GO:1904321)	13	1	.30	+	3.30	2.62E-01
sleep (GO:0030431)	13	1	.30	+	3.30	2.62E-01
positive regulation of glucose transmembrane transport (GO:0010828)	52	4	1.21	+	3.30	3.46E-02
regulation of neuroinflammatory response (GO:0150077)	26	2	.61	+	3.30	1.24E-01
adrenal gland development (GO:0030325)	26	2	.61	+	3.30	1.24E-01
regulation of amino acid transmembrane transport (GO:1903789)	13	1	.30	+	3.30	2.62E-01
regulation of plasma membrane organization (GO:1903729)	13	1	.30	+	3.30	2.62E-01
chondroitin sulfate metabolic process (GO:0030204)	26	2	.61	+	3.30	1.24E-01
adaptation of signaling pathway (GO:0023058)	26	2	.61	+	3.30	1.24E-01
lipoprotein catabolic process (GO:0042159)	13	1	.30	+	3.30	2.62E-01
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	13	1	.30	+	3.30	2.62E-01
keratinocyte development (GO:0003334)	13	1	.30	+	3.30	2.62E-01
glycosphingolipid catabolic process (GO:0046479)	13	1	.30	+	3.30	2.62E-01
negative regulation of fatty acid metabolic process (GO:0045922)	26	2	.61	+	3.30	1.24E-01
branching involved in labyrinthine layer morphogenesis (GO:0060670)	13	1	.30	+	3.30	2.62E-01
regulation of dendritic spine maintenance (GO:1902950)	13	1	.30	+	3.30	2.62E-01
positive regulation of striated muscle tissue development (GO:0045844)	26	2	.61	+	3.30	1.24E-01
pyramidal neuron development (GO:0021860)	13	1	.30	+	3.30	2.62E-01
peptidyl-proline hydroxylation (GO:0019511)	13	1	.30	+	3.30	2.62E-01
regulation of synaptic transmission, glutamatergic (GO:0051966)	78	6	1.82	+	3.30	1.07E-02
lens development in camera-type eye (GO:0002088)	78	6	1.82	+	3.30	1.07E-02
regulation of renal system process (GO:0098801)	39	3	.91	+	3.30	6.42E-02
acidic amino acid transport (GO:0015800)	39	3	.91	+	3.30	6.42E-02
positive regulation of cell-substrate adhesion (GO:0010811)	130	10	3.03	+	3.30	1.13E-03
response to mechanical stimulus (GO:0009612)	144	11	3.36	+	3.28	6.86E-04
regulation of cell-substrate junction organization (GO:0150116)	66	5	1.54	+	3.25	2.02E-02
collagen metabolic process (GO:0032963)	53	4	1.24	+	3.24	3.67E-02
regulation of systemic arterial blood pressure by hormone (GO:0001990)	40	3	.93	+	3.22	6.81E-02
L-alpha-amino acid transmembrane transport (GO:1902475)	40	3	.93	+	3.22	6.81E-02
acyl-CoA metabolic process (GO:0006637)	80	6	1.86	+	3.22	1.20E-02
regulation of dopamine secretion (GO:0014059)	40	3	.93	+	3.22	6.81E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	80	6	1.86	+	3.22	1.20E-02
thioester metabolic process (GO:0035383)	80	6	1.86	+	3.22	1.20E-02
regulation of fibroblast migration (GO:0010762)	40	3	.93	+	3.22	6.81E-02
lipid storage (GO:0019915)	40	3	.93	+	3.22	6.81E-02
positive regulation of smooth muscle cell proliferation (GO:0048661)	107	8	2.49	+	3.21	4.06E-03
branching involved in mammary gland duct morphogenesis (GO:0060444)	27	2	.63	+	3.18	1.32E-01
smooth muscle contraction (GO:0006939)	54	4	1.26	+	3.18	3.88E-02
lymph vessel development (GO:0001945)	27	2	.63	+	3.18	1.32E-01
positive regulation of muscle tissue development (GO:1901863)	27	2	.63	+	3.18	1.32E-01
regulation of muscle tissue development (GO:1901861)	54	4	1.26	+	3.18	3.88E-02
positive regulation of focal adhesion assembly (GO:0051894)	27	2	.63	+	3.18	1.32E-01
positive regulation of neuroblast proliferation (GO:0002052)	27	2	.63	+	3.18	1.32E-01
cochlea morphogenesis (GO:0090103)	27	2	.63	+	3.18	1.32E-01
regulation of positive chemotaxis (GO:0050926)	27	2	.63	+	3.18	1.32E-01
axonemal dynein complex assembly (GO:0070286)	27	2	.63	+	3.18	1.32E-01
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	2	.63	+	3.18	1.32E-01
negative regulation of receptor-mediated endocytosis (GO:0048261)	27	2	.63	+	3.18	1.32E-01
neuron cellular homeostasis (GO:0070050)	27	2	.63	+	3.18	1.32E-01
positive regulation of circadian rhythm (GO:0042753)	27	2	.63	+	3.18	1.32E-01
secondary palate development (GO:0062009)	27	2	.63	+	3.18	1.32E-01
positive regulation of dendrite extension (GO:1903861)	27	2	.63	+	3.18	1.32E-01
clathrin-dependent endocytosis (GO:0072583)	27	2	.63	+	3.18	1.32E-01
morphogenesis of embryonic epithelium (GO:0016331)	176	13	4.10	+	3.17	3.17E-04
positive regulation of protein binding (GO:0032092)	95	7	2.21	+	3.16	7.54E-03
negative regulation of epithelial cell migration (GO:0010633)	68	5	1.59	+	3.15	2.26E-02
cellular polysaccharide biosynthetic process (GO:0033692)	41	3	.96	+	3.14	7.21E-02
positive regulation of multicellular organism growth (GO:0040018)	41	3	.96	+	3.14	7.21E-02
positive regulation of potassium ion transmembrane transport (GO:1901381)	41	3	.96	+	3.14	7.21E-02
polysaccharide biosynthetic process (GO:0000271)	41	3	.96	+	3.14	7.21E-02
negative regulation of insulin receptor signaling pathway (GO:0046627)	41	3	.96	+	3.14	7.21E-02
vascular process in circulatory system (GO:0003018)	219	16	5.11	+	3.13	7.63E-05
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	96	7	2.24	+	3.13	7.96E-03
regulation of muscle organ development (GO:0048634)	55	4	1.28	+	3.12	4.11E-02
positive regulation of organelle assembly (GO:1902117)	69	5	1.61	+	3.11	2.39E-02
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	69	5	1.61	+	3.11	2.39E-02
negative regulation of immunoglobulin production (GO:0002638)	14	1	.33	+	3.06	2.79E-01
response to lithium ion (GO:0010226)	14	1	.33	+	3.06	2.79E-01
glial cell fate commitment (GO:0021781)	14	1	.33	+	3.06	2.79E-01
positive regulation of macrophage differentiation (GO:0045651)	14	1	.33	+	3.06	2.79E-01
glycolipid catabolic process (GO:0019377)	14	1	.33	+	3.06	2.79E-01
regulation of axon guidance (GO:1902667)	14	1	.33	+	3.06	2.79E-01
post-Golgi vesicle-mediated transport (GO:0006892)	84	6	1.96	+	3.06	1.49E-02
positive regulation of podosome assembly (GO:0071803)	14	1	.33	+	3.06	2.79E-01
mammary gland epithelial cell proliferation (GO:0033598)	14	1	.33	+	3.06	2.79E-01
ubiquinone biosynthetic process (GO:0006744)	14	1	.33	+	3.06	2.79E-01
protein-DNA complex disassembly (GO:0032986)	14	1	.33	+	3.06	2.79E-01
negative regulation of transforming growth factor beta production (GO:0071635)	14	1	.33	+	3.06	2.79E-01
nuclear migration (GO:0007097)	28	2	.65	+	3.06	1.39E-01
telomere maintenance via telomerase (GO:0007004)	14	1	.33	+	3.06	2.79E-01
positive regulation of cardiac muscle cell proliferation (GO:0060045)	28	2	.65	+	3.06	1.39E-01
pericardium development (GO:0060039)	28	2	.65	+	3.06	1.39E-01
convergent extension (GO:0060026)	14	1	.33	+	3.06	2.79E-01
negative regulation of monooxygenase activity (GO:0032769)	14	1	.33	+	3.06	2.79E-01
positive regulation of interleukin-13 production (GO:0032736)	14	1	.33	+	3.06	2.79E-01
N-terminal protein amino acid acetylation (GO:0006474)	14	1	.33	+	3.06	2.79E-01
lens morphogenesis in camera-type eye (GO:0002089)	28	2	.65	+	3.06	1.39E-01
cellular response to gonadotropin stimulus (GO:0071371)	14	1	.33	+	3.06	2.79E-01
quinone biosynthetic process (GO:1901663)	14	1	.33	+	3.06	2.79E-01
positive regulation of calcineurin-NFAT signaling cascade (GO:0070886)	14	1	.33	+	3.06	2.79E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	14	1	.33	+	3.06	2.79E-01
regulation of keratinocyte migration (GO:0051547)	14	1	.33	+	3.06	2.79E-01
fructose 6-phosphate metabolic process (GO:0006002)	14	1	.33	+	3.06	2.79E-01
myoblast migration (GO:0051451)	14	1	.33	+	3.06	2.79E-01
negative regulation of axon regeneration (GO:0048681)	14	1	.33	+	3.06	2.79E-01
positive regulation of mitochondrial fission (GO:0090141)	14	1	.33	+	3.06	2.79E-01
regulation of gonadotropin secretion (GO:0032276)	14	1	.33	+	3.06	2.79E-01
positive regulation of calcineurin-mediated signaling (GO:0106058)	14	1	.33	+	3.06	2.79E-01
leukocyte aggregation (GO:0070486)	14	1	.33	+	3.06	2.79E-01
negative regulation of response to nutrient levels (GO:0032108)	14	1	.33	+	3.06	2.79E-01
negative regulation of response to extracellular stimulus (GO:0032105)	14	1	.33	+	3.06	2.79E-01
regulation of lipoprotein metabolic process (GO:0050746)	14	1	.33	+	3.06	2.79E-01
negative regulation of response to food (GO:0032096)	14	1	.33	+	3.06	2.79E-01
modification of postsynaptic structure (GO:0099010)	14	1	.33	+	3.06	2.79E-01
regulation of amyloid precursor protein biosynthetic process (GO:0042984)	14	1	.33	+	3.06	2.79E-01
developmental pigmentation (GO:0048066)	42	3	.98	+	3.06	7.63E-02
retinal metabolic process (GO:0042574)	14	1	.33	+	3.06	2.79E-01
positive regulation of ruffle assembly (GO:1900029)	14	1	.33	+	3.06	2.79E-01
telomere capping (GO:0016233)	14	1	.33	+	3.06	2.79E-01
protein localization to microtubule (GO:0035372)	14	1	.33	+	3.06	2.79E-01
monosaccharide transmembrane transport (GO:0015749)	28	2	.65	+	3.06	1.39E-01
regulation of RNA export from nucleus (GO:0046831)	14	1	.33	+	3.06	2.79E-01
positive regulation of steroid biosynthetic process (GO:0010893)	28	2	.65	+	3.06	1.39E-01
regulation of sequestering of triglyceride (GO:0010889)	14	1	.33	+	3.06	2.79E-01
positive regulation of myotube differentiation (GO:0010831)	14	1	.33	+	3.06	2.79E-01
terpenoid biosynthetic process (GO:0016114)	14	1	.33	+	3.06	2.79E-01
lipid glycosylation (GO:0030259)	14	1	.33	+	3.06	2.79E-01
regulation of DNA catabolic process (GO:1903624)	14	1	.33	+	3.06	2.79E-01
positive regulation of lamellipodium assembly (GO:0010592)	28	2	.65	+	3.06	1.39E-01
activation of cysteine-type endopeptidase activity (GO:0097202)	14	1	.33	+	3.06	2.79E-01
prostate gland growth (GO:0060736)	14	1	.33	+	3.06	2.79E-01
olfactory behavior (GO:0042048)	14	1	.33	+	3.06	2.79E-01
regulation of skeletal muscle cell proliferation (GO:0014857)	14	1	.33	+	3.06	2.79E-01
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	14	1	.33	+	3.06	2.79E-01
P-body assembly (GO:0033962)	14	1	.33	+	3.06	2.79E-01
amino sugar catabolic process (GO:0046348)	14	1	.33	+	3.06	2.79E-01
positive regulation of alcohol biosynthetic process (GO:1902932)	28	2	.65	+	3.06	1.39E-01
layer formation in cerebral cortex (GO:0021819)	14	1	.33	+	3.06	2.79E-01
regulation of circadian rhythm (GO:0042752)	127	9	2.96	+	3.04	3.36E-03
regulation of multicellular organism growth (GO:0040014)	85	6	1.98	+	3.03	1.57E-02
neural crest cell migration (GO:0001755)	57	4	1.33	+	3.01	4.57E-02
regulation of amine transport (GO:0051952)	114	8	2.66	+	3.01	5.87E-03
regulation of dendrite development (GO:0050773)	129	9	3.01	+	2.99	3.72E-03
regulation of peptidyl-threonine phosphorylation (GO:0010799)	43	3	1.00	+	2.99	8.05E-02
glial cell migration (GO:0008347)	43	3	1.00	+	2.99	8.05E-02
regulation of cell morphogenesis (GO:0022604)	316	22	7.37	+	2.99	7.66E-06
response to alkaloid (GO:0043279)	72	5	1.68	+	2.98	2.80E-02
negative regulation of cell projection organization (GO:0031345)	202	14	4.71	+	2.97	3.56E-04
