




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mitotic spindle checkpoint (GO:0071174)	6	1	.65	+	1.54	4.77E-01
spindle assembly checkpoint (GO:0071173)	6	1	.65	+	1.54	4.77E-01
peptidyl-threonine phosphorylation (GO:0018107)	6	1	.65	+	1.54	4.77E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	6	1	.65	+	1.54	4.77E-01
positive regulation of hormone metabolic process (GO:0032352)	6	1	.65	+	1.54	4.77E-01
protein localization to cell periphery (GO:1990778)	18	3	1.95	+	1.54	3.09E-01
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046)	6	1	.65	+	1.54	4.77E-01
regulation of defense response to oomycetes (GO:1902288)	12	2	1.30	+	1.54	3.72E-01
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	6	1	.65	+	1.54	4.77E-01
acetyl-CoA metabolic process (GO:0006084)	24	4	2.59	+	1.54	2.63E-01
nuclear ncRNA surveillance (GO:0071029)	6	1	.65	+	1.54	4.77E-01
positive regulation of meiotic cell cycle (GO:0051446)	6	1	.65	+	1.54	4.77E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	6	1	.65	+	1.54	4.77E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	6	1	.65	+	1.54	4.77E-01
karyogamy (GO:0000741)	18	3	1.95	+	1.54	3.09E-01
positive regulation of signal transduction (GO:0009967)	78	13	8.43	+	1.54	8.64E-02
regulation of DNA biosynthetic process (GO:2000278)	6	1	.65	+	1.54	4.77E-01
positive regulation of mitotic cell cycle (GO:0045931)	12	2	1.30	+	1.54	3.72E-01
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	6	1	.65	+	1.54	4.77E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	6	1	.65	+	1.54	4.77E-01
ammonia assimilation cycle (GO:0019676)	6	1	.65	+	1.54	4.77E-01
salicylic acid mediated signaling pathway (GO:0009863)	36	6	3.89	+	1.54	1.98E-01
nitrile metabolic process (GO:0050898)	6	1	.65	+	1.54	4.77E-01
regulation of short-day photoperiodism, flowering (GO:0048587)	6	1	.65	+	1.54	4.77E-01
cytokinin catabolic process (GO:0009823)	6	1	.65	+	1.54	4.77E-01
extracellular polysaccharide metabolic process (GO:0046379)	6	1	.65	+	1.54	4.77E-01
amino sugar biosynthetic process (GO:0046349)	6	1	.65	+	1.54	4.77E-01
regulation of histone H3-K27 methylation (GO:0061085)	6	1	.65	+	1.54	4.77E-01
COP9 signalosome assembly (GO:0010387)	6	1	.65	+	1.54	4.77E-01
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	6	1	.65	+	1.54	4.77E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	6	1	.65	+	1.54	4.77E-01
positive regulation of mitotic nuclear division (GO:0045840)	6	1	.65	+	1.54	4.77E-01
negative regulation of mitotic nuclear division (GO:0045839)	6	1	.65	+	1.54	4.77E-01
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	6	1	.65	+	1.54	4.77E-01
polyadenylation-dependent RNA catabolic process (GO:0043633)	6	1	.65	+	1.54	4.77E-01
amino acid homeostasis (GO:0080144)	6	1	.65	+	1.54	4.77E-01
purine-containing compound catabolic process (GO:0072523)	12	2	1.30	+	1.54	3.72E-01
indole phytoalexin biosynthetic process (GO:0009700)	12	2	1.30	+	1.54	3.72E-01
indole phytoalexin metabolic process (GO:0046217)	12	2	1.30	+	1.54	3.72E-01
lipid translocation (GO:0034204)	12	2	1.30	+	1.54	3.72E-01
spindle checkpoint (GO:0031577)	6	1	.65	+	1.54	4.77E-01
ammonium transmembrane transport (GO:0072488)	6	1	.65	+	1.54	4.77E-01
jasmonic acid metabolic process (GO:0009694)	48	8	5.19	+	1.54	1.54E-01
nitrile biosynthetic process (GO:0080028)	6	1	.65	+	1.54	4.77E-01
regulation of mRNA processing (GO:0050684)	12	2	1.30	+	1.54	3.72E-01
positive regulation of chromosome separation (GO:1905820)	6	1	.65	+	1.54	4.77E-01
negative regulation of chromosome separation (GO:1905819)	6	1	.65	+	1.54	4.77E-01
homocysteine metabolic process (GO:0050667)	6	1	.65	+	1.54	4.77E-01
polar nucleus fusion (GO:0010197)	18	3	1.95	+	1.54	3.09E-01
mucilage biosynthetic process (GO:0010192)	24	4	2.59	+	1.54	2.63E-01
detection of other organism (GO:0098543)	6	1	.65	+	1.54	4.77E-01
regulation of cation transmembrane transport (GO:1904062)	6	1	.65	+	1.54	4.77E-01
pigment accumulation (GO:0043476)	6	1	.65	+	1.54	4.77E-01
pigmentation (GO:0043473)	6	1	.65	+	1.54	4.77E-01
transpiration (GO:0010148)	6	1	.65	+	1.54	4.77E-01
regulation of stomatal movement (GO:0010119)	78	13	8.43	+	1.54	8.64E-02
synaptonemal complex organization (GO:0070193)	6	1	.65	+	1.54	4.77E-01
response to oxygen radical (GO:0000305)	12	2	1.30	+	1.54	3.72E-01
response to superoxide (GO:0000303)	12	2	1.30	+	1.54	3.72E-01
pyridine nucleotide metabolic process (GO:0019362)	12	2	1.30	+	1.54	3.72E-01
transsulfuration (GO:0019346)	6	1	.65	+	1.54	4.77E-01
hexose metabolic process (GO:0019318)	78	13	8.43	+	1.54	8.64E-02
cellular polysaccharide metabolic process (GO:0044264)	223	37	24.11	+	1.53	8.29E-03
response to cadmium ion (GO:0046686)	278	46	30.06	+	1.53	3.75E-03
regulation of post-embryonic development (GO:0048580)	254	42	27.46	+	1.53	5.48E-03
protein localization to membrane (GO:0072657)	109	18	11.78	+	1.53	5.44E-02
positive regulation of signaling (GO:0023056)	79	13	8.54	+	1.52	9.28E-02
organic acid catabolic process (GO:0016054)	152	25	16.43	+	1.52	2.85E-02
response to salt stress (GO:0009651)	377	62	40.76	+	1.52	1.00E-03
response to lipid (GO:0033993)	523	86	56.54	+	1.52	1.19E-04
response to reactive oxygen species (GO:0000302)	134	22	14.49	+	1.52	3.86E-02
regulation of shoot system development (GO:0048831)	128	21	13.84	+	1.52	4.27E-02
nucleoside metabolic process (GO:0009116)	55	9	5.95	+	1.51	1.47E-01
aging (GO:0007568)	110	18	11.89	+	1.51	5.82E-02
response to osmotic stress (GO:0006970)	440	72	47.57	+	1.51	4.71E-04
response to water deprivation (GO:0009414)	294	48	31.79	+	1.51	3.99E-03
nucleotide-sugar metabolic process (GO:0009225)	49	8	5.30	+	1.51	1.66E-01
alcohol biosynthetic process (GO:0046165)	49	8	5.30	+	1.51	1.66E-01
biological process involved in interaction with symbiont (GO:0051702)	43	7	4.65	+	1.51	1.88E-01
cytokinin-activated signaling pathway (GO:0009736)	43	7	4.65	+	1.51	1.88E-01
aromatic compound catabolic process (GO:0019439)	160	26	17.30	+	1.50	2.94E-02
protein processing (GO:0016485)	37	6	4.00	+	1.50	2.15E-01
phosphorelay signal transduction system (GO:0000160)	68	11	7.35	+	1.50	1.25E-01
response to metal ion (GO:0010038)	371	60	40.11	+	1.50	1.74E-03
organic cyclic compound catabolic process (GO:1901361)	167	27	18.06	+	1.50	2.84E-02
glycolipid biosynthetic process (GO:0009247)	31	5	3.35	+	1.49	2.47E-01
cellular metabolic compound salvage (GO:0043094)	62	10	6.70	+	1.49	1.40E-01
regulation of histone modification (GO:0031056)	31	5	3.35	+	1.49	2.47E-01
cellular response to salt stress (GO:0071472)	31	5	3.35	+	1.49	2.47E-01
photosynthetic electron transport chain (GO:0009767)	31	5	3.35	+	1.49	2.47E-01
response to abiotic stimulus (GO:0009628)	1647	265	178.07	+	1.49	4.17E-11
organic hydroxy compound metabolic process (GO:1901615)	255	41	27.57	+	1.49	9.31E-03
carboxylic acid metabolic process (GO:0019752)	734	118	79.36	+	1.49	1.79E-05
response to water (GO:0009415)	299	48	32.33	+	1.48	5.39E-03
homeostatic process (GO:0042592)	418	67	45.19	+	1.48	1.21E-03
monovalent inorganic cation homeostasis (GO:0055067)	75	12	8.11	+	1.48	1.19E-01
glutamate metabolic process (GO:0006536)	25	4	2.70	+	1.48	2.86E-01
innate immune response (GO:0045087)	125	20	13.51	+	1.48	5.75E-02
gene silencing by miRNA (GO:0035195)	25	4	2.70	+	1.48	2.86E-01
regulation of seed germination (GO:0010029)	69	11	7.46	+	1.47	1.34E-01
response to gibberellin (GO:0009739)	69	11	7.46	+	1.47	1.34E-01
oxoacid metabolic process (GO:0043436)	828	132	89.52	+	1.47	8.36E-06
ethylene-activated signaling pathway (GO:0009873)	44	7	4.76	+	1.47	2.03E-01
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	44	7	4.76	+	1.47	2.03E-01
regulation of flower development (GO:0009909)	120	19	12.97	+	1.46	6.80E-02
response to temperature stimulus (GO:0009266)	506	80	54.71	+	1.46	6.35E-04
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	57	9	6.16	+	1.46	1.70E-01
organophosphate catabolic process (GO:0046434)	57	9	6.16	+	1.46	1.70E-01
response to hexose (GO:0009746)	57	9	6.16	+	1.46	1.70E-01
monocarboxylic acid catabolic process (GO:0072329)	57	9	6.16	+	1.46	1.70E-01
cellular component morphogenesis (GO:0032989)	38	6	4.11	+	1.46	2.32E-01
response to desiccation (GO:0009269)	19	3	2.05	+	1.46	3.38E-01
regulation of histone methylation (GO:0031060)	19	3	2.05	+	1.46	3.38E-01
actin filament bundle organization (GO:0061572)	19	3	2.05	+	1.46	3.38E-01
protein targeting to chloroplast (GO:0045036)	38	6	4.11	+	1.46	2.32E-01
regulation of response to DNA damage stimulus (GO:2001020)	19	3	2.05	+	1.46	3.38E-01
cotyledon morphogenesis (GO:0048826)	19	3	2.05	+	1.46	3.38E-01
inositol metabolic process (GO:0006020)	19	3	2.05	+	1.46	3.38E-01
dicarboxylic acid biosynthetic process (GO:0043650)	19	3	2.05	+	1.46	3.38E-01
establishment of protein localization to chloroplast (GO:0072596)	38	6	4.11	+	1.46	2.32E-01
floral organ formation (GO:0048449)	19	3	2.05	+	1.46	3.38E-01
regulation of leaf development (GO:2000024)	19	3	2.05	+	1.46	3.38E-01
actin filament bundle assembly (GO:0051017)	19	3	2.05	+	1.46	3.38E-01
regulation of multicellular organismal development (GO:2000026)	267	42	28.87	+	1.45	1.20E-02
nucleoside phosphate metabolic process (GO:0006753)	229	36	24.76	+	1.45	1.90E-02
steroid metabolic process (GO:0008202)	70	11	7.57	+	1.45	1.43E-01
metallo-sulfur cluster assembly (GO:0031163)	32	5	3.46	+	1.45	2.67E-01
iron-sulfur cluster assembly (GO:0016226)	32	5	3.46	+	1.45	2.67E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	314	49	33.95	+	1.44	8.18E-03
response to inorganic substance (GO:0010035)	757	118	81.84	+	1.44	6.41E-05
negative regulation of catalytic activity (GO:0043086)	45	7	4.87	+	1.44	2.18E-01
regulation of reactive oxygen species metabolic process (GO:2000377)	45	7	4.87	+	1.44	2.18E-01
organic acid metabolic process (GO:0006082)	862	134	93.20	+	1.44	2.30E-05
regulation of response to stress (GO:0080134)	284	44	30.70	+	1.43	1.31E-02
metal ion homeostasis (GO:0055065)	155	24	16.76	+	1.43	5.49E-02
cellular response to oxygen-containing compound (GO:1901701)	415	64	44.87	+	1.43	3.65E-03
porphyrin-containing compound catabolic process (GO:0006787)	13	2	1.41	+	1.42	4.10E-01
positive regulation of ion transport (GO:0043270)	13	2	1.41	+	1.42	4.10E-01
plant-type cell wall cellulose metabolic process (GO:0052541)	13	2	1.41	+	1.42	4.10E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	13	2	1.41	+	1.42	4.10E-01
cotranslational protein targeting to membrane (GO:0006613)	13	2	1.41	+	1.42	4.10E-01
formation of plant organ boundary (GO:0090691)	13	2	1.41	+	1.42	4.10E-01
export from cell (GO:0140352)	65	10	7.03	+	1.42	1.72E-01
positive regulation of histone methylation (GO:0031062)	13	2	1.41	+	1.42	4.10E-01
peptidyl-proline hydroxylation to 4-hydroxy-L-proline (GO:0018401)	13	2	1.41	+	1.42	4.10E-01
sucrose biosynthetic process (GO:0005986)	13	2	1.41	+	1.42	4.10E-01
fatty acid catabolic process (GO:0009062)	39	6	4.22	+	1.42	2.49E-01
regulation of transmembrane transporter activity (GO:0022898)	13	2	1.41	+	1.42	4.10E-01
indole-containing compound catabolic process (GO:0042436)	13	2	1.41	+	1.42	4.10E-01
rRNA processing (GO:0006364)	143	22	15.46	+	1.42	6.72E-02
tetrapyrrole catabolic process (GO:0033015)	13	2	1.41	+	1.42	4.10E-01
regulation of DNA repair (GO:0006282)	13	2	1.41	+	1.42	4.10E-01
cellular response to misfolded protein (GO:0071218)	13	2	1.41	+	1.42	4.10E-01
detection of stimulus (GO:0051606)	52	8	5.62	+	1.42	2.06E-01
exocytic process (GO:0140029)	13	2	1.41	+	1.42	4.10E-01
formation of anatomical boundary (GO:0048859)	13	2	1.41	+	1.42	4.10E-01
root cap development (GO:0048829)	13	2	1.41	+	1.42	4.10E-01
regulation of ion transmembrane transporter activity (GO:0032412)	13	2	1.41	+	1.42	4.10E-01
regulation of cellular carbohydrate metabolic process (GO:0010675)	26	4	2.81	+	1.42	3.10E-01
protein hydroxylation (GO:0018126)	13	2	1.41	+	1.42	4.10E-01
flavonol biosynthetic process (GO:0051555)	13	2	1.41	+	1.42	4.10E-01
flavone biosynthetic process (GO:0051553)	13	2	1.41	+	1.42	4.10E-01
retrograde transport, endosome to Golgi (GO:0042147)	26	4	2.81	+	1.42	3.10E-01
cell population proliferation (GO:0008283)	13	2	1.41	+	1.42	4.10E-01
regulation of autophagy (GO:0010506)	13	2	1.41	+	1.42	4.10E-01
leaf morphogenesis (GO:0009965)	78	12	8.43	+	1.42	1.45E-01
cell wall beta-glucan metabolic process (GO:0034406)	13	2	1.41	+	1.42	4.10E-01
nucleotide transmembrane transport (GO:1901679)	13	2	1.41	+	1.42	4.10E-01
peptidyl-proline hydroxylation (GO:0019511)	13	2	1.41	+	1.42	4.10E-01
vesicle docking involved in exocytosis (GO:0006904)	13	2	1.41	+	1.42	4.10E-01
cellular response to hormone stimulus (GO:0032870)	385	59	41.62	+	1.42	5.78E-03
negative regulation of response to stimulus (GO:0048585)	170	26	18.38	+	1.41	5.32E-02
regulation of seedling development (GO:1900140)	72	11	7.78	+	1.41	1.63E-01
immune response (GO:0006955)	131	20	14.16	+	1.41	8.24E-02
energy derivation by oxidation of organic compounds (GO:0015980)	118	18	12.76	+	1.41	9.58E-02
organophosphate metabolic process (GO:0019637)	472	72	51.03	+	1.41	2.78E-03
response to salicylic acid (GO:0009751)	118	18	12.76	+	1.41	9.58E-02
respiratory electron transport chain (GO:0022904)	46	7	4.97	+	1.41	2.34E-01
cellular response to cytokinin stimulus (GO:0071368)	46	7	4.97	+	1.41	2.34E-01
systemic acquired resistance (GO:0009627)	46	7	4.97	+	1.41	2.34E-01
megagametogenesis (GO:0009561)	46	7	4.97	+	1.41	2.34E-01
response to acid chemical (GO:0001101)	329	50	35.57	+	1.41	1.20E-02
response to hormone (GO:0009725)	961	146	103.90	+	1.41	2.97E-05
receptor-mediated endocytosis (GO:0006898)	33	5	3.57	+	1.40	2.87E-01
glycolipid metabolic process (GO:0006664)	33	5	3.57	+	1.40	2.87E-01
carboxylic acid transport (GO:0046942)	66	10	7.14	+	1.40	1.83E-01
protein modification by small protein removal (GO:0070646)	66	10	7.14	+	1.40	1.83E-01
pyrimidine-containing compound biosynthetic process (GO:0072528)	33	5	3.57	+	1.40	2.87E-01
liposaccharide metabolic process (GO:1903509)	33	5	3.57	+	1.40	2.87E-01
electron transport chain (GO:0022900)	86	13	9.30	+	1.40	1.46E-01
cell death (GO:0008219)	86	13	9.30	+	1.40	1.46E-01
cellular cation homeostasis (GO:0030003)	139	21	15.03	+	1.40	8.31E-02
regulation of cellular component size (GO:0032535)	53	8	5.73	+	1.40	2.19E-01
regulation of anatomical structure size (GO:0090066)	53	8	5.73	+	1.40	2.19E-01
response to endoplasmic reticulum stress (GO:0034976)	73	11	7.89	+	1.39	1.73E-01
regulation of innate immune response (GO:0045088)	73	11	7.89	+	1.39	1.73E-01
heterocycle catabolic process (GO:0046700)	146	22	15.78	+	1.39	7.93E-02
positive regulation of response to stimulus (GO:0048584)	193	29	20.87	+	1.39	5.17E-02
ncRNA processing (GO:0034470)	213	32	23.03	+	1.39	4.30E-02
potassium ion transmembrane transport (GO:0071805)	40	6	4.32	+	1.39	2.67E-01
response to iron ion (GO:0010039)	20	3	2.16	+	1.39	3.67E-01
cell surface receptor signaling pathway (GO:0007166)	40	6	4.32	+	1.39	2.67E-01
ATP synthesis coupled electron transport (GO:0042773)	40	6	4.32	+	1.39	2.67E-01
triglyceride metabolic process (GO:0006641)	20	3	2.16	+	1.39	3.67E-01
protein export from nucleus (GO:0006611)	40	6	4.32	+	1.39	2.67E-01
nucleotide-sugar biosynthetic process (GO:0009226)	40	6	4.32	+	1.39	2.67E-01
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	20	3	2.16	+	1.39	3.67E-01
pyrimidine ribonucleotide metabolic process (GO:0009218)	20	3	2.16	+	1.39	3.67E-01
maintenance of protein location (GO:0045185)	20	3	2.16	+	1.39	3.67E-01
glycerolipid biosynthetic process (GO:0045017)	80	12	8.65	+	1.39	1.64E-01
maintenance of protein location in cell (GO:0032507)	20	3	2.16	+	1.39	3.67E-01
inorganic ion import across plasma membrane (GO:0099587)	20	3	2.16	+	1.39	3.67E-01
sporulation (GO:0043934)	20	3	2.16	+	1.39	3.67E-01
positive regulation of cell cycle process (GO:0090068)	20	3	2.16	+	1.39	3.67E-01
protein localization to chloroplast (GO:0072598)	40	6	4.32	+	1.39	2.67E-01
regulation of anion transport (GO:0044070)	20	3	2.16	+	1.39	3.67E-01
sexual sporulation (GO:0034293)	20	3	2.16	+	1.39	3.67E-01
inorganic cation import across plasma membrane (GO:0098659)	20	3	2.16	+	1.39	3.67E-01
regulation of photoperiodism, flowering (GO:2000028)	40	6	4.32	+	1.39	2.67E-01
embryo sac central cell differentiation (GO:0009559)	20	3	2.16	+	1.39	3.67E-01
plant-type sporogenesis (GO:0048236)	20	3	2.16	+	1.39	3.67E-01
hormone-mediated signaling pathway (GO:0009755)	334	50	36.11	+	1.38	1.53E-02
pattern specification process (GO:0007389)	147	22	15.89	+	1.38	8.37E-02
response to endogenous stimulus (GO:0009719)	990	148	107.03	+	1.38	5.59E-05
fruit development (GO:0010154)	582	87	62.92	+	1.38	1.89E-03
seed development (GO:0048316)	562	84	60.76	+	1.38	2.25E-03
regulation of localization (GO:0032879)	87	13	9.41	+	1.38	1.55E-01
cellular carbohydrate metabolic process (GO:0044262)	322	48	34.81	+	1.38	1.84E-02
membrane organization (GO:0061024)	195	29	21.08	+	1.38	5.73E-02
cellular response to chemical stress (GO:0062197)	101	15	10.92	+	1.37	1.39E-01
chloroplast organization (GO:0009658)	155	23	16.76	+	1.37	8.40E-02
water transport (GO:0006833)	27	4	2.92	+	1.37	3.35E-01
nitrate transport (GO:0015706)	27	4	2.92	+	1.37	3.35E-01
peptidyl-cysteine modification (GO:0018198)	27	4	2.92	+	1.37	3.35E-01
regulation of unidimensional cell growth (GO:0051510)	54	8	5.84	+	1.37	2.34E-01
response to oxygen-containing compound (GO:1901700)	1215	180	131.36	+	1.37	1.38E-05
fluid transport (GO:0042044)	27	4	2.92	+	1.37	3.35E-01
cellular nitrogen compound catabolic process (GO:0044270)	149	22	16.11	+	1.37	9.28E-02
carboxylic acid biosynthetic process (GO:0046394)	359	53	38.81	+	1.37	1.63E-02
mRNA catabolic process (GO:0006402)	61	9	6.60	+	1.36	2.19E-01
small molecule metabolic process (GO:0044281)	1283	189	138.71	+	1.36	1.14E-05
regulation of response to stimulus (GO:0048583)	550	81	59.46	+	1.36	3.86E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	34	5	3.68	+	1.36	3.08E-01
ribonucleoside monophosphate biosynthetic process (GO:0009156)	34	5	3.68	+	1.36	3.08E-01
ncRNA metabolic process (GO:0034660)	272	40	29.41	+	1.36	3.48E-02
ERAD pathway (GO:0036503)	34	5	3.68	+	1.36	3.08E-01
cellular response to endogenous stimulus (GO:0071495)	415	61	44.87	+	1.36	1.15E-02
lipid metabolic process (GO:0006629)	633	93	68.44	+	1.36	2.20E-03
embryo development (GO:0009790)	429	63	46.38	+	1.36	1.05E-02
response to jasmonic acid (GO:0009753)	143	21	15.46	+	1.36	1.03E-01
nucleotide metabolic process (GO:0009117)	218	32	23.57	+	1.36	5.50E-02
monosaccharide metabolic process (GO:0005996)	109	16	11.78	+	1.36	1.40E-01
RNA catabolic process (GO:0006401)	75	11	8.11	+	1.36	1.95E-01
small molecule biosynthetic process (GO:0044283)	539	79	58.27	+	1.36	4.81E-03
regulation of biological quality (GO:0065008)	744	109	80.44	+	1.36	1.05E-03
regulation of defense response to bacterium (GO:1900424)	41	6	4.43	+	1.35	2.85E-01
regulation of development, heterochronic (GO:0040034)	41	6	4.43	+	1.35	2.85E-01
negative regulation of post-embryonic development (GO:0048581)	82	12	8.87	+	1.35	1.84E-01
response to organic cyclic compound (GO:0014070)	219	32	23.68	+	1.35	5.77E-02
regulation of immune system process (GO:0002682)	89	13	9.62	+	1.35	1.73E-01
embryo development ending in seed dormancy (GO:0009793)	411	60	44.44	+	1.35	1.37E-02
terpenoid metabolic process (GO:0006721)	137	20	14.81	+	1.35	1.13E-01
rRNA metabolic process (GO:0016072)	151	22	16.33	+	1.35	1.03E-01
leaf development (GO:0048366)	268	39	28.98	+	1.35	4.18E-02
regulation of pH (GO:0006885)	55	8	5.95	+	1.35	2.48E-01
cellular response to heat (GO:0034605)	55	8	5.95	+	1.35	2.48E-01
negative regulation of reproductive process (GO:2000242)	55	8	5.95	+	1.35	2.48E-01
negative regulation of molecular function (GO:0044092)	55	8	5.95	+	1.35	2.48E-01
regionalization (GO:0003002)	117	17	12.65	+	1.34	1.39E-01
cellular response to oxidative stress (GO:0034599)	62	9	6.70	+	1.34	2.33E-01
glycerophospholipid biosynthetic process (GO:0046474)	62	9	6.70	+	1.34	2.33E-01
response to gravity (GO:0009629)	69	10	7.46	+	1.34	2.19E-01
regulation of transport (GO:0051049)	69	10	7.46	+	1.34	2.19E-01
phospholipid biosynthetic process (GO:0008654)	97	14	10.49	+	1.33	1.73E-01
negative regulation of RNA metabolic process (GO:0051253)	194	28	20.97	+	1.33	8.02E-02
embryo sac development (GO:0009553)	104	15	11.24	+	1.33	1.64E-01
immune system process (GO:0002376)	174	25	18.81	+	1.33	9.73E-02
cellular lipid metabolic process (GO:0044255)	551	79	59.57	+	1.33	8.02E-03
chloride transport (GO:0006821)	7	1	.76	+	1.32	5.31E-01
response to carbon dioxide (GO:0010037)	14	2	1.51	+	1.32	4.47E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	7	1	.76	+	1.32	5.31E-01
myo-inositol hexakisphosphate metabolic process (GO:0033517)	7	1	.76	+	1.32	5.31E-01
anatomical structure homeostasis (GO:0060249)	28	4	3.03	+	1.32	3.59E-01
protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)	7	1	.76	+	1.32	5.31E-01
positive regulation of posttranscriptional gene silencing (GO:0060148)	7	1	.76	+	1.32	5.31E-01
regulation of endopeptidase activity (GO:0052548)	7	1	.76	+	1.32	5.31E-01
callose deposition in cell wall (GO:0052543)	21	3	2.27	+	1.32	3.96E-01
protein targeting to peroxisome (GO:0006625)	14	2	1.51	+	1.32	4.47E-01
specification of plant organ axis polarity (GO:0090708)	7	1	.76	+	1.32	5.31E-01
viral life cycle (GO:0019058)	7	1	.76	+	1.32	5.31E-01
guanosine-containing compound biosynthetic process (GO:1901070)	7	1	.76	+	1.32	5.31E-01
regulation of polysaccharide metabolic process (GO:0032881)	21	3	2.27	+	1.32	3.96E-01
cell fate specification (GO:0001708)	21	3	2.27	+	1.32	3.96E-01
telomere maintenance via telomerase (GO:0007004)	7	1	.76	+	1.32	5.31E-01
positive regulation of response to salt stress (GO:1901002)	7	1	.76	+	1.32	5.31E-01
regulation of chromosome segregation (GO:0051983)	14	2	1.51	+	1.32	4.47E-01
proline biosynthetic process (GO:0006561)	7	1	.76	+	1.32	5.31E-01
cysteine biosynthetic process from serine (GO:0006535)	14	2	1.51	+	1.32	4.47E-01
amino acid import (GO:0043090)	7	1	.76	+	1.32	5.31E-01
negative regulation of programmed cell death (GO:0043069)	21	3	2.27	+	1.32	3.96E-01
extracellular structure organization (GO:0043062)	21	3	2.27	+	1.32	3.96E-01
regulation of mitochondrial gene expression (GO:0062125)	7	1	.76	+	1.32	5.31E-01
cell wall pectin biosynthetic process (GO:0052325)	7	1	.76	+	1.32	5.31E-01
cellular response to red light (GO:0071491)	7	1	.76	+	1.32	5.31E-01
regulation of mitotic sister chromatid separation (GO:0010965)	14	2	1.51	+	1.32	4.47E-01
negative regulation of endopeptidase activity (GO:0010951)	7	1	.76	+	1.32	5.31E-01
tRNA wobble base modification (GO:0002097)	14	2	1.51	+	1.32	4.47E-01
negative regulation of brassinosteroid mediated signaling pathway (GO:1900458)	7	1	.76	+	1.32	5.31E-01
lipid biosynthetic process (GO:0008610)	392	56	42.38	+	1.32	2.41E-02
polysaccharide metabolic process (GO:0005976)	350	50	37.84	+	1.32	3.15E-02
sequestering of iron ion (GO:0097577)	14	2	1.51	+	1.32	4.47E-01
serine family amino acid catabolic process (GO:0009071)	14	2	1.51	+	1.32	4.47E-01
cellular response to steroid hormone stimulus (GO:0071383)	49	7	5.30	+	1.32	2.82E-01
mRNA polyadenylation (GO:0006378)	14	2	1.51	+	1.32	4.47E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	21	3	2.27	+	1.32	3.96E-01
regulation of RNA interference (GO:1900368)	7	1	.76	+	1.32	5.31E-01
telomere maintenance via telomere lengthening (GO:0010833)	7	1	.76	+	1.32	5.31E-01
transcription preinitiation complex assembly (GO:0070897)	14	2	1.51	+	1.32	4.47E-01
embryonic meristem initiation (GO:0090421)	14	2	1.51	+	1.32	4.47E-01
regulation of sister chromatid segregation (GO:0033045)	14	2	1.51	+	1.32	4.47E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	14	2	1.51	+	1.32	4.47E-01
iron ion transmembrane transport (GO:0034755)	7	1	.76	+	1.32	5.31E-01
DNA duplex unwinding (GO:0032508)	28	4	3.03	+	1.32	3.59E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	7	1	.76	+	1.32	5.31E-01
cellular response to molecule of bacterial origin (GO:0071219)	7	1	.76	+	1.32	5.31E-01
mitochondrial DNA replication (GO:0006264)	7	1	.76	+	1.32	5.31E-01
pyrimidine nucleoside metabolic process (GO:0006213)	14	2	1.51	+	1.32	4.47E-01
response to copper ion (GO:0046688)	14	2	1.51	+	1.32	4.47E-01
lipid modification (GO:0030258)	105	15	11.35	+	1.32	1.72E-01
regulation of transporter activity (GO:0032409)	14	2	1.51	+	1.32	4.47E-01
negative regulation of RNA catabolic process (GO:1902369)	7	1	.76	+	1.32	5.31E-01
flavonol metabolic process (GO:0051554)	14	2	1.51	+	1.32	4.47E-01
flavone metabolic process (GO:0051552)	14	2	1.51	+	1.32	4.47E-01
DNA geometric change (GO:0032392)	28	4	3.03	+	1.32	3.59E-01
extracellular matrix organization (GO:0030198)	21	3	2.27	+	1.32	3.96E-01
