




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
glycogen metabolic process (GO:0005977)	17	5	2.96	+	1.69	1.79E-01
syncytial blastoderm mitotic cell cycle (GO:0035186)	17	5	2.96	+	1.69	1.79E-01
energy reserve metabolic process (GO:0006112)	17	5	2.96	+	1.69	1.79E-01
cellular glucan metabolic process (GO:0006073)	17	5	2.96	+	1.69	1.79E-01
negative regulation of neural precursor cell proliferation (GO:2000178)	17	5	2.96	+	1.69	1.79E-01
adherens junction assembly (GO:0034333)	17	5	2.96	+	1.69	1.79E-01
negative regulation of neurogenesis (GO:0050768)	34	10	5.93	+	1.69	7.85E-02
glucan metabolic process (GO:0044042)	17	5	2.96	+	1.69	1.79E-01
negative regulation of neuroblast proliferation (GO:0007406)	17	5	2.96	+	1.69	1.79E-01
response to decreased oxygen levels (GO:0036293)	51	15	8.89	+	1.69	3.74E-02
developmental pigmentation (GO:0048066)	58	17	10.11	+	1.68	2.89E-02
regulation of circadian sleep/wake cycle (GO:0042749)	41	12	7.15	+	1.68	5.97E-02
hormone metabolic process (GO:0042445)	41	12	7.15	+	1.68	5.97E-02
regulation of ion transport (GO:0043269)	48	14	8.37	+	1.67	4.58E-02
endoplasmic reticulum organization (GO:0007029)	24	7	4.19	+	1.67	1.30E-01
protein transmembrane import into intracellular organelle (GO:0044743)	24	7	4.19	+	1.67	1.30E-01
hormone biosynthetic process (GO:0042446)	24	7	4.19	+	1.67	1.30E-01
carboxylic acid transmembrane transport (GO:1905039)	24	7	4.19	+	1.67	1.30E-01
ketone biosynthetic process (GO:0042181)	24	7	4.19	+	1.67	1.30E-01
organic acid transmembrane transport (GO:1903825)	24	7	4.19	+	1.67	1.30E-01
alpha-amino acid catabolic process (GO:1901606)	24	7	4.19	+	1.67	1.30E-01
positive regulation of translation (GO:0045727)	24	7	4.19	+	1.67	1.30E-01
purine-containing compound metabolic process (GO:0072521)	93	27	16.22	+	1.66	8.28E-03
lipid biosynthetic process (GO:0008610)	100	29	17.44	+	1.66	6.48E-03
organelle membrane fusion (GO:0090174)	45	13	7.85	+	1.66	5.60E-02
nucleotide metabolic process (GO:0009117)	101	29	17.61	+	1.65	7.36E-03
ncRNA processing (GO:0034470)	105	30	18.31	+	1.64	6.93E-03
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	7	2	1.22	+	1.64	3.45E-01
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	7	2	1.22	+	1.64	3.45E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	21	6	3.66	+	1.64	1.64E-01
histone lysine demethylation (GO:0070076)	7	2	1.22	+	1.64	3.45E-01
histone demethylation (GO:0016577)	7	2	1.22	+	1.64	3.45E-01
heme biosynthetic process (GO:0006783)	7	2	1.22	+	1.64	3.45E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	7	2	1.22	+	1.64	3.45E-01
protein autoprocessing (GO:0016540)	7	2	1.22	+	1.64	3.45E-01
neuron cell-cell adhesion (GO:0007158)	7	2	1.22	+	1.64	3.45E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	7	2	1.22	+	1.64	3.45E-01
cleavage furrow ingression (GO:0036090)	7	2	1.22	+	1.64	3.45E-01
regulation of cytokinetic process (GO:0032954)	7	2	1.22	+	1.64	3.45E-01
mitotic centrosome separation (GO:0007100)	7	2	1.22	+	1.64	3.45E-01
rhabdomere membrane biogenesis (GO:0045313)	7	2	1.22	+	1.64	3.45E-01
regulation of microtubule polymerization (GO:0031113)	7	2	1.22	+	1.64	3.45E-01
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	7	2	1.22	+	1.64	3.45E-01
spindle assembly involved in male meiosis (GO:0007053)	7	2	1.22	+	1.64	3.45E-01
regulation of purine nucleotide metabolic process (GO:1900542)	7	2	1.22	+	1.64	3.45E-01
protein localization to chromosome, centromeric region (GO:0071459)	7	2	1.22	+	1.64	3.45E-01
negative regulation of protein kinase B signaling (GO:0051898)	7	2	1.22	+	1.64	3.45E-01
protein demethylation (GO:0006482)	7	2	1.22	+	1.64	3.45E-01
protein K11-linked ubiquitination (GO:0070979)	7	2	1.22	+	1.64	3.45E-01
positive regulation of RNA splicing (GO:0033120)	7	2	1.22	+	1.64	3.45E-01
filopodium assembly (GO:0046847)	7	2	1.22	+	1.64	3.45E-01
behavioral response to nutrient (GO:0051780)	7	2	1.22	+	1.64	3.45E-01
cellular response to sucrose stimulus (GO:0071329)	7	2	1.22	+	1.64	3.45E-01
cellular response to disaccharide stimulus (GO:0071324)	7	2	1.22	+	1.64	3.45E-01
transcription by RNA polymerase I (GO:0006360)	14	4	2.44	+	1.64	2.30E-01
respiratory chain complex IV assembly (GO:0008535)	7	2	1.22	+	1.64	3.45E-01
regulation of transcription by RNA polymerase I (GO:0006356)	7	2	1.22	+	1.64	3.45E-01
DNA-templated transcription, termination (GO:0006353)	7	2	1.22	+	1.64	3.45E-01
wing disc pattern formation (GO:0035222)	70	20	12.21	+	1.64	2.41E-02
tetrapyrrole biosynthetic process (GO:0033014)	7	2	1.22	+	1.64	3.45E-01
lumen formation, open tracheal system (GO:0035149)	28	8	4.88	+	1.64	1.21E-01
negative regulation of compound eye retinal cell programmed cell death (GO:0046673)	7	2	1.22	+	1.64	3.45E-01
negative regulation of retinal cell programmed cell death (GO:0046671)	7	2	1.22	+	1.64	3.45E-01
vesicle fusion to plasma membrane (GO:0099500)	7	2	1.22	+	1.64	3.45E-01
antennal morphogenesis (GO:0048800)	14	4	2.44	+	1.64	2.30E-01
regulation of cellular carbohydrate metabolic process (GO:0010675)	14	4	2.44	+	1.64	2.30E-01
regulation of nucleotide metabolic process (GO:0006140)	7	2	1.22	+	1.64	3.45E-01
positive regulation of Rho protein signal transduction (GO:0035025)	7	2	1.22	+	1.64	3.45E-01
retrograde transport, endosome to Golgi (GO:0042147)	21	6	3.66	+	1.64	1.64E-01
protein localization to kinetochore (GO:0034501)	7	2	1.22	+	1.64	3.45E-01
negative regulation of humoral immune response (GO:0002921)	21	6	3.66	+	1.64	1.64E-01
protein dealkylation (GO:0008214)	7	2	1.22	+	1.64	3.45E-01
regulation of mitochondrial fission (GO:0090140)	7	2	1.22	+	1.64	3.45E-01
positive regulation of neuron projection regeneration (GO:0070572)	7	2	1.22	+	1.64	3.45E-01
positive regulation of axon regeneration (GO:0048680)	7	2	1.22	+	1.64	3.45E-01
U4 snRNA 3'-end processing (GO:0034475)	7	2	1.22	+	1.64	3.45E-01
regulation of nucleobase-containing compound transport (GO:0032239)	7	2	1.22	+	1.64	3.45E-01
intercellular transport (GO:0010496)	7	2	1.22	+	1.64	3.45E-01
response to oxygen levels (GO:0070482)	56	16	9.77	+	1.64	4.03E-02
central nervous system neuron differentiation (GO:0021953)	7	2	1.22	+	1.64	3.45E-01
adherens junction organization (GO:0034332)	28	8	4.88	+	1.64	1.21E-01
histone monoubiquitination (GO:0010390)	7	2	1.22	+	1.64	3.45E-01
negative regulation of antimicrobial peptide production (GO:0002785)	14	4	2.44	+	1.64	2.30E-01
immune response-regulating signaling pathway (GO:0002764)	7	2	1.22	+	1.64	3.45E-01
membrane fusion (GO:0061025)	49	14	8.54	+	1.64	5.24E-02
tRNA processing (GO:0008033)	14	4	2.44	+	1.64	2.30E-01
positive regulation of heart contraction (GO:0045823)	7	2	1.22	+	1.64	3.45E-01
negative regulation of production of molecular mediator of immune response (GO:0002701)	14	4	2.44	+	1.64	2.30E-01
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	7	2	1.22	+	1.64	3.45E-01
chitin-based cuticle sclerotization (GO:0007593)	7	2	1.22	+	1.64	3.45E-01
response to nutrient (GO:0007584)	14	4	2.44	+	1.64	2.30E-01
ciliary basal body organization (GO:0032053)	7	2	1.22	+	1.64	3.45E-01
negative regulation of immune effector process (GO:0002698)	14	4	2.44	+	1.64	2.30E-01
NADH dehydrogenase complex assembly (GO:0010257)	7	2	1.22	+	1.64	3.45E-01
axonemal dynein complex assembly (GO:0070286)	7	2	1.22	+	1.64	3.45E-01
alcohol biosynthetic process (GO:0046165)	35	10	6.10	+	1.64	9.06E-02
methylguanosine-cap decapping (GO:0110156)	7	2	1.22	+	1.64	3.45E-01
positive regulation of binding (GO:0051099)	7	2	1.22	+	1.64	3.45E-01
response to X-ray (GO:0010165)	7	2	1.22	+	1.64	3.45E-01
microtubule sliding (GO:0051012)	7	2	1.22	+	1.64	3.45E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	7	2	1.22	+	1.64	3.45E-01
positive regulation of blood circulation (GO:1903524)	7	2	1.22	+	1.64	3.45E-01
response to hypoxia (GO:0001666)	46	13	8.02	+	1.62	6.41E-02
photoreceptor cell development (GO:0042461)	92	26	16.04	+	1.62	1.29E-02
cellular carbohydrate metabolic process (GO:0044262)	46	13	8.02	+	1.62	6.41E-02
protein targeting (GO:0006605)	78	22	13.60	+	1.62	2.12E-02
nucleoside phosphate metabolic process (GO:0006753)	103	29	17.96	+	1.61	9.43E-03
lipid phosphorylation (GO:0046834)	32	9	5.58	+	1.61	1.12E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	32	9	5.58	+	1.61	1.12E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	32	9	5.58	+	1.61	1.12E-01
mitochondrial transmembrane transport (GO:1990542)	32	9	5.58	+	1.61	1.12E-01
cellular amino acid catabolic process (GO:0009063)	25	7	4.36	+	1.61	1.51E-01
pigment biosynthetic process (GO:0046148)	50	14	8.72	+	1.61	5.98E-02
regulation of generation of precursor metabolites and energy (GO:0043467)	25	7	4.36	+	1.61	1.51E-01
hexose metabolic process (GO:0019318)	25	7	4.36	+	1.61	1.51E-01
vesicle fusion (GO:0006906)	43	12	7.50	+	1.60	7.84E-02
amide biosynthetic process (GO:0043604)	201	56	35.05	+	1.60	5.35E-04
oxidation-reduction process (GO:0055114)	298	83	51.96	+	1.60	2.67E-05
Notch signaling pathway (GO:0007219)	18	5	3.14	+	1.59	2.08E-01
ribosomal large subunit assembly (GO:0000027)	18	5	3.14	+	1.59	2.08E-01
aggressive behavior (GO:0002118)	18	5	3.14	+	1.59	2.08E-01
cyclic nucleotide metabolic process (GO:0009187)	18	5	3.14	+	1.59	2.08E-01
glutamine family amino acid metabolic process (GO:0009064)	18	5	3.14	+	1.59	2.08E-01
apposition of dorsal and ventral imaginal disc-derived wing surfaces (GO:0007475)	18	5	3.14	+	1.59	2.08E-01
muscle contraction (GO:0006936)	18	5	3.14	+	1.59	2.08E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	29	8	5.06	+	1.58	1.39E-01
negative regulation of Notch signaling pathway (GO:0045746)	29	8	5.06	+	1.58	1.39E-01
peptidyl-serine modification (GO:0018209)	40	11	6.98	+	1.58	9.60E-02
cellular modified amino acid metabolic process (GO:0006575)	51	14	8.89	+	1.57	6.77E-02
negative regulation of immune response (GO:0050777)	51	14	8.89	+	1.57	6.77E-02
regulation of glial cell proliferation (GO:0060251)	11	3	1.92	+	1.56	3.01E-01
regulation of adult chitin-containing cuticle pigmentation (GO:0048082)	11	3	1.92	+	1.56	3.01E-01
endomitotic cell cycle (GO:0007113)	11	3	1.92	+	1.56	3.01E-01
phosphatidylinositol-mediated signaling (GO:0048015)	11	3	1.92	+	1.56	3.01E-01
response to molecule of bacterial origin (GO:0002237)	11	3	1.92	+	1.56	3.01E-01
glycophagy (GO:0061723)	11	3	1.92	+	1.56	3.01E-01
regulation of glucose metabolic process (GO:0010906)	11	3	1.92	+	1.56	3.01E-01
polysaccharide metabolic process (GO:0005976)	22	6	3.84	+	1.56	1.90E-01
positive regulation of nucleocytoplasmic transport (GO:0046824)	11	3	1.92	+	1.56	3.01E-01
cellular response to steroid hormone stimulus (GO:0071383)	11	3	1.92	+	1.56	3.01E-01
cellular response to reactive oxygen species (GO:0034614)	11	3	1.92	+	1.56	3.01E-01
cellular polysaccharide metabolic process (GO:0044264)	22	6	3.84	+	1.56	1.90E-01
response to steroid hormone (GO:0048545)	11	3	1.92	+	1.56	3.01E-01
regulation of antifungal peptide production (GO:0002788)	11	3	1.92	+	1.56	3.01E-01
mesoderm migration involved in gastrulation (GO:0007509)	11	3	1.92	+	1.56	3.01E-01
response to monosaccharide (GO:0034284)	11	3	1.92	+	1.56	3.01E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	11	3	1.92	+	1.56	3.01E-01
regulation of MAP kinase activity (GO:0043405)	22	6	3.84	+	1.56	1.90E-01
steroid hormone mediated signaling pathway (GO:0043401)	11	3	1.92	+	1.56	3.01E-01
membrane protein proteolysis (GO:0033619)	11	3	1.92	+	1.56	3.01E-01
ribosome assembly (GO:0042255)	33	9	5.75	+	1.56	1.28E-01
synaptic growth at neuromuscular junction (GO:0051124)	33	9	5.75	+	1.56	1.28E-01
pigmentation (GO:0043473)	66	18	11.51	+	1.56	4.51E-02
glycerolipid metabolic process (GO:0046486)	77	21	13.43	+	1.56	3.25E-02
cellular response to oxidative stress (GO:0034599)	26	7	4.53	+	1.54	1.73E-01
calcium ion transmembrane transport (GO:0070588)	26	7	4.53	+	1.54	1.73E-01
intestinal stem cell homeostasis (GO:0036335)	26	7	4.53	+	1.54	1.73E-01
apical junction assembly (GO:0043297)	41	11	7.15	+	1.54	1.09E-01
regulation of system process (GO:0044057)	56	15	9.77	+	1.54	7.08E-02
cellular amide metabolic process (GO:0043603)	277	74	48.30	+	1.53	2.50E-04
organophosphate metabolic process (GO:0019637)	191	51	33.31	+	1.53	2.22E-03
receptor metabolic process (GO:0043112)	15	4	2.62	+	1.53	2.67E-01
intracellular receptor signaling pathway (GO:0030522)	15	4	2.62	+	1.53	2.67E-01
sterol biosynthetic process (GO:0016126)	15	4	2.62	+	1.53	2.67E-01
negative regulation of phosphorylation (GO:0042326)	60	16	10.46	+	1.53	6.57E-02
male sex differentiation (GO:0046661)	30	8	5.23	+	1.53	1.58E-01
cellular response to unfolded protein (GO:0034620)	30	8	5.23	+	1.53	1.58E-01
cellular ketone metabolic process (GO:0042180)	30	8	5.23	+	1.53	1.58E-01
ecdysone metabolic process (GO:0008205)	15	4	2.62	+	1.53	2.67E-01
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	15	4	2.62	+	1.53	2.67E-01
ventral furrow formation (GO:0007370)	15	4	2.62	+	1.53	2.67E-01
translation (GO:0006412)	184	49	32.09	+	1.53	2.82E-03
peptide biosynthetic process (GO:0043043)	188	50	32.78	+	1.53	2.63E-03
monocarboxylic acid metabolic process (GO:0032787)	79	21	13.78	+	1.52	4.07E-02
phosphatidylinositol metabolic process (GO:0046488)	49	13	8.54	+	1.52	9.27E-02
cell-cell junction assembly (GO:0007043)	53	14	9.24	+	1.51	8.58E-02
mitochondrion organization (GO:0007005)	106	28	18.48	+	1.51	2.22E-02
ATP synthesis coupled proton transport (GO:0015986)	19	5	3.31	+	1.51	2.40E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	19	5	3.31	+	1.51	2.40E-01
Golgi organization (GO:0007030)	57	15	9.94	+	1.51	7.93E-02
localization within membrane (GO:0051668)	19	5	3.31	+	1.51	2.40E-01
negative regulation of cell development (GO:0010721)	38	10	6.63	+	1.51	1.33E-01
peptidyl-serine phosphorylation (GO:0018105)	38	10	6.63	+	1.51	1.33E-01
regulation of carbohydrate metabolic process (GO:0006109)	19	5	3.31	+	1.51	2.40E-01
small molecule catabolic process (GO:0044282)	76	20	13.25	+	1.51	4.88E-02
regulation of nervous system process (GO:0031644)	19	5	3.31	+	1.51	2.40E-01
trachea development (GO:0060438)	19	5	3.31	+	1.51	2.40E-01
peptide metabolic process (GO:0006518)	251	66	43.77	+	1.51	7.96E-04
regulation of membrane potential (GO:0042391)	65	17	11.33	+	1.50	6.81E-02
response to radiation (GO:0009314)	157	41	27.38	+	1.50	8.09E-03
male genitalia development (GO:0030539)	23	6	4.01	+	1.50	2.16E-01
epithelial structure maintenance (GO:0010669)	23	6	4.01	+	1.50	2.16E-01
response to alkaloid (GO:0043279)	27	7	4.71	+	1.49	1.96E-01
DNA-templated transcription, initiation (GO:0006352)	54	14	9.42	+	1.49	9.58E-02
organelle fusion (GO:0048284)	54	14	9.42	+	1.49	9.58E-02
organic acid metabolic process (GO:0006082)	162	42	28.25	+	1.49	8.33E-03
negative regulation of protein phosphorylation (GO:0001933)	58	15	10.11	+	1.48	8.85E-02
protein transmembrane transport (GO:0071806)	31	8	5.41	+	1.48	1.79E-01
intracellular protein transmembrane transport (GO:0065002)	31	8	5.41	+	1.48	1.79E-01
regulation of stem cell differentiation (GO:2000736)	31	8	5.41	+	1.48	1.79E-01
response to unfolded protein (GO:0006986)	31	8	5.41	+	1.48	1.79E-01
phospholipid metabolic process (GO:0006644)	74	19	12.90	+	1.47	6.49E-02
transcription by RNA polymerase II (GO:0006366)	78	20	13.60	+	1.47	6.01E-02
organic hydroxy compound biosynthetic process (GO:1901617)	47	12	8.20	+	1.46	1.26E-01
synaptic vesicle exocytosis (GO:0016079)	51	13	8.89	+	1.46	1.16E-01
epidermis development (GO:0008544)	59	15	10.29	+	1.46	9.83E-02
cell junction assembly (GO:0034329)	103	26	17.96	+	1.45	4.23E-02
GTP metabolic process (GO:0046039)	4	1	.70	+	1.43	5.02E-01
xenobiotic transport (GO:0042908)	4	1	.70	+	1.43	5.02E-01
stress granule assembly (GO:0034063)	8	2	1.40	+	1.43	4.07E-01
regulation of female receptivity, post-mating (GO:0046008)	12	3	2.09	+	1.43	3.48E-01
eye pigment precursor transport (GO:0006856)	4	1	.70	+	1.43	5.02E-01
iron ion transport (GO:0006826)	12	3	2.09	+	1.43	3.48E-01
polysaccharide catabolic process (GO:0000272)	12	3	2.09	+	1.43	3.48E-01
compartment boundary maintenance (GO:0060289)	4	1	.70	+	1.43	5.02E-01
neuron-neuron synaptic transmission (GO:0007270)	4	1	.70	+	1.43	5.02E-01
cytokine-mediated signaling pathway (GO:0019221)	16	4	2.79	+	1.43	3.06E-01
regulation of cell maturation (GO:1903429)	16	4	2.79	+	1.43	3.06E-01
male germ-line cyst encapsulation (GO:0048140)	8	2	1.40	+	1.43	4.07E-01
regulation of catecholamine secretion (GO:0050433)	8	2	1.40	+	1.43	4.07E-01
pheromone biosynthetic process (GO:0042811)	4	1	.70	+	1.43	5.02E-01
pheromone metabolic process (GO:0042810)	4	1	.70	+	1.43	5.02E-01
negative regulation of actin filament depolymerization (GO:0030835)	8	2	1.40	+	1.43	4.07E-01
positive regulation of nucleotide biosynthetic process (GO:0030810)	4	1	.70	+	1.43	5.02E-01
NADP metabolic process (GO:0006739)	8	2	1.40	+	1.43	4.07E-01
cuticle hydrocarbon biosynthetic process (GO:0006723)	4	1	.70	+	1.43	5.02E-01
membrane protein intracellular domain proteolysis (GO:0031293)	4	1	.70	+	1.43	5.02E-01
juvenile hormone mediated signaling pathway (GO:0035626)	4	1	.70	+	1.43	5.02E-01
nonribosomal peptide biosynthetic process (GO:0019184)	4	1	.70	+	1.43	5.02E-01
cell cycle switching (GO:0060184)	4	1	.70	+	1.43	5.02E-01
anterior/posterior lineage restriction, imaginal disc (GO:0048099)	4	1	.70	+	1.43	5.02E-01
regulation of developmental pigmentation (GO:0048070)	24	6	4.19	+	1.43	2.44E-01
protein localization to microtubule organizing center (GO:1905508)	4	1	.70	+	1.43	5.02E-01
long-chain fatty acid biosynthetic process (GO:0042759)	4	1	.70	+	1.43	5.02E-01
negative regulation of protein maturation (GO:1903318)	4	1	.70	+	1.43	5.02E-01
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	4	1	.70	+	1.43	5.02E-01
inositol lipid-mediated signaling (GO:0048017)	12	3	2.09	+	1.43	3.48E-01
dosage compensation complex assembly (GO:0042714)	4	1	.70	+	1.43	5.02E-01
positive regulation of activin receptor signaling pathway (GO:0032927)	4	1	.70	+	1.43	5.02E-01
regulation of activin receptor signaling pathway (GO:0032925)	4	1	.70	+	1.43	5.02E-01
ovarian follicle cell stalk formation (GO:0030713)	12	3	2.09	+	1.43	3.48E-01
glycerol ether metabolic process (GO:0006662)	4	1	.70	+	1.43	5.02E-01
fatty acid metabolic process (GO:0006631)	48	12	8.37	+	1.43	1.40E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	12	3	2.09	+	1.43	3.48E-01
cotranslational protein targeting to membrane (GO:0006613)	12	3	2.09	+	1.43	3.48E-01
peptide catabolic process (GO:0043171)	4	1	.70	+	1.43	5.02E-01
ribosomal large subunit export from nucleus (GO:0000055)	4	1	.70	+	1.43	5.02E-01
ribosomal subunit export from nucleus (GO:0000054)	8	2	1.40	+	1.43	4.07E-01
secretory granule organization (GO:0033363)	8	2	1.40	+	1.43	4.07E-01
amino acid salvage (GO:0043102)	4	1	.70	+	1.43	5.02E-01
purine-containing compound salvage (GO:0043101)	4	1	.70	+	1.43	5.02E-01
mitotic spindle assembly checkpoint (GO:0007094)	12	3	2.09	+	1.43	3.48E-01
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	8	2	1.40	+	1.43	4.07E-01
glucan catabolic process (GO:0009251)	12	3	2.09	+	1.43	3.48E-01
regulation of cardioblast cell fate specification (GO:0042686)	4	1	.70	+	1.43	5.02E-01
glycolipid biosynthetic process (GO:0009247)	16	4	2.79	+	1.43	3.06E-01
spindle assembly involved in female meiosis I (GO:0007057)	4	1	.70	+	1.43	5.02E-01
regulation of polysaccharide biosynthetic process (GO:0032885)	4	1	.70	+	1.43	5.02E-01
positive regulation of DNA endoreduplication (GO:0032877)	4	1	.70	+	1.43	5.02E-01
negative regulation of oxidative stress-induced cell death (GO:1903202)	4	1	.70	+	1.43	5.02E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	8	2	1.40	+	1.43	4.07E-01
response to transforming growth factor beta (GO:0071559)	8	2	1.40	+	1.43	4.07E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	12	3	2.09	+	1.43	3.48E-01
negative regulation of chromosome segregation (GO:0051985)	12	3	2.09	+	1.43	3.48E-01
protein localization to centrosome (GO:0071539)	4	1	.70	+	1.43	5.02E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	128	32	22.32	+	1.43	2.98E-02
regulation of amine transport (GO:0051952)	8	2	1.40	+	1.43	4.07E-01
methionine metabolic process (GO:0006555)	4	1	.70	+	1.43	5.02E-01
glutamine metabolic process (GO:0006541)	4	1	.70	+	1.43	5.02E-01
positive regulation of purine nucleotide metabolic process (GO:1900544)	4	1	.70	+	1.43	5.02E-01
glutamate biosynthetic process (GO:0006537)	4	1	.70	+	1.43	5.02E-01
positive regulation of calcium ion transport (GO:0051928)	4	1	.70	+	1.43	5.02E-01
arginine metabolic process (GO:0006525)	4	1	.70	+	1.43	5.02E-01
glycoprotein catabolic process (GO:0006516)	4	1	.70	+	1.43	5.02E-01
membrane protein ectodomain proteolysis (GO:0006509)	8	2	1.40	+	1.43	4.07E-01
GPI anchor biosynthetic process (GO:0006506)	8	2	1.40	+	1.43	4.07E-01
regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:2001270)	4	1	.70	+	1.43	5.02E-01
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	4	1	.70	+	1.43	5.02E-01
nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	4	1	.70	+	1.43	5.02E-01
negative regulation of cation channel activity (GO:2001258)	4	1	.70	+	1.43	5.02E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	4	1	.70	+	1.43	5.02E-01
tumor necrosis factor-mediated signaling pathway (GO:0033209)	12	3	2.09	+	1.43	3.48E-01
nucleoside biosynthetic process (GO:0009163)	12	3	2.09	+	1.43	3.48E-01
regulation of autophagy of mitochondrion (GO:1903146)	8	2	1.40	+	1.43	4.07E-01
regulation of imaginal disc-derived wing size (GO:0044719)	12	3	2.09	+	1.43	3.48E-01
positive regulation of stem cell differentiation (GO:2000738)	4	1	.70	+	1.43	5.02E-01
protein lipidation (GO:0006497)	24	6	4.19	+	1.43	2.44E-01
O-glycan processing (GO:0016266)	4	1	.70	+	1.43	5.02E-01
regulation of glucan biosynthetic process (GO:0010962)	4	1	.70	+	1.43	5.02E-01
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	8	2	1.40	+	1.43	4.07E-01
negative regulation of protein processing (GO:0010955)	4	1	.70	+	1.43	5.02E-01
histone H3-K9 modification (GO:0061647)	8	2	1.40	+	1.43	4.07E-01
N-terminal protein amino acid acetylation (GO:0006474)	4	1	.70	+	1.43	5.02E-01
protein ADP-ribosylation (GO:0006471)	4	1	.70	+	1.43	5.02E-01
calcium ion import into cytosol (GO:1902656)	4	1	.70	+	1.43	5.02E-01
C-terminal protein amino acid modification (GO:0018410)	4	1	.70	+	1.43	5.02E-01
apoptotic mitochondrial changes (GO:0008637)	4	1	.70	+	1.43	5.02E-01
regulation of dopamine secretion (GO:0014059)	8	2	1.40	+	1.43	4.07E-01
tRNA wobble uridine modification (GO:0002098)	4	1	.70	+	1.43	5.02E-01
tRNA wobble base modification (GO:0002097)	4	1	.70	+	1.43	5.02E-01
regulation of neuron maturation (GO:0014041)	16	4	2.79	+	1.43	3.06E-01
synaptic target attraction (GO:0016200)	4	1	.70	+	1.43	5.02E-01
regulation of gliogenesis (GO:0014013)	12	3	2.09	+	1.43	3.48E-01
demethylation (GO:0070988)	8	2	1.40	+	1.43	4.07E-01
nucleotide-sugar transmembrane transport (GO:0015780)	4	1	.70	+	1.43	5.02E-01
imaginal disc-derived wing hair site selection (GO:0035320)	4	1	.70	+	1.43	5.02E-01
regulation of glycogen catabolic process (GO:0005981)	4	1	.70	+	1.43	5.02E-01
glycogen catabolic process (GO:0005980)	12	3	2.09	+	1.43	3.48E-01
regulation of glycogen biosynthetic process (GO:0005979)	4	1	.70	+	1.43	5.02E-01
negative regulation of hormone secretion (GO:0046888)	4	1	.70	+	1.43	5.02E-01
succinate transport (GO:0015744)	4	1	.70	+	1.43	5.02E-01
methionine biosynthetic process (GO:0009086)	4	1	.70	+	1.43	5.02E-01
ribonucleoside biosynthetic process (GO:0042455)	12	3	2.09	+	1.43	3.48E-01
purine nucleoside biosynthetic process (GO:0042451)	12	3	2.09	+	1.43	3.48E-01
cellular response to ecdysone (GO:0071390)	16	4	2.79	+	1.43	3.06E-01
regulation of neuron remodeling (GO:1904799)	16	4	2.79	+	1.43	3.06E-01
cellular response to tumor necrosis factor (GO:0071356)	12	3	2.09	+	1.43	3.48E-01
medium-chain fatty acid metabolic process (GO:0051791)	4	1	.70	+	1.43	5.02E-01
cellular response to cytokine stimulus (GO:0071345)	16	4	2.79	+	1.43	3.06E-01
positive regulation of purine nucleotide biosynthetic process (GO:1900373)	4	1	.70	+	1.43	5.02E-01
terpenoid biosynthetic process (GO:0016114)	4	1	.70	+	1.43	5.02E-01
germline cell cycle switching, mitotic to meiotic cell cycle (GO:0051729)	4	1	.70	+	1.43	5.02E-01
cell cycle switching, mitotic to meiotic cell cycle (GO:0051728)	4	1	.70	+	1.43	5.02E-01
anterior head segmentation (GO:0035288)	8	2	1.40	+	1.43	4.07E-01
ring gland development (GO:0035271)	4	1	.70	+	1.43	5.02E-01
endocrine system development (GO:0035270)	4	1	.70	+	1.43	5.02E-01
