




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cellular component organization or biogenesis (GO:0071840)	869	14	15.94	-	.88	3.64E-01
organic cyclic compound biosynthetic process (GO:1901362)	499	8	9.15	-	.87	4.31E-01
nitrogen compound metabolic process (GO:0006807)	1631	26	29.92	-	.87	2.49E-01
DNA biosynthetic process (GO:0071897)	63	1	1.16	-	.87	6.79E-01
protein-DNA complex subunit organization (GO:0071824)	63	1	1.16	-	.87	6.79E-01
nucleobase-containing compound metabolic process (GO:0006139)	887	14	16.27	-	.86	3.32E-01
phosphorylation (GO:0016310)	131	2	2.40	-	.83	5.68E-01
macromolecule metabolic process (GO:0043170)	1383	21	25.37	-	.83	2.04E-01
regulation of catalytic activity (GO:0050790)	66	1	1.21	-	.83	6.58E-01
heterocycle metabolic process (GO:0046483)	938	14	17.21	-	.81	2.51E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	67	1	1.23	-	.81	6.52E-01
cellular amino acid biosynthetic process (GO:0008652)	67	1	1.23	-	.81	6.52E-01
regulation of organelle organization (GO:0033043)	67	1	1.23	-	.81	6.52E-01
ribonucleoprotein complex assembly (GO:0022618)	67	1	1.23	-	.81	6.52E-01
cellular aromatic compound metabolic process (GO:0006725)	942	14	17.28	-	.81	2.46E-01
regulation of biological process (GO:0050789)	611	9	11.21	-	.80	3.10E-01
ribonucleoprotein complex subunit organization (GO:0071826)	69	1	1.27	-	.79	6.39E-01
macromolecule modification (GO:0043412)	416	6	7.63	-	.79	3.55E-01
regulation of cellular process (GO:0050794)	556	8	10.20	-	.78	3.03E-01
organic cyclic compound metabolic process (GO:1901360)	974	14	17.87	-	.78	2.02E-01
cellular protein-containing complex assembly (GO:0034622)	210	3	3.85	-	.78	4.61E-01
cellular component assembly (GO:0022607)	284	4	5.21	-	.77	4.01E-01
protein-containing complex assembly (GO:0065003)	214	3	3.93	-	.76	4.46E-01
regulation of metabolic process (GO:0019222)	429	6	7.87	-	.76	3.24E-01
regulation of molecular function (GO:0065009)	72	1	1.32	-	.76	6.19E-01
regulation of cellular metabolic process (GO:0031323)	361	5	6.62	-	.76	3.47E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	289	4	5.30	-	.75	3.86E-01
regulation of macromolecule biosynthetic process (GO:0010556)	290	4	5.32	-	.75	3.83E-01
cellular macromolecule biosynthetic process (GO:0034645)	580	8	10.64	-	.75	2.57E-01
regulation of biosynthetic process (GO:0009889)	291	4	5.34	-	.75	3.80E-01
regulation of cellular biosynthetic process (GO:0031326)	291	4	5.34	-	.75	3.80E-01
macromolecule biosynthetic process (GO:0009059)	583	8	10.69	-	.75	2.52E-01
nucleobase-containing compound catabolic process (GO:0034655)	73	1	1.34	-	.75	6.13E-01
negative regulation of cellular metabolic process (GO:0031324)	73	1	1.34	-	.75	6.13E-01
translational elongation (GO:0006414)	150	2	2.75	-	.73	4.80E-01
translation (GO:0006412)	150	2	2.75	-	.73	4.80E-01
gene expression (GO:0010467)	766	10	14.05	-	.71	1.61E-01
response to stimulus (GO:0050896)	385	5	7.06	-	.71	2.87E-01
peptide biosynthetic process (GO:0043043)	154	2	2.82	-	.71	4.62E-01
RNA metabolic process (GO:0016070)	624	8	11.45	-	.70	1.85E-01
cellular response to stress (GO:0033554)	235	3	4.31	-	.70	3.72E-01
negative regulation of biological process (GO:0048519)	158	2	2.90	-	.69	4.45E-01
transport (GO:0006810)	637	8	11.68	-	.68	1.67E-01
establishment of localization (GO:0051234)	645	8	11.83	-	.68	1.57E-01
mRNA splicing, via spliceosome (GO:0000398)	81	1	1.49	-	.67	5.62E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	81	1	1.49	-	.67	5.62E-01
RNA splicing, via transesterification reactions (GO:0000375)	81	1	1.49	-	.67	5.62E-01
regulation of cellular component organization (GO:0051128)	82	1	1.50	-	.66	5.56E-01
regulation of cellular protein metabolic process (GO:0032268)	82	1	1.50	-	.66	5.56E-01
Golgi vesicle transport (GO:0048193)	82	1	1.50	-	.66	5.56E-01
cellular macromolecule metabolic process (GO:0044260)	1073	13	19.68	-	.66	6.33E-02
protein-containing complex subunit organization (GO:0043933)	248	3	4.55	-	.66	3.31E-01
cellular nitrogen compound catabolic process (GO:0044270)	86	1	1.58	-	.63	5.31E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	86	1	1.58	-	.63	5.31E-01
heterocycle catabolic process (GO:0046700)	86	1	1.58	-	.63	5.31E-01
peptide metabolic process (GO:0006518)	172	2	3.16	-	.63	3.87E-01
cellular response to stimulus (GO:0051716)	346	4	6.35	-	.63	2.36E-01
cellular protein metabolic process (GO:0044267)	607	7	11.13	-	.63	1.26E-01
localization (GO:0051179)	694	8	12.73	-	.63	1.04E-01
aromatic compound catabolic process (GO:0019439)	87	1	1.60	-	.63	5.25E-01
regulation of nitrogen compound metabolic process (GO:0051171)	351	4	6.44	-	.62	2.25E-01
regulation of protein metabolic process (GO:0051246)	88	1	1.61	-	.62	5.19E-01
regulation of primary metabolic process (GO:0080090)	354	4	6.49	-	.62	2.19E-01
small molecule catabolic process (GO:0044282)	89	1	1.63	-	.61	5.13E-01
proteasomal protein catabolic process (GO:0010498)	89	1	1.63	-	.61	5.13E-01
regulation of transcription by RNA polymerase II (GO:0006357)	179	2	3.28	-	.61	3.60E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	271	3	4.97	-	.60	2.65E-01
tRNA metabolic process (GO:0006399)	91	1	1.67	-	.60	5.02E-01
cellular protein modification process (GO:0006464)	365	4	6.70	-	.60	1.97E-01
protein modification process (GO:0036211)	365	4	6.70	-	.60	1.97E-01
RNA splicing (GO:0008380)	92	1	1.69	-	.59	4.96E-01
mitochondrion organization (GO:0007005)	92	1	1.69	-	.59	4.96E-01
protein metabolic process (GO:0019538)	647	7	11.87	-	.59	8.74E-02
organic cyclic compound catabolic process (GO:1901361)	94	1	1.72	-	.58	4.85E-01
nitrogen compound transport (GO:0071705)	282	3	5.17	-	.58	2.37E-01
nucleic acid metabolic process (GO:0090304)	757	8	13.89	-	.58	5.78E-02
alpha-amino acid metabolic process (GO:1901605)	95	1	1.74	-	.57	4.79E-01
negative regulation of gene expression (GO:0010629)	96	1	1.76	-	.57	4.73E-01
establishment of localization in cell (GO:0051649)	299	3	5.48	-	.55	1.99E-01
transcription by RNA polymerase II (GO:0006366)	202	2	3.71	-	.54	2.81E-01
proteolysis (GO:0006508)	202	2	3.71	-	.54	2.81E-01
peptidyl-amino acid modification (GO:0018193)	103	1	1.89	-	.53	4.35E-01
regulation of macromolecule metabolic process (GO:0060255)	414	4	7.59	-	.53	1.20E-01
organic substance transport (GO:0071702)	317	3	5.81	-	.52	1.64E-01
chromatin organization (GO:0006325)	106	1	1.94	-	.51	4.20E-01
mRNA processing (GO:0006397)	111	1	2.04	-	.49	3.95E-01
negative regulation of macromolecule metabolic process (GO:0010605)	112	1	2.05	-	.49	3.90E-01
negative regulation of cellular process (GO:0048523)	114	1	2.09	-	.48	3.80E-01
regulation of gene expression (GO:0010468)	355	3	6.51	-	.46	1.06E-01
cellular localization (GO:0051641)	359	3	6.59	-	.46	1.01E-01
regulation of transcription, DNA-templated (GO:0006355)	244	2	4.48	-	.45	1.73E-01
regulation of nucleic acid-templated transcription (GO:1903506)	244	2	4.48	-	.45	1.73E-01
cellular component organization (GO:0016043)	732	6	13.43	-	.45	1.67E-02
regulation of RNA biosynthetic process (GO:2001141)	244	2	4.48	-	.45	1.73E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	122	1	2.24	-	.45	3.43E-01
modification-dependent protein catabolic process (GO:0019941)	126	1	2.31	-	.43	3.26E-01
regulation of RNA metabolic process (GO:0051252)	262	2	4.81	-	.42	1.38E-01
modification-dependent macromolecule catabolic process (GO:0043632)	131	1	2.40	-	.42	3.06E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	134	1	2.46	-	.41	2.94E-01
cellular protein catabolic process (GO:0044257)	136	1	2.49	-	.40	2.86E-01
nucleic acid-templated transcription (GO:0097659)	280	2	5.14	-	.39	1.10E-01
transcription, DNA-templated (GO:0006351)	280	2	5.14	-	.39	1.10E-01
protein catabolic process (GO:0030163)	141	1	2.59	-	.39	2.68E-01
RNA biosynthetic process (GO:0032774)	289	2	5.30	-	.38	9.78E-02
organelle organization (GO:0006996)	588	4	10.79	-	.37	1.50E-02
cellular amino acid metabolic process (GO:0006520)	148	1	2.71	-	.37	2.43E-01
mRNA metabolic process (GO:0016071)	151	1	2.77	-	.36	2.34E-01
positive regulation of cellular process (GO:0048522)	157	1	2.88	-	.35	2.15E-01
positive regulation of biological process (GO:0048518)	162	1	2.97	-	.34	2.01E-01
DNA metabolic process (GO:0006259)	164	1	3.01	-	.33	1.95E-01
chromosome organization (GO:0051276)	179	1	3.28	-	.30	1.58E-01
vesicle-mediated transport (GO:0016192)	193	1	3.54	-	.28	1.29E-01
intracellular protein transport (GO:0006886)	194	1	3.56	-	.28	1.27E-01
cellular macromolecule catabolic process (GO:0044265)	199	1	3.65	-	.27	1.18E-01
organonitrogen compound catabolic process (GO:1901565)	211	1	3.87	-	.26	9.89E-02
protein transport (GO:0015031)	214	1	3.93	-	.25	9.45E-02
peptide transport (GO:0015833)	214	1	3.93	-	.25	9.45E-02
establishment of protein localization (GO:0045184)	216	1	3.96	-	.25	9.18E-02
amide transport (GO:0042886)	217	1	3.98	-	.25	9.04E-02
cellular protein localization (GO:0034613)	244	1	4.48	-	.22	6.00E-02
cellular macromolecule localization (GO:0070727)	247	1	4.53	-	.22	5.73E-02
protein localization (GO:0008104)	259	1	4.75	-	.21	4.75E-02
intracellular transport (GO:0046907)	278	1	5.10	-	.20	3.53E-02
macromolecule localization (GO:0033036)	281	1	5.15	-	.19	3.37E-02
ribonucleoside triphosphate metabolic process (GO:0009199)	30	0	.55	-	 < 0.01	5.76E-01
positive regulation of supramolecular fiber organization (GO:1902905)	10	0	.18	-	 < 0.01	8.32E-01
regulation of supramolecular fiber organization (GO:1902903)	18	0	.33	-	 < 0.01	7.19E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	6	0	.11	-	 < 0.01	8.96E-01
protein localization to mitochondrion (GO:0070585)	27	0	.50	-	 < 0.01	6.09E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	18	0	.33	-	 < 0.01	7.19E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	1	0	.02	-	 < 0.01	9.82E-01
nuclear division (GO:0000280)	122	0	2.24	-	 < 0.01	1.05E-01
positive regulation of actin filament polymerization (GO:0030838)	7	0	.13	-	 < 0.01	8.79E-01
negative regulation of actin filament polymerization (GO:0030837)	5	0	.09	-	 < 0.01	9.12E-01
regulation of actin filament polymerization (GO:0030833)	15	0	.28	-	 < 0.01	7.59E-01
regulation of actin filament length (GO:0030832)	16	0	.29	-	 < 0.01	7.45E-01
cyclic nucleotide metabolic process (GO:0009187)	2	0	.04	-	 < 0.01	9.64E-01
regulation of phosphorus metabolic process (GO:0051174)	40	0	.73	-	 < 0.01	4.79E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	121	0	2.22	-	 < 0.01	1.07E-01
import into nucleus (GO:0051170)	27	0	.50	-	 < 0.01	6.09E-01
M phase (GO:0000279)	16	0	.29	-	 < 0.01	7.45E-01
mitotic cell cycle (GO:0000278)	102	0	1.87	-	 < 0.01	1.52E-01
supramolecular fiber organization (GO:0097435)	40	0	.73	-	 < 0.01	4.79E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	5	0	.09	-	 < 0.01	9.12E-01
peptidoglycan metabolic process (GO:0000270)	3	0	.06	-	 < 0.01	9.46E-01
apoptotic cell clearance (GO:0043277)	1	0	.02	-	 < 0.01	9.82E-01
regulation of lipid biosynthetic process (GO:0046890)	2	0	.04	-	 < 0.01	9.64E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	14	0	.26	-	 < 0.01	7.73E-01
programmed cell death (GO:0012501)	6	0	.11	-	 < 0.01	8.96E-01
regulation of establishment of protein localization (GO:0070201)	5	0	.09	-	 < 0.01	9.12E-01
mitochondrial fission (GO:0000266)	12	0	.22	-	 < 0.01	8.02E-01
membrane invagination (GO:0010324)	37	0	.68	-	 < 0.01	5.07E-01
peptide secretion (GO:0002790)	6	0	.11	-	 < 0.01	8.96E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	9	0	.17	-	 < 0.01	8.48E-01
glucose 6-phosphate metabolic process (GO:0051156)	12	0	.22	-	 < 0.01	8.02E-01
regulation of cell projection assembly (GO:0060491)	4	0	.07	-	 < 0.01	9.29E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of protein catabolic process (GO:0042177)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein catabolic process (GO:0042176)	9	0	.17	-	 < 0.01	8.48E-01
actin filament bundle organization (GO:0061572)	2	0	.04	-	 < 0.01	9.64E-01
regulation of phosphate metabolic process (GO:0019220)	40	0	.73	-	 < 0.01	4.79E-01
regulation of protein-containing complex assembly (GO:0043254)	28	0	.51	-	 < 0.01	5.98E-01
purine ribonucleotide catabolic process (GO:0009154)	3	0	.06	-	 < 0.01	9.46E-01
heme metabolic process (GO:0042168)	8	0	.15	-	 < 0.01	8.63E-01
positive regulation of cell cycle (GO:0045787)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of cell cycle (GO:0045786)	30	0	.55	-	 < 0.01	5.76E-01
spliceosomal complex assembly (GO:0000245)	8	0	.15	-	 < 0.01	8.63E-01
regulation of actin polymerization or depolymerization (GO:0008064)	16	0	.29	-	 < 0.01	7.45E-01
regulation of lipid metabolic process (GO:0019216)	3	0	.06	-	 < 0.01	9.46E-01
respiratory electron transport chain (GO:0022904)	19	0	.35	-	 < 0.01	7.05E-01
electron transport chain (GO:0022900)	19	0	.35	-	 < 0.01	7.05E-01
proteasome assembly (GO:0043248)	8	0	.15	-	 < 0.01	8.63E-01
multivesicular body sorting pathway (GO:0071985)	18	0	.33	-	 < 0.01	7.19E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	28	0	.51	-	 < 0.01	5.98E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	28	0	.51	-	 < 0.01	5.98E-01
protein import (GO:0017038)	58	0	1.06	-	 < 0.01	3.44E-01
positive regulation of cytoskeleton organization (GO:0051495)	10	0	.18	-	 < 0.01	8.32E-01
nucleoside triphosphate catabolic process (GO:0009143)	2	0	.04	-	 < 0.01	9.64E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	32	0	.59	-	 < 0.01	5.55E-01
regulation of cytoskeleton organization (GO:0051493)	25	0	.46	-	 < 0.01	6.32E-01
nucleoside triphosphate metabolic process (GO:0009141)	34	0	.62	-	 < 0.01	5.35E-01
positive regulation of cellular component organization (GO:0051130)	25	0	.46	-	 < 0.01	6.32E-01
protein K63-linked deubiquitination (GO:0070536)	1	0	.02	-	 < 0.01	9.82E-01
transcription preinitiation complex assembly (GO:0070897)	15	0	.28	-	 < 0.01	7.59E-01
protein transport along microtubule (GO:0098840)	1	0	.02	-	 < 0.01	9.82E-01
protein K63-linked ubiquitination (GO:0070534)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of cellular component organization (GO:0051129)	16	0	.29	-	 < 0.01	7.45E-01
phosphatidylinositol phosphorylation (GO:0046854)	6	0	.11	-	 < 0.01	8.96E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	14	0	.26	-	 < 0.01	7.73E-01
long-chain fatty acid metabolic process (GO:0001676)	5	0	.09	-	 < 0.01	9.12E-01
retrograde transport, endosome to Golgi (GO:0042147)	14	0	.26	-	 < 0.01	7.73E-01
regulation of chromatin assembly or disassembly (GO:0001672)	2	0	.04	-	 < 0.01	9.64E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	1	0	.02	-	 < 0.01	9.82E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of cellular amide metabolic process (GO:0034250)	16	0	.29	-	 < 0.01	7.45E-01
regulation of adenylate cyclase activity (GO:0045761)	4	0	.07	-	 < 0.01	9.29E-01
microtubule cytoskeleton organization (GO:0000226)	49	0	.90	-	 < 0.01	4.06E-01
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	1	0	.02	-	 < 0.01	9.82E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	6	0	.11	-	 < 0.01	8.96E-01
peptidyl-threonine phosphorylation (GO:0018107)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of cell communication (GO:0010648)	7	0	.13	-	 < 0.01	8.79E-01
peptidyl-serine phosphorylation (GO:0018105)	23	0	.42	-	 < 0.01	6.55E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	9	0	.17	-	 < 0.01	8.48E-01
response to hypoxia (GO:0001666)	2	0	.04	-	 < 0.01	9.64E-01
nucleoside monophosphate metabolic process (GO:0009123)	13	0	.24	-	 < 0.01	7.88E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	7	0	.13	-	 < 0.01	8.79E-01
mitotic cell cycle process (GO:1903047)	102	0	1.87	-	 < 0.01	1.52E-01
meiotic cell cycle process (GO:1903046)	37	0	.68	-	 < 0.01	5.07E-01
phospholipid dephosphorylation (GO:0046839)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of organelle organization (GO:0010639)	16	0	.29	-	 < 0.01	7.45E-01
positive regulation of organelle organization (GO:0010638)	18	0	.33	-	 < 0.01	7.19E-01
peroxisomal transport (GO:0043574)	14	0	.26	-	 < 0.01	7.73E-01
purine nucleobase biosynthetic process (GO:0009113)	6	0	.11	-	 < 0.01	8.96E-01
calcium ion import (GO:0070509)	2	0	.04	-	 < 0.01	9.64E-01
regulation of cell population proliferation (GO:0042127)	2	0	.04	-	 < 0.01	9.64E-01
cytochrome complex assembly (GO:0017004)	20	0	.37	-	 < 0.01	6.93E-01
nuclear chromosome segregation (GO:0098813)	49	0	.90	-	 < 0.01	4.06E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of DNA replication (GO:0045740)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of gene expression (GO:0010628)	96	0	1.76	-	 < 0.01	1.70E-01
positive regulation of DNA repair (GO:0045739)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein catabolic process (GO:0045732)	8	0	.15	-	 < 0.01	8.63E-01
chromosome localization (GO:0050000)	8	0	.15	-	 < 0.01	8.63E-01
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to cilium (GO:0061512)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of protein dephosphorylation (GO:0035308)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of dephosphorylation (GO:0035305)	4	0	.07	-	 < 0.01	9.29E-01
regulation of protein dephosphorylation (GO:0035304)	5	0	.09	-	 < 0.01	9.12E-01
regulation of dephosphorylation (GO:0035303)	7	0	.13	-	 < 0.01	8.79E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	8	0	.15	-	 < 0.01	8.63E-01
regulation of meiotic cell cycle (GO:0051445)	2	0	.04	-	 < 0.01	9.64E-01
transport along microtubule (GO:0010970)	11	0	.20	-	 < 0.01	8.17E-01
positive regulation of translation (GO:0045727)	16	0	.29	-	 < 0.01	7.45E-01
mitochondrial transmembrane transport (GO:1990542)	27	0	.50	-	 < 0.01	6.09E-01
regulation of cell shape (GO:0008360)	3	0	.06	-	 < 0.01	9.46E-01
multicellular organism development (GO:0007275)	1	0	.02	-	 < 0.01	9.82E-01
regulation of kinase activity (GO:0043549)	25	0	.46	-	 < 0.01	6.32E-01
positive regulation of GTPase activity (GO:0043547)	14	0	.26	-	 < 0.01	7.73E-01
positive regulation of macromolecule metabolic process (GO:0010604)	124	0	2.27	-	 < 0.01	1.01E-01
regulation of mitotic sister chromatid separation (GO:0010965)	12	0	.22	-	 < 0.01	8.02E-01
negative regulation of signaling (GO:0023057)	7	0	.13	-	 < 0.01	8.79E-01
DNA geometric change (GO:0032392)	11	0	.20	-	 < 0.01	8.17E-01
protein acylation (GO:0043543)	32	0	.59	-	 < 0.01	5.55E-01
lipid translocation (GO:0034204)	7	0	.13	-	 < 0.01	8.79E-01
RNA interference (GO:0016246)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of cellular protein catabolic process (GO:1903364)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of cellular protein catabolic process (GO:1903363)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cellular protein catabolic process (GO:1903362)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of macroautophagy (GO:0016242)	1	0	.02	-	 < 0.01	9.82E-01
regulation of macroautophagy (GO:0016241)	3	0	.06	-	 < 0.01	9.46E-01
cell-cell signaling (GO:0007267)	2	0	.04	-	 < 0.01	9.64E-01
Rho protein signal transduction (GO:0007266)	1	0	.02	-	 < 0.01	9.82E-01
Ras protein signal transduction (GO:0007265)	6	0	.11	-	 < 0.01	8.96E-01
small GTPase mediated signal transduction (GO:0007264)	8	0	.15	-	 < 0.01	8.63E-01
regulation of chromatin organization (GO:1902275)	12	0	.22	-	 < 0.01	8.02E-01
regulation of peptide transport (GO:0090087)	5	0	.09	-	 < 0.01	9.12E-01
calcium ion transport into cytosol (GO:0060402)	1	0	.02	-	 < 0.01	9.82E-01
cytosolic calcium ion transport (GO:0060401)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of nuclear division (GO:0051784)	7	0	.13	-	 < 0.01	8.79E-01
replication fork processing (GO:0031297)	5	0	.09	-	 < 0.01	9.12E-01
regulation of nuclear division (GO:0051783)	17	0	.31	-	 < 0.01	7.32E-01
heterochromatin organization (GO:0070828)	11	0	.20	-	 < 0.01	8.17E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	3	0	.06	-	 < 0.01	9.46E-01
hormone biosynthetic process (GO:0042446)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of cell division (GO:0051781)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	8	0	.15	-	 < 0.01	8.63E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	27	0	.50	-	 < 0.01	6.09E-01
pigment metabolic process (GO:0042440)	15	0	.28	-	 < 0.01	7.59E-01
lysosomal microautophagy (GO:0016237)	9	0	.17	-	 < 0.01	8.48E-01
telomere capping (GO:0016233)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of cell cycle process (GO:0010948)	15	0	.28	-	 < 0.01	7.59E-01
regulation of cell death (GO:0010941)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	5	0	.09	-	 < 0.01	9.12E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	16	0	.29	-	 < 0.01	7.45E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	9	0	.17	-	 < 0.01	8.48E-01
regulation of mRNA processing (GO:0050684)	16	0	.29	-	 < 0.01	7.45E-01
iron-sulfur cluster assembly (GO:0016226)	10	0	.18	-	 < 0.01	8.32E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of TOR signaling (GO:0032007)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of cell cycle process (GO:0090068)	10	0	.18	-	 < 0.01	8.32E-01
regulation of anatomical structure size (GO:0090066)	19	0	.35	-	 < 0.01	7.05E-01
response to light stimulus (GO:0009416)	5	0	.09	-	 < 0.01	9.12E-01
regulation of cyclase activity (GO:0031279)	4	0	.07	-	 < 0.01	9.29E-01
response to UV (GO:0009411)	5	0	.09	-	 < 0.01	9.12E-01
protein deubiquitination (GO:0016579)	21	0	.39	-	 < 0.01	6.80E-01
histone deubiquitination (GO:0016578)	1	0	.02	-	 < 0.01	9.82E-01
histone deacetylation (GO:0016575)	7	0	.13	-	 < 0.01	8.79E-01
histone ubiquitination (GO:0016574)	3	0	.06	-	 < 0.01	9.46E-01
histone acetylation (GO:0016573)	19	0	.35	-	 < 0.01	7.05E-01
neuron differentiation (GO:0030182)	1	0	.02	-	 < 0.01	9.82E-01
histone methylation (GO:0016571)	14	0	.26	-	 < 0.01	7.73E-01
histone modification (GO:0016570)	44	0	.81	-	 < 0.01	4.45E-01
response to heat (GO:0009408)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of phosphatase activity (GO:0010923)	2	0	.04	-	 < 0.01	9.64E-01
regulation of phosphatase activity (GO:0010921)	4	0	.07	-	 < 0.01	9.29E-01
signal transduction by protein phosphorylation (GO:0023014)	6	0	.11	-	 < 0.01	8.96E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	14	0	.26	-	 < 0.01	7.73E-01
ATP synthesis coupled electron transport (GO:0042773)	14	0	.26	-	 < 0.01	7.73E-01
covalent chromatin modification (GO:0016569)	44	0	.81	-	 < 0.01	4.45E-01
signal transduction in response to DNA damage (GO:0042770)	5	0	.09	-	 < 0.01	9.12E-01
response to nutrient (GO:0007584)	10	0	.18	-	 < 0.01	8.32E-01
protein deacylation (GO:0035601)	8	0	.15	-	 < 0.01	8.63E-01
positive regulation of protein phosphorylation (GO:0001934)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of protein phosphorylation (GO:0001933)	5	0	.09	-	 < 0.01	9.12E-01
cristae formation (GO:0042407)	2	0	.04	-	 < 0.01	9.64E-01
regulation of protein phosphorylation (GO:0001932)	29	0	.53	-	 < 0.01	5.87E-01
protein import into peroxisome matrix (GO:0016558)	11	0	.20	-	 < 0.01	8.17E-01
regulation of mRNA metabolic process (GO:1903311)	20	0	.37	-	 < 0.01	6.93E-01
regulation of proteolysis (GO:0030162)	10	0	.18	-	 < 0.01	8.32E-01
regulation of glucose metabolic process (GO:0010906)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	6	0	.11	-	 < 0.01	8.96E-01
protein localization to nucleus (GO:0034504)	27	0	.50	-	 < 0.01	6.09E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	4	0	.07	-	 < 0.01	9.29E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	2	0	.04	-	 < 0.01	9.64E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	2	0	.04	-	 < 0.01	9.64E-01
protein demethylation (GO:0006482)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to kinetochore (GO:0034501)	4	0	.07	-	 < 0.01	9.29E-01
protein import into mitochondrial matrix (GO:0030150)	12	0	.22	-	 < 0.01	8.02E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	1	0	.02	-	 < 0.01	9.82E-01
oxidative phosphorylation (GO:0006119)	16	0	.29	-	 < 0.01	7.45E-01
protein methylation (GO:0006479)	24	0	.44	-	 < 0.01	6.44E-01
regulation of cell cycle (GO:0051726)	64	0	1.17	-	 < 0.01	3.08E-01
protein deacetylation (GO:0006476)	7	0	.13	-	 < 0.01	8.79E-01
