




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
aminoglycan biosynthetic process (GO:0006023)	20	3	2.03	+	1.48	3.32E-01
anterior/posterior pattern specification (GO:0009952)	40	6	4.07	+	1.48	2.25E-01
heart process (GO:0003015)	20	3	2.03	+	1.48	3.32E-01
inorganic anion transmembrane transport (GO:0098661)	40	6	4.07	+	1.48	2.25E-01
very long-chain fatty acid metabolic process (GO:0000038)	20	3	2.03	+	1.48	3.32E-01
sister chromatid cohesion (GO:0007062)	20	3	2.03	+	1.48	3.32E-01
positive regulation of axonogenesis (GO:0050772)	20	3	2.03	+	1.48	3.32E-01
lymphocyte activation (GO:0046649)	74	11	7.52	+	1.46	1.39E-01
ncRNA processing (GO:0034470)	175	26	17.79	+	1.46	3.90E-02
negative regulation of cell adhesion (GO:0007162)	27	4	2.74	+	1.46	2.96E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	27	4	2.74	+	1.46	2.96E-01
negative regulation of cellular catabolic process (GO:0031330)	27	4	2.74	+	1.46	2.96E-01
regulation of GTPase activity (GO:0043087)	95	14	9.66	+	1.45	1.11E-01
sulfur compound metabolic process (GO:0006790)	102	15	10.37	+	1.45	1.03E-01
M phase (GO:0000279)	34	5	3.46	+	1.45	2.66E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	34	5	3.46	+	1.45	2.66E-01
retrograde transport, endosome to Golgi (GO:0042147)	34	5	3.46	+	1.45	2.66E-01
meiosis I cell cycle phase (GO:0098764)	34	5	3.46	+	1.45	2.66E-01
meiotic cell cycle phase (GO:0098762)	34	5	3.46	+	1.45	2.66E-01
telophase (GO:0051326)	34	5	3.46	+	1.45	2.66E-01
meiotic telophase I (GO:0007134)	34	5	3.46	+	1.45	2.66E-01
biological phase (GO:0044848)	34	5	3.46	+	1.45	2.66E-01
meiosis I (GO:0007127)	34	5	3.46	+	1.45	2.66E-01
proteoglycan metabolic process (GO:0006029)	34	5	3.46	+	1.45	2.66E-01
cell cycle phase (GO:0022403)	34	5	3.46	+	1.45	2.66E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	34	5	3.46	+	1.45	2.66E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	34	5	3.46	+	1.45	2.66E-01
cellular transition metal ion homeostasis (GO:0046916)	34	5	3.46	+	1.45	2.66E-01
regulation of ERK1 and ERK2 cascade (GO:0070372)	41	6	4.17	+	1.44	2.41E-01
ERK1 and ERK2 cascade (GO:0070371)	41	6	4.17	+	1.44	2.41E-01
proton transmembrane transport (GO:1902600)	41	6	4.17	+	1.44	2.41E-01
positive regulation of immune response (GO:0050778)	89	13	9.05	+	1.44	1.27E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	48	7	4.88	+	1.43	2.20E-01
positive regulation of cellular catabolic process (GO:0031331)	55	8	5.59	+	1.43	2.02E-01
cell migration (GO:0016477)	243	35	24.70	+	1.42	2.84E-02
response to growth factor (GO:0070848)	125	18	12.71	+	1.42	9.34E-02
cellular response to growth factor stimulus (GO:0071363)	125	18	12.71	+	1.42	9.34E-02
positive regulation of hydrolase activity (GO:0051345)	146	21	14.84	+	1.41	7.56E-02
response to hypoxia (GO:0001666)	21	3	2.13	+	1.41	3.60E-01
cell-substrate adhesion (GO:0031589)	42	6	4.27	+	1.41	2.58E-01
response to oxygen levels (GO:0070482)	21	3	2.13	+	1.41	3.60E-01
maturation of LSU-rRNA (GO:0000470)	21	3	2.13	+	1.41	3.60E-01
reciprocal meiotic recombination (GO:0007131)	21	3	2.13	+	1.41	3.60E-01
homologous recombination (GO:0035825)	21	3	2.13	+	1.41	3.60E-01
response to decreased oxygen levels (GO:0036293)	21	3	2.13	+	1.41	3.60E-01
carboxylic acid transport (GO:0046942)	84	12	8.54	+	1.41	1.54E-01
single fertilization (GO:0007338)	21	3	2.13	+	1.41	3.60E-01
organic acid transport (GO:0015849)	84	12	8.54	+	1.41	1.54E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	35	5	3.56	+	1.41	2.85E-01
TOR signaling (GO:0031929)	35	5	3.56	+	1.41	2.85E-01
axo-dendritic transport (GO:0008088)	14	2	1.42	+	1.41	4.16E-01
hormone secretion (GO:0046879)	14	2	1.42	+	1.41	4.16E-01
proteasome assembly (GO:0043248)	7	1	.71	+	1.41	5.09E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	35	5	3.56	+	1.41	2.85E-01
platelet aggregation (GO:0070527)	7	1	.71	+	1.41	5.09E-01
cytochrome complex assembly (GO:0017004)	14	2	1.42	+	1.41	4.16E-01
germ cell development (GO:0007281)	28	4	2.85	+	1.41	3.18E-01
response to UV (GO:0009411)	7	1	.71	+	1.41	5.09E-01
negative regulation of phosphatase activity (GO:0010923)	7	1	.71	+	1.41	5.09E-01
signal transduction in response to DNA damage (GO:0042770)	7	1	.71	+	1.41	5.09E-01
smoothened signaling pathway (GO:0007224)	14	2	1.42	+	1.41	4.16E-01
proteoglycan biosynthetic process (GO:0030166)	28	4	2.85	+	1.41	3.18E-01
regulation of circadian rhythm (GO:0042752)	7	1	.71	+	1.41	5.09E-01
signal peptide processing (GO:0006465)	7	1	.71	+	1.41	5.09E-01
tumor necrosis factor production (GO:0032640)	7	1	.71	+	1.41	5.09E-01
negative regulation of response to DNA damage stimulus (GO:2001021)	7	1	.71	+	1.41	5.09E-01
mitochondrial gene expression (GO:0140053)	28	4	2.85	+	1.41	3.18E-01
synaptic transmission, glutamatergic (GO:0035249)	35	5	3.56	+	1.41	2.85E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	28	4	2.85	+	1.41	3.18E-01
mRNA stabilization (GO:0048255)	7	1	.71	+	1.41	5.09E-01
nucleosome assembly (GO:0006334)	14	2	1.42	+	1.41	4.16E-01
regulation of systemic arterial blood pressure (GO:0003073)	14	2	1.42	+	1.41	4.16E-01
DNA packaging (GO:0006323)	35	5	3.56	+	1.41	2.85E-01
male gamete generation (GO:0048232)	35	5	3.56	+	1.41	2.85E-01
hormone transport (GO:0009914)	14	2	1.42	+	1.41	4.16E-01
protein targeting to lysosome (GO:0006622)	7	1	.71	+	1.41	5.09E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	1	.71	+	1.41	5.09E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	7	1	.71	+	1.41	5.09E-01
establishment of spindle orientation (GO:0051294)	7	1	.71	+	1.41	5.09E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	7	1	.71	+	1.41	5.09E-01
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	7	1	.71	+	1.41	5.09E-01
cell cycle DNA replication (GO:0044786)	14	2	1.42	+	1.41	4.16E-01
mitotic sister chromatid cohesion (GO:0007064)	7	1	.71	+	1.41	5.09E-01
nuclear DNA replication (GO:0033260)	14	2	1.42	+	1.41	4.16E-01
protein localization to endoplasmic reticulum (GO:0070972)	28	4	2.85	+	1.41	3.18E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	35	5	3.56	+	1.41	2.85E-01
protein K48-linked ubiquitination (GO:0070936)	14	2	1.42	+	1.41	4.16E-01
bone mineralization (GO:0030282)	7	1	.71	+	1.41	5.09E-01
positive regulation of defense response (GO:0031349)	14	2	1.42	+	1.41	4.16E-01
pyrimidine nucleobase catabolic process (GO:0006208)	7	1	.71	+	1.41	5.09E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	14	2	1.42	+	1.41	4.16E-01
regulation of B cell proliferation (GO:0030888)	7	1	.71	+	1.41	5.09E-01
peptidyl-lysine modification (GO:0018205)	99	14	10.06	+	1.39	1.40E-01
regulation of endopeptidase activity (GO:0052548)	78	11	7.93	+	1.39	1.77E-01
ribosome biogenesis (GO:0042254)	156	22	15.86	+	1.39	8.24E-02
meiotic cell cycle process (GO:1903046)	71	10	7.22	+	1.39	1.92E-01
meiotic nuclear division (GO:0140013)	71	10	7.22	+	1.39	1.92E-01
meiotic cell cycle (GO:0051321)	71	10	7.22	+	1.39	1.92E-01
positive regulation of immune system process (GO:0002684)	128	18	13.01	+	1.38	1.09E-01
spindle organization (GO:0007051)	50	7	5.08	+	1.38	2.50E-01
neutrophil migration (GO:1990266)	43	6	4.37	+	1.37	2.75E-01
granulocyte chemotaxis (GO:0071621)	43	6	4.37	+	1.37	2.75E-01
leukocyte activation (GO:0045321)	86	12	8.74	+	1.37	1.72E-01
positive regulation of cell population proliferation (GO:0008284)	86	12	8.74	+	1.37	1.72E-01
protein localization to mitochondrion (GO:0070585)	36	5	3.66	+	1.37	3.05E-01
establishment of protein localization to mitochondrion (GO:0072655)	36	5	3.66	+	1.37	3.05E-01
response to unfolded protein (GO:0006986)	36	5	3.66	+	1.37	3.05E-01
cellular response to unfolded protein (GO:0034620)	36	5	3.66	+	1.37	3.05E-01
negative regulation of catalytic activity (GO:0043086)	137	19	13.93	+	1.36	1.12E-01
negative regulation of proteolysis (GO:0045861)	65	9	6.61	+	1.36	2.21E-01
response to interleukin-1 (GO:0070555)	29	4	2.95	+	1.36	3.41E-01
oxidative phosphorylation (GO:0006119)	29	4	2.95	+	1.36	3.41E-01
negative regulation of phosphorus metabolic process (GO:0010563)	58	8	5.90	+	1.36	2.42E-01
negative regulation of phosphate metabolic process (GO:0045936)	58	8	5.90	+	1.36	2.42E-01
cell-cell junction organization (GO:0045216)	58	8	5.90	+	1.36	2.42E-01
regulation of peptidase activity (GO:0052547)	80	11	8.13	+	1.35	1.97E-01
lipid transport (GO:0006869)	80	11	8.13	+	1.35	1.97E-01
leukocyte chemotaxis (GO:0030595)	51	7	5.18	+	1.35	2.65E-01
histone methylation (GO:0016571)	22	3	2.24	+	1.34	3.87E-01
peptidyl-lysine methylation (GO:0018022)	22	3	2.24	+	1.34	3.87E-01
regulation of sister chromatid segregation (GO:0033045)	22	3	2.24	+	1.34	3.87E-01
calcium-mediated signaling (GO:0019722)	22	3	2.24	+	1.34	3.87E-01
regulation of body fluid levels (GO:0050878)	22	3	2.24	+	1.34	3.87E-01
fertilization (GO:0009566)	22	3	2.24	+	1.34	3.87E-01
circadian rhythm (GO:0007623)	22	3	2.24	+	1.34	3.87E-01
response to metal ion (GO:0010038)	44	6	4.47	+	1.34	2.92E-01
negative regulation of endopeptidase activity (GO:0010951)	59	8	6.00	+	1.33	2.55E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	5	3.76	+	1.33	3.25E-01
glycolipid metabolic process (GO:0006664)	37	5	3.76	+	1.33	3.25E-01
anion transport (GO:0006820)	201	27	20.43	+	1.32	9.24E-02
glucose 6-phosphate metabolic process (GO:0051156)	15	2	1.52	+	1.31	4.51E-01
purine ribonucleotide metabolic process (GO:0009150)	120	16	12.20	+	1.31	1.70E-01
negative regulation of nuclear division (GO:0051784)	15	2	1.52	+	1.31	4.51E-01
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	15	2	1.52	+	1.31	4.51E-01
regulation of proteolysis (GO:0030162)	120	16	12.20	+	1.31	1.70E-01
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	15	2	1.52	+	1.31	4.51E-01
lymphocyte migration (GO:0072676)	30	4	3.05	+	1.31	3.64E-01
negative regulation of DNA metabolic process (GO:0051053)	15	2	1.52	+	1.31	4.51E-01
substrate adhesion-dependent cell spreading (GO:0034446)	15	2	1.52	+	1.31	4.51E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	15	2	1.52	+	1.31	4.51E-01
aminoglycan metabolic process (GO:0006022)	30	4	3.05	+	1.31	3.64E-01
regulation of potassium ion transmembrane transport (GO:1901379)	15	2	1.52	+	1.31	4.51E-01
cytoplasmic microtubule organization (GO:0031122)	30	4	3.05	+	1.31	3.64E-01
defense response to Gram-negative bacterium (GO:0050829)	15	2	1.52	+	1.31	4.51E-01
hexose metabolic process (GO:0019318)	30	4	3.05	+	1.31	3.64E-01
regulation of neurotransmitter secretion (GO:0046928)	15	2	1.52	+	1.31	4.51E-01
microtubule depolymerization (GO:0007019)	15	2	1.52	+	1.31	4.51E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	30	4	3.05	+	1.31	3.64E-01
meiotic chromosome segregation (GO:0045132)	30	4	3.05	+	1.31	3.64E-01
negative regulation of hydrolase activity (GO:0051346)	75	10	7.62	+	1.31	2.38E-01
monovalent inorganic cation transport (GO:0015672)	211	28	21.45	+	1.31	9.79E-02
purine ribonucleotide biosynthetic process (GO:0009152)	68	9	6.91	+	1.30	2.59E-01
localization of cell (GO:0051674)	280	37	28.47	+	1.30	6.87E-02
cell motility (GO:0048870)	280	37	28.47	+	1.30	6.87E-02
cell chemotaxis (GO:0060326)	53	7	5.39	+	1.30	2.96E-01
negative regulation of molecular function (GO:0044092)	159	21	16.16	+	1.30	1.40E-01
lipid localization (GO:0010876)	91	12	9.25	+	1.30	2.22E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	38	5	3.86	+	1.29	3.44E-01
glycerophospholipid biosynthetic process (GO:0046474)	38	5	3.86	+	1.29	3.44E-01
fatty acid catabolic process (GO:0009062)	38	5	3.86	+	1.29	3.44E-01
cellular lipid catabolic process (GO:0044242)	76	10	7.73	+	1.29	2.50E-01
liposaccharide metabolic process (GO:1903509)	38	5	3.86	+	1.29	3.44E-01
regulation of immune system process (GO:0002682)	183	24	18.60	+	1.29	1.29E-01
negative regulation of peptidase activity (GO:0010466)	61	8	6.20	+	1.29	2.84E-01
glycoprotein biosynthetic process (GO:0009101)	115	15	11.69	+	1.28	2.00E-01
positive regulation of translation (GO:0045727)	23	3	2.34	+	1.28	4.14E-01
negative regulation of protein phosphorylation (GO:0001933)	46	6	4.68	+	1.28	3.27E-01
regulation of mRNA stability (GO:0043488)	23	3	2.34	+	1.28	4.14E-01
regulation of chromosome segregation (GO:0051983)	23	3	2.34	+	1.28	4.14E-01
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	23	3	2.34	+	1.28	4.14E-01
ribonucleoprotein complex biogenesis (GO:0022613)	208	27	21.15	+	1.28	1.23E-01
myeloid leukocyte migration (GO:0097529)	54	7	5.49	+	1.28	3.12E-01
mitotic spindle organization (GO:0007052)	31	4	3.15	+	1.27	3.87E-01
negative regulation of catabolic process (GO:0009895)	31	4	3.15	+	1.27	3.87E-01
ribose phosphate biosynthetic process (GO:0046390)	78	10	7.93	+	1.26	2.74E-01
meiosis I cell cycle process (GO:0061982)	39	5	3.96	+	1.26	3.64E-01
ribonucleotide metabolic process (GO:0009259)	125	16	12.71	+	1.26	2.10E-01
ribose phosphate metabolic process (GO:0019693)	133	17	13.52	+	1.26	2.03E-01
sphingolipid metabolic process (GO:0006665)	47	6	4.78	+	1.26	3.45E-01
regulation of axonogenesis (GO:0050770)	47	6	4.78	+	1.26	3.45E-01
organic anion transport (GO:0015711)	149	19	15.15	+	1.25	1.90E-01
regulation of immune response (GO:0050776)	102	13	10.37	+	1.25	2.44E-01
negative regulation of protein metabolic process (GO:0051248)	157	20	15.96	+	1.25	1.84E-01
positive regulation of protein phosphorylation (GO:0001934)	220	28	22.37	+	1.25	1.38E-01
phospholipid biosynthetic process (GO:0008654)	55	7	5.59	+	1.25	3.28E-01
innate immune response (GO:0045087)	110	14	11.18	+	1.25	2.35E-01
ribosomal large subunit biogenesis (GO:0042273)	55	7	5.59	+	1.25	3.28E-01
response to inorganic substance (GO:0010035)	55	7	5.59	+	1.25	3.28E-01
locomotion (GO:0040011)	355	45	36.09	+	1.25	8.19E-02
immune response (GO:0006955)	284	36	28.87	+	1.25	1.09E-01
DNA repair (GO:0006281)	174	22	17.69	+	1.24	1.79E-01
small molecule catabolic process (GO:0044282)	127	16	12.91	+	1.24	2.28E-01
cellular amino acid metabolic process (GO:0006520)	127	16	12.91	+	1.24	2.28E-01
glycoprotein metabolic process (GO:0009100)	135	17	13.72	+	1.24	2.20E-01
negative regulation of cellular protein metabolic process (GO:0032269)	151	19	15.35	+	1.24	2.05E-01
movement of cell or subcellular component (GO:0006928)	542	68	55.10	+	1.23	4.81E-02
positive regulation of cellular amide metabolic process (GO:0034250)	24	3	2.44	+	1.23	4.41E-01
regulation of RNA stability (GO:0043487)	24	3	2.44	+	1.23	4.41E-01
negative regulation of phosphorylation (GO:0042326)	48	6	4.88	+	1.23	3.63E-01
glucose metabolic process (GO:0006006)	24	3	2.44	+	1.23	4.41E-01
rhythmic process (GO:0048511)	24	3	2.44	+	1.23	4.41E-01
cell-cell junction assembly (GO:0007043)	48	6	4.88	+	1.23	3.63E-01
regulation of potassium ion transport (GO:0043266)	16	2	1.63	+	1.23	4.84E-01
regulation of peptide secretion (GO:0002791)	16	2	1.63	+	1.23	4.84E-01
purine ribonucleotide catabolic process (GO:0009154)	8	1	.81	+	1.23	5.57E-01
tRNA processing (GO:0008033)	56	7	5.69	+	1.23	3.44E-01
purine nucleobase biosynthetic process (GO:0009113)	8	1	.81	+	1.23	5.57E-01
Ras protein signal transduction (GO:0007265)	72	9	7.32	+	1.23	3.13E-01
phosphatidylinositol 3-kinase signaling (GO:0014065)	16	2	1.63	+	1.23	4.84E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	8	1	.81	+	1.23	5.57E-01
positive regulation of cell cycle process (GO:0090068)	32	4	3.25	+	1.23	4.09E-01
protein glycosylation (GO:0006486)	80	10	8.13	+	1.23	3.00E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	16	2	1.63	+	1.23	4.84E-01
circadian regulation of gene expression (GO:0032922)	16	2	1.63	+	1.23	4.84E-01
icosanoid biosynthetic process (GO:0046456)	8	1	.81	+	1.23	5.57E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	16	2	1.63	+	1.23	4.84E-01
synaptic vesicle cycle (GO:0099504)	64	8	6.51	+	1.23	3.28E-01
retina development in camera-type eye (GO:0060041)	8	1	.81	+	1.23	5.57E-01
histone exchange (GO:0043486)	8	1	.81	+	1.23	5.57E-01
regulation of chromosome organization (GO:0033044)	56	7	5.69	+	1.23	3.44E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	2	1.63	+	1.23	4.84E-01
skeletal system development (GO:0001501)	32	4	3.25	+	1.23	4.09E-01
taxis (GO:0042330)	160	20	16.27	+	1.23	2.06E-01
cytosolic transport (GO:0016482)	40	5	4.07	+	1.23	3.84E-01
macromolecule glycosylation (GO:0043413)	80	10	8.13	+	1.23	3.00E-01
homologous chromosome pairing at meiosis (GO:0007129)	8	1	.81	+	1.23	5.57E-01
cholesterol metabolic process (GO:0008203)	16	2	1.63	+	1.23	4.84E-01
DNA catabolic process, endonucleolytic (GO:0000737)	8	1	.81	+	1.23	5.57E-01
positive regulation of calcium ion transport (GO:0051928)	8	1	.81	+	1.23	5.57E-01
regulation of synapse organization (GO:0050807)	16	2	1.63	+	1.23	4.84E-01
skeletal muscle contraction (GO:0003009)	8	1	.81	+	1.23	5.57E-01
positive regulation of apoptotic process (GO:0043065)	56	7	5.69	+	1.23	3.44E-01
chemotaxis (GO:0006935)	160	20	16.27	+	1.23	2.06E-01
spliceosomal snRNP assembly (GO:0000387)	16	2	1.63	+	1.23	4.84E-01
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	16	2	1.63	+	1.23	4.84E-01
ribonucleotide biosynthetic process (GO:0009260)	72	9	7.32	+	1.23	3.13E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	2	1.63	+	1.23	4.84E-01
mitotic metaphase plate congression (GO:0007080)	8	1	.81	+	1.23	5.57E-01
mitotic chromosome condensation (GO:0007076)	8	1	.81	+	1.23	5.57E-01
post-translational protein modification (GO:0043687)	8	1	.81	+	1.23	5.57E-01
NIK/NF-kappaB signaling (GO:0038061)	8	1	.81	+	1.23	5.57E-01
vesicle-mediated transport in synapse (GO:0099003)	64	8	6.51	+	1.23	3.28E-01
cellular iron ion homeostasis (GO:0006879)	8	1	.81	+	1.23	5.57E-01
animal organ morphogenesis (GO:0009887)	113	14	11.49	+	1.22	2.65E-01
carboxylic acid biosynthetic process (GO:0046394)	89	11	9.05	+	1.22	2.99E-01
organic acid biosynthetic process (GO:0016053)	89	11	9.05	+	1.22	2.99E-01
cell-cell adhesion (GO:0098609)	162	20	16.47	+	1.21	2.21E-01
cell morphogenesis (GO:0000902)	227	28	23.08	+	1.21	1.75E-01
regulation of protein phosphorylation (GO:0001932)	300	37	30.50	+	1.21	1.37E-01
pattern specification process (GO:0007389)	65	8	6.61	+	1.21	3.43E-01
sexual reproduction (GO:0019953)	65	8	6.61	+	1.21	3.43E-01
protein-containing complex assembly (GO:0065003)	358	44	36.39	+	1.21	1.19E-01
regulation of protein localization (GO:0032880)	57	7	5.79	+	1.21	3.61E-01
negative regulation of protein modification process (GO:0031400)	57	7	5.79	+	1.21	3.61E-01
positive regulation of cell motility (GO:2000147)	57	7	5.79	+	1.21	3.61E-01
positive regulation of programmed cell death (GO:0043068)	57	7	5.79	+	1.21	3.61E-01
positive regulation of cellular component movement (GO:0051272)	57	7	5.79	+	1.21	3.61E-01
gamete generation (GO:0007276)	49	6	4.98	+	1.20	3.81E-01
protein export from nucleus (GO:0006611)	49	6	4.98	+	1.20	3.81E-01
granulocyte migration (GO:0097530)	49	6	4.98	+	1.20	3.81E-01
Golgi organization (GO:0007030)	49	6	4.98	+	1.20	3.81E-01
ribonucleoprotein complex assembly (GO:0022618)	90	11	9.15	+	1.20	3.12E-01
actin filament-based process (GO:0030029)	254	31	25.82	+	1.20	1.75E-01
neuropeptide signaling pathway (GO:0007218)	41	5	4.17	+	1.20	4.04E-01
generation of precursor metabolites and energy (GO:0006091)	107	13	10.88	+	1.20	2.98E-01
signal release (GO:0023061)	66	8	6.71	+	1.19	3.58E-01
sphingolipid biosynthetic process (GO:0030148)	33	4	3.35	+	1.19	4.32E-01
multi-organism process (GO:0051704)	66	8	6.71	+	1.19	3.58E-01
lipid homeostasis (GO:0055088)	33	4	3.35	+	1.19	4.32E-01
multi-organism reproductive process (GO:0044703)	66	8	6.71	+	1.19	3.58E-01
ribonucleoprotein complex subunit organization (GO:0071826)	91	11	9.25	+	1.19	3.24E-01
positive regulation of locomotion (GO:0040017)	58	7	5.90	+	1.19	3.77E-01
axonogenesis (GO:0007409)	133	16	13.52	+	1.18	2.84E-01
purine nucleotide biosynthetic process (GO:0006164)	75	9	7.62	+	1.18	3.55E-01
regulation of lymphocyte proliferation (GO:0050670)	25	3	2.54	+	1.18	4.67E-01
neural crest cell differentiation (GO:0014033)	25	3	2.54	+	1.18	4.67E-01
neural crest cell development (GO:0014032)	25	3	2.54	+	1.18	4.67E-01
regulation of mononuclear cell proliferation (GO:0032944)	25	3	2.54	+	1.18	4.67E-01
cell adhesion (GO:0007155)	325	39	33.04	+	1.18	1.68E-01
regulation of cellular component size (GO:0032535)	100	12	10.17	+	1.18	3.22E-01
stem cell differentiation (GO:0048863)	25	3	2.54	+	1.18	4.67E-01
regulation of leukocyte proliferation (GO:0070663)	25	3	2.54	+	1.18	4.67E-01
peroxisome organization (GO:0007031)	25	3	2.54	+	1.18	4.67E-01
biological adhesion (GO:0022610)	325	39	33.04	+	1.18	1.68E-01
protein targeting (GO:0006605)	117	14	11.89	+	1.18	3.07E-01
regulation of phosphorylation (GO:0042325)	360	43	36.60	+	1.17	1.62E-01
sodium ion transmembrane transport (GO:0035725)	67	8	6.81	+	1.17	3.73E-01
regulation of cellular protein metabolic process (GO:0032268)	511	61	51.95	+	1.17	1.16E-01
regulation of hydrolase activity (GO:0051336)	243	29	24.70	+	1.17	2.17E-01
small GTPase mediated signal transduction (GO:0007264)	84	10	8.54	+	1.17	3.52E-01
antimicrobial humoral response (GO:0019730)	42	5	4.27	+	1.17	4.24E-01
transition metal ion homeostasis (GO:0055076)	42	5	4.27	+	1.17	4.24E-01
cellular response to nutrient levels (GO:0031669)	42	5	4.27	+	1.17	4.24E-01
cellular response to extracellular stimulus (GO:0031668)	42	5	4.27	+	1.17	4.24E-01
positive regulation of phosphorylation (GO:0042327)	269	32	27.35	+	1.17	2.08E-01
positive regulation of cell death (GO:0010942)	59	7	6.00	+	1.17	3.93E-01
detection of stimulus (GO:0051606)	59	7	6.00	+	1.17	3.93E-01
regulation of protein metabolic process (GO:0051246)	548	65	55.71	+	1.17	1.17E-01
purine nucleotide metabolic process (GO:0006163)	135	16	13.72	+	1.17	3.03E-01
inorganic cation transmembrane transport (GO:0098662)	270	32	27.45	+	1.17	2.14E-01
regulation of phosphorus metabolic process (GO:0051174)	380	45	38.63	+	1.16	1.69E-01
regulation of phosphate metabolic process (GO:0019220)	380	45	38.63	+	1.16	1.69E-01
positive regulation of catabolic process (GO:0009896)	76	9	7.73	+	1.16	3.69E-01
anion transmembrane transport (GO:0098656)	93	11	9.45	+	1.16	3.49E-01
ncRNA metabolic process (GO:0034660)	220	26	22.37	+	1.16	2.46E-01
RNA 3'-end processing (GO:0031123)	51	6	5.18	+	1.16	4.16E-01
inorganic anion transport (GO:0015698)	51	6	5.18	+	1.16	4.16E-01
positive regulation of cell cycle (GO:0045787)	34	4	3.46	+	1.16	4.54E-01
axon development (GO:0061564)	136	16	13.83	+	1.16	3.13E-01
peroxisomal transport (GO:0043574)	17	2	1.73	+	1.16	5.16E-01
regulation of dephosphorylation (GO:0035303)	17	2	1.73	+	1.16	5.16E-01
regulation of mitotic sister chromatid separation (GO:0010965)	17	2	1.73	+	1.16	5.16E-01
histone ubiquitination (GO:0016574)	17	2	1.73	+	1.16	5.16E-01
hemostasis (GO:0007599)	17	2	1.73	+	1.16	5.16E-01
blood coagulation (GO:0007596)	17	2	1.73	+	1.16	5.16E-01
tRNA methylation (GO:0030488)	17	2	1.73	+	1.16	5.16E-01
negative regulation of transport (GO:0051051)	34	4	3.46	+	1.16	4.54E-01
actin filament bundle assembly (GO:0051017)	34	4	3.46	+	1.16	4.54E-01
snRNA processing (GO:0016180)	17	2	1.73	+	1.16	5.16E-01
tricarboxylic acid cycle (GO:0006099)	17	2	1.73	+	1.16	5.16E-01
snRNA 3'-end processing (GO:0034472)	17	2	1.73	+	1.16	5.16E-01
response to wounding (GO:0009611)	34	4	3.46	+	1.16	4.54E-01
multicellular organismal homeostasis (GO:0048871)	17	2	1.73	+	1.16	5.16E-01
metaphase/anaphase transition of cell cycle (GO:0044784)	17	2	1.73	+	1.16	5.16E-01
mitotic DNA damage checkpoint (GO:0044773)	17	2	1.73	+	1.16	5.16E-01
regulation of response to biotic stimulus (GO:0002831)	17	2	1.73	+	1.16	5.16E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	17	2	1.73	+	1.16	5.16E-01
pteridine-containing compound metabolic process (GO:0042558)	17	2	1.73	+	1.16	5.16E-01
regulation of DNA replication (GO:0006275)	17	2	1.73	+	1.16	5.16E-01
positive regulation of multicellular organismal process (GO:0051240)	111	13	11.28	+	1.15	3.43E-01
positive regulation of MAPK cascade (GO:0043410)	94	11	9.56	+	1.15	3.61E-01
regulation of protein modification process (GO:0031399)	342	40	34.77	+	1.15	2.06E-01
positive regulation of cellular protein metabolic process (GO:0032270)	308	36	31.31	+	1.15	2.21E-01
positive regulation of phosphorus metabolic process (GO:0010562)	274	32	27.86	+	1.15	2.38E-01
positive regulation of phosphate metabolic process (GO:0045937)	274	32	27.86	+	1.15	2.38E-01
cellular protein-containing complex assembly (GO:0034622)	334	39	33.95	+	1.15	2.12E-01
