




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
polysaccharide metabolic process (GO:0005976)	31	3	1.58	+	1.89	2.12E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	31	3	1.58	+	1.89	2.12E-01
cellular polysaccharide metabolic process (GO:0044264)	31	3	1.58	+	1.89	2.12E-01
response to transforming growth factor beta (GO:0071559)	31	3	1.58	+	1.89	2.12E-01
regulation of cell growth (GO:0001558)	31	3	1.58	+	1.89	2.12E-01
transforming growth factor beta receptor signaling pathway (GO:0007179)	31	3	1.58	+	1.89	2.12E-01
cellular carbohydrate biosynthetic process (GO:0034637)	31	3	1.58	+	1.89	2.12E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	52	5	2.66	+	1.88	1.30E-01
regulation of canonical Wnt signaling pathway (GO:0060828)	52	5	2.66	+	1.88	1.30E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	21	2	1.07	+	1.86	2.91E-01
maturation of LSU-rRNA (GO:0000470)	21	2	1.07	+	1.86	2.91E-01
negative regulation of response to external stimulus (GO:0032102)	42	4	2.15	+	1.86	1.70E-01
regulation of inflammatory response (GO:0050727)	21	2	1.07	+	1.86	2.91E-01
secondary alcohol metabolic process (GO:1902652)	21	2	1.07	+	1.86	2.91E-01
cellular response to nutrient levels (GO:0031669)	42	4	2.15	+	1.86	1.70E-01
cellular response to extracellular stimulus (GO:0031668)	42	4	2.15	+	1.86	1.70E-01
mRNA splicing, via spliceosome (GO:0000398)	148	14	7.56	+	1.85	2.23E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	148	14	7.56	+	1.85	2.23E-02
RNA splicing, via transesterification reactions (GO:0000375)	148	14	7.56	+	1.85	2.23E-02
epithelium development (GO:0060429)	53	5	2.71	+	1.85	1.38E-01
response to hormone (GO:0009725)	106	10	5.41	+	1.85	4.89E-02
mRNA processing (GO:0006397)	191	18	9.76	+	1.85	1.10E-02
regulation of protein catabolic process (GO:0042176)	64	6	3.27	+	1.84	1.13E-01
chromatin organization (GO:0006325)	203	19	10.37	+	1.83	9.77E-03
regulation of actin filament organization (GO:0110053)	75	7	3.83	+	1.83	9.33E-02
developmental growth (GO:0048589)	43	4	2.20	+	1.82	1.80E-01
canonical Wnt signaling pathway (GO:0060070)	97	9	4.95	+	1.82	6.46E-02
double-strand break repair via homologous recombination (GO:0000724)	55	5	2.81	+	1.78	1.53E-01
import into nucleus (GO:0051170)	44	4	2.25	+	1.78	1.90E-01
positive regulation of ion transport (GO:0043270)	11	1	.56	+	1.78	4.30E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	11	1	.56	+	1.78	4.30E-01
histone methylation (GO:0016571)	22	2	1.12	+	1.78	3.10E-01
heart looping (GO:0001947)	11	1	.56	+	1.78	4.30E-01
apoptotic mitochondrial changes (GO:0008637)	11	1	.56	+	1.78	4.30E-01
positive regulation of innate immune response (GO:0045089)	11	1	.56	+	1.78	4.30E-01
translational initiation (GO:0006413)	33	3	1.69	+	1.78	2.39E-01
glycerophospholipid catabolic process (GO:0046475)	11	1	.56	+	1.78	4.30E-01
cellular response to amino acid starvation (GO:0034198)	11	1	.56	+	1.78	4.30E-01
positive regulation of leukocyte chemotaxis (GO:0002690)	11	1	.56	+	1.78	4.30E-01
response to ionizing radiation (GO:0010212)	11	1	.56	+	1.78	4.30E-01
peptidyl-lysine methylation (GO:0018022)	22	2	1.12	+	1.78	3.10E-01
negative regulation of neuron differentiation (GO:0045665)	22	2	1.12	+	1.78	3.10E-01
regulation of dendritic spine development (GO:0060998)	11	1	.56	+	1.78	4.30E-01
positive regulation of transmembrane transport (GO:0034764)	11	1	.56	+	1.78	4.30E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	11	1	.56	+	1.78	4.30E-01
double-strand break repair via break-induced replication (GO:0000727)	11	1	.56	+	1.78	4.30E-01
organelle fusion (GO:0048284)	143	13	7.30	+	1.78	3.52E-02
resolution of meiotic recombination intermediates (GO:0000712)	11	1	.56	+	1.78	4.30E-01
cellular response to external stimulus (GO:0071496)	44	4	2.25	+	1.78	1.90E-01
regulation of cellular pH (GO:0030641)	22	2	1.12	+	1.78	3.10E-01
protein import into nucleus (GO:0006606)	44	4	2.25	+	1.78	1.90E-01
sterol transport (GO:0015918)	11	1	.56	+	1.78	4.30E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	11	1	.56	+	1.78	4.30E-01
lysosome organization (GO:0007040)	11	1	.56	+	1.78	4.30E-01
positive regulation of mitotic nuclear division (GO:0045840)	11	1	.56	+	1.78	4.30E-01
DNA strand elongation involved in DNA replication (GO:0006271)	11	1	.56	+	1.78	4.30E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	22	2	1.12	+	1.78	3.10E-01
regulation of pH (GO:0006885)	22	2	1.12	+	1.78	3.10E-01
homologous chromosome segregation (GO:0045143)	11	1	.56	+	1.78	4.30E-01
regulation of catabolic process (GO:0009894)	144	13	7.36	+	1.77	3.69E-02
membrane fusion (GO:0061025)	156	14	7.97	+	1.76	3.25E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	268	24	13.69	+	1.75	6.79E-03
positive regulation of transcription, DNA-templated (GO:0045893)	268	24	13.69	+	1.75	6.79E-03
positive regulation of RNA biosynthetic process (GO:1902680)	268	24	13.69	+	1.75	6.79E-03
regulation of chromosome organization (GO:0033044)	56	5	2.86	+	1.75	1.62E-01
recombinational repair (GO:0000725)	56	5	2.86	+	1.75	1.62E-01
export from cell (GO:0140352)	157	14	8.02	+	1.75	3.40E-02
cellular component disassembly (GO:0022411)	101	9	5.16	+	1.74	7.83E-02
regulation of microtubule-based process (GO:0032886)	45	4	2.30	+	1.74	2.00E-01
response to starvation (GO:0042594)	45	4	2.30	+	1.74	2.00E-01
mRNA metabolic process (GO:0016071)	259	23	13.23	+	1.74	8.70E-03
peptidyl-serine phosphorylation (GO:0018105)	102	9	5.21	+	1.73	8.20E-02
actin filament bundle assembly (GO:0051017)	34	3	1.74	+	1.73	2.52E-01
positive regulation of MAP kinase activity (GO:0043406)	34	3	1.74	+	1.73	2.52E-01
RNA catabolic process (GO:0006401)	91	8	4.65	+	1.72	9.87E-02
alcohol metabolic process (GO:0006066)	80	7	4.09	+	1.71	1.19E-01
positive regulation of RNA metabolic process (GO:0051254)	286	25	14.61	+	1.71	7.74E-03
morphogenesis of an epithelium (GO:0002009)	23	2	1.17	+	1.70	3.28E-01
regulation of mRNA stability (GO:0043488)	23	2	1.17	+	1.70	3.28E-01
protein targeting to vacuole (GO:0006623)	23	2	1.17	+	1.70	3.28E-01
lysosomal transport (GO:0007041)	23	2	1.17	+	1.70	3.28E-01
cellular protein complex disassembly (GO:0043624)	46	4	2.35	+	1.70	2.11E-01
regulation of synaptic plasticity (GO:0048167)	23	2	1.17	+	1.70	3.28E-01
actin filament bundle organization (GO:0061572)	35	3	1.79	+	1.68	2.66E-01
ncRNA processing (GO:0034470)	175	15	8.94	+	1.68	3.87E-02
negative regulation of cellular component movement (GO:0051271)	35	3	1.79	+	1.68	2.66E-01
negative regulation of locomotion (GO:0040013)	35	3	1.79	+	1.68	2.66E-01
regulation of defense response (GO:0031347)	35	3	1.79	+	1.68	2.66E-01
chromosome organization (GO:0051276)	327	28	16.70	+	1.68	6.56E-03
cell-cell signaling by wnt (GO:0198738)	117	10	5.98	+	1.67	8.15E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	211	18	10.78	+	1.67	2.64E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	305	26	15.58	+	1.67	9.05E-03
regulation of axonogenesis (GO:0050770)	47	4	2.40	+	1.67	2.21E-01
cellular response to stress (GO:0033554)	447	38	22.83	+	1.66	1.96E-03
regulation of cell development (GO:0060284)	106	9	5.41	+	1.66	9.78E-02
peptidyl-serine modification (GO:0018209)	106	9	5.41	+	1.66	9.78E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	59	5	3.01	+	1.66	1.87E-01
meiotic cell cycle process (GO:1903046)	71	6	3.63	+	1.65	1.59E-01
meiotic nuclear division (GO:0140013)	71	6	3.63	+	1.65	1.59E-01
meiotic cell cycle (GO:0051321)	71	6	3.63	+	1.65	1.59E-01
positive regulation of protein catabolic process (GO:0045732)	48	4	2.45	+	1.63	2.32E-01
regulation of phosphatase activity (GO:0010921)	12	1	.61	+	1.63	4.58E-01
phospholipid translocation (GO:0045332)	24	2	1.23	+	1.63	3.47E-01
late endosome to vacuole transport (GO:0045324)	24	2	1.23	+	1.63	3.47E-01
regulation of RNA stability (GO:0043487)	24	2	1.23	+	1.63	3.47E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	24	2	1.23	+	1.63	3.47E-01
neuron projection development (GO:0031175)	204	17	10.42	+	1.63	3.64E-02
glycosaminoglycan biosynthetic process (GO:0006024)	12	1	.61	+	1.63	4.58E-01
glucose metabolic process (GO:0006006)	24	2	1.23	+	1.63	3.47E-01
autophagy of nucleus (GO:0044804)	12	1	.61	+	1.63	4.58E-01
determination of heart left/right asymmetry (GO:0061371)	12	1	.61	+	1.63	4.58E-01
rRNA metabolic process (GO:0016072)	108	9	5.52	+	1.63	1.06E-01
protein polymerization (GO:0051258)	96	8	4.90	+	1.63	1.23E-01
cell cycle arrest (GO:0007050)	12	1	.61	+	1.63	4.58E-01
activation of protein kinase activity (GO:0032147)	48	4	2.45	+	1.63	2.32E-01
regulation of histone modification (GO:0031056)	12	1	.61	+	1.63	4.58E-01
DNA replication initiation (GO:0006270)	12	1	.61	+	1.63	4.58E-01
tumor necrosis factor-mediated signaling pathway (GO:0033209)	12	1	.61	+	1.63	4.58E-01
regulation of protein secretion (GO:0050708)	12	1	.61	+	1.63	4.58E-01
cytoplasmic translational initiation (GO:0002183)	12	1	.61	+	1.63	4.58E-01
amino acid transport (GO:0006865)	48	4	2.45	+	1.63	2.32E-01
receptor localization to synapse (GO:0097120)	24	2	1.23	+	1.63	3.47E-01
neutral amino acid transport (GO:0015804)	24	2	1.23	+	1.63	3.47E-01
embryonic heart tube development (GO:0035050)	12	1	.61	+	1.63	4.58E-01
regulation of chemotaxis (GO:0050920)	36	3	1.84	+	1.63	2.80E-01
amino acid transmembrane transport (GO:0003333)	36	3	1.84	+	1.63	2.80E-01
protein depolymerization (GO:0051261)	36	3	1.84	+	1.63	2.80E-01
vacuole organization (GO:0007033)	60	5	3.06	+	1.63	1.95E-01
regulation of supramolecular fiber organization (GO:1902903)	85	7	4.34	+	1.61	1.49E-01
cell part morphogenesis (GO:0032990)	170	14	8.68	+	1.61	5.80E-02
regulation of neurogenesis (GO:0050767)	98	8	5.01	+	1.60	1.33E-01
RNA methylation (GO:0001510)	37	3	1.89	+	1.59	2.94E-01
response to endoplasmic reticulum stress (GO:0034976)	74	6	3.78	+	1.59	1.81E-01
axon development (GO:0061564)	136	11	6.95	+	1.58	9.39E-02
regulation of cytoskeleton organization (GO:0051493)	136	11	6.95	+	1.58	9.39E-02
chromosome segregation (GO:0007059)	99	8	5.06	+	1.58	1.39E-01
peptidyl-lysine modification (GO:0018205)	99	8	5.06	+	1.58	1.39E-01
DNA recombination (GO:0006310)	87	7	4.44	+	1.58	1.61E-01
neural crest cell differentiation (GO:0014033)	25	2	1.28	+	1.57	3.65E-01
neural crest cell development (GO:0014032)	25	2	1.28	+	1.57	3.65E-01
axon guidance (GO:0007411)	100	8	5.11	+	1.57	1.44E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	25	2	1.28	+	1.57	3.65E-01
stem cell differentiation (GO:0048863)	25	2	1.28	+	1.57	3.65E-01
neuron projection guidance (GO:0097485)	100	8	5.11	+	1.57	1.44E-01
regulation of cellular component biogenesis (GO:0044087)	150	12	7.66	+	1.57	8.81E-02
double-strand break repair (GO:0006302)	88	7	4.49	+	1.56	1.68E-01
regulation of organelle organization (GO:0033043)	239	19	12.21	+	1.56	4.18E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	302	24	15.43	+	1.56	2.46E-02
lipid metabolic process (GO:0006629)	378	30	19.31	+	1.55	1.34E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902)	38	3	1.94	+	1.55	3.07E-01
mRNA catabolic process (GO:0006402)	76	6	3.88	+	1.55	1.96E-01
positive regulation of catabolic process (GO:0009896)	76	6	3.88	+	1.55	1.96E-01
apoptotic signaling pathway (GO:0097190)	76	6	3.88	+	1.55	1.96E-01
organophosphate metabolic process (GO:0019637)	333	26	17.01	+	1.53	2.41E-02
glycerolipid metabolic process (GO:0046486)	141	11	7.20	+	1.53	1.13E-01
neuron projection morphogenesis (GO:0048812)	167	13	8.53	+	1.52	9.16E-02
protein-containing complex localization (GO:0031503)	180	14	9.19	+	1.52	8.29E-02
positive regulation of cellular biosynthetic process (GO:0031328)	309	24	15.78	+	1.52	3.09E-02
Wnt signaling pathway (GO:0016055)	116	9	5.92	+	1.52	1.44E-01
cell projection morphogenesis (GO:0048858)	168	13	8.58	+	1.51	9.48E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	168	13	8.58	+	1.51	9.48E-02
neuron development (GO:0048666)	220	17	11.24	+	1.51	6.38E-02
meiosis I cell cycle process (GO:0061982)	39	3	1.99	+	1.51	3.21E-01
positive regulation of biosynthetic process (GO:0009891)	312	24	15.94	+	1.51	3.39E-02
regulation of growth (GO:0040008)	39	3	1.99	+	1.51	3.21E-01
regulation of actin filament polymerization (GO:0030833)	65	5	3.32	+	1.51	2.41E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	26	2	1.33	+	1.51	3.83E-01
endothelial cell migration (GO:0043542)	13	1	.66	+	1.51	4.85E-01
specification of symmetry (GO:0009799)	13	1	.66	+	1.51	4.85E-01
regulation of innate immune response (GO:0045088)	13	1	.66	+	1.51	4.85E-01
positive regulation of chemotaxis (GO:0050921)	13	1	.66	+	1.51	4.85E-01
protein palmitoylation (GO:0018345)	26	2	1.33	+	1.51	3.83E-01
rRNA methylation (GO:0031167)	13	1	.66	+	1.51	4.85E-01
positive regulation of growth (GO:0045927)	13	1	.66	+	1.51	4.85E-01
transcription elongation from RNA polymerase II promoter (GO:0006368)	13	1	.66	+	1.51	4.85E-01
negative regulation of chromosome organization (GO:2001251)	26	2	1.33	+	1.51	3.83E-01
regulation of mRNA catabolic process (GO:0061013)	26	2	1.33	+	1.51	3.83E-01
regulation of dendrite morphogenesis (GO:0048814)	13	1	.66	+	1.51	4.85E-01
protein localization to synapse (GO:0035418)	26	2	1.33	+	1.51	3.83E-01
positive regulation of response to biotic stimulus (GO:0002833)	13	1	.66	+	1.51	4.85E-01
determination of left/right symmetry (GO:0007368)	13	1	.66	+	1.51	4.85E-01
growth (GO:0040007)	52	4	2.66	+	1.51	2.76E-01
determination of bilateral symmetry (GO:0009855)	13	1	.66	+	1.51	4.85E-01
cellular response to steroid hormone stimulus (GO:0071383)	13	1	.66	+	1.51	4.85E-01
mesenchymal cell differentiation (GO:0048762)	26	2	1.33	+	1.51	3.83E-01
regulation of response to external stimulus (GO:0032101)	79	6	4.04	+	1.49	2.20E-01
macromolecule methylation (GO:0043414)	66	5	3.37	+	1.48	2.50E-01
methylation (GO:0032259)	66	5	3.37	+	1.48	2.50E-01
vacuolar transport (GO:0007034)	66	5	3.37	+	1.48	2.50E-01
response to peptide hormone (GO:0043434)	53	4	2.71	+	1.48	2.87E-01
mitotic sister chromatid segregation (GO:0000070)	53	4	2.71	+	1.48	2.87E-01
regulation of exocytosis (GO:0017157)	53	4	2.71	+	1.48	2.87E-01
axonogenesis (GO:0007409)	133	10	6.79	+	1.47	1.48E-01
regulation of neuron differentiation (GO:0045664)	80	6	4.09	+	1.47	2.28E-01
regulation of actin filament length (GO:0030832)	67	5	3.42	+	1.46	2.60E-01
regulation of actin polymerization or depolymerization (GO:0008064)	67	5	3.42	+	1.46	2.60E-01
sister chromatid segregation (GO:0000819)	67	5	3.42	+	1.46	2.60E-01
regulation of Wnt signaling pathway (GO:0030111)	67	5	3.42	+	1.46	2.60E-01
endosomal transport (GO:0016197)	94	7	4.80	+	1.46	2.09E-01
RNA metabolic process (GO:0016070)	2297	171	117.32	+	1.46	2.46E-07
mesenchyme development (GO:0060485)	27	2	1.38	+	1.45	4.01E-01
regulation of lipid metabolic process (GO:0019216)	27	2	1.38	+	1.45	4.01E-01
lipid translocation (GO:0034204)	27	2	1.38	+	1.45	4.01E-01
regulation of nervous system development (GO:0051960)	108	8	5.52	+	1.45	1.92E-01
response to peptide (GO:1901652)	54	4	2.76	+	1.45	2.99E-01
acyl-CoA metabolic process (GO:0006637)	27	2	1.38	+	1.45	4.01E-01
nucleotide-excision repair (GO:0006289)	27	2	1.38	+	1.45	4.01E-01
nucleic acid metabolic process (GO:0090304)	2513	186	128.36	+	1.45	9.07E-08
cell morphogenesis involved in neuron differentiation (GO:0048667)	149	11	7.61	+	1.45	1.46E-01
lipid biosynthetic process (GO:0008610)	163	12	8.33	+	1.44	1.36E-01
carbohydrate metabolic process (GO:0005975)	123	9	6.28	+	1.43	1.83E-01
regulation of DNA metabolic process (GO:0051052)	41	3	2.09	+	1.43	3.49E-01
carbohydrate biosynthetic process (GO:0016051)	41	3	2.09	+	1.43	3.49E-01
regulation of actin cytoskeleton organization (GO:0032956)	96	7	4.90	+	1.43	2.23E-01
phospholipid biosynthetic process (GO:0008654)	55	4	2.81	+	1.42	3.10E-01
cell morphogenesis involved in differentiation (GO:0000904)	165	12	8.43	+	1.42	1.44E-01
regulation of RNA metabolic process (GO:0051252)	1829	133	93.42	+	1.42	2.22E-05
response to organonitrogen compound (GO:0010243)	124	9	6.33	+	1.42	1.88E-01
cellular component morphogenesis (GO:0032989)	193	14	9.86	+	1.42	1.24E-01
nucleobase-containing compound metabolic process (GO:0006139)	2706	196	138.21	+	1.42	1.72E-07
transcription by RNA polymerase II (GO:0006366)	1437	104	73.40	+	1.42	2.31E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1867	135	95.36	+	1.42	2.49E-05
RNA biosynthetic process (GO:0032774)	1785	129	91.17	+	1.41	3.99E-05
organic cyclic compound metabolic process (GO:1901360)	2812	203	143.63	+	1.41	1.21E-07
posttranscriptional regulation of gene expression (GO:0010608)	97	7	4.95	+	1.41	2.31E-01
regulation of actin filament-based process (GO:0032970)	97	7	4.95	+	1.41	2.31E-01
nucleic acid-templated transcription (GO:0097659)	1778	128	90.81	+	1.41	5.08E-05
transcription, DNA-templated (GO:0006351)	1778	128	90.81	+	1.41	5.08E-05
regulation of transcription by RNA polymerase II (GO:0006357)	1407	101	71.87	+	1.41	3.79E-04
heterocycle metabolic process (GO:0046483)	2752	197	140.56	+	1.40	3.64E-07
regulation of blood vessel diameter (GO:0097746)	14	1	.72	+	1.40	5.11E-01
nucleoside monophosphate metabolic process (GO:0009123)	14	1	.72	+	1.40	5.11E-01
cytochrome complex assembly (GO:0017004)	14	1	.72	+	1.40	5.11E-01
regulation of neuron projection development (GO:0010975)	70	5	3.58	+	1.40	2.89E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	28	2	1.43	+	1.40	4.19E-01
negative regulation of TOR signaling (GO:0032007)	14	1	.72	+	1.40	5.11E-01
smoothened signaling pathway (GO:0007224)	14	1	.72	+	1.40	5.11E-01
protein methylation (GO:0006479)	28	2	1.43	+	1.40	4.19E-01
folic acid-containing compound metabolic process (GO:0006760)	14	1	.72	+	1.40	5.11E-01
mitochondrial gene expression (GO:0140053)	28	2	1.43	+	1.40	4.19E-01
protein alkylation (GO:0008213)	28	2	1.43	+	1.40	4.19E-01
actin filament polymerization (GO:0030041)	70	5	3.58	+	1.40	2.89E-01
nucleosome assembly (GO:0006334)	14	1	.72	+	1.40	5.11E-01
regulation of systemic arterial blood pressure (GO:0003073)	14	1	.72	+	1.40	5.11E-01
negative regulation of cell migration (GO:0030336)	14	1	.72	+	1.40	5.11E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	14	1	.72	+	1.40	5.11E-01
gene silencing by miRNA (GO:0035195)	14	1	.72	+	1.40	5.11E-01
regulation of cysteine-type endopeptidase activity (GO:2000116)	28	2	1.43	+	1.40	4.19E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	28	2	1.43	+	1.40	4.19E-01
cell cycle DNA replication (GO:0044786)	14	1	.72	+	1.40	5.11E-01
nuclear DNA replication (GO:0033260)	14	1	.72	+	1.40	5.11E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	84	6	4.29	+	1.40	2.61E-01
positive regulation of defense response (GO:0031349)	14	1	.72	+	1.40	5.11E-01
protein-DNA complex assembly (GO:0065004)	56	4	2.86	+	1.40	3.21E-01
COPII-coated vesicle budding (GO:0090114)	14	1	.72	+	1.40	5.11E-01
cortical actin cytoskeleton organization (GO:0030866)	14	1	.72	+	1.40	5.11E-01
regulation of vesicle-mediated transport (GO:0060627)	98	7	5.01	+	1.40	2.38E-01
cellular aromatic compound metabolic process (GO:0006725)	2766	197	141.28	+	1.39	5.18E-07
regulation of transcription, DNA-templated (GO:0006355)	1731	123	88.41	+	1.39	1.25E-04
regulation of nucleic acid-templated transcription (GO:1903506)	1731	123	88.41	+	1.39	1.25E-04
regulation of RNA biosynthetic process (GO:2001141)	1731	123	88.41	+	1.39	1.25E-04
cellular lipid metabolic process (GO:0044255)	325	23	16.60	+	1.39	7.69E-02
positive regulation of gene expression (GO:0010628)	368	26	18.80	+	1.38	6.43E-02
nuclear chromosome segregation (GO:0098813)	85	6	4.34	+	1.38	2.70E-01
regulation of gene expression (GO:0010468)	2086	147	106.55	+	1.38	3.63E-05
regulation of translation (GO:0006417)	71	5	3.63	+	1.38	2.98E-01
dephosphorylation (GO:0016311)	128	9	6.54	+	1.38	2.12E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1836	129	93.78	+	1.38	1.35E-04
neuron differentiation (GO:0030182)	299	21	15.27	+	1.38	9.29E-02
regulation of anatomical structure size (GO:0090066)	114	8	5.82	+	1.37	2.31E-01
response to extracellular stimulus (GO:0009991)	57	4	2.91	+	1.37	3.33E-01
regulation of protein localization (GO:0032880)	57	4	2.91	+	1.37	3.33E-01
response to nutrient levels (GO:0031667)	57	4	2.91	+	1.37	3.33E-01
actin filament organization (GO:0007015)	171	12	8.73	+	1.37	1.71E-01
gene expression (GO:0010467)	2640	185	134.84	+	1.37	3.67E-06
regulation of cellular component size (GO:0032535)	100	7	5.11	+	1.37	2.53E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1843	129	94.13	+	1.37	1.58E-04
mitochondrial transmembrane transport (GO:1990542)	43	3	2.20	+	1.37	3.76E-01
cellular response to peptide (GO:1901653)	43	3	2.20	+	1.37	3.76E-01
regulation of cell projection organization (GO:0031344)	86	6	4.39	+	1.37	2.79E-01
cellular response to peptide hormone stimulus (GO:0071375)	43	3	2.20	+	1.37	3.76E-01
regulation of cellular biosynthetic process (GO:0031326)	1854	129	94.70	+	1.36	2.02E-04
endomembrane system organization (GO:0010256)	115	8	5.87	+	1.36	2.38E-01
cellular nitrogen compound metabolic process (GO:0034641)	2992	208	152.82	+	1.36	1.23E-06
regulation of protein polymerization (GO:0032271)	72	5	3.68	+	1.36	3.08E-01
regulation of biosynthetic process (GO:0009889)	1860	129	95.00	+	1.36	2.31E-04
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	130	9	6.64	+	1.36	2.25E-01
regulation of membrane lipid distribution (GO:0097035)	29	2	1.48	+	1.35	4.36E-01
negative regulation of phosphorus metabolic process (GO:0010563)	58	4	2.96	+	1.35	3.44E-01
regulation of cellular localization (GO:0060341)	87	6	4.44	+	1.35	2.87E-01
negative regulation of phosphate metabolic process (GO:0045936)	58	4	2.96	+	1.35	3.44E-01
mRNA 3'-end processing (GO:0031124)	29	2	1.48	+	1.35	4.36E-01
ceramide metabolic process (GO:0006672)	29	2	1.48	+	1.35	4.36E-01
regulation of protein transport (GO:0051223)	29	2	1.48	+	1.35	4.36E-01
DNA repair (GO:0006281)	174	12	8.89	+	1.35	1.85E-01
positive regulation of response to external stimulus (GO:0032103)	29	2	1.48	+	1.35	4.36E-01
organic cyclic compound biosynthetic process (GO:1901362)	2039	140	104.15	+	1.34	1.85E-04
rRNA processing (GO:0006364)	102	7	5.21	+	1.34	2.69E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	1988	136	101.54	+	1.34	2.71E-04
generation of neurons (GO:0048699)	322	22	16.45	+	1.34	1.07E-01
organophosphate catabolic process (GO:0046434)	44	3	2.25	+	1.33	3.90E-01
carbohydrate catabolic process (GO:0016052)	44	3	2.25	+	1.33	3.90E-01
mitotic cell cycle (GO:0000278)	236	16	12.05	+	1.33	1.58E-01
mitotic cell cycle process (GO:1903047)	236	16	12.05	+	1.33	1.58E-01
mitotic nuclear division (GO:0140014)	236	16	12.05	+	1.33	1.58E-01
ribose phosphate metabolic process (GO:0019693)	133	9	6.79	+	1.32	2.44E-01
heterocycle biosynthetic process (GO:0018130)	2012	136	102.77	+	1.32	4.44E-04
aromatic compound biosynthetic process (GO:0019438)	2013	136	102.82	+	1.32	4.53E-04
negative regulation of nucleic acid-templated transcription (GO:1903507)	282	19	14.40	+	1.32	1.39E-01
negative regulation of transcription, DNA-templated (GO:0045892)	282	19	14.40	+	1.32	1.39E-01
negative regulation of RNA biosynthetic process (GO:1902679)	282	19	14.40	+	1.32	1.39E-01
supramolecular fiber organization (GO:0097435)	253	17	12.92	+	1.32	1.57E-01
protein localization (GO:0008104)	716	48	36.57	+	1.31	3.64E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	2247	150	114.77	+	1.31	3.72E-04
organic acid transmembrane transport (GO:1903825)	45	3	2.30	+	1.31	4.04E-01
carboxylic acid transmembrane transport (GO:1905039)	45	3	2.30	+	1.31	4.04E-01
ribosomal small subunit biogenesis (GO:0042274)	45	3	2.30	+	1.31	4.04E-01
regulation of gene expression, epigenetic (GO:0040029)	45	3	2.30	+	1.31	4.04E-01
purine ribonucleotide metabolic process (GO:0009150)	120	8	6.13	+	1.31	2.74E-01
positive regulation of cell adhesion (GO:0045785)	30	2	1.53	+	1.31	4.53E-01
protein import (GO:0017038)	75	5	3.83	+	1.31	3.38E-01
purine nucleotide metabolic process (GO:0006163)	135	9	6.90	+	1.31	2.57E-01
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	15	1	.77	+	1.31	5.35E-01
regulation of proteolysis (GO:0030162)	120	8	6.13	+	1.31	2.74E-01
lens development in camera-type eye (GO:0002088)	15	1	.77	+	1.31	5.35E-01
negative regulation of DNA metabolic process (GO:0051053)	15	1	.77	+	1.31	5.35E-01
phospholipid catabolic process (GO:0009395)	15	1	.77	+	1.31	5.35E-01
protein-DNA complex subunit organization (GO:0071824)	75	5	3.83	+	1.31	3.38E-01
substrate adhesion-dependent cell spreading (GO:0034446)	15	1	.77	+	1.31	5.35E-01
ossification (GO:0001503)	15	1	.77	+	1.31	5.35E-01
meiotic chromosome separation (GO:0051307)	15	1	.77	+	1.31	5.35E-01
aminoglycan metabolic process (GO:0006022)	30	2	1.53	+	1.31	4.53E-01
regulation of potassium ion transmembrane transport (GO:1901379)	15	1	.77	+	1.31	5.35E-01
postreplication repair (GO:0006301)	15	1	.77	+	1.31	5.35E-01
