




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_background.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	arabidopsis_background.txt - REFLIST (14244)	upload_1 (1970)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
protein methylation (GO:0006479)	17	4	2.35	+	1.70	2.11E-01
protein alkylation (GO:0008213)	17	4	2.35	+	1.70	2.11E-01
metal ion homeostasis (GO:0055065)	51	12	7.05	+	1.70	5.55E-02
regulation of catabolic process (GO:0009894)	34	8	4.70	+	1.70	1.04E-01
establishment of protein localization to organelle (GO:0072594)	120	28	16.60	+	1.69	6.35E-03
purine-containing compound metabolic process (GO:0072521)	125	29	17.29	+	1.68	5.99E-03
cytoskeleton organization (GO:0007010)	147	34	20.33	+	1.67	3.28E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	186	43	25.72	+	1.67	1.06E-03
organic acid metabolic process (GO:0006082)	411	95	56.84	+	1.67	1.61E-06
oxoacid metabolic process (GO:0043436)	411	95	56.84	+	1.67	1.61E-06
glycoprotein metabolic process (GO:0009100)	39	9	5.39	+	1.67	9.66E-02
DNA-templated transcription, initiation (GO:0006352)	39	9	5.39	+	1.67	9.66E-02
actin filament bundle organization (GO:0061572)	13	3	1.80	+	1.67	2.69E-01
organophosphate catabolic process (GO:0046434)	26	6	3.60	+	1.67	1.55E-01
actin filament bundle assembly (GO:0051017)	13	3	1.80	+	1.67	2.69E-01
RNA methylation (GO:0001510)	26	6	3.60	+	1.67	1.55E-01
positive regulation of catabolic process (GO:0009896)	26	6	3.60	+	1.67	1.55E-01
mRNA catabolic process (GO:0006402)	48	11	6.64	+	1.66	7.45E-02
cellular metal ion homeostasis (GO:0006875)	48	11	6.64	+	1.66	7.45E-02
lipoprotein metabolic process (GO:0042157)	35	8	4.84	+	1.65	1.17E-01
spindle organization (GO:0007051)	35	8	4.84	+	1.65	1.17E-01
carbohydrate derivative biosynthetic process (GO:1901137)	132	30	18.26	+	1.64	6.90E-03
rRNA modification (GO:0000154)	22	5	3.04	+	1.64	1.92E-01
organelle fusion (GO:0048284)	66	15	9.13	+	1.64	4.54E-02
purine nucleotide metabolic process (GO:0006163)	119	27	16.46	+	1.64	1.02E-02
cellular carbohydrate metabolic process (GO:0044262)	119	27	16.46	+	1.64	1.02E-02
endosomal transport (GO:0016197)	53	12	7.33	+	1.64	6.93E-02
regulation of cell cycle (GO:0051726)	84	19	11.62	+	1.64	2.82E-02
regulation of cellular catabolic process (GO:0031329)	31	7	4.29	+	1.63	1.42E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	31	7	4.29	+	1.63	1.42E-01
multicellular organismal process (GO:0032501)	98	22	13.55	+	1.62	2.09E-02
establishment of protein localization to membrane (GO:0090150)	58	13	8.02	+	1.62	6.44E-02
RNA catabolic process (GO:0006401)	67	15	9.27	+	1.62	5.03E-02
organic cyclic compound catabolic process (GO:1901361)	103	23	14.25	+	1.61	1.95E-02
nucleobase metabolic process (GO:0009112)	9	2	1.24	+	1.61	3.54E-01
regulation of mitotic sister chromatid separation (GO:0010965)	9	2	1.24	+	1.61	3.54E-01
regulation of chromosome separation (GO:1905818)	9	2	1.24	+	1.61	3.54E-01
tRNA methylation (GO:0030488)	9	2	1.24	+	1.61	3.54E-01
peptidyl-lysine methylation (GO:0018022)	9	2	1.24	+	1.61	3.54E-01
phytosteroid metabolic process (GO:0016128)	9	2	1.24	+	1.61	3.54E-01
protein processing (GO:0016485)	27	6	3.73	+	1.61	1.75E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	9	2	1.24	+	1.61	3.54E-01
positive regulation of response to stimulus (GO:0048584)	9	2	1.24	+	1.61	3.54E-01
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	9	2	1.24	+	1.61	3.54E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	9	2	1.24	+	1.61	3.54E-01
metaphase/anaphase transition of cell cycle (GO:0044784)	9	2	1.24	+	1.61	3.54E-01
potassium ion transport (GO:0006813)	18	4	2.49	+	1.61	2.40E-01
macromolecule methylation (GO:0043414)	45	10	6.22	+	1.61	9.98E-02
cellular homeostasis (GO:0019725)	90	20	12.45	+	1.61	2.91E-02
organophosphate biosynthetic process (GO:0090407)	136	30	18.81	+	1.59	1.01E-02
small molecule metabolic process (GO:0044281)	656	143	90.73	+	1.58	1.18E-07
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	23	5	3.18	+	1.57	2.16E-01
protein acylation (GO:0043543)	46	10	6.36	+	1.57	1.11E-01
fatty acid catabolic process (GO:0009062)	23	5	3.18	+	1.57	2.16E-01
divalent inorganic cation homeostasis (GO:0072507)	23	5	3.18	+	1.57	2.16E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	23	5	3.18	+	1.57	2.16E-01
ribose phosphate metabolic process (GO:0019693)	115	25	15.90	+	1.57	2.05E-02
positive regulation of cellular catabolic process (GO:0031331)	23	5	3.18	+	1.57	2.16E-01
membrane fusion (GO:0061025)	65	14	8.99	+	1.56	7.29E-02
regulation of protein-containing complex assembly (GO:0043254)	28	6	3.87	+	1.55	1.95E-01
seed development (GO:0048316)	14	3	1.94	+	1.55	3.06E-01
glycerophospholipid biosynthetic process (GO:0046474)	14	3	1.94	+	1.55	3.06E-01
microtubule polymerization or depolymerization (GO:0031109)	14	3	1.94	+	1.55	3.06E-01
mismatch repair (GO:0006298)	14	3	1.94	+	1.55	3.06E-01
small molecule catabolic process (GO:0044282)	122	26	16.87	+	1.54	2.28E-02
organelle membrane fusion (GO:0090174)	61	13	8.44	+	1.54	8.67E-02
cellular nitrogen compound catabolic process (GO:0044270)	94	20	13.00	+	1.54	4.21E-02
phosphatidylinositol metabolic process (GO:0046488)	33	7	4.56	+	1.53	1.77E-01
alpha-amino acid metabolic process (GO:1901605)	137	29	18.95	+	1.53	1.84E-02
negative regulation of gene expression (GO:0010629)	114	24	15.77	+	1.52	3.13E-02
hormone biosynthetic process (GO:0042446)	19	4	2.63	+	1.52	2.70E-01
shoot system development (GO:0048367)	38	8	5.26	+	1.52	1.61E-01
heterocycle catabolic process (GO:0046700)	95	20	13.14	+	1.52	4.60E-02
nucleotide-sugar metabolic process (GO:0009225)	19	4	2.63	+	1.52	2.70E-01
purine ribonucleotide metabolic process (GO:0009150)	100	21	13.83	+	1.52	4.27E-02
aromatic compound catabolic process (GO:0019439)	100	21	13.83	+	1.52	4.27E-02
response to nitrogen compound (GO:1901698)	48	10	6.64	+	1.51	1.34E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	48	10	6.64	+	1.51	1.34E-01
flower development (GO:0009908)	24	5	3.32	+	1.51	2.41E-01
negative regulation of transcription, DNA-templated (GO:0045892)	48	10	6.64	+	1.51	1.34E-01
negative regulation of RNA biosynthetic process (GO:1902679)	48	10	6.64	+	1.51	1.34E-01
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	24	5	3.32	+	1.51	2.41E-01
developmental process (GO:0032502)	120	25	16.60	+	1.51	3.16E-02
phospholipid metabolic process (GO:0006644)	72	15	9.96	+	1.51	8.08E-02
ribonucleotide metabolic process (GO:0009259)	106	22	14.66	+	1.50	4.30E-02
protein import (GO:0017038)	58	12	8.02	+	1.50	1.13E-01
monocarboxylic acid catabolic process (GO:0072329)	29	6	4.01	+	1.50	2.16E-01
lipid oxidation (GO:0034440)	29	6	4.01	+	1.50	2.16E-01
regulation of response to stress (GO:0080134)	29	6	4.01	+	1.50	2.16E-01
anion transmembrane transport (GO:0098656)	29	6	4.01	+	1.50	2.16E-01
vesicle fusion (GO:0006906)	58	12	8.02	+	1.50	1.13E-01
supramolecular fiber organization (GO:0097435)	73	15	10.10	+	1.49	8.80E-02
membrane organization (GO:0061024)	219	45	30.29	+	1.49	6.93E-03
protein localization to organelle (GO:0033365)	137	28	18.95	+	1.48	2.97E-02
multicellular organism development (GO:0007275)	93	19	12.86	+	1.48	6.39E-02
organelle fission (GO:0048285)	186	38	25.72	+	1.48	1.33E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	54	11	7.47	+	1.47	1.35E-01
cellular cation homeostasis (GO:0030003)	64	13	8.85	+	1.47	1.13E-01
ATP metabolic process (GO:0046034)	64	13	8.85	+	1.47	1.13E-01
cellular ion homeostasis (GO:0006873)	64	13	8.85	+	1.47	1.13E-01
cellular carbohydrate biosynthetic process (GO:0034637)	79	16	10.93	+	1.46	8.81E-02
carbohydrate derivative metabolic process (GO:1901135)	263	53	36.37	+	1.46	5.27E-03
nitrogen compound transport (GO:0071705)	344	69	47.58	+	1.45	1.83E-03
protein N-linked glycosylation (GO:0006487)	25	5	3.46	+	1.45	2.66E-01
small molecule biosynthetic process (GO:0044283)	220	44	30.43	+	1.45	1.15E-02
negative regulation of RNA metabolic process (GO:0051253)	50	10	6.92	+	1.45	1.61E-01
regulation of establishment of protein localization (GO:0070201)	5	1	.69	+	1.45	4.99E-01
proteasome assembly (GO:0043248)	5	1	.69	+	1.45	4.99E-01
protein K63-linked ubiquitination (GO:0070534)	5	1	.69	+	1.45	4.99E-01
phosphatidylinositol phosphorylation (GO:0046854)	10	2	1.38	+	1.45	4.02E-01
regulation of adenylate cyclase activity (GO:0045761)	5	1	.69	+	1.45	4.99E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	5	1	.69	+	1.45	4.99E-01
intracellular pH reduction (GO:0051452)	5	1	.69	+	1.45	4.99E-01
RNA interference (GO:0016246)	15	3	2.07	+	1.45	3.44E-01
regulation of peptide transport (GO:0090087)	5	1	.69	+	1.45	4.99E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	15	3	2.07	+	1.45	3.44E-01
regulation of cyclase activity (GO:0031279)	5	1	.69	+	1.45	4.99E-01
histone deacetylation (GO:0016575)	10	2	1.38	+	1.45	4.02E-01
protein deacetylation (GO:0006476)	10	2	1.38	+	1.45	4.02E-01
N-terminal protein amino acid acetylation (GO:0006474)	5	1	.69	+	1.45	4.99E-01
innate immune response (GO:0045087)	10	2	1.38	+	1.45	4.02E-01
protein targeting to chloroplast (GO:0045036)	10	2	1.38	+	1.45	4.02E-01
establishment of protein localization to peroxisome (GO:0072663)	10	2	1.38	+	1.45	4.02E-01
protein localization to peroxisome (GO:0072662)	10	2	1.38	+	1.45	4.02E-01
polysaccharide metabolic process (GO:0005976)	85	17	11.76	+	1.45	8.79E-02
positive regulation of phosphorus metabolic process (GO:0010562)	10	2	1.38	+	1.45	4.02E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	10	2	1.38	+	1.45	4.02E-01
regulation of sister chromatid segregation (GO:0033045)	10	2	1.38	+	1.45	4.02E-01
regulation of lyase activity (GO:0051339)	5	1	.69	+	1.45	4.99E-01
mitotic sister chromatid separation (GO:0051306)	10	2	1.38	+	1.45	4.02E-01
positive regulation of phosphorylation (GO:0042327)	10	2	1.38	+	1.45	4.02E-01
positive regulation of phosphate metabolic process (GO:0045937)	10	2	1.38	+	1.45	4.02E-01
chloroplast organization (GO:0009658)	40	8	5.53	+	1.45	1.94E-01
glycosaminoglycan biosynthetic process (GO:0006024)	5	1	.69	+	1.45	4.99E-01
aminoglycan biosynthetic process (GO:0006023)	5	1	.69	+	1.45	4.99E-01
posttranscriptional gene silencing (GO:0016441)	15	3	2.07	+	1.45	3.44E-01
regulation of chromosome segregation (GO:0051983)	10	2	1.38	+	1.45	4.02E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	5	1	.69	+	1.45	4.99E-01
chromatin silencing (GO:0006342)	20	4	2.77	+	1.45	3.00E-01
regulation of microtubule-based process (GO:0032886)	5	1	.69	+	1.45	4.99E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	20	4	2.77	+	1.45	3.00E-01
chlorophyll metabolic process (GO:0015994)	5	1	.69	+	1.45	4.99E-01
establishment of protein localization to chloroplast (GO:0072596)	10	2	1.38	+	1.45	4.02E-01
protein targeting to peroxisome (GO:0006625)	10	2	1.38	+	1.45	4.02E-01
post-transcriptional gene silencing by RNA (GO:0035194)	15	3	2.07	+	1.45	3.44E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	10	2	1.38	+	1.45	4.02E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	15	3	2.07	+	1.45	3.44E-01
amino acid transmembrane transport (GO:0003333)	10	2	1.38	+	1.45	4.02E-01
regulation of mitotic nuclear division (GO:0007088)	10	2	1.38	+	1.45	4.02E-01
regulation of protein transport (GO:0051223)	5	1	.69	+	1.45	4.99E-01
positive regulation of protein kinase activity (GO:0045860)	5	1	.69	+	1.45	4.99E-01
pH reduction (GO:0045851)	5	1	.69	+	1.45	4.99E-01
vacuolar acidification (GO:0007035)	5	1	.69	+	1.45	4.99E-01
translesion synthesis (GO:0019985)	5	1	.69	+	1.45	4.99E-01
gene silencing by RNA (GO:0031047)	15	3	2.07	+	1.45	3.44E-01
negative regulation of gene expression, epigenetic (GO:0045814)	20	4	2.77	+	1.45	3.00E-01
nucleoside phosphate biosynthetic process (GO:1901293)	90	18	12.45	+	1.45	8.11E-02
nucleoside phosphate catabolic process (GO:1901292)	5	1	.69	+	1.45	4.99E-01
carbohydrate derivative transport (GO:1901264)	5	1	.69	+	1.45	4.99E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	5	1	.69	+	1.45	4.99E-01
mitochondrial RNA processing (GO:0000963)	5	1	.69	+	1.45	4.99E-01
cAMP-mediated signaling (GO:0019933)	5	1	.69	+	1.45	4.99E-01
pyrimidine nucleobase metabolic process (GO:0006206)	5	1	.69	+	1.45	4.99E-01
glycosaminoglycan metabolic process (GO:0030203)	5	1	.69	+	1.45	4.99E-01
cellular amino acid metabolic process (GO:0006520)	205	41	28.35	+	1.45	1.43E-02
regulation of reactive oxygen species metabolic process (GO:2000377)	5	1	.69	+	1.45	4.99E-01
cellular polysaccharide metabolic process (GO:0044264)	65	13	8.99	+	1.45	1.23E-01
amide transport (GO:0042886)	293	58	40.52	+	1.43	5.22E-03
nucleobase-containing compound catabolic process (GO:0034655)	86	17	11.89	+	1.43	9.50E-02
intracellular protein transport (GO:0006886)	269	53	37.20	+	1.42	7.96E-03
establishment of organelle localization (GO:0051656)	56	11	7.75	+	1.42	1.59E-01
protein targeting (GO:0006605)	112	22	15.49	+	1.42	6.84E-02
intracellular transport (GO:0046907)	352	69	48.68	+	1.42	3.13E-03
peptidyl-lysine modification (GO:0018205)	46	9	6.36	+	1.41	1.92E-01
response to endoplasmic reticulum stress (GO:0034976)	46	9	6.36	+	1.41	1.92E-01
regulation of mRNA metabolic process (GO:1903311)	41	8	5.67	+	1.41	2.12E-01
protein maturation (GO:0051604)	41	8	5.67	+	1.41	2.12E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	77	15	10.65	+	1.41	1.21E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	77	15	10.65	+	1.41	1.21E-01
response to abiotic stimulus (GO:0009628)	149	29	20.61	+	1.41	4.59E-02
gene silencing (GO:0016458)	36	7	4.98	+	1.41	2.35E-01
hexose metabolic process (GO:0019318)	36	7	4.98	+	1.41	2.35E-01
cell cycle (GO:0007049)	206	40	28.49	+	1.40	2.32E-02
ribose phosphate biosynthetic process (GO:0046390)	67	13	9.27	+	1.40	1.44E-01
protein localization to mitochondrion (GO:0070585)	31	6	4.29	+	1.40	2.61E-01
establishment of protein localization to mitochondrion (GO:0072655)	31	6	4.29	+	1.40	2.61E-01
anion transport (GO:0006820)	78	15	10.79	+	1.39	1.30E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	26	5	3.60	+	1.39	2.93E-01
pteridine-containing compound metabolic process (GO:0042558)	26	5	3.60	+	1.39	2.93E-01
mitotic cell cycle (GO:0000278)	141	27	19.50	+	1.38	6.11E-02
mitotic cell cycle process (GO:1903047)	141	27	19.50	+	1.38	6.11E-02
mitotic nuclear division (GO:0140014)	141	27	19.50	+	1.38	6.11E-02
protein transport (GO:0015031)	288	55	39.83	+	1.38	1.22E-02
peptide transport (GO:0015833)	288	55	39.83	+	1.38	1.22E-02
histone modification (GO:0016570)	42	8	5.81	+	1.38	2.30E-01
covalent chromatin modification (GO:0016569)	42	8	5.81	+	1.38	2.30E-01
protein targeting to membrane (GO:0006612)	42	8	5.81	+	1.38	2.30E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	42	8	5.81	+	1.38	2.30E-01
regulation of defense response (GO:0031347)	21	4	2.90	+	1.38	3.31E-01
establishment of localization in cell (GO:0051649)	373	71	51.59	+	1.38	5.37E-03
cellular lipid metabolic process (GO:0044255)	232	44	32.09	+	1.37	2.53E-02
regulation of response to stimulus (GO:0048583)	58	11	8.02	+	1.37	1.86E-01
regulation of gene expression, epigenetic (GO:0040029)	37	7	5.12	+	1.37	2.55E-01
response to oxidative stress (GO:0006979)	53	10	7.33	+	1.36	2.04E-01
cellular chemical homeostasis (GO:0055082)	69	13	9.54	+	1.36	1.67E-01
mitochondrion organization (GO:0007005)	69	13	9.54	+	1.36	1.67E-01
establishment of protein localization (GO:0045184)	292	55	40.38	+	1.36	1.55E-02
anatomical structure development (GO:0048856)	117	22	16.18	+	1.36	9.63E-02
response to organic cyclic compound (GO:0014070)	16	3	2.21	+	1.36	3.81E-01
aspartate family amino acid biosynthetic process (GO:0009067)	16	3	2.21	+	1.36	3.81E-01
lipid homeostasis (GO:0055088)	16	3	2.21	+	1.36	3.81E-01
chromatin remodeling (GO:0006338)	32	6	4.43	+	1.36	2.84E-01
energy derivation by oxidation of organic compounds (GO:0015980)	64	12	8.85	+	1.36	1.82E-01
fruit development (GO:0010154)	16	3	2.21	+	1.36	3.81E-01
cellular response to organic cyclic compound (GO:0071407)	16	3	2.21	+	1.36	3.81E-01
carbohydrate biosynthetic process (GO:0016051)	96	18	13.28	+	1.36	1.25E-01
negative regulation of cellular biosynthetic process (GO:0031327)	80	15	11.06	+	1.36	1.50E-01
organic substance catabolic process (GO:1901575)	646	121	89.34	+	1.35	6.29E-04
organic substance transport (GO:0071702)	385	72	53.25	+	1.35	7.49E-03
catabolic process (GO:0009056)	691	129	95.57	+	1.35	4.78E-04
negative regulation of macromolecule metabolic process (GO:0010605)	134	25	18.53	+	1.35	8.63E-02
actin filament organization (GO:0007015)	59	11	8.16	+	1.35	2.00E-01
nucleoside triphosphate biosynthetic process (GO:0009142)	43	8	5.95	+	1.35	2.49E-01
monosaccharide metabolic process (GO:0005996)	43	8	5.95	+	1.35	2.49E-01
nuclear division (GO:0000280)	167	31	23.10	+	1.34	6.56E-02
vesicle organization (GO:0016050)	124	23	17.15	+	1.34	1.01E-01
chromatin organization involved in regulation of transcription (GO:0034401)	27	5	3.73	+	1.34	3.19E-01
mRNA cis splicing, via spliceosome (GO:0045292)	27	5	3.73	+	1.34	3.19E-01
ERAD pathway (GO:0036503)	27	5	3.73	+	1.34	3.19E-01
cellular macromolecule localization (GO:0070727)	319	59	44.12	+	1.34	1.74E-02
chromatin organization (GO:0006325)	119	22	16.46	+	1.34	1.09E-01
purine nucleotide biosynthetic process (GO:0006164)	65	12	8.99	+	1.33	1.96E-01
rRNA processing (GO:0006364)	103	19	14.25	+	1.33	1.31E-01
negative regulation of metabolic process (GO:0009892)	141	26	19.50	+	1.33	9.02E-02
response to organonitrogen compound (GO:0010243)	38	7	5.26	+	1.33	2.76E-01
nucleotide biosynthetic process (GO:0009165)	87	16	12.03	+	1.33	1.57E-01
cellular localization (GO:0051641)	446	82	61.68	+	1.33	6.85E-03
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	49	9	6.78	+	1.33	2.42E-01
oxidation-reduction process (GO:0055114)	218	40	30.15	+	1.33	4.78E-02
rRNA metabolic process (GO:0016072)	109	20	15.08	+	1.33	1.28E-01
actin cytoskeleton organization (GO:0030036)	60	11	8.30	+	1.33	2.14E-01
cellular protein localization (GO:0034613)	317	58	43.84	+	1.32	2.19E-02
multivesicular body sorting pathway (GO:0071985)	22	4	3.04	+	1.31	3.62E-01
peroxisomal transport (GO:0043574)	11	2	1.52	+	1.31	4.49E-01
protein deacylation (GO:0035601)	11	2	1.52	+	1.31	4.49E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	11	2	1.52	+	1.31	4.49E-01
late endosome to vacuole transport (GO:0045324)	22	4	3.04	+	1.31	3.62E-01
macromolecule deacylation (GO:0098732)	11	2	1.52	+	1.31	4.49E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	55	10	7.61	+	1.31	2.36E-01
calcium ion homeostasis (GO:0055074)	22	4	3.04	+	1.31	3.62E-01
postreplication repair (GO:0006301)	11	2	1.52	+	1.31	4.49E-01
protein localization to chloroplast (GO:0072598)	11	2	1.52	+	1.31	4.49E-01
purine-containing compound biosynthetic process (GO:0072522)	66	12	9.13	+	1.31	2.09E-01
cellular response to heat (GO:0034605)	11	2	1.52	+	1.31	4.49E-01
cellular calcium ion homeostasis (GO:0006874)	22	4	3.04	+	1.31	3.62E-01
regulation of cellular component biogenesis (GO:0044087)	33	6	4.56	+	1.31	3.08E-01
negative regulation of biosynthetic process (GO:0009890)	83	15	11.48	+	1.31	1.82E-01
developmental process involved in reproduction (GO:0003006)	50	9	6.92	+	1.30	2.60E-01
macromolecule catabolic process (GO:0009057)	423	76	58.50	+	1.30	1.46E-02
cellular catabolic process (GO:0044248)	618	111	85.47	+	1.30	3.81E-03
cellular response to stress (GO:0033554)	274	49	37.90	+	1.29	4.52E-02
purine ribonucleotide biosynthetic process (GO:0009152)	56	10	7.75	+	1.29	2.52E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	28	5	3.87	+	1.29	3.46E-01
carboxylic acid transport (GO:0046942)	28	5	3.87	+	1.29	3.46E-01
nucleotide-excision repair (GO:0006289)	28	5	3.87	+	1.29	3.46E-01
lipid modification (GO:0030258)	56	10	7.75	+	1.29	2.52E-01
organic acid transport (GO:0015849)	28	5	3.87	+	1.29	3.46E-01
lipid metabolic process (GO:0006629)	280	50	38.73	+	1.29	4.44E-02
nucleoside triphosphate metabolic process (GO:0009141)	45	8	6.22	+	1.29	2.87E-01
response to stimulus (GO:0050896)	962	171	133.05	+	1.29	5.90E-04
ribonucleotide biosynthetic process (GO:0009260)	62	11	8.57	+	1.28	2.45E-01
regulation of cellular component organization (GO:0051128)	79	14	10.93	+	1.28	2.11E-01
organonitrogen compound biosynthetic process (GO:1901566)	549	97	75.93	+	1.28	9.88E-03
carboxylic acid biosynthetic process (GO:0046394)	153	27	21.16	+	1.28	1.24E-01
organic acid biosynthetic process (GO:0016053)	153	27	21.16	+	1.28	1.24E-01
transcription preinitiation complex assembly (GO:0070897)	17	3	2.35	+	1.28	4.18E-01
RNA polymerase II preinitiation complex assembly (GO:0051123)	17	3	2.35	+	1.28	4.18E-01
negative regulation of mitotic cell cycle (GO:0045930)	17	3	2.35	+	1.28	4.18E-01
cell growth (GO:0016049)	17	3	2.35	+	1.28	4.18E-01
growth (GO:0040007)	17	3	2.35	+	1.28	4.18E-01
cellular response to lipid (GO:0071396)	34	6	4.70	+	1.28	3.32E-01
intracellular signal transduction (GO:0035556)	188	33	26.00	+	1.27	1.03E-01
protein folding (GO:0006457)	97	17	13.42	+	1.27	1.95E-01
cell cycle process (GO:0022402)	194	34	26.83	+	1.27	1.01E-01
cellular response to stimulus (GO:0051716)	651	114	90.04	+	1.27	7.09E-03
actin filament-based process (GO:0030029)	63	11	8.71	+	1.26	2.60E-01
protein localization (GO:0008104)	338	59	46.75	+	1.26	4.48E-02
tRNA metabolic process (GO:0006399)	86	15	11.89	+	1.26	2.18E-01
response to external stimulus (GO:0009605)	132	23	18.26	+	1.26	1.59E-01
proteasomal protein catabolic process (GO:0010498)	178	31	24.62	+	1.26	1.19E-01
protein palmitoylation (GO:0018345)	23	4	3.18	+	1.26	3.93E-01
organic hydroxy compound metabolic process (GO:1901615)	138	24	19.09	+	1.26	1.55E-01
protein polymerization (GO:0051258)	23	4	3.18	+	1.26	3.93E-01
negative regulation of translation (GO:0017148)	23	4	3.18	+	1.26	3.93E-01
phosphorus metabolic process (GO:0006793)	706	122	97.64	+	1.25	8.09E-03
cellular macromolecule catabolic process (GO:0044265)	394	68	54.49	+	1.25	4.05E-02
autophagy (GO:0006914)	29	5	4.01	+	1.25	3.73E-01
process utilizing autophagic mechanism (GO:0061919)	29	5	4.01	+	1.25	3.73E-01
cation homeostasis (GO:0055080)	93	16	12.86	+	1.24	2.24E-01
phosphate-containing compound metabolic process (GO:0006796)	692	119	95.71	+	1.24	1.01E-02
ncRNA metabolic process (GO:0034660)	192	33	26.55	+	1.24	1.24E-01
anatomical structure morphogenesis (GO:0009653)	35	6	4.84	+	1.24	3.56E-01
glycerophospholipid metabolic process (GO:0006650)	41	7	5.67	+	1.23	3.41E-01
reproductive structure development (GO:0048608)	47	8	6.50	+	1.23	3.27E-01
reproductive system development (GO:0061458)	47	8	6.50	+	1.23	3.27E-01
plastid organization (GO:0009657)	47	8	6.50	+	1.23	3.27E-01
response to inorganic substance (GO:0010035)	47	8	6.50	+	1.23	3.27E-01
macromolecule localization (GO:0033036)	388	66	53.66	+	1.23	5.42E-02
sulfur compound metabolic process (GO:0006790)	147	25	20.33	+	1.23	1.75E-01
Golgi vesicle transport (GO:0048193)	100	17	13.83	+	1.23	2.29E-01
aerobic respiration (GO:0009060)	53	9	7.33	+	1.23	3.15E-01
cell communication (GO:0007154)	402	68	55.60	+	1.22	5.61E-02
system development (GO:0048731)	71	12	9.82	+	1.22	2.83E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	173	29	23.93	+	1.21	1.72E-01
transport (GO:0006810)	845	141	116.87	+	1.21	1.38E-02
peptide secretion (GO:0002790)	6	1	.83	+	1.21	5.64E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	6	1	.83	+	1.21	5.64E-01
negative regulation of cell cycle (GO:0045786)	24	4	3.32	+	1.21	4.24E-01
positive regulation of cellular amide metabolic process (GO:0034250)	18	3	2.49	+	1.21	4.54E-01
cellular response to oxidative stress (GO:0034599)	30	5	4.15	+	1.21	4.00E-01
regulation of cell population proliferation (GO:0042127)	6	1	.83	+	1.21	5.64E-01
positive regulation of translation (GO:0045727)	18	3	2.49	+	1.21	4.54E-01
regulation of cell shape (GO:0008360)	6	1	.83	+	1.21	5.64E-01
heterochromatin organization (GO:0070828)	6	1	.83	+	1.21	5.64E-01
macroautophagy (GO:0016236)	24	4	3.32	+	1.21	4.24E-01
positive regulation of protein phosphorylation (GO:0001934)	6	1	.83	+	1.21	5.64E-01
carbohydrate transport (GO:0008643)	18	3	2.49	+	1.21	4.54E-01
negative regulation of chromosome separation (GO:1905819)	6	1	.83	+	1.21	5.64E-01
regulation of response to DNA damage stimulus (GO:2001020)	6	1	.83	+	1.21	5.64E-01
heterochromatin assembly (GO:0031507)	6	1	.83	+	1.21	5.64E-01
glycerolipid metabolic process (GO:0046486)	48	8	6.64	+	1.21	3.48E-01
organic anion transport (GO:0015711)	48	8	6.64	+	1.21	3.48E-01
phospholipid catabolic process (GO:0009395)	18	3	2.49	+	1.21	4.54E-01
establishment of protein localization to extracellular region (GO:0035592)	6	1	.83	+	1.21	5.64E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	6	1	.83	+	1.21	5.64E-01
negative regulation of sister chromatid segregation (GO:0033046)	6	1	.83	+	1.21	5.64E-01
positive regulation of cell population proliferation (GO:0008284)	6	1	.83	+	1.21	5.64E-01
