




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
pteridine-containing compound metabolic process (GO:0042558)	13	12	10.53	+	1.14	3.65E-01
cellular carbohydrate biosynthetic process (GO:0034637)	26	24	21.06	+	1.14	2.88E-01
cellular amide metabolic process (GO:0043603)	220	203	178.23	+	1.14	3.32E-02
cellular polysaccharide metabolic process (GO:0044264)	25	23	20.25	+	1.14	2.99E-01
regulation of chromatin organization (GO:1902275)	12	11	9.72	+	1.13	3.82E-01
protein import into mitochondrial matrix (GO:0030150)	12	11	9.72	+	1.13	3.82E-01
folic acid-containing compound metabolic process (GO:0006760)	12	11	9.72	+	1.13	3.82E-01
carboxylic acid transport (GO:0046942)	48	44	38.89	+	1.13	2.25E-01
organic acid transport (GO:0015849)	48	44	38.89	+	1.13	2.25E-01
cell wall organization or biogenesis (GO:0071554)	60	55	48.61	+	1.13	1.96E-01
cellular glucan metabolic process (GO:0006073)	23	21	18.63	+	1.13	3.21E-01
glucan metabolic process (GO:0044042)	23	21	18.63	+	1.13	3.21E-01
response to oxygen-containing compound (GO:1901700)	11	10	8.91	+	1.12	4.01E-01
regulation of cellular localization (GO:0060341)	11	10	8.91	+	1.12	4.01E-01
nucleosome assembly (GO:0006334)	11	10	8.91	+	1.12	4.01E-01
positive regulation of response to stimulus (GO:0048584)	11	10	8.91	+	1.12	4.01E-01
fatty acid biosynthetic process (GO:0006633)	11	10	8.91	+	1.12	4.01E-01
pyrimidine nucleobase metabolic process (GO:0006206)	11	10	8.91	+	1.12	4.01E-01
anion transmembrane transport (GO:0098656)	55	50	44.56	+	1.12	2.25E-01
chromatin assembly or disassembly (GO:0006333)	21	19	17.01	+	1.12	3.46E-01
organic acid metabolic process (GO:0006082)	209	189	169.32	+	1.12	6.76E-02
oxoacid metabolic process (GO:0043436)	209	189	169.32	+	1.12	6.76E-02
posttranscriptional regulation of gene expression (GO:0010608)	41	37	33.22	+	1.11	2.77E-01
fungal-type cell wall organization or biogenesis (GO:0071852)	41	37	33.22	+	1.11	2.77E-01
carboxylic acid metabolic process (GO:0019752)	204	184	165.27	+	1.11	7.52E-02
nucleobase metabolic process (GO:0009112)	20	18	16.20	+	1.11	3.60E-01
branched-chain amino acid biosynthetic process (GO:0009082)	10	9	8.10	+	1.11	4.22E-01
aromatic amino acid family metabolic process (GO:0009072)	20	18	16.20	+	1.11	3.60E-01
maintenance of location in cell (GO:0051651)	10	9	8.10	+	1.11	4.22E-01
chromatin organization involved in regulation of transcription (GO:0034401)	20	18	16.20	+	1.11	3.60E-01
double-strand break repair via break-induced replication (GO:0000727)	10	9	8.10	+	1.11	4.22E-01
IMP metabolic process (GO:0046040)	10	9	8.10	+	1.11	4.22E-01
inorganic anion transmembrane transport (GO:0098661)	10	9	8.10	+	1.11	4.22E-01
sister chromatid cohesion (GO:0007062)	10	9	8.10	+	1.11	4.22E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	10	9	8.10	+	1.11	4.22E-01
pyrimidine nucleotide metabolic process (GO:0006220)	10	9	8.10	+	1.11	4.22E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	10	9	8.10	+	1.11	4.22E-01
amino acid transport (GO:0006865)	40	36	32.41	+	1.11	2.86E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	39	35	31.59	+	1.11	2.94E-01
organic acid transmembrane transport (GO:1903825)	39	35	31.59	+	1.11	2.94E-01
carboxylic acid transmembrane transport (GO:1905039)	39	35	31.59	+	1.11	2.94E-01
protein-containing complex assembly (GO:0065003)	209	187	169.32	+	1.10	8.98E-02
mitochondrial gene expression (GO:0140053)	19	17	15.39	+	1.10	3.74E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	19	17	15.39	+	1.10	3.74E-01
RNA processing (GO:0006396)	271	242	219.54	+	1.10	6.50E-02
nucleosome organization (GO:0034728)	28	25	22.68	+	1.10	3.40E-01
cellular amino acid metabolic process (GO:0006520)	130	116	105.32	+	1.10	1.57E-01
cellular component biogenesis (GO:0044085)	436	389	353.22	+	1.10	2.55E-02
cellular protein-containing complex assembly (GO:0034622)	203	181	164.46	+	1.10	1.02E-01
protein-containing complex subunit organization (GO:0043933)	247	220	200.10	+	1.10	8.09E-02
positive regulation of cell communication (GO:0010647)	9	8	7.29	+	1.10	4.45E-01
nucleoside monophosphate metabolic process (GO:0009123)	18	16	14.58	+	1.10	3.89E-01
DNA geometric change (GO:0032392)	9	8	7.29	+	1.10	4.45E-01
positive regulation of signaling (GO:0023056)	9	8	7.29	+	1.10	4.45E-01
aromatic amino acid family biosynthetic process (GO:0009073)	18	16	14.58	+	1.10	3.89E-01
positive regulation of protein polymerization (GO:0032273)	9	8	7.29	+	1.10	4.45E-01
chromatin assembly (GO:0031497)	18	16	14.58	+	1.10	3.89E-01
positive regulation of signal transduction (GO:0009967)	9	8	7.29	+	1.10	4.45E-01
regulation of cellular response to stress (GO:0080135)	9	8	7.29	+	1.10	4.45E-01
regulation of response to stress (GO:0080134)	9	8	7.29	+	1.10	4.45E-01
beta-glucan biosynthetic process (GO:0051274)	9	8	7.29	+	1.10	4.45E-01
DNA replication (GO:0006260)	45	40	36.46	+	1.10	2.99E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	9	8	7.29	+	1.10	4.45E-01
Golgi to vacuole transport (GO:0006896)	9	8	7.29	+	1.10	4.45E-01
GPI anchor metabolic process (GO:0006505)	18	16	14.58	+	1.10	3.89E-01
regulation of translation (GO:0006417)	35	31	28.35	+	1.09	3.34E-01
polysaccharide metabolic process (GO:0005976)	26	23	21.06	+	1.09	3.65E-01
protein O-linked glycosylation (GO:0006493)	17	15	13.77	+	1.09	4.05E-01
GPI anchor biosynthetic process (GO:0006506)	17	15	13.77	+	1.09	4.05E-01
DNA-dependent DNA replication (GO:0006261)	42	37	34.03	+	1.09	3.27E-01
monosaccharide metabolic process (GO:0005996)	25	22	20.25	+	1.09	3.78E-01
organic anion transport (GO:0015711)	66	58	53.47	+	1.08	2.84E-01
amino acid transmembrane transport (GO:0003333)	33	29	26.73	+	1.08	3.55E-01
small molecule biosynthetic process (GO:0044283)	154	135	124.76	+	1.08	1.87E-01
anion transport (GO:0006820)	81	71	65.62	+	1.08	2.68E-01
carboxylic acid biosynthetic process (GO:0046394)	89	78	72.10	+	1.08	2.57E-01
organic acid biosynthetic process (GO:0016053)	89	78	72.10	+	1.08	2.57E-01
heme metabolic process (GO:0042168)	8	7	6.48	+	1.08	4.71E-01
proteasome assembly (GO:0043248)	8	7	6.48	+	1.08	4.71E-01
microtubule cytoskeleton organization (GO:0000226)	32	28	25.92	+	1.08	3.67E-01
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	8	7	6.48	+	1.08	4.71E-01
regulation of intracellular pH (GO:0051453)	8	7	6.48	+	1.08	4.71E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	8	7	6.48	+	1.08	4.71E-01
response to heat (GO:0009408)	8	7	6.48	+	1.08	4.71E-01
protein acetylation (GO:0006473)	24	21	19.44	+	1.08	3.91E-01
positive regulation of intracellular signal transduction (GO:1902533)	8	7	6.48	+	1.08	4.71E-01
heme biosynthetic process (GO:0006783)	8	7	6.48	+	1.08	4.71E-01
porphyrin-containing compound metabolic process (GO:0006778)	8	7	6.48	+	1.08	4.71E-01
cellular amino acid catabolic process (GO:0009063)	24	21	19.44	+	1.08	3.91E-01
protein prenylation (GO:0018342)	8	7	6.48	+	1.08	4.71E-01
tetrapyrrole metabolic process (GO:0033013)	8	7	6.48	+	1.08	4.71E-01
sterol biosynthetic process (GO:0016126)	8	7	6.48	+	1.08	4.71E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	48	42	38.89	+	1.08	3.29E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	16	14	12.96	+	1.08	4.23E-01
transcription by RNA polymerase III (GO:0006383)	8	7	6.48	+	1.08	4.71E-01
response to toxic substance (GO:0009636)	16	14	12.96	+	1.08	4.23E-01
monovalent inorganic cation homeostasis (GO:0055067)	8	7	6.48	+	1.08	4.71E-01
steroid biosynthetic process (GO:0006694)	8	7	6.48	+	1.08	4.71E-01
cellular monovalent inorganic cation homeostasis (GO:0030004)	8	7	6.48	+	1.08	4.71E-01
regulation of protein localization (GO:0032880)	8	7	6.48	+	1.08	4.71E-01
DNA duplex unwinding (GO:0032508)	8	7	6.48	+	1.08	4.71E-01
regulation of cellular pH (GO:0030641)	8	7	6.48	+	1.08	4.71E-01
response to temperature stimulus (GO:0009266)	8	7	6.48	+	1.08	4.71E-01
purine nucleoside metabolic process (GO:0042278)	8	7	6.48	+	1.08	4.71E-01
Golgi organization (GO:0007030)	16	14	12.96	+	1.08	4.23E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	8	7	6.48	+	1.08	4.71E-01
DNA replication initiation (GO:0006270)	16	14	12.96	+	1.08	4.23E-01
regulation of pH (GO:0006885)	8	7	6.48	+	1.08	4.71E-01
carbohydrate metabolic process (GO:0005975)	95	83	76.96	+	1.08	2.58E-01
DNA biosynthetic process (GO:0071897)	55	48	44.56	+	1.08	3.22E-01
response to organic substance (GO:0010033)	47	41	38.08	+	1.08	3.38E-01
carboxylic acid catabolic process (GO:0046395)	39	34	31.59	+	1.08	3.57E-01
organic acid catabolic process (GO:0016054)	39	34	31.59	+	1.08	3.57E-01
mitochondrial transmembrane transport (GO:1990542)	31	27	25.11	+	1.08	3.79E-01
cellular carbohydrate metabolic process (GO:0044262)	62	54	50.23	+	1.08	3.15E-01
negative regulation of RNA metabolic process (GO:0051253)	46	40	37.27	+	1.07	3.48E-01
peptidyl-lysine modification (GO:0018205)	46	40	37.27	+	1.07	3.48E-01
organonitrogen compound biosynthetic process (GO:1901566)	473	411	383.19	+	1.07	7.16E-02
microtubule-based process (GO:0007017)	38	33	30.78	+	1.07	3.68E-01
gene expression (GO:0010467)	775	672	627.85	+	1.07	2.90E-02
ribonucleoside monophosphate metabolic process (GO:0009161)	15	13	12.15	+	1.07	4.41E-01
positive regulation of cellular amide metabolic process (GO:0034250)	15	13	12.15	+	1.07	4.41E-01
positive regulation of translation (GO:0045727)	15	13	12.15	+	1.07	4.41E-01
inorganic anion transport (GO:0015698)	15	13	12.15	+	1.07	4.41E-01
regulation of cellular amide metabolic process (GO:0034248)	37	32	29.97	+	1.07	3.79E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	44	38	35.65	+	1.07	3.68E-01
protein polymerization (GO:0051258)	22	19	17.82	+	1.07	4.21E-01
negative regulation of transcription, DNA-templated (GO:0045892)	44	38	35.65	+	1.07	3.68E-01
negative regulation of RNA biosynthetic process (GO:1902679)	44	38	35.65	+	1.07	3.68E-01
cellular macromolecule biosynthetic process (GO:0034645)	596	514	482.84	+	1.06	6.85E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	58	50	46.99	+	1.06	3.48E-01
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	58	50	46.99	+	1.06	3.48E-01
cell wall biogenesis (GO:0042546)	29	25	23.49	+	1.06	4.05E-01
cellular amino acid biosynthetic process (GO:0008652)	65	56	52.66	+	1.06	3.40E-01
macromolecule biosynthetic process (GO:0009059)	599	516	485.27	+	1.06	7.17E-02
cellular response to organic substance (GO:0071310)	36	31	29.16	+	1.06	3.91E-01
small molecule metabolic process (GO:0044281)	390	335	315.95	+	1.06	1.38E-01
protein import (GO:0017038)	70	60	56.71	+	1.06	3.48E-01
monocarboxylic acid catabolic process (GO:0072329)	21	18	17.01	+	1.06	4.37E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	21	18	17.01	+	1.06	4.37E-01
regulation of localization (GO:0032879)	21	18	17.01	+	1.06	4.37E-01
pyrimidine-containing compound metabolic process (GO:0072527)	21	18	17.01	+	1.06	4.37E-01
hexose metabolic process (GO:0019318)	21	18	17.01	+	1.06	4.37E-01
positive regulation of actin filament polymerization (GO:0030838)	7	6	5.67	+	1.06	5.00E-01
glucose 6-phosphate metabolic process (GO:0051156)	14	12	11.34	+	1.06	4.62E-01
regulation of mRNA processing (GO:0050684)	7	6	5.67	+	1.06	5.00E-01
regulation of phosphatase activity (GO:0010921)	7	6	5.67	+	1.06	5.00E-01
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	7	6	5.67	+	1.06	5.00E-01
cellular response to misfolded protein (GO:0071218)	7	6	5.67	+	1.06	5.00E-01
cellular response to oxygen-containing compound (GO:1901701)	7	6	5.67	+	1.06	5.00E-01
negative regulation of phosphorus metabolic process (GO:0010563)	7	6	5.67	+	1.06	5.00E-01
negative regulation of phosphate metabolic process (GO:0045936)	7	6	5.67	+	1.06	5.00E-01
regulation of vesicle-mediated transport (GO:0060627)	14	12	11.34	+	1.06	4.62E-01
AMP metabolic process (GO:0046033)	7	6	5.67	+	1.06	5.00E-01
negative regulation of protein modification process (GO:0031400)	7	6	5.67	+	1.06	5.00E-01
telomere-telomerase complex assembly (GO:1905324)	7	6	5.67	+	1.06	5.00E-01
protein insertion into membrane (GO:0051205)	14	12	11.34	+	1.06	4.62E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	7	6	5.67	+	1.06	5.00E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	7	6	5.67	+	1.06	5.00E-01
nucleoside phosphate catabolic process (GO:1901292)	7	6	5.67	+	1.06	5.00E-01
telomere maintenance via telomerase (GO:0007004)	7	6	5.67	+	1.06	5.00E-01
cellular response to heat (GO:0034605)	7	6	5.67	+	1.06	5.00E-01
positive regulation of protein-containing complex assembly (GO:0031334)	14	12	11.34	+	1.06	4.62E-01
mitochondrial transport (GO:0006839)	49	42	39.70	+	1.06	3.78E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	656	562	531.44	+	1.06	8.06E-02
RNA metabolic process (GO:0016070)	619	530	501.47	+	1.06	9.02E-02
negative regulation of biosynthetic process (GO:0009890)	62	53	50.23	+	1.06	3.66E-01
negative regulation of cellular biosynthetic process (GO:0031327)	62	53	50.23	+	1.06	3.66E-01
alpha-amino acid metabolic process (GO:1901605)	82	70	66.43	+	1.05	3.46E-01
organic hydroxy compound biosynthetic process (GO:1901617)	34	29	27.54	+	1.05	4.16E-01
response to endoplasmic reticulum stress (GO:0034976)	27	23	21.87	+	1.05	4.33E-01
negative regulation of cellular metabolic process (GO:0031324)	74	63	59.95	+	1.05	3.63E-01
biosynthetic process (GO:0009058)	892	759	722.63	+	1.05	6.96E-02
nuclear transport (GO:0051169)	67	57	54.28	+	1.05	3.73E-01
nucleocytoplasmic transport (GO:0006913)	67	57	54.28	+	1.05	3.73E-01
organic substance biosynthetic process (GO:1901576)	889	756	720.20	+	1.05	7.25E-02
cellular biosynthetic process (GO:0044249)	874	743	708.05	+	1.05	7.61E-02
liposaccharide metabolic process (GO:1903509)	20	17	16.20	+	1.05	4.54E-01
glycolipid metabolic process (GO:0006664)	20	17	16.20	+	1.05	4.54E-01
cellular component assembly (GO:0022607)	273	232	221.16	+	1.05	2.35E-01
cellular nitrogen compound metabolic process (GO:0034641)	1083	919	877.37	+	1.05	5.71E-02
protein localization to mitochondrion (GO:0070585)	33	28	26.73	+	1.05	4.29E-01
establishment of protein localization to mitochondrion (GO:0072655)	33	28	26.73	+	1.05	4.29E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	65	55	52.66	+	1.04	3.91E-01
establishment of vesicle localization (GO:0051650)	13	11	10.53	+	1.04	4.83E-01
vesicle localization (GO:0051648)	13	11	10.53	+	1.04	4.83E-01
peptidyl-amino acid modification (GO:0018193)	90	76	72.91	+	1.04	3.73E-01
recombinational repair (GO:0000725)	32	27	25.92	+	1.04	4.42E-01
protein localization to membrane (GO:0072657)	51	43	41.32	+	1.04	4.17E-01
protein N-linked glycosylation (GO:0006487)	38	32	30.78	+	1.04	4.37E-01
glycolipid biosynthetic process (GO:0009247)	19	16	15.39	+	1.04	4.72E-01
mitochondrial membrane organization (GO:0007006)	19	16	15.39	+	1.04	4.72E-01
cellular response to topologically incorrect protein (GO:0035967)	25	21	20.25	+	1.04	4.63E-01
response to topologically incorrect protein (GO:0035966)	25	21	20.25	+	1.04	4.63E-01
response to organonitrogen compound (GO:0010243)	25	21	20.25	+	1.04	4.63E-01
response to nitrogen compound (GO:1901698)	25	21	20.25	+	1.04	4.63E-01
glycoprotein biosynthetic process (GO:0009101)	56	47	45.37	+	1.04	4.24E-01
protein glycosylation (GO:0006486)	56	47	45.37	+	1.04	4.24E-01
macromolecule glycosylation (GO:0043413)	56	47	45.37	+	1.04	4.24E-01
glycosylation (GO:0070085)	56	47	45.37	+	1.04	4.24E-01
mitochondrion organization (GO:0007005)	87	73	70.48	+	1.04	3.97E-01
protein-DNA complex subunit organization (GO:0071824)	62	52	50.23	+	1.04	4.20E-01
nucleic acid metabolic process (GO:0090304)	736	617	596.25	+	1.03	1.83E-01
cellular aromatic compound metabolic process (GO:0006725)	929	778	752.61	+	1.03	1.55E-01
organic cyclic compound metabolic process (GO:1901360)	951	796	770.43	+	1.03	1.56E-01
heterocycle metabolic process (GO:0046483)	931	779	754.23	+	1.03	1.62E-01
nucleobase-containing compound metabolic process (GO:0006139)	874	729	708.05	+	1.03	1.97E-01
carbohydrate catabolic process (GO:0016052)	42	35	34.03	+	1.03	4.56E-01
nucleotide catabolic process (GO:0009166)	6	5	4.86	+	1.03	5.35E-01
histone acetylation (GO:0016573)	18	15	14.58	+	1.03	4.91E-01
response to nutrient (GO:0007584)	6	5	4.86	+	1.03	5.35E-01
internal protein amino acid acetylation (GO:0006475)	18	15	14.58	+	1.03	4.91E-01
glutathione metabolic process (GO:0006749)	6	5	4.86	+	1.03	5.35E-01
NADP metabolic process (GO:0006739)	18	15	14.58	+	1.03	4.91E-01
peptidyl-lysine acetylation (GO:0018394)	18	15	14.58	+	1.03	4.91E-01
regulation of transport (GO:0051049)	18	15	14.58	+	1.03	4.91E-01
internal peptidyl-lysine acetylation (GO:0018393)	18	15	14.58	+	1.03	4.91E-01
intracellular mRNA localization (GO:0008298)	6	5	4.86	+	1.03	5.35E-01
establishment of organelle localization (GO:0051656)	36	30	29.16	+	1.03	4.63E-01
regulation of gene silencing (GO:0060968)	6	5	4.86	+	1.03	5.35E-01
transcription by RNA polymerase I (GO:0006360)	12	10	9.72	+	1.03	5.07E-01
calcium ion homeostasis (GO:0055074)	6	5	4.86	+	1.03	5.35E-01
cytokinetic process (GO:0032506)	6	5	4.86	+	1.03	5.35E-01
protein targeting to mitochondrion (GO:0006626)	30	25	24.30	+	1.03	4.71E-01
response to unfolded protein (GO:0006986)	18	15	14.58	+	1.03	4.91E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	6	5	4.86	+	1.03	5.35E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	6	5	4.86	+	1.03	5.35E-01
negative regulation of catalytic activity (GO:0043086)	6	5	4.86	+	1.03	5.35E-01
very long-chain fatty acid metabolic process (GO:0000038)	6	5	4.86	+	1.03	5.35E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	6	5	4.86	+	1.03	5.35E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	6	5	4.86	+	1.03	5.35E-01
mitotic DNA damage checkpoint (GO:0044773)	6	5	4.86	+	1.03	5.35E-01
spindle organization (GO:0007051)	12	10	9.72	+	1.03	5.07E-01
histone H4 acetylation (GO:0043967)	6	5	4.86	+	1.03	5.35E-01
cellular response to unfolded protein (GO:0034620)	18	15	14.58	+	1.03	4.91E-01
negative regulation of molecular function (GO:0044092)	6	5	4.86	+	1.03	5.35E-01
cellular calcium ion homeostasis (GO:0006874)	6	5	4.86	+	1.03	5.35E-01
basic amino acid transport (GO:0015802)	6	5	4.86	+	1.03	5.35E-01
calcium ion transport (GO:0006816)	6	5	4.86	+	1.03	5.35E-01
regulation of chromatin silencing (GO:0031935)	6	5	4.86	+	1.03	5.35E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	282	234	228.46	+	1.02	3.62E-01
establishment of protein localization to membrane (GO:0090150)	41	34	33.22	+	1.02	4.69E-01
generation of precursor metabolites and energy (GO:0006091)	76	63	61.57	+	1.02	4.44E-01
double-strand break repair via homologous recombination (GO:0000724)	29	24	23.49	+	1.02	4.86E-01
regulation of macromolecule biosynthetic process (GO:0010556)	284	235	230.08	+	1.02	3.78E-01
negative regulation of macromolecule metabolic process (GO:0010605)	115	95	93.16	+	1.02	4.38E-01
protein targeting to membrane (GO:0006612)	23	19	18.63	+	1.02	4.97E-01
regulation of biosynthetic process (GO:0009889)	287	237	232.51	+	1.02	3.90E-01
regulation of cellular biosynthetic process (GO:0031326)	287	237	232.51	+	1.02	3.90E-01
regulation of phosphorylation (GO:0042325)	40	33	32.41	+	1.02	4.82E-01
organic hydroxy compound metabolic process (GO:1901615)	57	47	46.18	+	1.02	4.71E-01
cellular carbohydrate catabolic process (GO:0044275)	17	14	13.77	+	1.02	5.11E-01
DNA-templated transcription, elongation (GO:0006354)	17	14	13.77	+	1.02	5.11E-01
nucleobase-containing compound transport (GO:0015931)	51	42	41.32	+	1.02	4.78E-01
glycoprotein metabolic process (GO:0009100)	62	51	50.23	+	1.02	4.75E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	252	207	204.15	+	1.01	4.29E-01
oxidation-reduction process (GO:0055114)	106	87	85.87	+	1.01	4.66E-01
RNA localization (GO:0006403)	50	41	40.51	+	1.01	4.90E-01
protein localization to organelle (GO:0033365)	150	123	121.52	+	1.01	4.58E-01
organic cyclic compound biosynthetic process (GO:1901362)	497	407	402.63	+	1.01	4.17E-01
cellular metabolic process (GO:0044237)	1783	1459	1444.46	+	1.01	3.19E-01
protein acylation (GO:0043543)	33	27	26.73	+	1.01	5.05E-01
membrane lipid biosynthetic process (GO:0046467)	33	27	26.73	+	1.01	5.05E-01
regulation of cyclin-dependent protein kinase activity (GO:1904029)	22	18	17.82	+	1.01	5.15E-01
protein transmembrane transport (GO:0071806)	33	27	26.73	+	1.01	5.05E-01
sterol metabolic process (GO:0016125)	11	9	8.91	+	1.01	5.33E-01
steroid metabolic process (GO:0008202)	11	9	8.91	+	1.01	5.33E-01
establishment of protein localization to organelle (GO:0072594)	132	108	106.94	+	1.01	4.72E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	22	18	17.82	+	1.01	5.15E-01
divalent inorganic cation homeostasis (GO:0072507)	11	9	8.91	+	1.01	5.33E-01
cellular divalent inorganic cation homeostasis (GO:0072503)	11	9	8.91	+	1.01	5.33E-01
protein-DNA complex assembly (GO:0065004)	44	36	35.65	+	1.01	4.99E-01
intracellular protein transmembrane transport (GO:0065002)	33	27	26.73	+	1.01	5.05E-01
regulation of gene expression (GO:0010468)	335	274	271.39	+	1.01	4.44E-01
aromatic compound biosynthetic process (GO:0019438)	477	390	386.43	+	1.01	4.32E-01
metabolic process (GO:0008152)	1862	1520	1508.46	+	1.01	3.56E-01
response to chemical (GO:0042221)	98	80	79.39	+	1.01	4.88E-01
regulation of protein phosphorylation (GO:0001932)	38	31	30.78	+	1.01	5.09E-01
regulation of RNA metabolic process (GO:0051252)	244	199	197.67	+	1.01	4.72E-01
organic substance metabolic process (GO:0071704)	1790	1459	1450.13	+	1.01	3.89E-01
heterocycle biosynthetic process (GO:0018130)	481	392	389.67	+	1.01	4.58E-01
regulation of protein-containing complex assembly (GO:0043254)	27	22	21.87	+	1.01	5.18E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	27	22	21.87	+	1.01	5.18E-01
carbohydrate derivative metabolic process (GO:1901135)	210	171	170.13	+	1.01	4.84E-01
RNA biosynthetic process (GO:0032774)	280	228	226.84	+	1.01	4.78E-01
nitrogen compound metabolic process (GO:0006807)	1591	1295	1288.91	+	1.00	4.23E-01
regulation of cellular metabolic process (GO:0031323)	360	293	291.65	+	1.00	4.76E-01
Unclassified (UNCLASSIFIED)	1925	1566	1559.49	+	1.00	4.21E-01
purine nucleotide metabolic process (GO:0006163)	91	74	73.72	+	1.00	5.03E-01
primary metabolic process (GO:0044238)	1674	1361	1356.15	+	1.00	4.41E-01
negative regulation of metabolic process (GO:0009892)	123	100	99.65	+	1.00	4.99E-01
regulation of transcription, DNA-templated (GO:0006355)	235	191	190.38	+	1.00	4.92E-01
regulation of nucleic acid-templated transcription (GO:1903506)	235	191	190.38	+	1.00	4.92E-01
regulation of RNA biosynthetic process (GO:2001141)	235	191	190.38	+	1.00	4.92E-01
regulation of protein polymerization (GO:0032271)	16	13	12.96	+	1.00	5.33E-01
DNA conformation change (GO:0071103)	32	26	25.92	+	1.00	5.20E-01
endoplasmic reticulum organization (GO:0007029)	16	13	12.96	+	1.00	5.33E-01
organelle assembly (GO:0070925)	80	65	64.81	+	1.00	5.07E-01
membrane fission (GO:0090148)	16	13	12.96	+	1.00	5.33E-01
cellular component organization or biogenesis (GO:0071840)	901	732	729.92	+	1.00	4.72E-01
negative regulation of gene expression (GO:0010629)	101	82	81.82	+	1.00	5.07E-01
macromolecule metabolic process (GO:0043170)	1338	1085	1083.95	+	1.00	4.91E-01
membrane lipid metabolic process (GO:0006643)	37	30	29.97	+	1.00	5.23E-01
carbohydrate derivative biosynthetic process (GO:1901137)	158	128	128.00		1.00	5.23E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	431	349	349.16	-	1.00	5.11E-01
alcohol biosynthetic process (GO:0046165)	21	17	17.01	-	1.00	5.63E-01
nucleic acid-templated transcription (GO:0097659)	273	221	221.16	-	1.00	5.13E-01
transcription, DNA-templated (GO:0006351)	273	221	221.16	-	1.00	5.13E-01
ion homeostasis (GO:0050801)	42	34	34.03	-	1.00	5.44E-01
ERAD pathway (GO:0036503)	21	17	17.01	-	1.00	5.63E-01
cellular process (GO:0009987)	2611	2112	2115.24	-	1.00	4.64E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	136	110	110.18	-	1.00	5.18E-01
nucleoside phosphate metabolic process (GO:0006753)	120	97	97.22	-	1.00	5.18E-01
biological_process (GO:0008150)	2736	2210	2216.51	-	1.00	4.21E-01
regulation of primary metabolic process (GO:0080090)	347	280	281.11	-	1.00	4.88E-01
regulation of macromolecule metabolic process (GO:0060255)	407	328	329.72	-	.99	4.75E-01
regulation of nitrogen compound metabolic process (GO:0051171)	340	274	275.44	-	.99	4.80E-01
aromatic compound catabolic process (GO:0019439)	77	62	62.38	-	.99	5.14E-01
nucleotide metabolic process (GO:0009117)	118	95	95.59	-	.99	5.03E-01
inorganic ion homeostasis (GO:0098771)	41	33	33.22	-	.99	5.31E-01
cation homeostasis (GO:0055080)	41	33	33.22	-	.99	5.31E-01
cellular cation homeostasis (GO:0030003)	41	33	33.22	-	.99	5.31E-01
cellular ion homeostasis (GO:0006873)	41	33	33.22	-	.99	5.31E-01
nuclear export (GO:0051168)	46	37	37.27	-	.99	5.26E-01
purine-containing compound metabolic process (GO:0072521)	97	78	78.58	-	.99	5.04E-01
regulation of phosphorus metabolic process (GO:0051174)	51	41	41.32	-	.99	5.22E-01
regulation of phosphate metabolic process (GO:0019220)	51	41	41.32	-	.99	5.22E-01
cellular homeostasis (GO:0019725)	56	45	45.37	-	.99	5.18E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	56	45	45.37	-	.99	5.18E-01
small molecule catabolic process (GO:0044282)	61	49	49.42	-	.99	5.14E-01
