NCU05782	YGL078C
NCU06251	YBL032W
NCU00356	YAL022C
NCU03804	YNL217W
NCU03804	YLR433C
NCU03804	YML057W
NCU09492	YLR422W
NCU02451	YML030W
NCU02515	YOR219C
NCU02515	YHR028C
NCU08960	YDL130W
NCU08960	YDL081C
NCU08312	YDR164C
NCU11181	YPL218W
NCU06661	YLR061W
NCU06661	YFL034C-A
NCU04326	YJL187C
NCU00971	YOL040C
NCU06009	YPL088W
NCU06396	YMR292W
NCU02423	YKR052C
NCU02423	YJL133W
NCU07565	YJL157C
NCU05555	YJL157C
NCU00177	YGL234W
NCU00087	YGR248W
NCU00087	YHR163W
NCU05274	YJR047C
NCU05274	YEL034W
NCU09377	YGL190C
NCU03148	YPL037C
NCU03148	YDR252W
NCU08983	YKR002W
NCU08003	YFR037C
NCU08003	YJL176C
NCU03711	YML001W
NCU01539	YDL077C
NCU04125	YDR495C
NCU04778	YNL036W
NCU08133	YNL036W
NCU01990	YBR187W
NCU02091	YHR204W
NCU04509	YDL125C
NCU06876	YDL125C
NCU01705	YML014W
NCU06777	YOR036W
NCU07080	YML051W
NCU02737	YER163C
NCU02407	YFL018C
NCU02566	YOR335C
NCU03857	YNL009W
NCU03857	YLR174W
NCU03857	YDL066W
NCU07914	YCR012W
NCU04259	YLR253W
NCU08195	YHR091C
NCU08195	YDR341C
NCU03114	YNL222W
NCU03347	YJL060W
NCU05196	YFL016C
NCU06005	YHL032C
NCU02394	YPL196W
NCU06542	YNR036C
NCU08218	YDR264C
NCU08218	YOR034C
NCU02181	YHR203C
NCU02181	YJR145C
NCU07181	YJR129C
NCU06780	YKR056W
NCU07384	YGR096W
NCU02466	YGR223C
NCU00556	YDL224C
NCU00556	YNL197C
NCU02420	YPL074W
NCU02420	YER047C
NCU03572	YCR052W
NCU03572	YNR023W
NCU01747	YPL110C
NCU06914	YPR033C
NCU06389	YNL201C
NCU06969	YNL128W
NCU01100	YBL058W
NCU02936	YLR142W
NCU07982	YMR108W
NCU01454	YGR015C
NCU01454	YGR031W
NCU09708	YOL022C
NCU04191	YGL246C
NCU08094	YOR280C
NCU08094	YMR222C
NCU08691	YHR049W
NCU07681	YCL005W-A
NCU09290	YJL001W
NCU06836	YLR153C
NCU06836	YAL054C
NCU01271	YKL184W
NCU08779	YIL045W
NCU08779	YER054C
NCU00566	YAL030W
NCU00566	YOR327C
NCU07024	YLR113W
NCU06701	YLR176C
NCU01166	YIL033C
NCU07688	YDR379W
NCU07688	YOR127W
NCU00553	YBR260C
NCU06032	YBR041W
NCU09811	YKL221W
NCU04446	YKL221W
NCU05045	YOL119C
NCU05045	YOR306C
NCU05089	YOL119C
NCU05089	YOR306C
NCU09550	YOL119C
NCU09550	YOR306C
NCU09069	YOL119C
NCU09069	YOR306C
NCU06167	YOL119C
NCU06167	YOR306C
NCU16370	YOL119C
NCU16370	YOR306C
NCU00298	YNL125C
NCU01078	YPL113C
NCU03149	YGL243W
NCU06717	YDL100C
NCU06788	YPR023C
NCU06787	YPR023C
NCU07382	YBL026W
NCU00813	YOR288C
NCU08034	YIR009W
NCU02780	YIR009W
NCU06431	YLR367W
NCU06431	YJL190C
NCU01366	YIL031W
NCU00182	YHL017W
NCU00182	YKL039W
NCU03309	YDR139C
NCU06561	YDL135C
NCU04265	YIL162W
NCU08964	YLR075W
NCU09731	YGL058W
NCU07665	YGL058W
NCU07986	YDR105C
NCU00242	YAL014C
NCU00242	YGL212W
NCU01575	YAL014C
NCU01575	YGL212W
NCU02305	YBR003W
NCU07874	YNL016W
NCU07528	YGL063W
NCU07528	YPL212C
NCU06741	YLR038C
NCU01808	YJR048W
NCU01808	YEL039C
NCU03366	YPR129W
NCU03280	YLR151C
NCU03214	YBL040C
NCU06771	YBL040C
NCU08877	YAL044C
NCU02744	YGL147C
NCU02744	YNL067W
NCU10497	YGL022W
NCU01061	YAL049C
NCU08221	YAL049C
NCU07127	YAL049C
NCU08535	YMR207C
NCU08535	YNR016C
NCU04042	YKL088W
NCU04042	YKR072C
NCU04042	YOR054C
NCU04237	YKL088W
NCU04237	YKR072C
NCU04237	YOR054C
NCU00622	YGR238C
NCU01981	YNL244C
NCU07075	YDL128W
NCU00916	YDL128W
NCU00795	YDL128W
NCU07711	YDL128W
NCU05227	YBR173C
NCU00519	YJL121C
NCU06618	YCL057W
NCU02573	YHR122W
NCU06866	YCR024C
NCU04073	YER068W
NCU00056	YER061C
NCU00194	YLR438W
NCU05410	YOL140W
NCU03576	YKL189W
NCU07014	YML024W
NCU07014	YDR447C
NCU03606	YAR007C
NCU09476	YGR027C
NCU09476	YLR333C
NCU03690	YBR017C
NCU01282	YLR025W
NCU00147	YMR009W
NCU00979	YOL039W
NCU00979	YDR382W
NCU02079	YBR135W
NCU06711	YJL055W
NCU00081	YLR234W
NCU00075	YNL328C
NCU00075	YLR008C
NCU05429	YEL011W
NCU10498	YDL136W
NCU10498	YDL191W
NCU00300	YBR147W
NCU00300	YOL092W
NCU09195	YDR352W
NCU07289	YPR086W
NCU06300	YDR454C
NCU07478	YGR257C
NCU06721	YGL143C
NCU10008	YPL262W
NCU01247	YIL026C
NCU01083	YOL052C
NCU03966	YAL048C
NCU04459	YDR448W
NCU03137	YMR165C
NCU04800	YGL141W
NCU02230	YOL090W
NCU07407	YHR120W
NCU02348	YGL163C
NCU06511	YLL013C
NCU01760	YLL013C
NCU07366	YMR085W
NCU07366	YKL104C
NCU04116	YDR289C
NCU09912	YCR023C
NCU03107	YCR023C
NCU07668	YCR023C
NCU06341	YCR023C
NCU09489	YOR283W
NCU11201	YKR043C
NCU06440	YOL038W
NCU08668	YNR054C
NCU07058	YML093W
NCU03155	YGR243W
NCU03155	YHR162W
NCU09721	YKL135C
NCU05232	YJR005W
NCU05523	YPL122C
NCU07937	YLR260W
NCU07937	YOR171C
NCU03702	YDL014W
NCU08666	YKL033W-A
NCU02720	YDR515W
NCU02720	YCL037C
NCU09233	YDL045C
NCU08824	YMR178W
NCU05430	YJR121W
NCU00951	YBR011C
NCU08703	YMR267W
NCU05218	YOR244W
NCU09269	YOR185C
NCU09269	YLR293C
NCU03440	YBL037W
NCU02961	YGR276C
NCU08945	YLR107W
NCU04019	YGR010W
NCU04019	YLR328W
NCU10143	YOR291W
NCU04304	YNL055C
NCU04304	YIL114C
NCU06949	YEL060C
NCU06949	YOR003W
NCU00673	YEL060C
NCU00673	YOR003W
NCU06055	YCR045C
NCU07159	YCR045C
NCU00030	YJL208C
NCU02669	YCR101C
NCU02669	YNR066C
NCU02669	YCR100C
NCU02669	YCR099C
NCU02669	YBL017C
NCU02669	YNR065C
NCU02669	YJL222W
NCU02669	YIL173W
NCU04003	YAR002C-A
NCU04003	YGL002W
NCU04003	YHR110W
NCU03546	YDR017C
NCU06315	YDR173C
NCU00227	YOR271C
NCU00681	YGR100W
NCU00406	YNL298W
NCU03894	YHL007C
NCU08319	YOR107W
NCU08319	YLR452C
NCU09205	YNR063W
NCU08294	YNR063W
NCU08726	YNR063W
NCU03120	YNR063W
NCU06068	YNR063W
NCU05536	YNR063W
NCU05411	YNR063W
NCU06971	YNR063W
NCU02142	YNR063W
NCU10258	YNR063W
NCU02012	YNR063W
NCU08346	YBR274W
NCU08968	YPL266W
NCU05804	YBR084C-A
NCU05804	YBL027W
NCU00671	YCR032W
NCU02810	YER025W
NCU10273	YOR007C
NCU00596	YLR239C
NCU05558	YIL160C
NCU04796	YIL160C
NCU09646	YIL160C
NCU01831	YLR005W
NCU02055	YDR400W
NCU11321	YHR052W
NCU11321	YKR060W
NCU09109	YPL143W
NCU09109	YOR234C
NCU01007	YER050C
NCU06942	YPR173C
NCU01471	YGL115W
NCU02733	YDR084C
NCU01948	YPL079W
NCU01948	YBR191W
NCU03273	YNL023C
NCU08707	YLL027W
NCU04759	YER009W
NCU09594	YHR011W
NCU00488	YAL016W
NCU09683	YMR130W
NCU00771	YDR330W
NCU04334	YOR020C
NCU01966	YDR500C
NCU01966	YLR185W
NCU09119	YBR039W
NCU03394	YDR337W
NCU06017	YOR251C
NCU02036	YLR430W
NCU01207	YDL185W
NCU08689	YNL325C
NCU01854	YKR035W-A
NCU01439	YIL074C
NCU01439	YER081W
NCU02027	YLR118C
NCU08515	YBR127C
NCU00589	YBR287W
NCU06727	YLR146C
NCU06727	YPR069C
NCU05959	YMR197C
NCU07857	YER056C-A
NCU07857	YIL052C
NCU03703	YKL180W
NCU03703	YJL177W
NCU06842	YBR112C
NCU06230	YHR082C
NCU08897	YLR378C
NCU08389	YOR312C
NCU08389	YMR242C
NCU06941	YLR200W
NCU03004	YBR221C
NCU06035	YAL003W
NCU02044	YBR025C
NCU02977	YPR114W
NCU02977	YJR116W
NCU02556	YGR274C
NCU04336	YNL185C
NCU05427	YBR227C
NCU05516	YDL141W
NCU04090	YPL006W
NCU04797	YLR377C
NCU01102	YER154W
NCU03062	YPR152C
NCU03062	YKL012W
NCU06031	YBL064C
NCU01179	YMR203W
NCU00657	YDL105W
NCU05689	YGL187C
NCU05347	YOL012C
NCU03138	YMR236W
NCU09256	YGR178C
NCU05400	YGR178C
NCU06616	YER175C
NCU06616	YHR209W
NCU04770	YER148W
NCU02538	YPL010W
NCU09643	YBR029C
NCU03100	YHR183W
NCU03100	YGR256W
NCU07446	YOR332W
NCU05008	YKL192C
NCU07381	YMR137C
NCU03471	YMR253C
NCU03471	YPL264C
NCU04806	YJR113C
NCU04216	YMR300C
NCU06679	YEL056W
NCU08861	YNL005C
NCU08217	YKL154W
NCU00035	YCR048W
NCU00035	YNR019W
NCU03991	YCR048W
NCU03991	YNR019W
NCU04144	YCR048W
NCU04144	YNR019W
NCU06048	YLR287C-A
NCU06048	YOR182C
NCU09089	YLR287C-A
NCU09089	YOR182C
NCU00565	YOR196C
NCU08378	YER098W
NCU08378	YBL067C
NCU00898	YDR255C
NCU00927	YBL063W
NCU02781	YBR234C
NCU06202	YBR059C
NCU06202	YIL095W
NCU06202	YNL020C
NCU08811	YER122C
NCU07830	YJL191W
NCU07830	YCR031C
NCU03302	YPL249C-A
NCU03302	YMR194W
NCU02979	YML035C
NCU05753	YCL008C
NCU06003	YDL055C
NCU05276	YGL161C
NCU02771	YDR047W
NCU02123	YMR097C
NCU00481	YLR389C
NCU02509	YGR085C
NCU02509	YPR102C
NCU06749	YGR220C
NCU05288	YER136W
NCU07690	YGL125W
NCU09545	YPL023C
NCU04779	YLL045C
NCU04779	YHL033C
NCU05778	YOR226C
NCU05778	YPL135W
NCU07010	YLR410W
NCU11234	YGL169W
NCU07826	YOL121C
NCU07826	YNL302C
NCU06336	YDR120C
NCU05309	YMR262W
NCU06342	YKR031C
NCU10400	YKR031C
NCU03955	YKR031C
NCU01221	YIL133C
NCU01221	YNL069C
NCU05599	YOR167C
NCU05599	YLR264W
NCU03483	YNL148C
NCU03483	YCL029C
NCU03483	YPL174C
NCU01502	YER082C
NCU02511	YNL061W
NCU10226	YIL051C
NCU10226	YER057C
NCU09331	YIL051C
NCU09331	YER057C
NCU07887	YJL026W
NCU05861	YER176W
NCU09211	YER176W
NCU00959	YLL041C
NCU05387	YIL164C
NCU00437	YIL165C
NCU09841	YPR073C
NCU00447	YDR062W
NCU03565	YGR034W
NCU03565	YLR344W
NCU01023	YJL063C
NCU06285	YJR126C
NCU03108	YJR126C
NCU09121	YLR396C
NCU01741	YIL004C
NCU05515	YJL104W
NCU03954	YLR212C
NCU04449	YHR020W
NCU03387	YBR080C
NCU03269	YPL152W
NCU04810	YIL153W
NCU01498	YJL106W
NCU02610	YDR424C
NCU02923	YKL071W
NCU06332	YLR099C
NCU06332	YDR125C
NCU06332	YGR110W
NCU06743	YOR293W
NCU06743	YMR230W
NCU02948	YCR004C
NCU02948	YDR032C
NCU05459	YGR028W
NCU07988	YGR028W
NCU08071	YPL013C
NCU01935	YNL326C
NCU04069	YOL064C
NCU05342	YOL064C
NCU09567	YOL064C
NCU08985	YJL097W
NCU03936	YDL201W
NCU09657	YBR172C
NCU09657	YPL105C
NCU05588	YNL299W
NCU05588	YOL115W
NCU00065	YML080W
NCU02496	YMR036C
NCU02404	YNL004W
NCU02404	YCL011C
NCU05622	YBR281C
NCU07153	YFR044C
NCU09895	YBL095W
NCU09853	YER182W
NCU00584	YER182W
NCU05279	YOR285W
NCU05279	YOR286W
NCU08380	YLR019W
NCU08380	YLL010C
NCU07378	YFL033C
NCU05064	YPL230W
NCU05064	YMR182C
NCU05649	YER185W
NCU05649	YGR213C
NCU05649	YLR046C
NCU05209	YER185W
NCU05209	YGR213C
NCU05209	YLR046C
NCU05068	YOR049C
NCU04218	YOR049C
NCU00629	YGR240C
NCU00629	YMR205C
NCU03145	YMR243C
NCU03145	YOR316C
NCU07709	YMR243C
NCU07709	YOR316C
NCU11249	YFR018C
NCU09018	YFR018C
NCU02724	YBL103C
NCU01411	YBR043C
NCU05207	YIL120W
NCU05207	YIL121W
NCU05207	YNL065W
NCU09876	YIL120W
NCU09876	YIL121W
NCU09876	YNL065W
NCU00875	YBR180W
NCU04886	YBR180W
NCU07938	YBR180W
NCU05166	YPL058C
NCU05591	YOR328W
NCU05591	YDR406W
NCU05591	YOR153W
NCU10009	YNR070W
NCU10009	YDR011W
NCU08056	YNR070W
NCU08056	YDR011W
NCU09830	YNR070W
NCU09830	YDR011W
NCU01954	YLR323C
NCU07993	YOL141W
NCU07993	YDR435C
NCU01276	YPR131C
NCU11356	YHR029C
NCU03310	YGR231C
NCU03365	YHR040W
NCU06654	YOL043C
NCU06654	YAL015C
NCU01474	YML025C
NCU03007	YBR065C
NCU03297	YKR066C
NCU00409	YNL316C
NCU00294	YPL220W
NCU00294	YGL135W
NCU04452	YPL171C
NCU04452	YHR179W
NCU03826	YPL048W
NCU03826	YKL081W
NCU03826	YGR201C
NCU04784	YGL092W
NCU01896	YGL092W
NCU05222	YMR135C
NCU05600	YPL109C
NCU06194	YOR175C
NCU09897	YKL080W
NCU06355	YOR160W
NCU03223	YHR123W
NCU03223	YNL130C
NCU01993	YHR123W
NCU01993	YNL130C
NCU08023	YJR031C
NCU08023	YEL022W
NCU02113	YDR092W
NCU01390	YKL095W
NCU03659	YDL108W
NCU10789	YLR207W
NCU01070	YHR189W
NCU05526	YDL131W
NCU05526	YDL182W
NCU02707	YLR448W
NCU02707	YML073C
NCU06738	YDL195W
NCU06052	YIR004W
NCU02805	YER048C
NCU05270	YAL035W
NCU16560	YGL178W
NCU16560	YGL014W
NCU02200	YJL145W
NCU08022	YER168C
NCU09862	YML110C
NCU04553	YLR167W
NCU04121	YPR029C
NCU00200	YKL211C
NCU06932	YML088W
NCU08844	YHR016C
NCU08844	YFR024C-A
NCU05881	YHR016C
NCU05881	YFR024C-A
NCU03888	YHR016C
NCU03888	YFR024C-A
NCU06401	YHL018W
NCU04523	YGR246C
NCU09247	YKL125W
NCU00624	YNL263C
NCU02109	YDL103C
NCU07927	YNL003C
NCU01568	YNL003C
NCU02083	YFR019W
NCU06843	YOR063W
NCU00258	YOR096W
NCU00258	YNL096C
NCU00188	YGL180W
NCU04519	YIR022W
NCU07544	YDL074C
NCU03095	YMR227C
NCU09008	YIL096C
NCU03956	YGL244W
NCU01120	YHL022C
NCU04633	YOL013C
NCU09436	YJL115W
NCU07608	YOR095C
NCU02074	YML130C
NCU00387	YIL049W
NCU16525	YIL049W
NCU08685	YGR061C
NCU04780	YGL211W
NCU07852	YOR150W
NCU03503	YGL065C
NCU07829	YPL198W
NCU07829	YGL076C
NCU08620	YMR143W
NCU08620	YDL083C
NCU01821	YFL030W
NCU04100	YKR001C
NCU09808	YLL001W
NCU09465	YBL071W-A
NCU01992	YNL287W
NCU02202	YHR079C
NCU00413	YFR031C-A
NCU00413	YIL018W
NCU08344	YLR406C
NCU08344	YDL075W
NCU08471	YGR244C
NCU07188	YBL033C
NCU05983	YDR487C
NCU06311	YLR126C
NCU08990	YJL189W
NCU04481	YEL052W
NCU06768	YBL038W
NCU01236	YBR228W
NCU08291	YOR176W
NCU05982	YOL096C
NCU02422	YDL149W
NCU01939	YJR132W
NCU05264	YER037W
NCU05264	YGL224C
NCU01827	YDR471W
NCU01827	YHR010W
NCU02491	YMR161W
NCU05514	YGR172C
NCU01317	YDR418W
NCU01317	YEL054C
NCU16399	YER074W-A
NCU00397	YOR126C
NCU06594	YPR045C
NCU04552	YGL189C
NCU04552	YER131W
NCU02757	YEL050C
NCU17177	YLR195C
NCU08379	YER019C-A
NCU08379	YER087C-B
NCU03988	YNL301C
NCU03988	YOL120C
NCU09709	YDR188W
NCU01501	YBL057C
NCU03713	YEL042W
NCU05245	YMR026C
NCU06677	YLR066W
NCU00112	YLL029W
NCU04119	YOL018C
NCU02391	YIL109C
NCU02391	YNL049C
NCU03177	YBR024W
NCU03177	YBR037C
NCU06260	YGL130W
NCU04172	YBR101C
NCU04020	YDR037W
NCU04087	YNL281W
NCU04087	YDR214W
NCU01285	YDR387C
NCU09767	YDR387C
NCU02717	YLR117C
NCU02371	YPL246C
NCU03890	YIL044C
NCU04124	YKL179C
NCU08926	YNL242W
NCU06435	YML097C
NCU07301	YML097C
NCU01180	YBR058C
NCU05777	YBR058C
NCU01368	YER012W
NCU06338	YNL088W
NCU05714	YNL284C
NCU07498	YGR258C
NCU03395	YLR447C
NCU03738	YLR388W
NCU03738	YDL061C
NCU06868	YHR098C
NCU03397	YNR032C-A
NCU04303	YGR124W
NCU04303	YPR145W
NCU04127	YDR086C
NCU03102	YBR048W
NCU03102	YDR025W
NCU05554	YDL082W
NCU05554	YMR142C
NCU03782	YOL005C
NCU10847	YGR252W
NCU01323	YFL008W
NCU01674	YBL050W
NCU00117	YGL233W
NCU09789	YNL220W
NCU07779	YAL021C
NCU03637	YJR117W
NCU07794	YPL252C
NCU03336	YGL082W
NCU03336	YPL191C
NCU06372	YJR099W
NCU09570	YKR076W
NCU09570	YMR251W
NCU09570	YGR154C
NCU04368	YKR076W
NCU04368	YMR251W
NCU04368	YGR154C
NCU02508	YER029C
NCU09547	YFR005C
NCU00205	YGR098C
NCU04221	YBR001C
NCU04221	YDR001C
NCU00943	YBR001C
NCU00943	YDR001C
NCU01571	YJL031C
NCU07281	YBR196C
NCU04733	YJL092W
NCU04733	YOL095C
NCU01516	YOR232W
NCU02743	YJL053W
NCU03441	YFR021W
NCU08579	YPL072W
NCU01457	YDL122W
NCU04137	YKR078W
NCU04137	YOR069W
NCU02402	YLR383W
NCU01227	YOR142W
NCU09810	YOR142W
NCU00034	YDR410C
NCU05927	YLR289W
NCU02375	YMR223W
NCU06353	YER183C
NCU08944	YHR013C
NCU06698	YOR320C
NCU06698	YJL137C
NCU06698	YKR058W
NCU07119	YBR115C
NCU04531	YBR115C
NCU08441	YBR115C
NCU03010	YBR115C
NCU00602	YKR069W
NCU01206	YHR119W
NCU01447	YKL160W
NCU09118	YOL006C
NCU02960	YMR018W
NCU02960	YDR244W
NCU04503	YHR066W
NCU04503	YDR312W
NCU06877	YLR380W
NCU04203	YBR229C
NCU04636	YCL017C
NCU03950	YDR089W
NCU08110	YJL012C
NCU01745	YPL019C
NCU01745	YFL004W
NCU06924	YBL098W
NCU04078	YGL256W
NCU00340	YHR084W
NCU08002	YML042W
NCU09258	YMR001C
NCU01019	YDL189W
NCU06105	YDR358W
NCU06105	YHR108W
NCU08292	YJL163C
NCU02528	YGR280C
NCU03852	YKL092C
NCU07861	YGR289C
NCU07861	YDL247W
NCU07861	YJR160C
NCU07861	YBR298C
NCU08858	YGR289C
NCU08858	YDL247W
NCU08858	YJR160C
NCU08858	YBR298C
NCU06522	YGR289C
NCU06522	YDL247W
NCU06522	YJR160C
NCU06522	YBR298C
NCU01868	YGR289C
NCU01868	YDL247W
NCU01868	YJR160C
NCU01868	YBR298C
NCU12154	YGR289C
NCU12154	YDL247W
NCU12154	YJR160C
NCU12154	YBR298C
NCU07054	YGR289C
NCU07054	YDL247W
NCU07054	YJR160C
NCU07054	YBR298C
NCU05201	YJL093C
NCU04065	YJL093C
NCU04944	YOR143C
NCU00158	YGR006W
NCU01322	YKL028W
NCU01546	YDR044W
NCU04097	YFL028C
NCU00435	YKL002W
NCU09450	YIL075C
NCU07757	YGL112C
NCU08040	YPL003W
NCU06484	YGR270W
NCU06198	YER039C-A
NCU06198	YGL225W
NCU06198	YER039C
NCU09239	YBR088C
NCU02615	YOR194C
NCU11372	YDL165W
NCU04815	YML004C
NCU04595	YGR262C
NCU09706	YDL164C
NCU06481	YDL164C
NCU08678	YER007C-A
NCU05971	YER078C
NCU06655	YOR059C
NCU07461	YCR014C
NCU02727	YDR019C
NCU03579	YBL036C
NCU02136	YGR043C
NCU02136	YLR354C
NCU00714	YOR027W
NCU06039	YPL247C
NCU00410	YBR143C
NCU03806	YGL103W
NCU01756	YJR065C
NCU08326	YHR002W
NCU05876	YOR275C
NCU08001	YPL084W
NCU04288	YER107C
NCU06432	YOR369C
NCU06764	YML092C
NCU07261	YBR110W
NCU04339	YCR036W
NCU06103	YOL023W
NCU04790	YDR172W
NCU05810	YMR116C
NCU06089	YDR263C
NCU06089	YOR033C
NCU02555	YJL081C
NCU02004	YGR208W
NCU07965	YPR183W
NCU03304	YER094C
NCU08607	YAL042W
NCU00078	YPR098C
NCU04755	YGL083W
NCU00119	YOR154W
NCU17017	YMR150C
NCU07926	YOR168W
NCU07991	YNL265C
NCU04470	YGL101W
NCU04470	YBR242W
NCU00650	YDR324C
NCU09128	YAL043C
NCU01199	YDR468C
NCU06846	YOL103W
NCU06846	YDR497C
NCU09218	YPL157W
NCU03050	YNR035C
NCU06812	YOR022C
NCU12114	YOR022C
NCU09325	YLR149C
NCU08963	YGL030W
NCU07958	YNL202W
NCU09301	YLR189C
NCU01013	YGL040C
NCU07367	YOR259C
NCU06712	YMR314W
NCU04400	YML070W
NCU04400	YFL053W
NCU03779	YML070W
NCU03779	YFL053W
NCU02162	YGR112W
NCU01468	YGR083C
NCU02226	YPR118W
NCU03024	YJL029C
NCU00232	YKR079C
NCU07319	YGL137W
NCU01435	YKL139W
NCU04344	YKR026C
NCU01643	YOR048C
NCU02108	YAL044W-A
NCU02943	YPL063W
NCU07700	YOR133W
NCU07700	YDR385W
NCU02591	YGL084C
NCU02591	YPL189W
NCU10046	YEL012W
NCU10067	YFR052W
NCU07864	YKL021C
NCU03217	YOL027C
NCU03217	YPR125W
NCU01950	YDR088C
NCU06803	YMR250W
NCU00678	YMR250W
NCU04313	YBL013W
NCU02322	YER003C
NCU07165	YER003C
NCU08993	YJL207C
NCU06308	YFL036W
NCU02349	YOR336W
NCU09139	YER007W
NCU03311	YGL044C
NCU03341	YIL068C
NCU08273	YBR086C
NCU03827	YBR146W
NCU06284	YJL154C
NCU02541	YJL002C
NCU07576	YPR140W
NCU08295	YDL051W
NCU02294	YJL004C
NCU07832	YHR165C
NCU07936	YDL040C
NCU11174	YBR254C
NCU07300	YML096W
NCU02157	YDR204W
NCU03426	YBR276C
NCU11251	YPR178W
NCU10061	YGL011C
NCU16003	Q0275
NCU16025	Q0085
NCU00136	YGL236C
NCU07321	YER134C
NCU02504	YFL046W
NCU04277	YHR025W
NCU02065	YFL034W
NCU01672	YFL034W
NCU02747	YFL034W
NCU01404	YOR201C
NCU07693	YBL034C
NCU00634	YKL006W
NCU00634	YHL001W
NCU07721	YHR027C
NCU07550	YDR050C
NCU06856	YGR048W
NCU06666	YJL153C
NCU05301	YBL024W
NCU04081	YDR336W
NCU07717	YNL312W
NCU04022	YLR387C
NCU04022	YBR267W
NCU09608	YNL072W
NCU09747	YHR026W
NCU02475	YMR189W
NCU03359	YPR024W
NCU09220	YGL124C
NCU04241	YOR070C
NCU00489	YNL178W
NCU02802	YOR130C
NCU06929	YML010W
NCU00564	YPR166C
NCU02414	YDR211W
NCU02629	YLR028C
NCU02629	YMR120C
NCU03150	YGL031C
NCU03150	YGR148C
NCU04943	YLR078C
NCU09475	YJR123W
NCU07734	YDL226C
NCU07734	YNL204C
NCU06113	YOR289W
NCU01412	YOR323C
NCU07408	YLR340W
NCU01744	YDL171C
NCU05606	YDR221W
NCU01422	YOR298C-A
NCU00592	YNL245C
NCU02808	YJL041W
NCU09308	YDL104C
NCU02829	YFL045C
NCU03876	YMR146C
NCU01658	YJR033C
NCU04983	YLR056W
NCU06207	YLR056W
NCU02797	YHL012W
NCU02797	YKL035W
NCU04301	YDL065C
NCU01792	YKL117W
NCU06314	YOR250C
NCU06428	YOR243C
NCU04651	YJR088C
NCU01452	YML063W
NCU01452	YLR441C
NCU07182	YIL069C
NCU07182	YER074W
NCU04080	YDR126W
NCU06212	YOR115C
NCU03911	YKL007W
NCU05261	YBL022C
NCU00315	YFR032C-A
NCU03710	YDR438W
NCU03710	YML018C
NCU02510	YGL206C
NCU03757	YDR012W
NCU03757	YBR031W
NCU01552	YGR118W
NCU01552	YPR132W
NCU00414	YJR105W
NCU03798	YDL217C
NCU05454	YIL155C
NCU03571	YDR490C
NCU03571	YOL100W
NCU07562	YJR094W-A
NCU07562	YPR043W
NCU08046	YDR429C
NCU09993	YDR334W
NCU03061	YDR091C
NCU08151	YMR156C
NCU00535	YNL040W
NCU00421	YBR289W
NCU07893	YLR321C
NCU00664	YJR050W
NCU07071	YNL288W
NCU05942	YGR135W
NCU07831	YMR309C
NCU02536	YGR255C
NCU08931	YIL010W
NCU11263	YLR427W
NCU09816	YOR065W
NCU08605	YOR157C
NCU09063	YLR086W
NCU01791	YKL041W
NCU06892	YHL015W
NCU01115	YLR105C
NCU04429	YGR046W
NCU07465	YER053C
NCU09461	YJL024C
NCU00896	YKL212W
NCU10346	YCR033W
NCU08627	YKR057W
NCU08627	YJL136C
NCU03362	YDL015C
NCU09407	YKR089C
NCU09407	YOR081C
NCU11180	YMR313C
NCU03325	YMR313C
NCU09161	YNL001W
NCU09161	YCL001W-A
NCU03504	YKR053C
NCU03504	YJL134W
NCU11228	YLR039C
NCU03122	YPL120W
NCU01397	YHL013C
NCU03823	YGL119W
NCU03438	YIL062C
NCU03737	YOR187W
NCU11209	YPL065W
NCU01367	YGL004C
NCU01367	YPR137W
NCU05757	YJL126W
NCU04584	YMR039C
NCU03922	YML126C
NCU01331	YEL026W
NCU02965	YLR442C
NCU02965	YML065W
NCU03639	YJR107W
NCU10506	YJR107W
NCU01441	YJR069C
NCU03204	YNL240C
NCU01776	YLR029C
NCU01776	YMR121C
NCU00913	YJL091C
NCU03854	YDL219W
NCU02729	YLR196W
NCU02611	YPR112C
NCU03970	YDR236C
NCU09006	YPR180W
NCU07082	YLL018C
NCU00915	YLL018C
NCU05650	YER110C
NCU11288	YFR006W
NCU00154	YFR006W
NCU08502	YPL090C
NCU08502	YBR181C
NCU08940	YDR529C
NCU05594	YMR041C
NCU08008	YNL138W
NCU07543	YNL039W
NCU08561	YJR095W
NCU05075	YBR291C
NCU03234	YGR184C
NCU03234	YLR024C
NCU00122	YHR113W
NCU04192	YKL103C
NCU05418	YHR068W
NCU08126	YDL174C
NCU02179	YDL174C
NCU00904	YDL174C
NCU10292	YDL205C
NCU02974	YML071C
NCU04307	YDR185C
NCU04307	YLR168C
NCU01606	YDR298C
NCU06732	YNL045W
NCU00617	YOR281C
NCU09740	YIL129C
NCU03548	YOR260W
NCU02357	YMR308C
NCU05363	YGL048C
NCU02507	YGL080W
NCU08794	YGL080W
NCU06038	YPL183W-A
NCU08500	YER102W
NCU08500	YBL072C
NCU07942	YDR087C
NCU06767	YOR217W
NCU06532	YKL216W
NCU04318	YKL216W
NCU08445	YDR057W
NCU01114	YBR261C
NCU01936	YDR419W
NCU02571	YPL028W
NCU09732	YPL028W
NCU09227	YPL263C
NCU01550	YDR226W
NCU11311	YJR135W-A
NCU04110	YLR116W
NCU02063	YKL134C
NCU03661	YDL234C
NCU08268	YMR028W
NCU05796	YKR068C
NCU02495	YGR093W
