Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUST00000017255	Ensembl Transcript	MGI:1922956	Krt24	keratin 24	protein coding gene
ENSMUST00000017270	Ensembl Transcript	MGI:1915489	Krt42	keratin 42	protein coding gene
ENSMUST00000017290	Ensembl Transcript	MGI:104537	Brca1	breast cancer 1, early onset	protein coding gene
ENSMUST00000017309	Ensembl Transcript	MGI:104768	Gast	gastrin	protein coding gene
ENSMUST00000017332	Ensembl Transcript	MGI:1098757	Coa3	cytochrome C oxidase assembly factor 3	protein coding gene
ENSMUST00000017348	Ensembl Transcript	MGI:1889509	Gsdma	gasdermin A	protein coding gene
ENSMUST00000017384	Ensembl Transcript	MGI:2179723	Casc3	cancer susceptibility candidate 3	protein coding gene
ENSMUST00000017443	Ensembl Transcript	MGI:1923483	Dnttip1	deoxynucleotidyltransferase, terminal, interacting protein 1	protein coding gene
ENSMUST00000017454	Ensembl Transcript	MGI:1925489	Spint4	serine protease inhibitor, Kunitz type 4	protein coding gene
ENSMUST00000017455	Ensembl Transcript	MGI:99924	Pyy	peptide YY	protein coding gene
ENSMUST00000017458	Ensembl Transcript	MGI:1858257	Mpp2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	protein coding gene
ENSMUST00000017460	Ensembl Transcript	MGI:97753	Ppy	pancreatic polypeptide	protein coding gene
ENSMUST00000017488	Ensembl Transcript	MGI:98940	Vtn	vitronectin	protein coding gene
ENSMUST00000017534	Ensembl Transcript	MGI:101863	Aldoc	aldolase C, fructose-bisphosphate	protein coding gene
ENSMUST00000017544	Ensembl Transcript	MGI:2144518	Stac2	SH3 and cysteine rich domain 2	protein coding gene
ENSMUST00000017548	Ensembl Transcript	MGI:98020	Rpl19	ribosomal protein L19	protein coding gene
ENSMUST00000017552	Ensembl Transcript	MGI:102522	Cacnb1	calcium channel, voltage-dependent, beta 1 subunit	protein coding gene
ENSMUST00000017561	Ensembl Transcript	MGI:1919574	Plxdc1	plexin domain containing 1	protein coding gene
ENSMUST00000017576	Ensembl Transcript	MGI:106368	Rbfox3	RNA binding protein, fox-1 homolog (C. elegans) 3	protein coding gene
ENSMUST00000017590	Ensembl Transcript	MGI:1919254	C1qtnf1	C1q and tumor necrosis factor related protein 1	protein coding gene
ENSMUST00000017597	Ensembl Transcript	MGI:1197006	Pipox	pipecolic acid oxidase	protein coding gene
ENSMUST00000017604	Ensembl Transcript	MGI:1316658	Cyba	cytochrome b-245, alpha polypeptide	protein coding gene
ENSMUST00000017610	Ensembl Transcript	MGI:98753	Timp2	tissue inhibitor of metalloproteinase 2	protein coding gene
ENSMUST00000017620	Ensembl Transcript	MGI:1923275	Cant1	calcium activated nucleotidase 1	protein coding gene
ENSMUST00000017629	Ensembl Transcript	MGI:98791	Top2b	topoisomerase (DNA) II beta	protein coding gene
ENSMUST00000017637	Ensembl Transcript	MGI:96439	Igfbp4	insulin-like growth factor binding protein 4	protein coding gene
ENSMUST00000017692	Ensembl Transcript	MGI:1261758	Suz12	SUZ12 polycomb repressive complex 2 subunit	protein coding gene
ENSMUST00000017694	Ensembl Transcript	MGI:2442925	Atad5	ATPase family, AAA domain containing 5	protein coding gene
ENSMUST00000017732	Ensembl Transcript	MGI:1339999	Krt27	keratin 27	protein coding gene
ENSMUST00000017741	Ensembl Transcript	MGI:96687	Krt12	keratin 12	protein coding gene
ENSMUST00000017743	Ensembl Transcript	MGI:1914059	Krt20	keratin 20	protein coding gene
ENSMUST00000017751	Ensembl Transcript	MGI:2144377	Tns4	tensin 4	protein coding gene
ENSMUST00000017783	Ensembl Transcript	MGI:2442920	Rab11fip4	RAB11 family interacting protein 4 (class II)	protein coding gene
ENSMUST00000017799	Ensembl Transcript	MGI:88336	Cd40	CD40 antigen	protein coding gene
ENSMUST00000017821	Ensembl Transcript	MGI:1926139	Wsb1	WD repeat and SOCS box-containing 1	protein coding gene
ENSMUST00000017836	Ensembl Transcript	MGI:2179276	Rhbdl3	rhomboid like 3	protein coding gene
ENSMUST00000017839	Ensembl Transcript	MGI:1919206	Rnf135	ring finger protein 135	protein coding gene
ENSMUST00000017841	Ensembl Transcript	MGI:87916	Ada	adenosine deaminase	protein coding gene
ENSMUST00000017851	Ensembl Transcript	MGI:1349457	Serinc3	serine incorporator 3	protein coding gene
ENSMUST00000017864	Ensembl Transcript	MGI:1920853	Trp53tg5	transformation related protein 53 target 5	protein coding gene
ENSMUST00000017867	Ensembl Transcript	MGI:1914951	Wfdc2	WAP four-disulfide core domain 2	protein coding gene
ENSMUST00000017868	Ensembl Transcript	MGI:99423	Etv4	ets variant 4	protein coding gene
ENSMUST00000017881	Ensembl Transcript	MGI:97011	Mmp9	matrix metallopeptidase 9	protein coding gene
ENSMUST00000017891	Ensembl Transcript	MGI:1931556	Ghdc	GH3 domain containing	protein coding gene
ENSMUST00000017900	Ensembl Transcript	MGI:1342283	Slc12a7	solute carrier family 12, member 7	protein coding gene
ENSMUST00000017904		No associated gene			
ENSMUST00000017908	Ensembl Transcript	MGI:1919221	Zswim1	zinc finger SWIM-type containing 1	protein coding gene
ENSMUST00000017911	Ensembl Transcript	MGI:1922892	Spata25	spermatogenesis associated 25	protein coding gene
ENSMUST00000017945	Ensembl Transcript	MGI:108398	Mlx	MAX-like protein X	protein coding gene
ENSMUST00000017961	Ensembl Transcript	MGI:1891496	Jph2	junctophilin 2	protein coding gene
ENSMUST00000017974	Ensembl Transcript	MGI:1931560	Dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58	protein coding gene
ENSMUST00000017975	Ensembl Transcript	MGI:105926	Rab5a	RAB5A, member RAS oncogene family	protein coding gene
ENSMUST00000017981	Ensembl Transcript	MGI:1919216	Nkiras2	NFKB inhibitor interacting Ras-like protein 2	protein coding gene
ENSMUST00000018002	Ensembl Transcript	MGI:2387217	Ift52	intraflagellar transport 52	protein coding gene
ENSMUST00000018005	Ensembl Transcript	MGI:101785	Mybl2	myeloblastosis oncogene-like 2	protein coding gene
ENSMUST00000018113	Ensembl Transcript	MGI:1097156	Ptgis	prostaglandin I2 (prostacyclin) synthase	protein coding gene
ENSMUST00000018143	Ensembl Transcript	MGI:2385884	Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	protein coding gene
ENSMUST00000018156	Ensembl Transcript	MGI:2180784	Rac3	Rac family small GTPase 3	protein coding gene
ENSMUST00000018184	Ensembl Transcript	MGI:1922028	Rrp7a	ribosomal RNA processing 7 homolog A (S. cerevisiae)	protein coding gene
ENSMUST00000018212	Ensembl Transcript	MGI:1917672	Ints2	integrator complex subunit 2	protein coding gene
ENSMUST00000018246	Ensembl Transcript	MGI:1915274	Hist1h2bc	histone cluster 1, H2bc	protein coding gene
ENSMUST00000018274	Ensembl Transcript	MGI:1355272	Csnk1d	casein kinase 1, delta	protein coding gene
ENSMUST00000018313	Ensembl Transcript	MGI:1095404	Mfng	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein coding gene
ENSMUST00000018315	Ensembl Transcript	MGI:1923159	Vmp1	vacuole membrane protein 1	protein coding gene
ENSMUST00000018333	Ensembl Transcript	MGI:1914848	Uchl5	ubiquitin carboxyl-terminal esterase L5	protein coding gene
ENSMUST00000018337	Ensembl Transcript	MGI:2384876	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component	protein coding gene
ENSMUST00000018353	Ensembl Transcript	MGI:1929004	Stk4	serine/threonine kinase 4	protein coding gene
ENSMUST00000018382	Ensembl Transcript	MGI:95692	Gdf9	growth differentiation factor 9	protein coding gene
ENSMUST00000018383	Ensembl Transcript	MGI:1196228	Zcchc10	zinc finger, CCHC domain containing 10	protein coding gene
ENSMUST00000018399	Ensembl Transcript	MGI:1919138	Krt33a	keratin 33A	protein coding gene
ENSMUST00000018407	Ensembl Transcript	MGI:102541	Tbx5	T-box 5	protein coding gene
ENSMUST00000018429	Ensembl Transcript	MGI:892877	Pld2	phospholipase D2	protein coding gene
ENSMUST00000018431	Ensembl Transcript	MGI:107380	Spag7	sperm associated antigen 7	protein coding gene
ENSMUST00000018449	Ensembl Transcript	MGI:2179381	Prpf8	pre-mRNA processing factor 8	protein coding gene
ENSMUST00000018466	Ensembl Transcript	MGI:1914395	Tomm34	translocase of outer mitochondrial membrane 34	protein coding gene
ENSMUST00000018470	Ensembl Transcript	MGI:1891917	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	protein coding gene
ENSMUST00000018476	Ensembl Transcript	MGI:1928487	Stk3	serine/threonine kinase 3	protein coding gene
ENSMUST00000018478	Ensembl Transcript	MGI:105051	Ksr1	kinase suppressor of ras 1	protein coding gene
ENSMUST00000018485	Ensembl Transcript	MGI:1270861	Il12rb2	interleukin 12 receptor, beta 2	protein coding gene
ENSMUST00000018491	Ensembl Transcript	MGI:1289293	Zkscan6	zinc finger with KRAB and SCAN domains 6	protein coding gene
ENSMUST00000018506	Ensembl Transcript	MGI:103561	Kpna2	karyopherin (importin) alpha 2	protein coding gene
ENSMUST00000018516	Ensembl Transcript	MGI:2443502	Cep95	centrosomal protein 95	protein coding gene
ENSMUST00000018521	Ensembl Transcript	MGI:1313291	Vezf1	vascular endothelial zinc finger 1	protein coding gene
ENSMUST00000018522	Ensembl Transcript	MGI:2144281	Cuedc1	CUE domain containing 1	protein coding gene
ENSMUST00000018549	Ensembl Transcript	MGI:2443470	Mrm1	mitochondrial rRNA methyltransferase 1	protein coding gene
ENSMUST00000018568	Ensembl Transcript	MGI:1342307	Drg2	developmentally regulated GTP binding protein 2	protein coding gene
ENSMUST00000018569	Ensembl Transcript	MGI:1914737	Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein coding gene
ENSMUST00000018571	Ensembl Transcript	MGI:1925114	Ypel2	yippee like 2	protein coding gene
ENSMUST00000018577	Ensembl Transcript	MGI:1916229	Nol11	nucleolar protein 11	protein coding gene
ENSMUST00000018593	Ensembl Transcript	MGI:1916973	Rpain	RPA interacting protein	protein coding gene
ENSMUST00000018610	Ensembl Transcript	MGI:97361	Nos2	nitric oxide synthase 2, inducible	protein coding gene
ENSMUST00000018614	Ensembl Transcript	MGI:1336208	Kcnab3	potassium voltage-gated channel, shaker-related subfamily, beta member 3	protein coding gene
ENSMUST00000018625	Ensembl Transcript	MGI:1914134	Appbp2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	protein coding gene
ENSMUST00000018630	Ensembl Transcript	MGI:1197020	Wnt9b	wingless-type MMTV integration site family, member 9B	protein coding gene
ENSMUST00000018632	Ensembl Transcript	MGI:1339713	Myh4	myosin, heavy polypeptide 4, skeletal muscle	protein coding gene
ENSMUST00000018644	Ensembl Transcript	MGI:99403	Adora2b	adenosine A2b receptor	protein coding gene
ENSMUST00000018645	Ensembl Transcript	MGI:1349717	Ncor1	nuclear receptor co-repressor 1	protein coding gene
ENSMUST00000018653	Ensembl Transcript	MGI:1920389	Cenpv	centromere protein V	protein coding gene
ENSMUST00000018685	Ensembl Transcript	MGI:1914730	Cwc25	CWC25 spliceosome-associated protein	protein coding gene
ENSMUST00000018691	Ensembl Transcript	MGI:1934234	Pip4k2b	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	protein coding gene
ENSMUST00000018698	Ensembl Transcript	MGI:1096372	Ybx2	Y box protein 2	protein coding gene
ENSMUST00000018711	Ensembl Transcript	MGI:1861742	Gabarap	gamma-aminobutyric acid receptor associated protein	protein coding gene
ENSMUST00000018713	Ensembl Transcript	MGI:1859285	Cldn7	claudin 7	protein coding gene
ENSMUST00000018727	Ensembl Transcript	MGI:1351465	G3bp1	GTPase activating protein (SH3 domain) binding protein 1	protein coding gene
ENSMUST00000018737	Ensembl Transcript	MGI:98373	Sparc	secreted acidic cysteine rich glycoprotein	protein coding gene
ENSMUST00000018739	Ensembl Transcript	MGI:95750	Glra4	glycine receptor, alpha 4 subunit	protein coding gene
ENSMUST00000018743	Ensembl Transcript	MGI:2144199	Mief2	mitochondrial elongation factor 2	protein coding gene
ENSMUST00000018744	Ensembl Transcript	MGI:98299	Shmt1	serine hydroxymethyltransferase 1 (soluble)	protein coding gene
ENSMUST00000018765	Ensembl Transcript	MGI:1202395	Mmp8	matrix metallopeptidase 8	protein coding gene
ENSMUST00000018767	Ensembl Transcript	MGI:103189	Mmp7	matrix metallopeptidase 7	protein coding gene
ENSMUST00000018792	Ensembl Transcript	MGI:1927168	Dusp14	dual specificity phosphatase 14	protein coding gene
ENSMUST00000018795	Ensembl Transcript	MGI:2144471	Tada2a	transcriptional adaptor 2A	protein coding gene
ENSMUST00000018805	Ensembl Transcript	MGI:1333873	Cog1	component of oligomeric golgi complex 1	protein coding gene
ENSMUST00000018821	Ensembl Transcript	MGI:1196386	Slc25a39	solute carrier family 25, member 39	protein coding gene
ENSMUST00000018842	Ensembl Transcript	MGI:99783	Lhx1	LIM homeobox protein 1	protein coding gene
ENSMUST00000018851	Ensembl Transcript	MGI:103147	Dync1h1	dynein cytoplasmic 1 heavy chain 1	protein coding gene
ENSMUST00000018875	Ensembl Transcript	MGI:1919020	Ap2b1	adaptor-related protein complex 2, beta 1 subunit	protein coding gene
ENSMUST00000018877	Ensembl Transcript	MGI:2144177	Pex12	peroxisomal biogenesis factor 12	protein coding gene
ENSMUST00000018880	Ensembl Transcript	MGI:1932915	Ndel1	nudE neurodevelopment protein 1 like 1	protein coding gene
ENSMUST00000018884	Ensembl Transcript	MGI:1919248	Slc25a35	solute carrier family 25, member 35	protein coding gene
ENSMUST00000018905	Ensembl Transcript	MGI:1346040	Mpdu1	mannose-P-dolichol utilization defect 1	protein coding gene
ENSMUST00000018909	Ensembl Transcript	MGI:1346074	Fxr2	fragile X mental retardation, autosomal homolog 2	protein coding gene
ENSMUST00000018918	Ensembl Transcript	MGI:88342	Cd68	CD68 antigen	protein coding gene
ENSMUST00000018965	Ensembl Transcript	MGI:1916784	Avpi1	arginine vasopressin-induced 1	protein coding gene
ENSMUST00000018966	Ensembl Transcript	MGI:1860298	Sfrp5	secreted frizzled-related sequence protein 5	protein coding gene
ENSMUST00000018988	Ensembl Transcript	MGI:1926169	Fndc8	fibronectin type III domain containing 8	protein coding gene
ENSMUST00000018990	Ensembl Transcript	MGI:2387464	Pank3	pantothenate kinase 3	protein coding gene
ENSMUST00000018992	Ensembl Transcript	MGI:1914297	Rars	arginyl-tRNA synthetase	protein coding gene
ENSMUST00000018993	Ensembl Transcript	MGI:2388637	Wwc1	WW, C2 and coiled-coil domain containing 1	protein coding gene
ENSMUST00000019006	Ensembl Transcript	MGI:1916852	Otop3	otopetrin 3	protein coding gene
ENSMUST00000019012	Ensembl Transcript	MGI:1923022	Pnpla5	patatin-like phospholipase domain containing 5	protein coding gene
ENSMUST00000019026	Ensembl Transcript	MGI:1914286	Mrpl45	mitochondrial ribosomal protein L45	protein coding gene
ENSMUST00000019044	Ensembl Transcript	MGI:1329012	Slc22a5	solute carrier family 22 (organic cation transporter), member 5	protein coding gene
ENSMUST00000019051	Ensembl Transcript	MGI:1274790	Alox12e	arachidonate lipoxygenase, epidermal	protein coding gene
ENSMUST00000019058	Ensembl Transcript	MGI:96552	Il3	interleukin 3	protein coding gene
ENSMUST00000019060	Ensembl Transcript	MGI:1339752	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	protein coding gene
ENSMUST00000019063	Ensembl Transcript	MGI:1922854	Tm4sf5	transmembrane 4 superfamily member 5	protein coding gene
ENSMUST00000019064	Ensembl Transcript	MGI:1932682	Cxcl16	chemokine (C-X-C motif) ligand 16	protein coding gene
ENSMUST00000019065	Ensembl Transcript	MGI:1922523	Pelp1	proline, glutamic acid and leucine rich protein 1	protein coding gene
ENSMUST00000019067	Ensembl Transcript	MGI:1913422	Med11	mediator complex subunit 11	protein coding gene
ENSMUST00000019068	Ensembl Transcript	MGI:87997	Alox15	arachidonate 15-lipoxygenase	protein coding gene
ENSMUST00000019071	Ensembl Transcript	MGI:98263	Ccl6	chemokine (C-C motif) ligand 6	protein coding gene
ENSMUST00000019074	Ensembl Transcript	MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	protein coding gene
ENSMUST00000019075	Ensembl Transcript	MGI:1344388	Natd1	N-acetyltransferase domain containing 1	protein coding gene
ENSMUST00000019076	Ensembl Transcript	MGI:1346868	Map2k3	mitogen-activated protein kinase kinase 3	protein coding gene
ENSMUST00000019109	Ensembl Transcript	MGI:109194	Ywhah	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	protein coding gene
ENSMUST00000019117	Ensembl Transcript	MGI:96182	Hoxb1	homeobox B1	protein coding gene
ENSMUST00000019118	Ensembl Transcript	MGI:1858230	Sart3	squamous cell carcinoma antigen recognized by T cells 3	protein coding gene
ENSMUST00000019130	Ensembl Transcript	MGI:1329005	Slfn3	schlafen 3	protein coding gene
ENSMUST00000019143	Ensembl Transcript	MGI:1931249	Slc35b4	solute carrier family 35, member B4	protein coding gene
ENSMUST00000019183	Ensembl Transcript	MGI:1915039	Dalrd3	DALR anticodon binding domain containing 3	protein coding gene
ENSMUST00000019192	Ensembl Transcript	MGI:88515	Cryaa	crystallin, alpha A	protein coding gene
ENSMUST00000019224	Ensembl Transcript	MGI:1916822	Mfsd3	major facilitator superfamily domain containing 3	protein coding gene
ENSMUST00000019231	Ensembl Transcript	MGI:109629	Atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1	protein coding gene
ENSMUST00000019232	Ensembl Transcript	MGI:109628	Dnase1l1	deoxyribonuclease 1-like 1	protein coding gene
ENSMUST00000019246	Ensembl Transcript	MGI:1353451	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1	protein coding gene
ENSMUST00000019248	Ensembl Transcript	MGI:88322	Cd22	CD22 antigen	protein coding gene
ENSMUST00000019266	Ensembl Transcript	MGI:104533	Ccl9	chemokine (C-C motif) ligand 9	protein coding gene
ENSMUST00000019268	Ensembl Transcript	MGI:1917188	Scrn1	secernin 1	protein coding gene
ENSMUST00000019276	Ensembl Transcript	MGI:2441726	BC005537	cDNA sequence BC005537	protein coding gene
ENSMUST00000019283	Ensembl Transcript	MGI:1919030	Isyna1	myo-inositol 1-phosphate synthase A1	protein coding gene
ENSMUST00000019290	Ensembl Transcript	MGI:1316660	Cacng2	calcium channel, voltage-dependent, gamma subunit 2	protein coding gene
ENSMUST00000019291	Ensembl Transcript	MGI:1891360	Psg28	pregnancy-specific glycoprotein 28	protein coding gene
ENSMUST00000019302	Ensembl Transcript	MGI:1916344	Tmem160	transmembrane protein 160	protein coding gene
ENSMUST00000019317	Ensembl Transcript	MGI:105306	Rab5c	RAB5C, member RAS oncogene family	protein coding gene
ENSMUST00000019323	Ensembl Transcript	MGI:97050	Mdh2	malate dehydrogenase 2, NAD (mitochondrial)	protein coding gene
ENSMUST00000019354	Ensembl Transcript	MGI:894326	Atp6v1e1	ATPase, H+ transporting, lysosomal V1 subunit E1	protein coding gene
ENSMUST00000019374	Ensembl Transcript	MGI:1316721	Lhx9	LIM homeobox protein 9	protein coding gene
ENSMUST00000019379	Ensembl Transcript	MGI:2443413	Rps6kl1	ribosomal protein S6 kinase-like 1	protein coding gene
ENSMUST00000019405	Ensembl Transcript	MGI:2443304	Map1s	microtubule-associated protein 1S	protein coding gene
ENSMUST00000019422	Ensembl Transcript	MGI:94917	Dpep1	dipeptidase 1	protein coding gene
ENSMUST00000019426	Ensembl Transcript	MGI:2661061	Dsg4	desmoglein 4	protein coding gene
ENSMUST00000019439	Ensembl Transcript	MGI:1915616	Tmem129	transmembrane protein 129	protein coding gene
ENSMUST00000019441	Ensembl Transcript	MGI:1915092	Nop9	NOP9 nucleolar protein	protein coding gene
ENSMUST00000019443	Ensembl Transcript	MGI:1934704	Rnf31	ring finger protein 31	protein coding gene
ENSMUST00000019445	Ensembl Transcript	MGI:105077	Hsd17b1	hydroxysteroid (17-beta) dehydrogenase 1	protein coding gene
ENSMUST00000019447	Ensembl Transcript	MGI:1098610	Psmc3ip	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein	protein coding gene
ENSMUST00000019456	Ensembl Transcript	MGI:102683	Grb7	growth factor receptor bound protein 7	protein coding gene
ENSMUST00000019464	Ensembl Transcript	MGI:1919143	Noxo1	NADPH oxidase organizer 1	protein coding gene
ENSMUST00000019469	Ensembl Transcript	MGI:95607	G6pc	glucose-6-phosphatase, catalytic	protein coding gene
ENSMUST00000019470	Ensembl Transcript	MGI:1096366	Psme3	proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki)	protein coding gene
ENSMUST00000019506	Ensembl Transcript	MGI:1289231	D8Ertd738e	DNA segment, Chr 8, ERATO Doi 738, expressed	protein coding gene
ENSMUST00000019514	Ensembl Transcript	MGI:103249	Calm3	calmodulin 3	protein coding gene
ENSMUST00000019516	Ensembl Transcript	MGI:2385017	Nrbp2	nuclear receptor binding protein 2	protein coding gene
ENSMUST00000019572	Ensembl Transcript	MGI:3040702	Zfp874b	zinc finger protein 874b	protein coding gene
ENSMUST00000019577	Ensembl Transcript	MGI:1926252	Gipc1	GIPC PDZ domain containing family, member 1	protein coding gene
ENSMUST00000019608	Ensembl Transcript	MGI:97793	Ptger1	prostaglandin E receptor 1 (subtype EP1)	protein coding gene
ENSMUST00000019611	Ensembl Transcript	MGI:1277173	Arhgef25	Rho guanine nucleotide exchange factor (GEF) 25	protein coding gene
ENSMUST00000019615	Ensembl Transcript	MGI:109531	Cdc37	cell division cycle 37	protein coding gene
ENSMUST00000019616	Ensembl Transcript	MGI:109430	Icam5	intercellular adhesion molecule 5, telencephalin	protein coding gene
ENSMUST00000019625	Ensembl Transcript	MGI:1339712	Myh8	myosin, heavy polypeptide 8, skeletal muscle, perinatal	protein coding gene
ENSMUST00000019631	Ensembl Transcript	MGI:2146901	Trip10	thyroid hormone receptor interactor 10	protein coding gene
ENSMUST00000019633	Ensembl Transcript	MGI:1195273	Cd70	CD70 antigen	protein coding gene
ENSMUST00000019638	Ensembl Transcript	MGI:1349439	Cops6	COP9 signalosome subunit 6	protein coding gene
ENSMUST00000019649	Ensembl Transcript	MGI:98888	Ubb	ubiquitin B	protein coding gene
ENSMUST00000019660	Ensembl Transcript	MGI:1921820	Zkscan1	zinc finger with KRAB and SCAN domains 1	protein coding gene
ENSMUST00000019679	Ensembl Transcript	MGI:1924063	Armc6	armadillo repeat containing 6	protein coding gene
ENSMUST00000019683	Ensembl Transcript	MGI:1277122	Rcn3	reticulocalbin 3, EF-hand calcium binding domain	protein coding gene
ENSMUST00000019697	Ensembl Transcript	MGI:1919159	Haus5	HAUS augmin-like complex, subunit 5	protein coding gene
ENSMUST00000019701	Ensembl Transcript	MGI:2387107	Dusp9	dual specificity phosphatase 9	protein coding gene
ENSMUST00000019708	Ensembl Transcript	MGI:1328360	Arid3a	AT rich interactive domain 3A (BRIGHT-like)	protein coding gene
ENSMUST00000019721	Ensembl Transcript	MGI:1351481	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	protein coding gene
ENSMUST00000019723	Ensembl Transcript	MGI:2156020	Mydgf	myeloid derived growth factor	protein coding gene
ENSMUST00000019726	Ensembl Transcript	MGI:1914155	Plin3	perilipin 3	protein coding gene
ENSMUST00000019734	Ensembl Transcript	MGI:103253	Cyb561	cytochrome b-561	protein coding gene
ENSMUST00000019749	Ensembl Transcript	MGI:96209	Hoxd8	homeobox D8	protein coding gene
ENSMUST00000019791	Ensembl Transcript	MGI:1203727	Sema6a	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	protein coding gene
ENSMUST00000019803	Ensembl Transcript	MGI:1919904	Ccdc12	coiled-coil domain containing 12	protein coding gene
ENSMUST00000019808	Ensembl Transcript	MGI:1914218	Plin5	perilipin 5	protein coding gene
ENSMUST00000019859	Ensembl Transcript	MGI:1921662	Gle1	GLE1 RNA export mediator (yeast)	protein coding gene
ENSMUST00000019876	Ensembl Transcript	MGI:1920566	Calr3	calreticulin 3	protein coding gene
ENSMUST00000019878	Ensembl Transcript	MGI:1917007	Leng1	leukocyte receptor cluster (LRC) member 1	protein coding gene
ENSMUST00000019882	Ensembl Transcript	MGI:1917170	Polr2i	polymerase (RNA) II (DNA directed) polypeptide I	protein coding gene
ENSMUST00000019896	Ensembl Transcript	MGI:1917587	Iyd	iodotyrosine deiodinase	protein coding gene
ENSMUST00000019906	Ensembl Transcript	MGI:98933	Vip	vasoactive intestinal polypeptide	protein coding gene
ENSMUST00000019907	Ensembl Transcript	MGI:1914391	Fbxo5	F-box protein 5	protein coding gene
ENSMUST00000019908	Ensembl Transcript	MGI:1918830	Mtrf1l	mitochondrial translational release factor 1-like	protein coding gene
ENSMUST00000019917	Ensembl Transcript	MGI:1913771	Rwdd1	RWD domain containing 1	protein coding gene
ENSMUST00000019924	Ensembl Transcript	MGI:1341884	Hey2	hairy/enhancer-of-split related with YRPW motif 2	protein coding gene
ENSMUST00000019927	Ensembl Transcript	MGI:1920931	Trmt11	tRNA methyltransferase 11	protein coding gene
ENSMUST00000019931	Ensembl Transcript	MGI:2442989	Lrp11	low density lipoprotein receptor-related protein 11	protein coding gene
ENSMUST00000019932		No associated gene			
ENSMUST00000019937	Ensembl Transcript	MGI:2155302	Sec63	SEC63-like (S. cerevisiae)	protein coding gene
ENSMUST00000019938	Ensembl Transcript	MGI:1100526	Nr2e1	nuclear receptor subfamily 2, group E, member 1	protein coding gene
ENSMUST00000019939	Ensembl Transcript	MGI:1860188	Snx3	sorting nexin 3	protein coding gene
ENSMUST00000019944	Ensembl Transcript	MGI:1914007	Adat2	adenosine deaminase, tRNA-specific 2	protein coding gene
ENSMUST00000019950	Ensembl Transcript	MGI:2447810	Ltv1	LTV1 ribosome biogenesis factor	protein coding gene
ENSMUST00000019954	Ensembl Transcript	MGI:1922372	Zc2hc1b	zinc finger, C2HC-type containing 1B	protein coding gene
ENSMUST00000019962	Ensembl Transcript	MGI:1859568	Cd164	CD164 antigen	protein coding gene
ENSMUST00000019974	Ensembl Transcript	MGI:1915094	Rab32	RAB32, member RAS oncogene family	protein coding gene
ENSMUST00000019977	Ensembl Transcript	MGI:1925528	Ddo	D-aspartate oxidase	protein coding gene
ENSMUST00000019982	Ensembl Transcript	MGI:1914621	Gtf3c6	general transcription factor IIIC, polypeptide 6, alpha	protein coding gene
ENSMUST00000019987	Ensembl Transcript	MGI:2143599	Traf3ip2	TRAF3 interacting protein 2	protein coding gene
ENSMUST00000019991	Ensembl Transcript	MGI:1919174	Tube1	epsilon-tubulin 1	protein coding gene
ENSMUST00000019992	Ensembl Transcript	MGI:109321	Lama4	laminin, alpha 4	protein coding gene
ENSMUST00000019994	Ensembl Transcript	MGI:1930153	Popdc3	popeye domain containing 3	protein coding gene
ENSMUST00000019998	Ensembl Transcript	MGI:1929938	Perp	PERP, TP53 apoptosis effector	protein coding gene
ENSMUST00000019999	Ensembl Transcript	MGI:106387	Arfgef3	ARFGEF family member 3	protein coding gene
ENSMUST00000020000	Ensembl Transcript	MGI:1860084	Hebp2	heme binding protein 2	protein coding gene
ENSMUST00000020002	Ensembl Transcript	MGI:1920362	Abracl	ABRA C-terminal like	protein coding gene
ENSMUST00000020003	Ensembl Transcript	MGI:1923156	Fam184a	family with sequence similarity 184, member A	protein coding gene
ENSMUST00000020004	Ensembl Transcript	MGI:1913653	Asf1a	anti-silencing function 1A histone chaperone	protein coding gene
ENSMUST00000020015	Ensembl Transcript	MGI:1100525	Nmbr	neuromedin B receptor	protein coding gene
ENSMUST00000020016	Ensembl Transcript	MGI:1923993	Gje1	gap junction protein, epsilon 1	protein coding gene
ENSMUST00000020017	Ensembl Transcript	MGI:109544	Crybg1	crystallin beta-gamma domain containing 1	protein coding gene
